Samples	Labels
N3	Normal
N6	Normal
N7	Normal
N8	Normal
N10	Normal
N11	Normal
N12	Normal
N13	Normal
N14	Normal
N15	Normal
N16	Normal
N17	Normal
N18	Normal
N19	Normal
N20	Normal
N21	Normal
N22	Normal
N24	Normal
N25	Normal
N26	Normal
T3	Tumour
T6	Tumour
T7	Tumour
T8	Tumour
T10	Tumour
T11	Tumour
T12	Tumour
T13	Tumour
T14	Tumour
T15	Tumour
T16	Tumour
T17	Tumour
T18	Tumour
T19	Tumour
T20	Tumour
T21	Tumour
T22	Tumour
T24	Tumour
T25	Tumour
T26	Tumour
P3	PVTT
P6	PVTT
P7	PVTT
P8	PVTT
P10	PVTT
P11	PVTT
P12	PVTT
P13	PVTT
P14	PVTT
P15	PVTT
P16	PVTT
P17	PVTT
P18	PVTT
P19	PVTT
P20	PVTT
P21	PVTT
P22	PVTT
P24	PVTT
P25	PVTT
P26	PVTT
