MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	DUSP27
NA	NA	NA	NA	NA	NA	NA	NA	NA	CLCA1
NA	NA	0.297792550914528	0	NA	NA	0	0.217391304347826	NA	LY6G6D
NA	NA	NA	NA	NA	NA	NA	NA	NA	REG1A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ITLN1
NA	NA	0.0429440500632446	0.253	NA	NA	0	0.231884057971014	NA	PRAC
NA	NA	NA	NA	NA	NA	NA	NA	NA	REG1B
NA	NA	NA	NA	NA	NA	NA	NA	NA	REG3A
NA	NA	NA	NA	NA	NA	NA	NA	NA	IRX2
NA	NA	NA	NA	NA	NA	NA	NA	NA	REG4
NA	NA	0.0605679983230109	0.293	NA	NA	0	0.0652173913043478	NA	PLA2G12B
NA	NA	NA	NA	NA	NA	NA	NA	NA	NPSR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ZIC5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ZIC2
NA	NA	0.215324775338748	0.003	NA	NA	0	0.22463768115942	NA	DEFA5
NA	NA	0.0649051926560201	0.296	NA	NA	0	0.0688405797101449	NA	CKMT2
NA	NA	0.114723245719431	0.19	NA	NA	0	0.0434782608695652	NA	CLCA4
NA	NA	NA	NA	NA	NA	NA	NA	NA	B3GNT6
NA	NA	0.151829132805525	0.066	NA	NA	0	0.0905797101449275	NA	ABHD12B
NA	NA	0.128209381581845	0.037	NA	NA	0	0.213768115942029	NA	SLCO1B3
NA	NA	0.241388110244255	0	NA	NA	0	0.221014492753623	NA	DEFA6
NA	NA	NA	NA	NA	NA	NA	NA	NA	CTSE
NA	NA	0.0616534585596928	0.23	NA	NA	0	0.188405797101449	NA	SPINK4
NA	NA	0.305355159387535	0	NA	NA	0	0.518115942028985	NA	SLC26A3
NA	NA	0.0565271955231884	0.163	NA	NA	0	0.601449275362319	NA	OLFM4
NA	NA	0.228170302580331	0	NA	NA	0	0.25	NA	FOXJ1
NA	NA	NA	NA	NA	NA	NA	NA	NA	CEL
NA	NA	0.206844453870228	0.037	NA	NA	0	0.0869565217391304	NA	SLC39A2
NA	NA	0.0356135412944669	0.283	NA	NA	0	0.246376811594203	NA	ZG16
NA	NA	NA	NA	NA	NA	NA	NA	NA	RPS28
NA	NA	NA	NA	NA	NA	NA	NA	NA	L1TD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MUC2
NA	NA	NA	NA	NA	NA	NA	NA	NA	GSTM1
NA	NA	0.0100812468496389	0.447	NA	NA	0	0.0760869565217391	NA	THBS4
NA	NA	NA	NA	NA	NA	NA	NA	NA	LCN15
NA	NA	0.176651812944948	0.008	NA	NA	0	0.246376811594203	NA	CA4
NA	NA	NA	NA	NA	NA	NA	NA	NA	PLA2G3
NA	NA	0.154292904908232	0.091	NA	NA	0	0.0760869565217391	NA	CHGA
NA	NA	0.00264162522975169	0.499	NA	NA	0	0.576086956521739	NA	CA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ALDH1L1
NA	NA	0.0737920748356916	0.221	NA	NA	0	0.0978260869565217	NA	MS4A12
NA	NA	0.145304198715092	0.022	NA	NA	0	0.231884057971014	NA	AQP8
NA	NA	0.143188934545871	0.014	NA	NA	0	0.565217391304348	NA	SOX1
NA	NA	0.402876708948424	0	NA	NA	0	0.25	NA	KRT23
NA	NA	NA	NA	NA	NA	NA	NA	NA	GJB5
NA	NA	0.312807698904244	0	NA	NA	0	0.246376811594203	NA	C17orf77
NA	NA	NA	NA	NA	NA	NA	NA	NA	TCN1
NA	NA	0.377466016761437	0	NA	NA	0	0.242753623188406	NA	SLC6A4
NA	NA	NA	NA	NA	NA	NA	NA	NA	B4GALNT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	VSIG2
NA	NA	0.14062936569993	0.008	NA	NA	0	0.514492753623188	NA	MUC17
NA	NA	0.0671006971335106	0.197	NA	NA	0	0.181159420289855	NA	PAH
NA	NA	0.390028184762304	0	NA	NA	0	0.601449275362319	NA	FREM2
NA	NA	NA	NA	NA	NA	NA	NA	NA	VIP
NA	NA	0.166968201648057	0.107	NA	NA	0	0.0471014492753623	NA	SLC28A2
NA	NA	0.0103963127278033	0.475	NA	NA	0	0.159420289855072	NA	CELP
NA	NA	0.35831929505861	0	NA	NA	0	0.11231884057971	NA	ELF5
NA	NA	NA	NA	NA	NA	NA	NA	NA	SMOC1
NA	NA	0.285610481811989	0.034	NA	NA	0	0.0471014492753623	NA	SLC44A5
NA	NA	0.0366216562306724	0.294	NA	NA	0	0.213768115942029	NA	SCAND3
NA	NA	NA	NA	NA	NA	NA	NA	NA	CWH43
NA	NA	0.0182001656010127	0.464	NA	NA	0	0.0760869565217391	NA	FAM3B
NA	NA	0.0621355073947597	0.215	NA	NA	0	0.159420289855072	NA	ENPP3
