MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	A1BG
NA	NA	NA	NA	NA	NA	NA	NA	NA	A1CF
NA	NA	0.0213407771240054	0.411	NA	NA	0	0.115942028985507	NA	A2M
NA	NA	0.260012092386509	0.009	NA	NA	0	0.115942028985507	NA	A2ML1
NA	NA	NA	NA	NA	NA	NA	NA	NA	A4GALT
NA	NA	NA	NA	NA	NA	NA	NA	NA	A4GNT
NA	NA	0.469714498920605	0	NA	NA	0	0.0978260869565217	NA	AAAS
NA	NA	0.466401374229599	0	NA	NA	0	0.119565217391304	NA	AACS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADAC
NA	NA	0.0131745391208908	0.527	NA	NA	0	0.0833333333333333	NA	AADACL2
NA	NA	0.0375483779848445	0.315	NA	NA	0	0.318840579710145	NA	AADACL4
NA	NA	0.147202915994562	0.008	NA	NA	0	0.315217391304348	NA	AADAT
NA	NA	0.558470669671512	0	NA	NA	0	0.355072463768116	NA	AAGAB
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAK1
NA	NA	0.651260564917051	0.001	NA	NA	0	0.0217391304347826	NA	AAMP
NA	NA	0.217240634433949	0.015	NA	NA	0	0.115942028985507	NA	AANAT
NA	NA	0.408143860567543	0	NA	NA	0	0.0833333333333333	NA	AARS
NA	NA	0.468013066564971	0	NA	NA	0	0.0615942028985507	NA	AARS2
NA	NA	0.517446106841226	0	NA	NA	0	0.108695652173913	NA	AARSD1
NA	NA	0.335387403571399	0	NA	NA	0	0.257246376811594	NA	AASDH
NA	NA	0.401690851561425	0	NA	NA	0	0.148550724637681	NA	AASDHPPT
NA	NA	0.33064515206173	0.064	NA	NA	0	0.0181159420289855	NA	AASS
NA	NA	0.718412595823334	0	NA	NA	0	0.11231884057971	NA	AATF
NA	NA	0.135907570194327	0.087	NA	NA	0	0.108695652173913	NA	AATK
NA	NA	0.0396674790081254	0.329	NA	NA	0	0.0978260869565217	NA	ABAT
NA	NA	0.0149830538192498	0.434	NA	NA	0	0.13768115942029	NA	ABCA1
