Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007049~cell cycle	304	15.064420218037661	1.1413242632716026E-24	DYNC1LI1, DBF4B, AURKAIP1, CROCC, CHMP5, CHMP6, BTC, CHMP7, AURKA, AURKB, CDC16, ANKLE2, CD2AP, CUL3, CUL2, CDCA8, CUL5, APP, CUL7, DDX11, CUL9, CDCA2, CAB39, CRY1, CDCA5, CCNA2, CUL1, CDCA3, ANAPC1, ANAPC2, DAB2IP, CGRRF1, ANAPC5, ANAPC4, DCTN3, CEP152, DCTN1, DCTN2, DCLRE1A, DCLRE1B, AAAS, ALOX15B, CNTROB, ARL8A, BIN3, ANAPC7, ARL8B, BIN1, CHORDC1, BLCAP, CDK5R1, AHCTF1, ARF6, CEP164, CHEK1, AFAP1L2, BCL2L1, CHEK2, ANGEL2, BANF1, CDC37, CDC123, DNMT3A, BMP2, BECN1, CDC23, ALMS1, CDC20, ATR, DONSON, CDC26, CDC27, CSPP1, DHFR, DMTF1, CHAF1A, CHAF1B, CCNT2, BACH1, CLSPN, CCNT1, CCNE2, ACTR3, ANKRD17, ACTR2, CEP250, CCNY, BRD7, BRD4, ACTR8, DYNC1H1, CCNO, DHCR24, CDC7, CDC6, ARHGEF2, CCNK, CCNH, CCNF, CNOT10, CCNC, ARHGEF10, ARHGEF11, CCND1, CHMP1A, CHMP1B, CCND3, CDK11A, CCND2, CCNYL1, ADAM17, CDK11B, CTDP1, CLOCK, BID, CEP120, CAB39L, CETN3, BCCIP, CYLD, BCL2, BUB1, AATF, BUB3, CSNK1A1, CCNB1IP1, CEP135, DLGAP5, BIRC6, BIRC5, APPL1, BIRC3, CDKN3, BIRC2, DOT1L, CCNB1, DUSP3, CCNB2, CSNK1D, CSNK1E, DGKZ, CALM3, CIT, DNM2, CALM1, CEP72, CNOT8, CHMP4C, CHMP4B, CTDSPL, CEP76, BTRC, CHMP4A, DBF4, CEP78, CNOT3, CNOT2, CNOT1, CNOT7, CNOT6, CRADD, CNOT4, CSNK2A2, CSNK2A1, CASP8AP2, CDKN2C, ANK3, C8ORF4, ASPM, CIB1, C2CD3, DTL, CHTF8, DDIT3, CLIP1, AKAP8, CEP97, CHMP2A, BBS4, BLM, ANAPC13, B9D2, ANAPC10, ANAPC11, CCNG1, CCNG2, AZI2, CHMP2B, ATF2, CNOT6L, CLASP1, CLASP2, AXIN2, ATRIP, CREBL2, CKAP2, CCPG1, CKAP5, AK1, CINP, ARID3A, ARPP19, AKAP8L, BRCA2, BRIP1, ATAD5, ABCB1, BRCA1, DNA2, ATF5, CORT, CCNDBP1, E2F2, CLTA, E2F3, CDC14A, CDC14B, E2F7, E2F8, CTCF, CLTC, AKT1, CDC42, ACVR1B, ACTR1A, CABLES2, C11ORF80, CDK5RAP3, CDK10, CDK5RAP2, E4F1, CDK5RAP1, CASP2, CABLES1, CDK13, DLG1, AKT2, ARL2, CDK1, DDB1, CCNL1, CDK9, BANP, DYNLT1, CDC5L, CDK7, CDK4, CDK5, CDK2, C6ORF89, CDK3, ARL3, BTG3, CDK2AP1, DIS3L2, BUB1B, CARM1, DMC1, CRLF3, CAMK2G, CTCFL, CDC73, AKAP9, ASNS, BRSK1, CEP55, CEP57, CENPA, CAMK2D, APEX1, CHD3, APC, CENPO, CEBPA, BOD1, CENPN, CENPM, CNTD1, CENPL, CREB3, CEP192, CENPQ, CENPP, CENPF, CENPE, DACH1, CDC25C, CEP63, CENPK, CENPJ, AVPI1, CDC25B, CENPH, CUL4A, BAX, ANXA11, BRE, CENPV, CKS2, CENPT, CDK20, ARAP1, C9ORF69, ALKBH4	1727	1672	16650	1.7529083539506236	8.425255711470971E-21	8.425255711470971E-21	2.261067920943143E-21
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	205	10.158572844400396	1.7616320831214502E-24	DYNC1LI1, DBF4B, AURKAIP1, CHMP5, CHMP6, BTC, CHMP7, AURKA, CDC16, AURKB, ANKLE2, CD2AP, CUL3, CUL2, CUL5, APP, CDCA8, CUL7, CUL9, CDCA2, CDCA5, CCNA2, CUL1, CDCA3, ANAPC1, ANAPC2, ANAPC5, ANAPC4, DCTN3, CEP152, DCTN1, DCTN2, DCLRE1A, AAAS, CNTROB, BIN3, ARL8A, ANAPC7, CHEK1, CEP164, BCL2L1, CHEK2, ANGEL2, BANF1, DNMT3A, BECN1, ALMS1, CDC23, CDC20, CDC26, CDC27, DHFR, BACH1, CLSPN, CCNE2, ANKRD17, CEP250, CCNY, BRD7, BRD4, ACTR8, DYNC1H1, CDC7, CDC6, CCNK, ARHGEF2, CCNH, CNOT10, CCNF, ARHGEF10, CHMP1A, CCND1, CHMP1B, CDK11A, CCND2, ADAM17, CDK11B, CTDP1, BID, CETN3, BCL2, BUB1, BUB3, CSNK1A1, CEP135, DLGAP5, BIRC6, BIRC5, CDKN3, BIRC3, BIRC2, CCNB1, DUSP3, CCNB2, CSNK1D, CSNK1E, CALM3, DGKZ, CIT, CALM1, DNM2, CEP72, CNOT8, CHMP4C, CEP76, CTDSPL, CHMP4B, BTRC, DBF4, CHMP4A, CEP78, CNOT3, CNOT2, CNOT1, CNOT7, CNOT6, CRADD, CNOT4, CSNK2A2, CSNK2A1, CDKN2C, ANK3, ASPM, CIB1, CHTF8, CLIP1, AKAP8, CEP97, CHMP2A, BBS4, BLM, ANAPC13, ANAPC10, ANAPC11, CCNG1, CCNG2, AZI2, ATF2, CHMP2B, CNOT6L, CLASP1, CLASP2, CKAP2, CKAP5, ARPP19, AKAP8L, ARID3A, BRCA2, ABCB1, ATAD5, DNA2, CLTA, CDC14A, E2F7, E2F8, CLTC, AKT1, ACVR1B, CDC42, ACTR1A, CDK5RAP3, CDK10, E4F1, CDK5RAP2, CASP2, CDK13, DLG1, CDK1, DDB1, DYNLT1, CDK7, CDC5L, CDK4, CDK2, CDK3, BTG3, DIS3L2, BUB1B, CARM1, CRLF3, CAMK2G, ASNS, AKAP9, CDC73, CEP55, CEP57, CENPA, CAMK2D, APEX1, APC, BOD1, CENPN, CEP192, CENPF, CENPE, CEP63, CDC25C, CENPJ, CDC25B, CUL4A, BAX, CKS2, CENPV, BRE, CENPT	1727	968	16650	2.0417398440902153	1.3004368037602546E-20	6.502184018801273E-21	3.489954537751095E-21
GOTERM_BP_FAT	GO:1903047~mitotic cell cycle process	190	9.415262636273539	4.153207308934045E-23	CEP72, DYNC1LI1, DBF4B, CNOT8, AURKAIP1, CHMP4C, CHMP4B, CTDSPL, CEP76, CHMP5, BTRC, CHMP6, DBF4, CHMP4A, CEP78, BTC, CHMP7, CNOT3, CNOT2, CNOT1, AURKA, CDC16, AURKB, CNOT7, ANKLE2, CNOT6, CD2AP, CRADD, CNOT4, CSNK2A2, CUL3, CUL2, CDCA8, CUL5, APP, CSNK2A1, CUL7, ANK3, CDKN2C, CDCA2, CDCA5, CCNA2, CUL1, ASPM, CDCA3, ANAPC1, ANAPC2, ANAPC5, CHTF8, ANAPC4, DCTN3, CEP152, DCTN1, DCTN2, DCLRE1A, AAAS, CNTROB, CLIP1, ARL8A, BIN3, ANAPC7, AKAP8, CEP97, CHMP2A, BBS4, BLM, ANAPC13, ANAPC10, CHEK1, CEP164, BCL2L1, ANAPC11, CHEK2, CCNG1, CCNG2, BANF1, CHMP2B, ATF2, CNOT6L, CLASP1, CLASP2, CKAP2, BECN1, CKAP5, ARPP19, AKAP8L, ARID3A, CDC23, ALMS1, CDC20, ABCB1, CDC26, CDC27, DNA2, DHFR, BACH1, CLSPN, CLTA, CDC14A, E2F7, CLTC, CCNE2, AKT1, ANKRD17, ACVR1B, CEP250, ACTR1A, CCNY, BRD7, CDK10, CDK5RAP3, CDK5RAP2, BRD4, E4F1, ACTR8, DYNC1H1, CASP2, DLG1, CDC7, CDK1, CDC6, ARHGEF2, CCNK, CCNH, CCNF, CNOT10, DYNLT1, CDK7, CDK4, CDK2, ARHGEF10, CDK3, CHMP1A, CCND1, CHMP1B, CDK11A, CCND2, DIS3L2, BUB1B, ADAM17, CDK11B, CARM1, CTDP1, BID, CRLF3, CAMK2G, CETN3, CDC73, AKAP9, CEP55, CEP57, CENPA, BCL2, BUB1, CAMK2D, APEX1, BUB3, APC, CSNK1A1, CENPN, BOD1, CEP135, CEP192, DLGAP5, BIRC6, CENPF, BIRC5, CENPE, CDC25C, CEP63, CDKN3, BIRC3, CENPJ, BIRC2, CDC25B, CCNB1, CCNB2, CSNK1D, CUL4A, CSNK1E, BAX, CKS2, CENPV, BRE, DGKZ, CALM3, CENPT, CIT, DNM2, CALM1	1727	890	16650	2.0581901459307885	3.065897635455112E-19	1.0219658784850374E-19	8.227884149539588E-20
GOTERM_BP_FAT	GO:0051301~cell division	141	6.987115956392468	5.927488380354064E-23	DYNC1LI1, CHMP4C, CHMP4B, CHMP5, CHMP6, CHMP4A, CHMP7, BTC, AURKA, CDC16, AURKB, ANKLE2, CD2AP, CUL3, CDCA8, CDCA7, CUL7, ANK3, CDCA2, CCNA2, CDCA5, ASPM, CDCA4, CDCA3, CIB1, ANAPC1, ANAPC2, ANAPC5, ANAPC4, DCTN3, DCLRE1A, CNTROB, BIN3, ARL8A, ANAPC7, ARL8B, CHMP2A, BBS4, BLM, ANAPC13, AHCTF1, CEP164, ANAPC10, ARF6, ANAPC11, CHEK2, BCL2L1, CCNG1, CCNG2, CDC37, CHMP2B, CDC123, CDC40, CLASP1, CLASP2, CKAP2, BECN1, CKAP5, CINP, ARPP19, BRCA2, CDC23, CDC20, DOCK7, CDC26, CDC27, CSPP1, CDK19, CCNT2, CLTA, CDC14A, E2F7, CCNT1, E2F8, CLTC, CCNE2, ACTR3, CDC42, ACTR2, ATAD3B, CCNY, CABLES2, CDK10, ACTR8, E4F1, CCNO, CABLES1, CDK13, CDC7, CDK1, CDC6, CCNK, ARHGEF2, CCNF, DYNLT1, CDK7, CDK4, CDK5, CDK2, CDK3, ARHGEF11, ARL3, CHMP1A, CCND1, CHMP1B, CCND3, CCND2, DIS3L2, BUB1B, CDK11B, CTDP1, CETN3, CDC73, CEP55, CENPA, BUB1, AATF, BUB3, APC, CSNK1A1, BOD1, CENPF, BIRC6, BIRC5, CENPE, CDC25C, CEP63, CENPJ, CDC25B, CCNB1, CCNB2, ANXA11, CKS2, CENPV, BRE, CALM3, CENPT, CIT, CDK20, ALKBH4, CALM1	1727	575	16650	2.364139875632537	4.37567192237737E-19	1.0939179805943426E-19	1.1742897491869406E-19
GOTERM_BP_FAT	GO:0022402~cell cycle process	254	12.586719524281467	2.96286289183922E-22	DYNC1LI1, DBF4B, AURKAIP1, CHMP5, CHMP6, BTC, CHMP7, AURKA, CDC16, AURKB, ANKLE2, CD2AP, CUL3, CUL2, CDCA8, CUL5, APP, CUL7, DDX11, CUL9, CDCA2, CAB39, CRY1, CDCA5, CCNA2, CUL1, CDCA3, ANAPC1, ANAPC2, DAB2IP, CGRRF1, ANAPC5, ANAPC4, DCTN3, CEP152, DCTN1, DCTN2, DCLRE1A, AAAS, DCLRE1B, CNTROB, BIN3, ARL8A, ANAPC7, BIN1, CHORDC1, CDK5R1, AHCTF1, CHEK1, CEP164, BCL2L1, CHEK2, BANF1, CDC123, BECN1, CDC23, ALMS1, CDC20, DONSON, ATR, CDC26, CDC27, CSPP1, DHFR, BACH1, CLSPN, CCNE2, ACTR3, ACTR2, ANKRD17, CEP250, CCNY, BRD7, BRD4, ACTR8, DYNC1H1, DHCR24, CDC7, CDC6, ARHGEF2, CCNK, CCNH, CCNF, CNOT10, ARHGEF10, ARHGEF11, CCND1, CHMP1A, CHMP1B, CDK11A, CCND2, ADAM17, CDK11B, CTDP1, CLOCK, BID, CAB39L, CEP120, CETN3, BCL2, BUB1, BUB3, CSNK1A1, CCNB1IP1, CEP135, DLGAP5, BIRC6, BIRC5, CDKN3, BIRC3, BIRC2, DOT1L, CCNB1, CCNB2, CSNK1D, CSNK1E, DGKZ, CALM3, CIT, DNM2, CALM1, CEP72, CNOT8, CHMP4C, CHMP4B, CTDSPL, CEP76, BTRC, CHMP4A, DBF4, CEP78, CNOT3, CNOT2, CNOT1, CNOT7, CNOT6, CRADD, CNOT4, CSNK2A2, CSNK2A1, CDKN2C, ANK3, C8ORF4, ASPM, C2CD3, DTL, CHTF8, DDIT3, CLIP1, AKAP8, CEP97, CHMP2A, BBS4, BLM, ANAPC13, B9D2, ANAPC10, ANAPC11, CCNG1, CCNG2, CHMP2B, ATF2, CNOT6L, CLASP1, CLASP2, AXIN2, ATRIP, CKAP2, CKAP5, AK1, ARPP19, AKAP8L, ARID3A, BRCA2, BRIP1, ATAD5, ABCB1, BRCA1, DNA2, ATF5, CORT, CLTA, CDC14A, CDC14B, E2F7, E2F8, CTCF, CLTC, AKT1, CDC42, ACVR1B, ACTR1A, C11ORF80, CDK5RAP3, CDK10, CDK5RAP2, E4F1, CASP2, CDK13, DLG1, AKT2, CDK1, DDB1, CDK9, DYNLT1, CDC5L, CDK7, CDK4, CDK5, CDK2, CDK3, ARL3, DIS3L2, BUB1B, CARM1, DMC1, CRLF3, CAMK2G, CDC73, AKAP9, BRSK1, CEP55, CEP57, CENPA, CAMK2D, APEX1, CHD3, APC, CENPO, BOD1, CENPN, CNTD1, CENPM, CENPL, CEP192, CENPQ, CENPP, CENPF, CENPE, DACH1, CDC25C, CEP63, CENPK, CENPJ, CDC25B, CENPH, CUL4A, BAX, CENPV, CKS2, BRE, CENPT, ARAP1, ALKBH4	1727	1357	16650	1.8045784601835089	2.187185386755712E-18	4.374370773511425E-19	5.869702813192771E-19
GOTERM_BP_FAT	GO:0044770~cell cycle phase transition	134	6.640237859266601	8.491466609834518E-22	DYNC1LI1, CEP72, DBF4B, CNOT8, CHMP4B, CTDSPL, CEP76, DBF4, BTRC, CHMP7, CEP78, CNOT3, CNOT2, CNOT1, AURKA, CDC16, CNOT7, CNOT6, CRADD, CNOT4, CSNK2A2, CUL3, CUL2, APP, CUL5, CSNK2A1, CDKN2C, C8ORF4, CCNA2, CDCA5, CUL1, ANAPC1, ANAPC2, ANAPC5, ANAPC4, DCTN3, CEP152, DCTN1, DCTN2, ANAPC7, AKAP8, CHMP2A, BLM, CEP164, ANAPC10, CHEK1, ANAPC11, CHEK2, CNOT6L, CLASP1, CLASP2, CKAP5, ARPP19, AKAP8L, ARID3A, ALMS1, CDC23, CDC20, ATAD5, ABCB1, CDC26, CDC27, ATF5, DHFR, BACH1, CLSPN, CDC14A, E2F7, CCNE2, AKT1, ANKRD17, ACVR1B, CEP250, ACTR1A, CCNY, BRD7, CDK10, CDK5RAP3, CDK5RAP2, BRD4, DYNC1H1, CASP2, CDC7, CDK1, CDC6, CCNH, DDB1, CNOT10, CDC5L, CDK7, CDK4, CDK2, CDK3, CCND1, CCND2, ADAM17, BUB1B, CARM1, CTDP1, BID, CRLF3, CAMK2G, CDC73, AKAP9, CEP57, BCL2, CAMK2D, BUB1, APEX1, BUB3, APC, CEP192, CEP135, DLGAP5, CENPF, BIRC5, CENPE, CDC25C, CDKN3, CEP63, CENPJ, CDC25B, CCNB1, CCNB2, CSNK1D, CUL4A, CSNK1E, BAX, CKS2, DGKZ, CALM3, CIT, CALM1, DNM2	1727	547	16650	2.3617796286318278	6.268400651379841E-18	1.04473344189664E-18	1.6822373247564658E-18
GOTERM_BP_FAT	GO:0051726~regulation of cell cycle	198	9.81169474727453	2.3577566854212436E-21	DYNC1LI1, DBF4B, AURKAIP1, CHMP5, BTC, AURKA, CDC16, AURKB, CUL3, BAK1, CUL2, CUL5, APP, CUL7, DDX11, CUL9, CAB39, CRY1, CDCA5, CCNA2, CUL1, ANAPC1, ANAPC2, DAB2IP, BCR, CGRRF1, ANAPC5, ANAPC4, ALOX15B, ANAPC7, CHORDC1, BIN1, CDK5R1, AFAP1L2, CHEK1, BCL2L1, CHEK2, BOP1, ANGEL2, CDC37, CDC123, BMP2, BECN1, CDC23, CDC20, CDC26, CDC27, CSPP1, CCNT2, CLSPN, COPS5, CCNT1, CCNE2, ANKRD17, CCNY, BRD7, BRD4, DHCR24, CDC7, CDC6, CCNK, CTBP1, CCNI, CCNH, CNOT10, CCNF, CCNC, CLIC1, CHMP1A, CCND1, CHMP1B, CCND3, CDK11A, CCND2, CCNYL1, ADAM17, CDK11B, BID, CAB39L, CEP120, BCCIP, CYLD, BCL2, BUB1, AATF, BUB3, DLGAP5, BIRC6, BIRC5, CDKN3, BIRC2, CCNB1, DOT1L, DUSP3, CCNB2, CALM3, DGKZ, CIT, CALM1, CNOT8, CHMP4C, CEP76, CTDSPL, CHMP4B, BTRC, CNOT3, CNOT2, CNOT1, CNOT7, CNOT6, CRADD, CNOT4, CSNK2A2, CSNK2A1, CDKN2C, C8ORF4, ASPM, DTL, DDIT3, CDKL1, CEP97, CHMP2A, BBS4, BLM, ANAPC10, ANAPC11, CCNG1, CCNG2, ATF2, CHMP2B, CNOT6L, AXIN2, CCPG1, AK1, ARID3A, BRCA2, ATAD5, BRCA1, ATF5, CCNDBP1, CDK19, E2F2, CDK17, CDK18, CDC14A, E2F7, E2F8, BAP1, CTCF, CLTC, AKT1, CDC42, CDK12, CABLES2, CDK5RAP3, CDK10, E4F1, CDK5RAP2, CDK5RAP1, CASP2, CABLES1, AKT2, DLG1, CDK13, CDK1, DDB1, CCNL1, CDK8, CDK9, CDK7, CDC5L, CDK4, CDK5, C6ORF89, CDK2, CDK3, BTG3, BUB1B, CARM1, CRLF3, ASNS, CDC73, CAMK2D, APEX1, APC, CEBPA, CREB3, CENPF, CENPE, DACH1, CDC25C, CENPJ, CDC25B, CUL4A, BAX, CKS2, CENPV, CDK20	1727	976	16650	1.955857784274825	1.740495985177962E-17	2.4864228359685174E-18	4.6709319851956655E-18
GOTERM_BP_FAT	GO:1902589~single-organism organelle organization	285	14.122893954410307	3.3378836542056904E-21	DYNC1LI1, DYNC1LI2, CROCC, CHMP5, CHMP6, CHMP7, AURKA, AURKB, CD2AP, ACTG1, CUL3, BAK1, CDCA8, CUL7, DDX11, ATXN10, CUL9, COL4A3BP, CDCA5, ACAA2, BCR, BRAF, ANAPC4, CCDC136, CTNNA1, CEP152, DCTN1, CEP350, ATP2C1, CNTROB, BIN3, ATPIF1, DOC2B, CHORDC1, ADD1, DAG1, CHCHD3, AHCTF1, AKAP13, CEP164, CHEK1, ARF6, ASAP3, BCL2L1, CHEK2, DAAM1, ARFGEF1, CAPZB, CHCHD6, CDC37, CDC42EP2, CDC42EP1, CDC42EP4, ARHGEF10L, CDC42EP5, ABR, BECN1, ARFIP2, CDC23, ALMS1, CDC20, ARFIP1, CDC26, AFG3L2, CDC27, DVL1, CDC42BPG, ARF1, CDC42BPA, CDC42BPB, AP1AR, C22ORF29, ATG2B, ACTR3, BAG4, ACTR2, CEP250, DYNLL2, ATG2A, CAP1, ATP6V0D1, DYNC1H1, COX18, CCNO, CCDC28B, CDC6, CLN3, ARHGEF2, ARHGEF18, CCNF, ARHGEF5, BBS12, ARHGEF10, ARHGEF11, ANKRD27, CHMP1A, CHMP1B, BNIP1, BNIP2, BID, CLUAP1, CEP120, ATG12, APC2, CETN3, BET1, ABI2, ABI1, BCL2, BUB1, BCAS3, BUB3, CSNK1A1, BAIAP2L2, CEP135, BAIAP2L1, DLGAP5, BIRC5, AMBRA1, BIRC3, BIRC2, CCNB1, CSNK1D, BNIP3L, ABCC4, CIT, CEP72, CHMP4C, CHMP4B, CEP76, CHMP4A, CAPZA2, C19ORF70, CAPZA1, CNP, CSNK2A2, CISD2, CSNK2A1, ATG5, ANK3, ASPM, CIB1, ATG9B, ATG9A, C2CD3, ACTN4, DYX1C1, BAIAP2, CHTF8, ACTN1, CORO7, BICD1, ARPC1A, ARPC1B, ARRB1, CLIP1, DSP, C2CD4A, AKAP8, ANKFY1, CEP97, ARL6IP1, CHMP2A, COBL, BBS4, BBS5, BBS7, AGFG1, DIAPH1, ACTR3B, B9D1, BBS9, B9D2, DIAPH3, ANAPC10, ARPC4, ANAPC11, ARPC5, CHMP2B, ATF2, BLOC1S2, ARPC3, ARPC2, CLASP1, ACTR3C, CLASP2, AXIN2, ARHGDIA, ARHGDIB, AXIN1, CKAP2, CKAP5, AKAP8L, BRCA2, DOCK7, DENR, ATG3, ATAD1, BRCA1, CORO1C, DNA2, ATF5, CORO1B, BBC3, CYFIP1, ABL2, DNAJB6, ARL13B, CDC14A, CTCF, CXADR, CCDC39, CLTC, DSTN, CCDC103, CDC42, CTTN, ANG, CASP8, CDK5RAP2, C16ORF45, DLG1, AKT2, ARL2, CDK1, DYNLT1, ARL6, CDK5, ATP6V1D, CDK2, ARHGAP26, ARL3, CLEC16A, ATG4D, CAPN10, ATG4C, ATG4B, CFL2, ARPC5L, CFL1, DIS3L2, BUB1B, ABLIM1, ABLIM2, CALCOCO2, C2CD4D, DNAH1, AKAP9, CYTH2, BRSK1, CEP55, DTNBP1, CEP57, CENPA, AVIL, CNN2, CHD3, APC, CENPO, COBLL1, CENPN, ALKBH7, CENPM, DNM1L, CENPL, CEP192, CENPQ, CENPP, CENPF, AHI1, CENPE, CBY1, CEP63, CENPK, CENPJ, CENPH, ANXA2, ATXN3, CEP68, BAX, ATXN7, CCDC113, CENPT, ARAP1, ALKBH4	1727	1612	16650	1.7045185141548405	2.4640257135346407E-17	3.080032141918301E-18	6.612653298661142E-18
GOTERM_BP_FAT	GO:0044772~mitotic cell cycle phase transition	127	6.293359762140733	5.0156283046776484E-21	DYNC1LI1, CEP72, DBF4B, CNOT8, CHMP4B, CTDSPL, CEP76, DBF4, BTRC, CHMP7, CEP78, CNOT3, CNOT2, AURKA, CNOT1, CDC16, CNOT7, CNOT6, CRADD, CNOT4, CSNK2A2, CUL3, CUL2, APP, CUL5, CSNK2A1, CDKN2C, CCNA2, CDCA5, CUL1, ANAPC1, ANAPC2, ANAPC5, ANAPC4, DCTN3, CEP152, DCTN1, DCTN2, ANAPC7, CHMP2A, BLM, CEP164, ANAPC10, CHEK1, ANAPC11, CHEK2, CNOT6L, CLASP1, CLASP2, CKAP5, ARPP19, ARID3A, ALMS1, CDC23, CDC20, ABCB1, CDC26, CDC27, DHFR, BACH1, CLSPN, CDC14A, E2F7, CCNE2, AKT1, ANKRD17, ACVR1B, CEP250, ACTR1A, CCNY, BRD7, CDK10, CDK5RAP3, CDK5RAP2, BRD4, DYNC1H1, CASP2, CDC7, CDK1, CDC6, CCNH, CNOT10, CDK7, CDK4, CDK2, CDK3, CCND1, CCND2, ADAM17, BUB1B, CARM1, CTDP1, BID, CRLF3, CAMK2G, CDC73, AKAP9, CEP57, BCL2, CAMK2D, BUB1, APEX1, BUB3, APC, CEP192, CEP135, DLGAP5, CENPF, BIRC5, CENPE, CDC25C, CDKN3, CEP63, CENPJ, CDC25B, CCNB1, CCNB2, CSNK1D, CUL4A, CSNK1E, BAX, CKS2, DGKZ, CALM3, CIT, CALM1, DNM2	1727	514	16650	2.3821137845029394	3.70253681451304E-17	4.113929793903378E-18	9.936419147502442E-18
GOTERM_BP_FAT	GO:1902600~hydrogen ion transmembrane transport	47	2.3290386521308224	2.622083316138815E-17	ATP5D, ATP5E, COX11, ATP6V0E1, COX10, ATP5B, CYC1, COX7C, ATP5G2, COX7A2L, ATP6V1B2, ATP6V1G1, ATP5G1, COX5A, ATP6V0B, ATP6V0C, ATP5EP2, ATP5S, COX6B1, ATP5L, ATP5O, ATP5I, ATP6V0D1, ATP5H, ATP5J, COX15, ATP5J2, COX7A2, ATP4B, COX8A, ATP5F1, COX4I1, ATP6V1H, CYB5A, ATP1A1, ATP6V1F, COX6C, ATP6V1C1, ATP6V1A, ATP6V0E2, ATP6V1E1, ATP6V1E2, ATP5C1, ATP6V0A1, COX6A1, ATP5A1, ATP6V0A2	1727	113	16650	4.009971765453418	1.9356219039736732E-13	1.9356219039736733E-14	5.194587255305576E-14
