Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_FAT	GO:0042623~ATPase activity, coupled	126	6.2438057482656095	2.0910671286193575E-43	ATP1B1, ATP1B3, ATP2B1, DDX27, DDX17, DDX18, DDX28, DDX23, DDX11, DHX38, DHX37, DDX24, DHX34, DHX33, ABCB10, DDX21, DHX36, DHX35, DDX20, DDX10, DHX30, DHX32, ABCC10, CLPX, ATP2C2, DHX29, ATP9B, ATP2C1, ASCC3, ATP9A, ATP5C1, DDX31, BLM, ATP6V1B2, ABCA4, ATP6V0B, ABCA5, ATP6V0C, DDX47, DDX46, DDX49, DDX41, DDX42, DHX57, DHX8, DHX9, ABCB9, ABCB8, DDX1, ATP11B, ATP11A, BRIP1, ABCB1, DDX5, AFG3L2, ATP13A3, ATP13A2, ATAD1, DDX6, DNA2, DDX56, ATP6V0E2, CRBN, ATP13A1, DDX55, ATP2A2, ATP2A3, DDX59, CCT8, DDX50, DHX40, DDX54, DDX52, DDX51, ATP7B, ATP5D, ATP5E, ATP6V0E1, ATP10B, ATP5B, ATP10D, ATP5EP2, ATP8B1, ATP5L, ATP5O, ATP6V0D1, ATP5H, ATP4B, CCNH, ATP6V1H, CFTR, CDK7, ATP6V1D, ATP6V1F, ATP6V1C1, ATP6V1A, BPTF, DMC1, ATP5G2, ATP5G1, ATP6V1G1, CHD8, CHD1L, DDX19A, DDX19B, DHX15, CHD2, CHD1, DHX16, ABCD3, ABCD4, CHD6, ABCA13, CHD3, ATP5F1, ATP1A1, ATP6V1E1, ATP6V1E2, ATP6V0A1, ABCC4, ABCC1, ATP5A1, ATP6V0A2, ABCC5, ATP8A1, ABCC6	1548	326	15478	3.8645313168782995	3.4837178362798494E-40	3.4837178362798494E-40	3.518484304878499E-40
GOTERM_MF_FAT	GO:0016887~ATPase activity	143	7.086223984142716	2.7940698053723573E-39	ATP1B1, ATP1B3, CLPB, ATP2B1, DDX27, DDX17, DDX18, DDX28, DDX23, DDX11, DHX38, DHX37, DDX24, DHX34, DHX33, ABCB10, DHX36, DDX21, ACIN1, DHX35, DDX20, DDX10, DHX30, DHX32, ABCC10, CLPX, ATP2C2, DHX29, ATP9B, ATP2C1, ASCC3, ATP9A, ATP5C1, DDX31, BLM, DNAH17, ATP6V1B2, ABCA4, ATP6V0B, ABCA5, ATP6V0C, DDX47, DDX46, DDX49, DDX41, DDX42, DHX57, DHX8, DHX9, ATP5J2, ABCB9, ABCB8, ATP11B, DDX1, ATP11A, BRIP1, ATAD2, ABCB1, ATP13A3, DDX5, AFG3L2, ATP13A2, ATAD1, DDX6, DNA2, DDX56, ATP6V0E2, DDX55, CRBN, ATP13A1, ATP2A2, ATP2A3, DDX59, CCT8, DDX50, DHX40, DDX54, DDX52, DDX51, ATP7B, ATAD2B, ATP5D, ABCF1, ATP5E, ABCF3, ATP6V0E1, ABCF2, ATP10B, ATP5B, ATP10D, ATP5EP2, ATP8B1, ATP5L, ATP5O, ATP6V0D1, ATP5I, DYNC1H1, ATP5H, ATP5J, ABCE1, ATP4B, CCNH, ATP6V1H, CFTR, CDK7, ATP6V1D, ATP6V1F, ATP6V1C1, ATP6V1A, BPTF, DMC1, DNAH1, ATP5G2, DNAH2, ATP5G1, ATP6V1G1, DNAH6, CHD8, CHD1L, DDX19A, DDX19B, DHX15, CHD2, CHD1, DHX16, ABCD3, ABCD4, CHD6, ABCA13, CHD3, ATP5F1, ATP1A1, CENPE, ATP6V1E1, ATP6V1E2, ABCC4, ATP6V0A1, ABCC1, ATP5A1, ATP6V0A2, ABCC5, ATP8A1, ABCC6	1548	439	15478	3.256982335940857	4.654920295750347E-36	2.3274601478751736E-36	4.701375016797514E-36
GOTERM_MF_FAT	GO:0017111~nucleoside-triphosphatase activity	184	9.117938553022794	6.801312211032557E-30	DYNC1LI1, ATP1B1, DYNC1LI2, ATP1B3, CLPB, ATP2B1, DDX27, DDX17, DDX18, DDX28, DDX23, DDX11, DHX38, DHX37, DDX24, DHX34, ABCB10, DHX33, DHX36, DDX21, ACIN1, DHX35, DDX10, DDX20, DHX30, DHX32, ACAA2, ABCC10, CLPX, C10ORF2, DCTN1, DCTN2, ATP2C2, DHX29, ATP9B, ATP2C1, ASCC3, CGN, ATP9A, ATP5C1, DDX31, ARL8A, ARL8B, BBS4, BLM, DNAH17, ARFRP1, ARF6, ATP6V1B2, ARF5, ABCA4, ATP6V0B, ABCA5, ATP6V0C, DDX47, DDX46, DDX49, DDX60L, DDX41, DHX57, DDX42, ARHGDIB, DHX8, DHX9, ADSSL1, ABCB9, ATP5J2, ABCB8, ATP11B, DDX1, ATP11A, ATAD2, BRIP1, ABCB1, ATP13A3, DDX5, AFG3L2, ATP13A2, ATAD1, DDX6, DDX58, DNA2, DDX56, ATP6V0E2, DDX55, CRBN, ATP13A1, ATP2A2, ARF1, ATP2A3, ARF3, DDX59, CCT8, ARF4, DDX50, DHX40, DDX54, DDX52, DNAL4, ATP7B, DDX51, ATAD2B, ATP5D, ABCF1, ATP5E, ABCF3, ATP6V0E1, ABCF2, ATL2, ATP10B, ATP5B, ATL3, DICER1, ATP10D, CDC42, ARHGAP5, ATP5EP2, DYNLL2, DDX60, ATP8B1, ATP5L, ATP5O, ATP6V0D1, DYNC1H1, ATP5I, ATP5H, ATP5J, ARL2, ABCE1, ARL1, ATP4B, CCNH, ATP6V1H, DYNLT1, CFTR, CDK7, ATP6V1D, ARL3, ATP6V1F, ATP6V1C1, ATP6V1A, DNAJC27, BPTF, DMC1, BTAF1, DNAH1, ATP5G2, DNAH2, ATP5G1, ATP6V1G1, BMS1, DNAH6, CHD9, CHD8, CHD1L, CHD7, DDX19A, DDX19B, DHX15, CHD2, ABCD3, CHD1, DHX16, ABCD4, APPBP2, CHD6, ABCA13, CHD3, DNM3, DNM1L, ATP5F1, ATP1A1, CENPE, ATP6V1E1, ATP6V1E2, ABCC4, ATP6V0A1, ABCC1, ATP5A1, ATP6V0A2, ABCC5, DNM2, ATP8A1, ABCC6	1548	779	15478	2.361697399103734	1.133098614358024E-26	3.776995381193414E-27	1.1444066017572901E-26
GOTERM_MF_FAT	GO:0043492~ATPase activity, coupled to movement of substances	64	3.1714568880079286	1.7404402727991173E-29	ATP5D, ATP5E, ATP1B1, ATP6V0E1, ATP1B3, ATP10B, ATP5B, ATP10D, ATP2B1, ATP5EP2, ATP8B1, ABCB10, ATP5L, ATP5O, ATP6V0D1, ATP5H, ATP4B, ABCC10, ATP6V1H, CFTR, ATP6V1D, ATP6V1F, ATP6V1C1, ATP6V1A, ATP2C2, ATP9B, ATP2C1, ATP9A, ATP5C1, ATP5G2, ATP6V1B2, ATP5G1, ATP6V1G1, ABCA4, ATP6V0B, ABCA5, ATP6V0C, ABCD3, ABCD4, ABCA13, ABCB9, ABCB8, ATP5F1, ATP11B, ATP11A, ABCB1, ATP1A1, ATP13A3, ATP13A2, ATP6V0E2, ATP13A1, ATP2A2, ATP2A3, ATP6V1E1, ATP6V1E2, ATP6V0A1, ABCC4, ABCC1, ATP5A1, ATP6V0A2, ABCC5, ATP7B, ATP8A1, ABCC6	1548	129	15478	4.960599322957355	2.8995734944833296E-26	7.248933736208324E-27	2.928510376166342E-26
GOTERM_MF_FAT	GO:0016462~pyrophosphatase activity	189	9.365708622398413	5.279632009505707E-29	DYNC1LI1, ATP1B1, DYNC1LI2, ATP1B3, CLPB, ATP2B1, DDX27, DDX17, DDX18, DDX28, DDX23, DDX11, DHX38, DHX37, DDX24, DHX34, ABCB10, DHX33, DHX36, DDX21, ACIN1, DHX35, DDX10, DDX20, DHX30, DHX32, DCTPP1, ACAA2, ABCC10, CLPX, C10ORF2, DCTN1, DCTN2, ATP2C2, DHX29, ATP9B, ATP2C1, CGN, ASCC3, ATP9A, ATP5C1, DDX31, ARL8A, ARL8B, BBS4, BLM, DNAH17, ARFRP1, ARF6, ATP6V1B2, ARF5, ABCA4, ATP6V0B, ABCA5, ATP6V0C, DDX47, DDX46, DDX49, DDX60L, DDX41, DHX57, DDX42, ARHGDIB, DHX8, DHX9, ADSSL1, ABCB9, ATP5J2, ABCB8, ATP11B, DDX1, ATP11A, ATAD2, BRIP1, ABCB1, ATP13A3, DDX5, AFG3L2, ATP13A2, ATAD1, DDX6, DDX58, DNA2, DDX56, ATP6V0E2, DDX55, CRBN, ATP13A1, ATP2A2, ARF1, ATP2A3, DCP2, ARF3, DDX59, CCT8, ARF4, DDX50, DHX40, DDX54, DDX52, DNAL4, ATP7B, DDX51, DUT, ATAD2B, ATP5D, ABCF1, ATP5E, ABCF3, ATP6V0E1, ABCF2, ATL2, ATP10B, ATP5B, ATL3, DICER1, ATP10D, CANT1, CDC42, ARHGAP5, ATP5EP2, DYNLL2, DDX60, ATP8B1, ATP5L, ATP5O, ATP6V0D1, DYNC1H1, ATP5I, ATP5H, ATP5J, ARL2, ABCE1, ARL1, ATP4B, CCNH, ATP6V1H, DYNLT1, CFTR, CDK7, ATP6V1D, ARL3, ATP6V1F, ATP6V1C1, ATP6V1A, DNAJC27, BPTF, DOLPP1, DMC1, BTAF1, DNAH1, ATP5G2, DNAH2, ATP5G1, ATP6V1G1, BMS1, DNAH6, CHD9, CHD8, CHD7, CHD1L, DDX19A, DDX19B, DHX15, CHD2, ABCD3, CHD1, DHX16, ABCD4, APPBP2, CHD6, ABCA13, CHD3, DNM3, DNM1L, ATP5F1, ATP1A1, CENPE, ATP6V1E1, ATP6V1E2, ABCC4, ATP6V0A1, ABCC1, ATP5A1, ATP6V0A2, ABCC5, DNM2, ATP8A1, ABCC6	1548	824	15478	2.2933929780988933	8.795866927836507E-26	1.7591733855673014E-26	8.883647065527303E-26
GOTERM_MF_FAT	GO:0016818~hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	189	9.365708622398413	7.286833015328304E-29	DYNC1LI1, ATP1B1, DYNC1LI2, ATP1B3, CLPB, ATP2B1, DDX27, DDX17, DDX18, DDX28, DDX23, DDX11, DHX38, DHX37, DDX24, DHX34, ABCB10, DHX33, DHX36, DDX21, ACIN1, DHX35, DDX10, DDX20, DHX30, DHX32, DCTPP1, ACAA2, ABCC10, CLPX, C10ORF2, DCTN1, DCTN2, ATP2C2, DHX29, ATP9B, ATP2C1, CGN, ASCC3, ATP9A, ATP5C1, DDX31, ARL8A, ARL8B, BBS4, BLM, DNAH17, ARFRP1, ARF6, ATP6V1B2, ARF5, ABCA4, ATP6V0B, ABCA5, ATP6V0C, DDX47, DDX46, DDX49, DDX60L, DDX41, DHX57, DDX42, ARHGDIB, DHX8, DHX9, ADSSL1, ABCB9, ATP5J2, ABCB8, ATP11B, DDX1, ATP11A, ATAD2, BRIP1, ABCB1, ATP13A3, DDX5, AFG3L2, ATP13A2, ATAD1, DDX6, DDX58, DNA2, DDX56, ATP6V0E2, DDX55, CRBN, ATP13A1, ATP2A2, ARF1, ATP2A3, DCP2, ARF3, DDX59, CCT8, ARF4, DDX50, DHX40, DDX54, DDX52, DNAL4, ATP7B, DDX51, DUT, ATAD2B, ATP5D, ABCF1, ATP5E, ABCF3, ATP6V0E1, ABCF2, ATL2, ATP10B, ATP5B, ATL3, DICER1, ATP10D, CANT1, CDC42, ARHGAP5, ATP5EP2, DYNLL2, DDX60, ATP8B1, ATP5L, ATP5O, ATP6V0D1, DYNC1H1, ATP5I, ATP5H, ATP5J, ARL2, ABCE1, ARL1, ATP4B, CCNH, ATP6V1H, DYNLT1, CFTR, CDK7, ATP6V1D, ARL3, ATP6V1F, ATP6V1C1, ATP6V1A, DNAJC27, BPTF, DOLPP1, DMC1, BTAF1, DNAH1, ATP5G2, DNAH2, ATP5G1, ATP6V1G1, BMS1, DNAH6, CHD9, CHD8, CHD7, CHD1L, DDX19A, DDX19B, DHX15, CHD2, ABCD3, CHD1, DHX16, ABCD4, APPBP2, CHD6, ABCA13, CHD3, DNM3, DNM1L, ATP5F1, ATP1A1, CENPE, ATP6V1E1, ATP6V1E2, ABCC4, ATP6V0A1, ABCC1, ATP5A1, ATP6V0A2, ABCC5, DNM2, ATP8A1, ABCC6	1548	826	15478	2.287839968466693	1.2139863803536954E-25	2.023310633922826E-26	1.226101603616675E-25
GOTERM_MF_FAT	GO:0016817~hydrolase activity, acting on acid anhydrides	189	9.365708622398413	1.0042526596519301E-28	DYNC1LI1, ATP1B1, DYNC1LI2, ATP1B3, CLPB, ATP2B1, DDX27, DDX17, DDX18, DDX28, DDX23, DDX11, DHX38, DHX37, DDX24, DHX34, ABCB10, DHX33, DHX36, DDX21, ACIN1, DHX35, DDX10, DDX20, DHX30, DHX32, DCTPP1, ACAA2, ABCC10, CLPX, C10ORF2, DCTN1, DCTN2, ATP2C2, DHX29, ATP9B, ATP2C1, CGN, ASCC3, ATP9A, ATP5C1, DDX31, ARL8A, ARL8B, BBS4, BLM, DNAH17, ARFRP1, ARF6, ATP6V1B2, ARF5, ABCA4, ATP6V0B, ABCA5, ATP6V0C, DDX47, DDX46, DDX49, DDX60L, DDX41, DHX57, DDX42, ARHGDIB, DHX8, DHX9, ADSSL1, ABCB9, ATP5J2, ABCB8, ATP11B, DDX1, ATP11A, ATAD2, BRIP1, ABCB1, ATP13A3, DDX5, AFG3L2, ATP13A2, ATAD1, DDX6, DDX58, DNA2, DDX56, ATP6V0E2, DDX55, CRBN, ATP13A1, ATP2A2, ARF1, ATP2A3, DCP2, ARF3, DDX59, CCT8, ARF4, DDX50, DHX40, DDX54, DDX52, DNAL4, ATP7B, DDX51, DUT, ATAD2B, ATP5D, ABCF1, ATP5E, ABCF3, ATP6V0E1, ABCF2, ATL2, ATP10B, ATP5B, ATL3, DICER1, ATP10D, CANT1, CDC42, ARHGAP5, ATP5EP2, DYNLL2, DDX60, ATP8B1, ATP5L, ATP5O, ATP6V0D1, DYNC1H1, ATP5I, ATP5H, ATP5J, ARL2, ABCE1, ARL1, ATP4B, CCNH, ATP6V1H, DYNLT1, CFTR, CDK7, ATP6V1D, ARL3, ATP6V1F, ATP6V1C1, ATP6V1A, DNAJC27, BPTF, DOLPP1, DMC1, BTAF1, DNAH1, ATP5G2, DNAH2, ATP5G1, ATP6V1G1, BMS1, DNAH6, CHD9, CHD8, CHD7, CHD1L, DDX19A, DDX19B, DHX15, CHD2, ABCD3, CHD1, DHX16, ABCD4, APPBP2, CHD6, ABCA13, CHD3, DNM3, DNM1L, ATP5F1, ATP1A1, CENPE, ATP6V1E1, ATP6V1E2, ABCC4, ATP6V0A1, ABCC1, ATP5A1, ATP6V0A2, ABCC5, DNM2, ATP8A1, ABCC6	1548	828	15478	2.282313784967981	1.6730849309801155E-25	2.3901213299715937E-26	1.689781821328132E-25
GOTERM_MF_FAT	GO:0042625~ATPase coupled ion transmembrane transporter activity	47	2.3290386521308224	1.5666657288943638E-26	ATP5D, ATP5E, ATP1B1, ATP6V0E1, ATP1B3, ATP5B, ATP5G2, ATP6V1G1, ATP5G1, ATP6V1B2, ATP6V0B, ATP2B1, ATP6V0C, ATP5EP2, ATP5L, ATP5O, ATP6V0D1, ATP5H, ATP4B, ATP5F1, ABCC10, ATP6V1H, CFTR, ATP1A1, ATP13A3, ATP13A2, ATP6V1F, ATP6V1C1, ATP6V1A, ATP2C2, ATP6V0E2, ATP13A1, ATP2A2, ATP2A3, ATP2C1, ATP6V1E1, ATP6V1E2, ATP5C1, ATP6V0A1, ABCC4, ABCC1, ATP5A1, ATP6V0A2, ABCC5, ATP7B, ATP8A1, ABCC6	1548	78	15478	6.024862519048566	2.61006510433801E-23	3.2625813804225127E-24	2.636112778333129E-23
GOTERM_MF_FAT	GO:0042626~ATPase activity, coupled to transmembrane movement of substances	57	2.8245787908820614	1.6192480800627436E-26	ATP5D, ATP5E, ATP1B1, ATP6V0E1, ATP1B3, ATP5B, ATP2B1, ATP5EP2, ABCB10, ATP5L, ATP5O, ATP6V0D1, ATP5H, ATP4B, ABCC10, ATP6V1H, CFTR, ATP6V1D, ATP6V1F, ATP6V1C1, ATP6V1A, ATP2C2, ATP2C1, ATP5C1, ATP5G2, ATP6V1B2, ATP5G1, ATP6V1G1, ABCA4, ATP6V0B, ABCA5, ATP6V0C, ABCD3, ABCD4, ABCA13, ABCB9, ABCB8, ATP5F1, ABCB1, ATP1A1, ATP13A3, ATP13A2, ATP6V0E2, ATP13A1, ATP2A2, ATP2A3, ATP6V1E1, ATP6V1E2, ATP6V0A1, ABCC4, ABCC1, ATP5A1, ATP6V0A2, ABCC5, ATP7B, ATP8A1, ABCC6	1548	114	15478	4.99935400516796	2.697667301384531E-23	2.9974081126494785E-24	2.724589219269632E-23
GOTERM_MF_FAT	GO:0030554~adenyl nucleotide binding	283	14.023785926660059	2.8199500497802497E-26	ADCY3, DYNC1LI1, ATP1B1, DYNC1LI2, C12ORF76, ADCY8, CCT2, AURKA, CCT3, AURKB, CLK1, ATP2B1, ACTG1, DDX17, DDX18, DDX11, DHX38, CLK3, CLK2, DHX37, CUL9, CLK4, DHX34, ABCB10, DHX33, DHX36, DHX35, DDX10, ANKK1, DHX30, DHX32, ACAA2, BCR, BRAF, AARS, ABCC10, C10ORF2, ATP2C2, DHX29, BAZ1B, ATP2C1, ASCC3, CHORDC1, CHKA, COASY, CLCN3, AHCY, DNAH17, CHKB, CHEK1, CHEK2, ACSBG1, DDX60L, DCAKD, DHX57, DHX8, DHX9, ATP11B, ACACA, DDX1, ATP11A, DALRD3, AARSD1, ATR, ATP13A3, AFG3L2, DDX5, ATP13A2, DDX6, CCT7, CCT5, CDC42BPG, CKMT1A, CCT4, ATP13A1, ATP2A2, ATP2A3, CCT8, CDC42BPA, DHX40, CLCN6, CLCN7, CDC42BPB, ATAD2B, ABCF1, ATP5D, ABCF3, BCKDK, ABCF2, CKMT1B, ATP10B, ATP5B, ATP10D, CAMKK1, CAMKK2, BAG5, ACTR3, BAG4, ACTR2, ADCK1, ATAD3A, ADCK2, ATAD3B, BAG1, BAG3, ACTR8, DYNC1H1, AASDH, CDC7, CDC6, ABCE1, CFTR, CCT6A, DARS2, BBS12, DGUOK, CBWD2, CBWD3, CDK11A, ADK, CDK11B, AARS2, ALDH18A1, BMS1, DGKA, ACSL1, DGKE, DDX19A, DDX19B, BUB1, DHX15, ABCD3, DHX16, ABCD4, AGK, ACSL3, ABCA13, CSNK1A1, DGKQ, DGKH, ATP1A1, ACLY, APRT, CSNK1D, CSNK1E, ABCC4, DGKZ, ABCC1, ATP5A1, AACS, CIT, ABCC5, ABCC6, CLPB, ACSS2, DMPK, CSNK2A2, DDX27, ACSS1, CSNK2A1, DDX28, DDX23, CLP1, DDX24, DDX21, DDX20, CARS, CSNK1G1, DARS, CSNK1G2, CLPX, CDKL1, ATP9B, ATP9A, BMP2K, DDX31, CSNK1G3, ASS1, BLM, ACTR3B, BMPR2, ATP6V1B2, ABCA4, CMPK1, ABCA5, DDX47, DDX46, DDX49, DNAJA1, DYRK4, DYRK2, ACTR3C, DDX41, DNAJA4, DNAJA3, DDX42, DNAJA2, ABCB9, ABCB8, AK1, AK3, ATAD2, BRIP1, AK2, ATAD5, ABCB1, AK7, ATAD1, DDX58, DNA2, DDX56, DDX55, DDX59, DYRK1A, DDX50, CARS2, DDX54, ABL2, DDX52, ATP7B, DDX51, CYB5R3, CDK19, CDK17, CDK18, DICER1, CAD, ACSF3, ACSF2, ACVR1C, AKT1, ACVR1B, ACTR1A, DDX60, ACTR1B, CDK12, ATP8B1, CDK10, CSK, CHUK, CDK13, AKT2, CDK1, CDK8, CDK9, CDK7, CDK4, CDK5, CDK2, CDK3, ACVR2A, ATP6V1A, DDR1, ACVR2B, BUB1B, DMC1, BTAF1, CAMK2G, DCK, DNAH1, ASNS, BRSK1, DNAH2, DNAH6, CHD9, CHD8, CHD7, CHD1L, CHD2, CAMK2D, CHD1, CHD6, CHD3, CNNM2, AMHR2, ALPK1, ALPK2, CENPE, BCS1L, APAF1, CDK20, ATP8A1, BMPR1A	1548	1542	15478	1.835041742493557	4.698036782933896E-23	4.698036782933896E-24	4.744921793708359E-23
