Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-69618,"Mitotic Spindle Checkpoint",42,110,0.00782416957109325,7.23182327355687E-7,4.703596523349951E-4,7,7,5.841121495327102E-4,9606,Homo sapiens,"AHCTF1;CDCA8;CASC5;BUB1B;CENPA;AURKB;ANAPC10;ANAPC11;CDC20;CDC23;CDC26;CDC27;BUB3;BUB1;CLASP1;CLASP2;CENPT;APC2;DYNC1H1;ANAPC7;DYNLL2;CKAP5;CENPE;DYNC1LI1;CLIP1;CENPF;DYNC1LI2;AIM1;APITD1;CENPH;CENPK;CDC16;CENPL;ANAPC4;CENPM;BIRC5;ANAPC5;CENPN;CENPO;B9D2;CENPP;CENPQ;ANAPC1;ANAPC2","","R-HSA-141409;R-HSA-141431;R-HSA-141429;R-HSA-141422;R-HSA-141439;R-HSA-141423;R-HSA-141437"
R-HSA-6807878,"COPI-mediated anterograde transport",41,107,0.007610783128245252,8.925230594591937E-7,4.703596523349951E-4,11,12,0.0010013351134846463,9606,Homo sapiens,"ARF3;DCTN6;COPB2;ARF4;DCTN5;ARF1;COPA;DCTN2;DCTN1;DCTN4;COPB1;DCTN3;ACTR1A;CAPZB;CD55;DYNC1H1;COG8;COG7;COG6;COG5;COG4;COG3;COG2;COG1;ANK3;ARFGAP3;ANK1;DYNLL2;BET1L;ARFGAP1;COPZ1;ARCN1;ARFGAP2;DYNC1LI1;DYNC1LI2;CAPZA1;CAPZA2;COPG2;ACTR10;ARF5;BET1","","R-HSA-6809015;R-HSA-6809014;R-HSA-6807877;R-HSA-6809011;R-HSA-6807875;R-HSA-6809010;R-HSA-6807872;R-HSA-6809006;R-HSA-6807868;R-HSA-6809003;R-HSA-6807866"
R-HSA-8949613,"Cristae formation",19,31,0.002204993242762643,1.5014859070516806E-6,5.930869332854138E-4,2,2,1.6688918558077436E-4,9606,Homo sapiens,"ATP5S;C19orf70;ATP5A1;DNAJC11;ATP5C1;ATP5J;ATP5I;ATP5H;ATP5O;ATP5F1;ATP5G2;ATP5G1;ATP5L;ATP5J2;ATP5B;CHCHD3;CHCHD6;ATP5E;ATP5D","","R-HSA-8949609;R-HSA-8949580"
R-HSA-432720,"Lysosome Vesicle Biogenesis",22,43,0.003058539014154634,4.210502432822061E-6,0.0013305187687717712,8,8,6.675567423230974E-4,9606,Homo sapiens,"APP;ARF1;CLTC;CTSZ;AP1B1;AP4E1;CLTB;CLTA;ARRB1;AP4B1;DNM2;AP4M1;AP1G2;AP1G1;BLOC1S1;CHMP2A;AP1S1;AP4S1;AP1M2;ARF5;AP1M1","","R-HSA-5671702;R-HSA-5229132;R-HSA-432706;R-HSA-432707;R-HSA-432688;R-HSA-5229111;R-HSA-5333658;R-HSA-432712"
R-HSA-141405,"Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components",14,20,0.001422576285653318,8.11425282554179E-6,0.0014146209092851247,3,3,2.5033377837116157E-4,9606,Homo sapiens,"APC2;ANAPC7;BUB1B;ANAPC10;ANAPC11;CDC20;CDC23;CDC26;CDC16;CDC27;ANAPC4;ANAPC5;BUB3;ANAPC1;ANAPC2","","R-HSA-141429;R-HSA-141423;R-HSA-141437"
R-HSA-141430,"Inactivation of APC/C via direct inhibition of the APC/C complex",14,20,0.001422576285653318,8.11425282554179E-6,0.0014146209092851247,2,2,1.6688918558077436E-4,9606,Homo sapiens,"APC2;ANAPC7;BUB1B;ANAPC10;ANAPC11;CDC20;CDC23;CDC26;CDC16;CDC27;ANAPC4;ANAPC5;BUB3;ANAPC1;ANAPC2","","R-HSA-141423;R-HSA-141437"
R-HSA-163210,"Formation of ATP by chemiosmotic coupling",15,23,0.0016359627285013158,8.95329689420965E-6,0.0014146209092851247,3,3,2.5033377837116157E-4,9606,Homo sapiens,"ATP5S;ATP5A1;ATP5C1;ATP5J;ATP5I;ATP5H;ATP5O;ATP5F1;ATP5G2;ATP5G1;ATP5L;ATP5J2;ATP5B;ATP5E;ATP5D","","R-HSA-164834;R-HSA-164832;R-HSA-164840"
R-HSA-176407,"Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase",14,21,0.001493705099935984,1.3848995689458299E-5,0.0019804063835925367,3,3,2.5033377837116157E-4,9606,Homo sapiens,"APC2;ANAPC7;CDC14A;ANAPC10;ANAPC11;CDC20;CDC23;CDH1;CDC26;CDC16;CDC27;ANAPC4;ANAPC5;ANAPC1;ANAPC2","","R-HSA-174224;R-HSA-174070;R-HSA-174124"
R-HSA-176412,"Phosphorylation of the APC/C",13,19,0.0013514474713706523,2.1278151978165738E-5,0.0025538839523359114,2,2,1.6688918558077436E-4,9606,Homo sapiens,"APC2;ANAPC7;ANAPC10;ANAPC11;CCNB1;CDC23;CDC26;CDC16;CDC27;CDK1;ANAPC4;ANAPC5;ANAPC1;ANAPC2","","R-HSA-174119;R-HSA-174132"
R-HSA-77387,"Insulin receptor recycling",16,28,0.0019916067999146453,2.2543108209371887E-5,0.0025538839523359114,2,6,5.006675567423231E-4,9606,Homo sapiens,"ATP6V1A;ATP6V0B;ATP6V1G1;ATP6V0E1;ATP6V0A2;ATP6V1B2;ATP6V1H;ATP6V0D1;ATP6V0E2;ATP6V1E1;ATP6V1E2;ATP6V0C;ATP6V1D;ATP6V1C1;ATP6V1F;ATP6V0A1","","R-HSA-74723;R-HSA-5252133"
