MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	A1BG
0.254224212525686	0.088	NA	NA	NA	NA	0	0.0217391304347826	NA	A1CF
NA	NA	NA	NA	NA	NA	NA	NA	NA	A2M
NA	NA	NA	NA	NA	NA	NA	NA	NA	A2ML1
0.240799278969827	0.268	NA	NA	NA	NA	0	0.0072463768115942	NA	A4GALT
NA	NA	NA	NA	NA	NA	NA	NA	NA	A4GNT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAAS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AACS
0.54465622815489	0	NA	NA	NA	NA	0	0.898550724637681	NA	AADAC
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADACL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADACL4
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAGAB
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAK1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAMP
NA	NA	NA	NA	NA	NA	NA	NA	NA	AANAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARSD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASDH
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASDHPPT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AATF
NA	NA	NA	NA	NA	NA	NA	NA	NA	AATK
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA11P
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA12
0.0197944336194539	0.367	NA	NA	NA	NA	0	0.594202898550725	NA	ABCA13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA17P
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA7
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC10
0.119761738989463	0.285	NA	NA	NA	NA	0	0.0217391304347826	NA	ABCC11
0.741576677697608	0.005	NA	NA	NA	NA	0	0.0181159420289855	NA	ABCC13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC6P1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCD4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCE1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCF2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCF3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD12B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD14A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD14B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD15
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD2
