MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	A1BG
NA	NA	NA	NA	NA	NA	NA	NA	NA	A1CF
NA	NA	NA	NA	NA	NA	NA	NA	NA	A2M
NA	NA	NA	NA	NA	NA	NA	NA	NA	A2ML1
NA	NA	NA	NA	NA	NA	NA	NA	NA	A4GALT
NA	NA	NA	NA	NA	NA	NA	NA	NA	A4GNT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAAS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AACS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADAC
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADACL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADACL4
0.718359840988088	0	NA	NA	NA	NA	0	0.97463768115942	NA	AADAT
0.438880474523012	0.058	NA	NA	NA	NA	0	0.989130434782609	NA	AAGAB
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAK1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAMP
NA	NA	NA	NA	NA	NA	NA	NA	NA	AANAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARSD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASDH
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASDHPPT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AATF
NA	NA	NA	NA	NA	NA	NA	NA	NA	AATK
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA10
0.400684375479921	0	NA	NA	NA	NA	0	0.931159420289855	NA	ABCA11P
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA17P
