Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-73728,"RNA Polymerase I Promoter Opening",14,34,0.0024183796856106408,8.123114094413797E-4,0.8899785052355917,2,2,1.6688918558077436E-4,9606,Homo sapiens,"HIST1H2BM;HIST1H3J;HIST1H4L;HIST1H2BI;MBD2;H2AFV;HIST1H4A;H2AFJ;HIST1H3F;HIST1H2AE;HIST1H3G;HIST1H2BH;HIST3H2BB;HIST1H4I;HIST1H2BG;HIST1H3I;HIST1H2BB;HIST1H3C;HIST1H2AB;MAPK3","","R-HSA-73718;R-HSA-73722"
R-HSA-427389,"ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression",16,48,0.0034141830855679636,0.003040776415712765,0.8899785052355917,3,4,3.337783711615487E-4,9606,Homo sapiens,"HIST1H2BM;HIST1H3J;HIST1H4L;HDAC1;HIST1H2BI;H2AFV;HIST1H4A;RBBP4;H2AFJ;HIST1H3F;HIST1H2AE;HIST1H3G;HIST1H2BH;HIST3H2BB;HIST1H4I;HIST1H2BG;HIST1H3I;MTA2;HIST1H2BB;HIST1H3C;HIST1H2AB","","R-HSA-427383;R-HSA-427404;R-HSA-427336"
R-HSA-73854,"RNA Polymerase I Promoter Clearance",23,83,0.005903691585461271,0.004469122151135374,0.8899785052355917,7,9,7.510013351134847E-4,9606,Homo sapiens,"HIST1H2BM;HIST1H3J;CCNH;HDAC1;HIST1H2BI;RBBP4;H2AFJ;HIST1H2AE;HIST1H3F;HIST1H3G;HIST3H2BB;HIST1H3I;MTA2;HIST1H3C;HIST1H2AB;MAPK3;HIST1H4L;MBD2;H2AFV;RPA2;HIST1H4A;MT1A;POLR1E;HIST1H4I;HIST1H2BH;HIST1H2BG;HIST1H2BB","","R-HSA-73718;R-HSA-73865;R-HSA-73769;R-HSA-73739;R-HSA-73722;R-HSA-73757;R-HSA-73758"
R-HSA-5250913,"Positive epigenetic regulation of rRNA expression",22,80,0.005690305142613272,0.005805919189562636,0.8899785052355917,6,7,5.841121495327102E-4,9606,Homo sapiens,"HIST1H2BM;GSK3A;HIST1H3J;HDAC1;HIST1H2BI;ACTB;RBBP4;H2AFJ;HIST1H2AE;HIST1H3F;HIST1H3G;HIST3H2BB;HIST1H3I;MTA2;HIST1H3C;HIST1H2AB;HIST1H4L;H2AFV;RPA2;HIST1H4A;MT1A;POLR1E;HIST1H4I;HIST1H2BH;HIST1H2BG;HIST1H2BB","","R-HSA-427383;R-HSA-5250930;R-HSA-5250947;R-HSA-5250938;R-HSA-427404;R-HSA-427336"
R-HSA-5250924,"B-WICH complex positively regulates rRNA expression",18,62,0.004409986485525286,0.007051025516382481,0.8899785052355917,3,3,2.5033377837116157E-4,9606,Homo sapiens,"HIST1H2BM;GSK3A;HIST1H3J;HIST1H4L;HIST1H2BI;H2AFV;RPA2;ACTB;HIST1H4A;MT1A;H2AFJ;HIST1H3F;HIST1H2AE;HIST1H3G;POLR1E;HIST1H2BH;HIST3H2BB;HIST1H4I;HIST1H2BG;HIST1H3I;HIST1H2BB;HIST1H3C;HIST1H2AB","","R-HSA-5250930;R-HSA-5250947;R-HSA-5250938"
R-HSA-912446,"Meiotic recombination",17,58,0.004125471228394623,0.007927033375263237,0.8899785052355917,7,9,7.510013351134847E-4,9606,Homo sapiens,"HIST1H2BM;HIST1H3J;HIST1H4L;HIST1H2BI;H2AFV;RPA2;MLH1;HIST1H4A;RAD50;CDK4;H2AFJ;DMC1;HIST1H3F;HIST1H2AE;HIST1H3G;HIST1H2BH;HIST3H2BB;HIST1H4I;HIST1H2BG;HIST1H3I;HIST1H2BB;HIST1H3C;HIST1H2AB","","R-HSA-912429;R-HSA-912458;R-HSA-912503;R-HSA-9023941;R-HSA-912496;R-HSA-1214188;R-HSA-9023943"
R-HSA-5334118,"DNA methylation",12,36,0.0025606373141759727,0.00941383715579569,0.8899785052355917,7,7,5.841121495327102E-4,9606,Homo sapiens,"HIST1H2BM;HIST1H3J;HIST1H4L;HIST1H2BI;H2AFV;HIST1H4A;H2AFJ;HIST1H3F;HIST1H2AE;HIST1H3G;HIST1H2BH;HIST3H2BB;HIST1H4I;HIST1H2BG;HIST1H3I;HIST1H2BB;HIST1H3C;HIST1H2AB","","R-HSA-5334097;R-HSA-5334160;R-HSA-5334099;R-HSA-5334179;R-HSA-5334164;R-HSA-5334151;R-HSA-5334152"
R-HSA-73864,"RNA Polymerase I Transcription",23,89,0.006330464471157266,0.009756061525473148,0.8899785052355917,11,14,0.0011682242990654205,9606,Homo sapiens,"HIST1H2BM;HIST1H3J;CCNH;HDAC1;HIST1H2BI;RBBP4;H2AFJ;HIST1H2AE;HIST1H3F;HIST1H3G;HIST3H2BB;HIST1H3I;MTA2;HIST1H3C;HIST1H2AB;MAPK3;HIST1H4L;MBD2;H2AFV;RPA2;HIST1H4A;MT1A;POLR1E;HIST1H4I;HIST1H2BH;HIST1H2BG;HIST1H2BB","","R-HSA-74993;R-HSA-74992;R-HSA-74994;R-HSA-73718;R-HSA-73865;R-HSA-73769;R-HSA-73739;R-HSA-74986;R-HSA-73722;R-HSA-73757;R-HSA-73758"
R-HSA-171306,"Packaging Of Telomere Ends",11,34,0.0024183796856106408,0.01529804804666246,0.8899785052355917,2,2,1.6688918558077436E-4,9606,Homo sapiens,"HIST1H2BM;HIST1H4L;HIST1H2BI;H2AFV;HIST1H4A;H2AFJ;HIST1H2AE;HIST1H2BH;HIST3H2BB;HIST1H4I;HIST1H2BG;HIST1H2BB;HIST1H2AB","","R-HSA-181450;R-HSA-176700"
R-HSA-73777,"RNA Polymerase I Chain Elongation",17,63,0.004481115299807952,0.016471671304708724,0.8899785052355917,1,1,8.344459279038718E-5,9606,Homo sapiens,"HIST1H2BM;HIST1H3J;HIST1H4L;CCNH;HIST1H2BI;H2AFV;RPA2;HIST1H4A;MT1A;H2AFJ;HIST1H3F;HIST1H2AE;HIST1H3G;POLR1E;HIST1H2BH;HIST3H2BB;HIST1H4I;HIST1H2BG;HIST1H3I;HIST1H2BB;HIST1H3C;HIST1H2AB","","R-HSA-74986"
