Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005654~nucleoplasm	378	38.92893923789907	6.175003449520789E-57	MEF2C, FLYWCH1, RAD51D, RAD51C, MEF2A, RAD51B, XRCC3, CDX2, STAT5A, U2AF2, STAT5B, FSTL3, AURKA, AURKB, CTNNB1, HOXD11, NONO, MAP3K7, CUL3, HIST1H2BO, SIN3A, HIST1H2BK, HIST1H2BJ, U2AF1, CREB3L2, PATZ1, RARA, RPL11, STAG2, STAG1, ESCO1, TFPT, POLE, SKP2, MED12, MECOM, RPTOR, ESCO2, MAPK1, RPS19, RPS14, JUN, MLLT10, PRDM1, MYO18A, FUS, CRTC3, FIP1L1, ERBB4, ELL, CRTC1, CHEK1, CHEK2, NR1H2, RPS26, TAL1, ATN1, PBRM1, NKX2-1, POLQ, TCF3, DNMT3B, SPOP, ASPSCR1, ASXL2, DNMT3A, MAML2, CREBBP, SMAD4, RYBP, SMAD3, SMAD2, ATR, DDX5, RAD54L, ATM, NOTCH3, SRSF3, NOTCH2, SRSF2, NOTCH1, CBLB, SYNE1, ZNF217, EPHA6, ICE1, ETS1, NOTCH4, H3F3A, PARP1, KAT6B, ZFHX3, NCOR1, PARP2, NCOR2, KLF4, KAT6A, HNF1A, FOXA2, ELF4, MITF, EZH2, PPARG, MLH1, TP63, NFKB1, NFKB2, PTEN, GLI3, DAXX, GTSE1, GLI1, FANCL, CCNE1, FANCM, PDPK1, ASH2L, FANCI, ANKRD12, FANCE, FANCF, FANCG, BRD4, MYC, FANCA, TAF1L, FANCC, AR, EXOSC6, TP53, SPEN, RAD52, RAD50, RAD51, CCND1, CCND3, TAF15, CCND2, FANCD2, NSD1, PML, ZBTB16, POT1, SUFU, STAT6, SF3B1, STAT4, NUMA1, NUP214, SET, STK40, MDC1, XBP1, BCL11A, MLLT1, BCL3, BCL6, TCEA1, PRKAA2, ETV5, ETV4, MLLT3, BCL9, HIST1H2BC, HIST1H2BD, PDS5B, JARID2, AFF4, TRIM27, AFF3, AFF2, AFF1, WWTR1, BIRC3, STAT3, DOT1L, ATRX, SDHB, RPS6KA4, BCORL1, GOLPH3, SFPQ, WHSC1L1, PBX1, RBM15, BARD1, MYOD1, XPO1, FOXO1, RPS6KB2, RPS6KB1, FOXO3, FOXO4, GATA1, GATA2, TOP1, EIF4EBP1, MUTYH, RAD21, CDKN2A, CDKN2B, GATA3, CLP1, PSIP1, EED, PMS2, MLST8, RBM10, SS18L1, CIITA, HNRNPA2B1, RMI2, ARID1A, ARID1B, DDIT3, SUZ12, EP300, HIF1A, KDM2B, TRIM33, SMARCA4, FGFR2, TSHZ3, FGFR4, MCL1, BLM, STK11, SOX2, TFE3, SOX4, KEAP1, TRRAP, SOX9, ATF1, WT1, ARNT, FBXW7, DDX3X, ELK4, SMARCB1, NPM1, RUNX1, PALB2, HIST1H4I, AXIN2, TAF1, ZMYM2, PTPN2, ZMYM3, NR4A2, BRIP1, BRCA2, WHSC1, NR4A3, WRN, RBMX, FOXP1, BRCA1, AK9, IKBKE, HDAC4, CDKN1A, HDAC2, CDKN1B, HDAC1, HIST1H3A, HIST1H3B, DNMT1, CD79B, MTOR, SMC1A, ABL1, HDAC7, PHF6, HSP90AB1, NBN, E2F3, KDM6A, FAM175A, BAP1, CTCF, DEK, CAD, PAX3, CBFA2T3, MEN1, AKT1, FUBP1, MAX, SBDS, DKC1, HEY1, POU5F1, PCBP1, PAX8, CASP8, CDK12, SOX17, YAP1, TPR, MKL1, KDM5A, AKT3, KDM5C, CHUK, TERT, AKT2, SOX10, TBL1XR1, ELP2, SGK1, HSP90AA1, ARID5B, RUNX1T1, CDK8, ESR1, CCNL1, LEF1, CDK6, RB1, CDK4, HMGA2, HMGA1, RFWD2, XPA, NCOA1, NCOA2, HOXC11, XPC, NCOA3, DDB2, MDM2, MDM4, CUX1, KMT2D, CKS1B, NUP98, KMT2A, XIAP, KMT2C, KMT2B, PRKDC, CDC73, NR3C1, BRSK1, ARID2, TCF7L2, SHQ1, RPA1, TYMS, ERCC5, REL, CHD2, ERCC3, ERCC4, CHD4, APC, ERCC2, ACTB, MSH6, PDCD11, MSH3, MSH2, VHL, CREB1, SMC3, GPS2, DIS3, CUL4A, IRF8, THRAP3, IRF1, KDM4C, JAK2, ID3, CUL4B, IRF4, SETD2	862	2996	14527	2.1262712231931826	5.057327825157526E-54	5.057327825157526E-54	9.507880028274142E-54
GOTERM_CC_FAT	GO:0005694~chromosome	166	17.09577754891864	2.5955505455004415E-39	RAD51D, XPO1, MYOD1, RAD51C, XRCC3, MEF2A, RAD51B, CDX2, AURKA, AURKB, CTNNB1, HIST1H2BO, MAGED1, TOP1, SIN3A, RAD21, CDKN2A, HIST1H2BK, GATA3, HIST1H2BJ, PSIP1, EED, RARA, STAG2, SS18L1, PMS1, STAG1, ESCO1, PHOX2B, TFPT, POLE, ARID1A, ESCO2, SUZ12, JUN, NFE2L2, SEPT6, SMARCA1, FBXO11, SMARCA4, BLM, ELL, CHEK1, CHEK2, TRRAP, TAL1, SMARCB1, PBRM1, TNKS, POLQ, HIST1H4I, TCF3, MUC1, RECQL4, DNMT3A, TAF1, MKI67, IKZF1, ASXL1, CREBBP, SMAD4, BRCA2, SMAD3, WHSC1, SMAD2, WRN, ATR, RBMX, ATM, BRCA1, DDX6, HDAC2, PLK2, HDAC1, ICE1, HIST1H3A, HIST1H3B, DNMT1, H3F3A, PARP3, H3F3C, KAT6B, SMC1A, PARP1, TCF12, NCOR1, NCOR2, KLF4, KAT6A, PHF6, NBN, EZH2, MLH1, TP63, CTCF, CLTC, DAXX, MEN1, ASH2L, POU5F1, BRD4, TPR, TERT, PPP2R1A, HIST1H1E, AR, HIST1H1D, HIST1H1C, ESR1, TP53, RB1, CDK4, HMGA2, HMGA1, RAD50, MYCN, RAD51, XPA, NCOA1, NCOA3, FANCD2, CCND2, BUB1B, NSD1, HIST1H2AC, NUP98, HIST1H2AG, PML, PRKDC, CDC73, TCF7L2, POT1, STAT6, RPA1, NUMA1, ERCC5, MDC1, BCL6, ERCC4, CHD4, APC, ACTB, CCNB1IP1, MAF, MSH6, HIST1H2BC, PDS5B, HIST1H2BD, MSH3, MSH2, CREB1, AFF4, TRIM24, BIRC2, STAT3, SMC3, DOT1L, ATRX, SFPQ, WHSC1L1, IRF1, KDM4C, IRF4, HIST1H2AM, SETD2, HIST1H2AL	862	937	14527	2.9856381253296425	2.1257558967648616E-36	1.0628779483824308E-36	3.996464681465863E-36
GOTERM_CC_FAT	GO:0044427~chromosomal part	151	15.550978372811535	3.906177574121665E-37	RAD51D, XPO1, MYOD1, RAD51C, XRCC3, MEF2A, RAD51B, AURKA, AURKB, CTNNB1, HIST1H2BO, MAGED1, TOP1, SIN3A, RAD21, CDKN2A, HIST1H2BK, GATA3, HIST1H2BJ, PSIP1, EED, RARA, STAG2, SS18L1, PMS1, STAG1, ESCO1, PHOX2B, TFPT, POLE, ARID1A, ESCO2, SUZ12, JUN, NFE2L2, SEPT6, SMARCA1, SMARCA4, BLM, ELL, CHEK1, CHEK2, TRRAP, TAL1, SMARCB1, TNKS, HIST1H4I, TCF3, MUC1, DNMT3A, TAF1, MKI67, IKZF1, ASXL1, CREBBP, SMAD4, SMAD3, BRCA2, SMAD2, WRN, ATR, RBMX, ATM, BRCA1, DDX6, HDAC2, PLK2, HDAC1, ICE1, HIST1H3A, HIST1H3B, DNMT1, H3F3A, PARP3, H3F3C, KAT6B, SMC1A, PARP1, TCF12, NCOR1, NCOR2, KLF4, KAT6A, PHF6, NBN, EZH2, TP63, MLH1, CTCF, CLTC, DAXX, MEN1, ASH2L, POU5F1, TPR, TERT, PPP2R1A, HIST1H1E, AR, HIST1H1D, HIST1H1C, ESR1, TP53, RB1, CDK4, HMGA2, HMGA1, RAD50, MYCN, RAD51, XPA, NCOA1, NCOA3, CCND2, BUB1B, HIST1H2AC, NUP98, HIST1H2AG, PML, PRKDC, CDC73, TCF7L2, POT1, STAT6, RPA1, ERCC5, BCL6, ERCC4, CHD4, APC, ACTB, CCNB1IP1, MAF, MSH6, HIST1H2BC, PDS5B, HIST1H2BD, MSH2, CREB1, AFF4, TRIM24, STAT3, SMC3, DOT1L, ATRX, SFPQ, IRF1, KDM4C, IRF4, HIST1H2AM, HIST1H2AL	862	827	14527	3.077089359409938	3.1991594332056434E-34	1.0663864777352144E-34	6.0144853436099584E-34
GOTERM_CC_FAT	GO:0000228~nuclear chromosome	117	12.049433573635428	1.672782261937906E-34	RAD51D, RAD51C, MYOD1, MEF2A, XRCC3, CDX2, AURKA, AURKB, CTNNB1, HIST1H2BO, TOP1, SIN3A, RAD21, HIST1H2BK, GATA3, HIST1H2BJ, PSIP1, EED, RARA, SS18L1, PMS1, PHOX2B, TFPT, POLE, ARID1A, ESCO2, SUZ12, JUN, SMARCA1, SMARCA4, BLM, CHEK1, TRRAP, TAL1, SMARCB1, PBRM1, TNKS, HIST1H4I, TCF3, MUC1, TAF1, DNMT3A, IKZF1, ASXL1, CREBBP, SMAD4, SMAD3, BRCA2, SMAD2, WRN, ATR, RBMX, BRCA1, ATM, HDAC2, HDAC1, HIST1H3A, HIST1H3B, H3F3A, H3F3C, SMC1A, PARP1, NCOR1, TCF12, KLF4, NCOR2, NBN, EZH2, TP63, MLH1, MEN1, ASH2L, POU5F1, BRD4, TERT, HIST1H1E, AR, HIST1H1D, HIST1H1C, TP53, ESR1, HMGA2, RAD50, RAD51, XPA, NCOA1, NCOA3, BUB1B, HIST1H2AC, HIST1H2AG, PML, PRKDC, CDC73, TCF7L2, POT1, STAT6, RPA1, ERCC5, ERCC4, CHD4, ACTB, CCNB1IP1, MSH6, HIST1H2BC, HIST1H2BD, MSH3, MSH2, CREB1, TRIM24, STAT3, SMC3, ATRX, IRF1, KDM4C, IRF4, HIST1H2AM, HIST1H2AL	862	555	14527	3.552724650404465	1.370008672527145E-31	3.425021681317863E-32	2.5756444008407706E-31
GOTERM_CC_FAT	GO:0044454~nuclear chromosome part	109	11.225540679711637	6.106988631737215E-32	RAD51D, MYOD1, MEF2A, XRCC3, AURKA, AURKB, CTNNB1, HIST1H2BO, TOP1, RAD21, SIN3A, HIST1H2BK, GATA3, HIST1H2BJ, PSIP1, EED, RARA, SS18L1, PMS1, PHOX2B, TFPT, POLE, ARID1A, ESCO2, SUZ12, JUN, SMARCA1, SMARCA4, BLM, TRRAP, TAL1, SMARCB1, TNKS, HIST1H4I, TCF3, MUC1, TAF1, DNMT3A, IKZF1, ASXL1, CREBBP, SMAD4, SMAD3, BRCA2, SMAD2, ATR, WRN, RBMX, BRCA1, ATM, HDAC2, HDAC1, HIST1H3A, HIST1H3B, H3F3A, H3F3C, PARP1, NCOR1, TCF12, KLF4, NCOR2, NBN, EZH2, TP63, MLH1, MEN1, ASH2L, POU5F1, TERT, HIST1H1E, AR, HIST1H1D, HIST1H1C, TP53, ESR1, RAD50, RAD51, XPA, NCOA1, NCOA3, BUB1B, HIST1H2AC, HIST1H2AG, PML, PRKDC, CDC73, TCF7L2, POT1, STAT6, RPA1, ERCC5, ERCC4, CHD4, ACTB, CCNB1IP1, MSH6, HIST1H2BC, HIST1H2BD, MSH2, CREB1, TRIM24, STAT3, SMC3, ATRX, IRF1, KDM4C, IRF4, HIST1H2AM, HIST1H2AL	862	519	14527	3.539385039049752	5.001623689392779E-29	1.0003247378785559E-29	9.403155110641695E-29
GOTERM_CC_FAT	GO:0000785~chromatin	103	10.607621009268794	1.29449685100818E-31	MYOD1, MEF2A, CTNNB1, MAGED1, HIST1H2BO, CDKN2A, RAD21, SIN3A, HIST1H2BK, GATA3, HIST1H2BJ, PSIP1, EED, RARA, STAG2, STAG1, ESCO1, PHOX2B, TFPT, ARID1A, ESCO2, SUZ12, JUN, NFE2L2, SMARCA1, SMARCA4, ELL, CHEK1, TRRAP, TAL1, SMARCB1, HIST1H4I, TCF3, MUC1, TAF1, DNMT3A, IKZF1, CREBBP, ASXL1, SMAD4, SMAD3, SMAD2, RBMX, DDX6, HDAC2, HDAC1, PLK2, ICE1, HIST1H3A, HIST1H3B, H3F3A, DNMT1, H3F3C, KAT6B, NCOR1, TCF12, KLF4, NCOR2, KAT6A, EZH2, TP63, MEN1, ASH2L, POU5F1, HIST1H1E, AR, HIST1H1D, HIST1H1C, TP53, ESR1, RB1, HMGA2, CDK4, HMGA1, RAD50, RAD51, MYCN, NCOA1, NCOA3, CCND2, HIST1H2AC, HIST1H2AG, TCF7L2, STAT6, CHD4, ACTB, MAF, MSH6, HIST1H2BC, HIST1H2BD, PDS5B, CREB1, AFF4, TRIM24, SMC3, STAT3, ATRX, SFPQ, IRF1, KDM4C, IRF4, HIST1H2AM, HIST1H2AL	862	472	14527	3.6775949703094892	1.0601929209756994E-28	1.7669882016261657E-29	1.9931844341430449E-28
GOTERM_CC_FAT	GO:0000790~nuclear chromatin	76	7.826982492276004	4.233449690746829E-26	MYOD1, MEF2A, EZH2, TP63, CTNNB1, MEN1, HIST1H2BO, SIN3A, ASH2L, HIST1H2BK, POU5F1, GATA3, HIST1H2BJ, EED, PSIP1, RARA, PHOX2B, AR, HIST1H1E, HIST1H1D, HIST1H1C, TFPT, TP53, ESR1, ARID1A, ESCO2, RAD50, RAD51, SUZ12, NCOA1, NCOA3, JUN, SMARCA1, SMARCA4, HIST1H2AC, HIST1H2AG, TRRAP, TCF7L2, STAT6, TAL1, SMARCB1, TCF3, CHD4, MUC1, ACTB, MSH6, DNMT3A, TAF1, HIST1H2BC, HIST1H2BD, IKZF1, CREB1, ASXL1, CREBBP, SMAD4, SMAD3, SMAD2, TRIM24, RBMX, STAT3, ATRX, HDAC2, HDAC1, HIST1H3A, HIST1H3B, IRF1, H3F3A, KDM4C, H3F3C, IRF4, HIST1H2AM, TCF12, NCOR1, HIST1H2AL, KLF4, NCOR2	862	316	14527	4.053173367793474	3.467195296721653E-23	4.95313613817379E-24	6.518398263968389E-23
GOTERM_CC_FAT	GO:0005829~cytosol	324	33.36766220391349	3.2792266768727854E-22	MEF2C, FHIT, LDHA, HRAS, RPL13, STAT5A, STAT5B, RPL15, AURKA, AURKB, RNF213, CTNNB1, HOOK3, BTK, MAP3K7, CUL3, MYD88, EIF1AX, PIK3C3, MAP3K8, NT5C2, PIK3CA, RPL11, FAS, STAG2, WWOX, SYK, STAG1, PIK3CG, BCR, BRAF, PIK3CB, PIK3CD, WNK1, RAP1GDS1, SKP2, CTNNA1, MECOM, PCM1, MYH9, VTI1A, RPTOR, BCL2L11, MAPK1, RPS19, RPS14, JUN, ERBB4, NFKBIA, BCL2L2, CHEK1, CNTRL, BCL2L1, EPHB3, CALR, EPHB4, EPHB1, EPHB2, RPS26, CDC42EP2, EPHB6, KRAS, DMD, RAC1, IDH2, IDH1, TNKS, FH, ASPSCR1, MAP2K1, MAP2K2, TGFBR2, MAP2K4, SMAD4, SMAD3, SMAD2, PTPN11, DDX6, NOTCH3, NOTCH1, CBLB, NOTCH4, NTRK2, RHEB, CLTCL1, BACH1, PPARG, TP63, NFKB1, NFKB2, LATS1, GLI3, DAXX, PTEN, GTSE1, LATS2, GLI1, PKM, CCNE1, PDPK1, SH2D1A, NOD1, TICAM1, ALOX12B, MYC, FANCC, AR, PIK3C2G, EXOSC6, TP53, ARHGEF12, GMPS, WAS, CARD11, CCND1, CCND2, EIF4A2, SRGAP3, MTAP, GNAS, MAP3K14, MAP3K13, AARS2, PPP6C, PML, TFG, FKBP1A, ABI1, ZBTB16, SUFU, STAT6, ZFP36L1, CYLD, NUMA1, NUP214, SET, EZR, CCT6B, XBP1, BCL2, PRKAA2, SNAP25, RASA1, PLEC, PHLDA1, PDS5B, TRIM27, TRIM24, RICTOR, WWTR1, BIRC3, EIF2B1, BIRC2, YWHAE, STAT3, RPL22, FYN, GSK3B, GOLPH3, ARAF, CHN1, DUSP9, DNM2, XPO1, TBK1, FOXO1, RASGEF1A, RPS6KB1, PMAIP1, FOXO3, FOXO4, EIF4EBP1, RAD21, CDKN2A, CDKN2B, CDKN2C, PSIP1, MLST8, RPL35A, BCL10, IRS2, CARS, SOCS2, SOCS3, SOCS1, IRS1, DDIT3, MIB1, HIF1A, FGFR1OP, NFE2L2, TNFAIP3, LRRK2, ERC1, TRAF2, FGFR1, CNBP, MCL1, STK11, ARFRP1, SOX2, KEAP1, SRC, DOCK2, AMER1, FBXW7, PTK2, DDX3X, NPM1, NDRG1, RPL5, AXIN2, TRAF5, TRAF3, AXIN1, PTPN6, ITK, OBSCN, ZMYM2, MALT1, AK9, EPS15, IKBKE, HDAC4, CDKN1A, CDKN1B, TSC1, HDAC1, PLK2, BBC3, PLCG2, TSC2, PRKAR1A, MYH11, FBXO31, MTOR, SMC1A, ABL1, IKBKB, ABL2, PC, HSP90AB1, NBN, DICER1, CAD, CLTC, MEN1, AKT1, POU5F1, PAK3, CASP8, RHOA, YAP1, NCKIPSD, PAK1, MKL1, CHUK, RHOH, AKT2, PPP2R1A, SGK1, HSP90AA1, PRKCI, CDK6, NLRP3, CDK4, HMGA1, ARHGAP26, TYK2, RFWD2, CRKL, BTG2, LCK, BUB1B, MDM2, INPP4B, INPP4A, CUX1, LCP1, NUP98, XIAP, USP9X, PRKDC, ARHGAP35, AKAP9, PRDM16, TPM4, TPM3, SHQ1, TYMS, REL, ATIC, MAP3K1, SH2B3, PAFAH1B2, INPP5D, PIK3R3, YES1, PIK3R1, PIK3R2, APC, ACTB, PDCD11, FLT3, DTX1, VHL, NF1, CBL, RAF1, PARK2, SMC3, RALGDS, AJUBA, DIS3, ICK, IRF8, IRF1, JAK1, JAK2, FAF1, CUL4B, JAK3, IRF4, MAPK8IP1	862	3399	14527	1.606432627584611	2.685686648358811E-19	3.357108310448514E-20	5.049145977666158E-19
GOTERM_CC_FAT	GO:0005667~transcription factor complex	67	6.90010298661174	3.346048250530135E-20	MYOD1, MEF2B, E2F3, MEF2A, HNF1A, LMO2, PPARG, TP63, CBFB, CTNNB1, NONO, GATA1, GATA2, SIN3A, POU5F1, GATA3, YAP1, SOX17, WWOX, TAF1L, TP53, LEF1, RB1, CDK4, HMGA1, DDIT3, EP300, HIF1A, JUN, ASCL4, HOXA11, SOX2, SOX4, PRKDC, TRRAP, SOX9, TCF7L2, ATF1, ARNT, TAL1, ERCC5, REL, HOXA9, NKX2-1, TCEA1, ERCC3, TCF3, ERCC4, ERCC2, CEBPA, TAF1, MAFB, CREB1, SMAD4, SMAD3, SMAD2, NR4A3, WWTR1, STAT3, AJUBA, ETS1, SFPQ, PBX1, PARP1, ZFHX3, TCF12, KLF4	862	312	14527	3.619002468915462	2.7404135171841805E-17	3.044903907982423E-18	5.152033613410534E-17
GOTERM_CC_FAT	GO:0044451~nucleoplasm part	104	10.710607621009268	2.241877940599147E-16	MEF2C, XPO1, U2AF2, MAP3K7, NONO, SIN3A, CLP1, U2AF1, EED, SS18L1, CIITA, MED12, MECOM, SUZ12, EP300, HIF1A, FIP1L1, BLM, ELL, TRRAP, CHEK2, WT1, TAL1, DDX3X, SPOP, TAF1, ZMYM2, CREBBP, MAML2, ATR, SRSF3, HDAC4, SRSF2, IKBKE, HDAC2, ZNF217, HDAC1, ICE1, MTOR, KAT6B, NCOR1, ZFHX3, HDAC7, NCOR2, KAT6A, NBN, KDM6A, ELF4, EZH2, DAXX, GLI3, PTEN, MEN1, FANCL, MAX, FANCM, ASH2L, DKC1, CDK12, FANCE, FANCF, FANCG, FANCA, TERT, TAF1L, FANCC, TBL1XR1, ELP2, CDK8, TP53, CCNL1, RB1, RAD51, RFWD2, MDM2, KMT2D, KMT2A, KMT2C, KMT2B, PML, CDC73, ZBTB16, TCF7L2, SHQ1, RPA1, SF3B1, ERCC5, MLLT1, TCEA1, ERCC3, ERCC4, CHD4, ERCC2, MLLT3, ACTB, JARID2, TRIM27, AFF4, AFF2, AFF1, ATRX, SFPQ, THRAP3, RBM15	862	741	14527	2.365286766800993	1.8185453143360064E-13	1.8207657603852567E-14	3.4416913763379853E-13
