Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-428359,"Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA",6,13,9.246745856746568E-4,0.024013164903732287,0.9324613422621624,2,3,2.5033377837116157E-4,9606,Homo sapiens,"MYC;CD44","","R-HSA-428287;R-HSA-428296"
R-HSA-4411364,"Binding of TCF/LEF:CTNNB1 to target gene promoters",5,10,7.11288142826659E-4,0.02822544505227953,0.9324613422621624,4,4,3.337783711615487E-4,9606,Homo sapiens,"MYC;CTNNB1;AXIN2","","R-HSA-4411351;R-HSA-4411367;R-HSA-4411357;R-HSA-4411372"
R-HSA-2892245,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",5,10,7.11288142826659E-4,0.02822544505227953,0.9324613422621624,5,7,5.841121495327102E-4,9606,Homo sapiens,"HHEX;TSC22D1;CDX2;GATA6;DKK1","","R-HSA-2972952;R-HSA-2972965;R-HSA-2972966;R-HSA-2972977;R-HSA-2972979"
R-HSA-844615,"The AIM2 inflammasome",3,4,2.8451525713066365E-4,0.030739379848276682,0.9324613422621624,4,4,3.337783711615487E-4,9606,Homo sapiens,"PYCARD;AIM2;CASP1","","R-HSA-844620;R-HSA-874079;R-HSA-844618;R-HSA-844619"
R-HSA-75158,"TRAIL  signaling",4,8,5.690305142613273E-4,0.04744806817887404,0.9324613422621624,6,6,5.006675567423231E-4,9606,Homo sapiens,"CASP8;TNFSF10;TNFRSF10B;TNFRSF10D","","R-HSA-141139;R-HSA-75187;R-HSA-141316;R-HSA-75238;R-HSA-5635741;R-HSA-75146"
R-HSA-1482839,"Acyl chain remodelling of PE",12,42,0.002987410199871968,0.05537948683975069,0.9324613422621624,7,9,7.510013351134847E-4,9606,Homo sapiens,"PLA2G2F;PLA2G16;PLA2G4F;LPCAT4;RARRES3;PLA2G2A;HRASLS2;MBOAT1;PLA2G3;PLBD1;HRASLS;PLA2R1","","R-HSA-1482646;R-HSA-1482887;R-HSA-1482884;R-HSA-1602398;R-HSA-1482828;R-HSA-8858298;R-HSA-1482667"
R-HSA-9033241,"Peroxisomal protein import",17,67,0.004765630556938616,0.06503105171327517,0.9324613422621624,18,26,0.0021695594125500667,9606,Homo sapiens,"EPHX2;ECH1;PIPOX;CROT;PEX13;LGALS4;AMACR;ACOX2;PEX6;EHHADH;PEX5;NUDT19;ACOT2;AGXT;CRAT;SLC27A2;ACOT4","","R-HSA-9033514;R-HSA-9033485;R-HSA-9033516;R-HSA-9033505;R-HSA-9033509;R-HSA-9033478;R-HSA-9033240;R-HSA-8953946;R-HSA-9033499;R-HSA-9033533;R-HSA-8953917;R-HSA-9033233;R-HSA-9033235;R-HSA-9033491;R-HSA-9033236;R-HSA-9033527;R-HSA-9033238;R-HSA-9033526"
R-HSA-9027283,"Erythropoietin activates STAT5",4,9,6.401593285439932E-4,0.06694174089488891,0.9324613422621624,3,3,2.5033377837116157E-4,9606,Homo sapiens,"LYN;STAT5A;STAT5B;IRS2","","R-HSA-9012651;R-HSA-9012650;R-HSA-9012654"
R-HSA-4641263,"Regulation of FZD by ubiquitination",7,22,0.00156483391421865,0.0810360529387415,0.9324613422621624,6,6,5.006675567423231E-4,9606,Homo sapiens,"RNF43;ZNRF3;FZD5;RSPO2;FZD8;LGR5;RSPO4","","R-HSA-4641206;R-HSA-4641236;R-HSA-4641205;R-HSA-4641253;R-HSA-4641249;R-HSA-4641246"
R-HSA-1251932,"PLCG1 events in ERBB2 signaling",3,6,4.2677288569599545E-4,0.08158829444851823,0.9324613422621624,2,2,1.6688918558077436E-4,9606,Homo sapiens,"EGF;ERBB2;PLCG1","","R-HSA-1251922;R-HSA-1251944"
R-HSA-1306955,"GRB7 events in ERBB2 signaling",3,6,4.2677288569599545E-4,0.08158829444851823,0.9324613422621624,1,1,8.344459279038718E-5,9606,Homo sapiens,"GRB7;ERBB3;ERBB2","","R-HSA-1306953"
R-HSA-8866911,"TFAP2 (AP-2) family regulates transcription of cell cycle factors",3,6,4.2677288569599545E-4,0.08158829444851823,0.9324613422621624,3,4,3.337783711615487E-4,9606,Homo sapiens,"KDM5B;TFAP2C;MYC","","R-HSA-8865265;R-HSA-8865280;R-HSA-8865256"
R-HSA-6803211,"TP53 Regulates Transcription of Death Receptors and Ligands",6,18,0.0012803186570879864,0.08597675949773187,0.9324613422621624,4,7,5.841121495327102E-4,9606,Homo sapiens,"FAS;TNFRSF10B;TNFRSF10D","","R-HSA-6799815;R-HSA-5633414;R-HSA-5633441;R-HSA-6800001"
R-HSA-8942233,"Intestinal infectious diseases",2,3,2.1338644284799773E-4,0.09127916639912037,0.9324613422621624,1,1,8.344459279038718E-5,9606,Homo sapiens,"GUCY2C;PDZD3;PLBD1","","R-HSA-8936356"
R-HSA-8853659,"RET signaling",11,43,0.003058539014154634,0.11439587904957416,0.9324613422621624,20,24,0.0020026702269692926,9606,Homo sapiens,"DOK1;GRB7;DOK2;SHC3;DOK4;ARTN;GAB1;IRS2;PLCG1;GFRA3;PRKACB","","R-HSA-8853734;R-HSA-8854981;R-HSA-8855747;R-HSA-8853762;R-HSA-8853793;R-HSA-8855617;R-HSA-8853792;R-HSA-8853774;R-HSA-8855564;R-HSA-8855915;R-HSA-8853737;R-HSA-8853800;R-HSA-8855508;R-HSA-8854899;R-HSA-8854897;R-HSA-8853745;R-HSA-8854908;R-HSA-8853755;R-HSA-8853753;R-HSA-8854905"
R-HSA-3371378,"Regulation by c-FLIP",4,11,7.82416957109325E-4,0.11621996674438329,0.9324613422621624,4,4,3.337783711615487E-4,9606,Homo sapiens,"CASP8;TNFSF10;FAS;TNFRSF10B","","R-HSA-3371360;R-HSA-3465459;R-HSA-3465448;R-HSA-3371359"
