Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0034660~ncRNA metabolic process	163	6.143987938183189	1.7464510252484741E-19	NCBP2, EIF6, RPL17, RNASEK, RPL19, LSM6, INTS1, INTS2, RPS27L, INTS9, DDX27, INTS8, EBNA1BP2, GTF2E2, IMP3, MAK16, INTS6, TFB2M, RPL12, MRPL39, RPRD1B, RPRD1A, NUDT16, YARS, RRP1, DARS, RPUSD2, DIS3L, ELL3, MRM1, MRTO4, NOP2, RIOK3, RPS14, TRMT12, YARS2, TFB1M, XRN2, ELAC1, ELAC2, MRPS11, PNPT1, C14ORF166, WARS2, TRPT1, BOP1, PUS7, ZC3H8, DTD1, RPL7, METTL3, PELP1, TDRKH, RPL8, TAF9, RPS20, RPL4, RPL7A, RPS21, RPS24, UTP23, TSEN54, MOCS3, OSGEP, TSR1, TAF5, LCMT2, GARS, SMAD3, RPL23A, SMAD2, HEATR1, INTS10, NOP10, PPA2, RPS7, GTF2F2, POP1, RRS1, WDR3, CARS2, MTOR, UTP14C, ADAR, TAF1B, GTF3A, NARS, DICER1, WARS, DCAF13, RRP1B, RPS3A, ANG, NARS2, TRMT6, CTU2, GTF2A2, TRMT5, POLG2, CDK5RAP1, TSEN2, DUS1L, TSEN15, ELP3, EXOSC8, EXOSC9, POLR1E, SNAPC2, NOL9, SNAPC1, EXOSC4, EXOSC5, SNAPC3, EXOSC3, PAPD5, CDK7, DARS2, METTL2B, NCL, TARBP1, TARBP2, TAF13, RPL41, CPSF4, NHP2, CPSF1, POLR2F, FAM98B, POLR2K, POLR2J, PUSL1, TYW3, RPL35, ERI1, WBSCR22, RPL38, POLR2A, ZBTB8OS, RPL30, CHD7, PARS2, SEPSECS, GTF3C6, THG1L, WDR12, KIAA0391, NSUN5, GEMIN4, MARS, NSA2, PDCD11, TRMU, C9ORF64, AIMP2, PNO1, RPL26, TP53RK, DIS3, RPL23, NGDN, NOP56, DUS4L, TRIT1	2371	570	16650	2.0081466847210816	1.55678644390649E-15	1.55678644390649E-15	3.525821237654726E-16
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	226	8.518658122879758	6.7845526391900565E-15	RAD51C, DBF4B, STAT5B, CHMP7, AURKA, CDC16, AURKB, WDR81, CDCA8, APP, RAE1, INCENP, CDCA2, VPS4B, CDCA3, PCID2, RAN, NUDT15, PCM1, DCTN3, NCAPD2, ZWINT, CNTROB, NLE1, NEK9, BIN3, NEK3, NEK1, HUS1, CHEK1, CEP164, BCL2L1, CHEK2, MYBL2, SCRIB, VRK1, SAC3D1, SKA3, TNKS, SKA1, YEATS4, KIF3B, RECQL5, MKI67, PCNT, NUF2, SMAD3, CDC20, NDC80, PIBF1, FAM64A, DHFR, MCPH1, PCNA, TMOD3, BACH1, FGF8, MITD1, GTSE1, CEP250, SEH1L, FANCI, MTBP, NSMCE2, DYNC1H1, FBXL15, CDC6, DSN1, TPX2, PAPD5, RBBP8, CHMP1B, CDK11B, USP22, CTDP1, BID, TRIOBP, USP3, CETN3, PML, SFN, NCAPG, BCL2, PPP3CA, ZWILCH, PDS5B, CEP135, DLGAP5, BIRC7, BIRC6, FZD3, CDKN3, YWHAE, MIS12, CCNB1, MNAT1, CCNB2, TOM1L1, TOM1L2, DGKZ, KIF20A, TXNL4A, STIL, PRC1, CHMP4C, CHMP4B, CEP76, CHMP4A, DBF4, CEP78, RPS27L, CNOT7, CSNK2A2, EIF4EBP1, CSNK2A1, RAD21, OIP5, TUBG1, CIB1, RBL2, STK24, TOPBP1, TACC3, RNASEH2B, WEE1, TRIM35, NDEL1, TIMELESS, PSMA6, PSMA5, PSMA4, PSMA3, SEPT7, DSCC1, BBS4, BLM, TIPIN, LRRCC1, ANAPC11, CCNG1, PSMA7, CCNG2, PSMB6, POLE2, FBXW5, NPM2, OVOL1, NPM1, TFDP2, TFDP1, GINS1, TAF2, CKAP2, SETDB2, HTT, ZNF830, FOXA1, BRCA2, SUGT1, REEP4, EIF4E, PLK3, RRS1, KIF23, CLTA, NBN, CDC14A, NUP188, PAK6, SPRY2, MCM8, PRMT5, RANBP1, CDK5RAP2, HSP90AA1, KIF11, NUP88, NUSAP1, CDK7, RB1, PBK, UBE2C, SLC9A3R1, MCM4, MCM5, PSME1, PSME2, BTG3, BUB1B, MDM2, MAPRE2, MAPRE1, MDM4, UBB, WASL, PPP2R2A, HAUS4, HAUS6, HAUS1, PRKDC, AKAP9, CEP55, RPA3, RPA1, TUBGCP4, RPA2, TUBGCP3, PSMF1, TYMS, POM121, CAMK2D, PAFAH1B1, APEX1, PINX1, APC, BOD1, CEP192, SMC5, CENPJ, GSG2, CDC25B, SON, PSMG2, CUL4A, PHB2, CENPV	2371	968	16650	1.6395164016996002	6.036882105320274E-11	3.018441052660137E-11	1.3666845433135677E-11
GOTERM_BP_FAT	GO:0007049~cell cycle	343	12.928759894459102	1.4303594003568922E-13	RAD51C, DBF4B, STAT5B, CHMP7, AURKA, AURKB, CDC16, WDR81, CDCA8, APP, RSPH1, RAE1, WDR76, INCENP, PIK3C3, VPS4B, CDCA2, RARA, HFM1, CDCA3, NUDT16, ESCO1, CGRRF1, PCID2, RAN, NUDT15, LIG3, TBRG4, SPIRE1, LIG4, DCTN3, PCM1, ESCO2, NCAPD2, MAPK6, ZWINT, CNTROB, NLE1, NEK9, BIN3, MAPK7, MYBBP1A, BLCAP, CDK5R1, NEK3, NEK1, HUS1, CEP164, CHEK1, AFAP1L2, CHEK2, BCL2L1, MYBL2, SCRIB, URGCP, PEA15, VRK1, SAC3D1, SKA3, TNKS, FBXO4, SKA1, LFNG, GIT1, YEATS4, KIF3B, BMP2, RECQL5, MKI67, PCNT, NUF2, SMAD3, CDC20, NDC80, PIBF1, ATR, DONSON, CSPP1, FAM64A, DHFR, MCPH1, PCNA, TMOD3, RHEB, RAD54B, NCOR1, CHAF1B, UTP14C, BACH1, FGF8, MLH3, MITD1, ZNF16, GTSE1, FANCM, CEP250, HSF1, FANCI, SEH1L, MTBP, NSMCE2, FANCG, TUBB1, FBXL15, DYNC1H1, CCNO, DHCR24, CDC6, LIN52, DSN1, TPX2, INCA1, PAPD5, RBBP8, RAD51, RAB11FIP4, CHMP1B, FANCD2, TOP3A, SDCCAG3, CDK11B, LIN54, USP22, CTDP1, THOC1, MED1, BID, TRIOBP, USP3, KIAA0196, PML, CETN3, SFN, MIF, NCAPG, RB1CC1, BCL2, HBP1, PPP3CA, ZWILCH, FEN1, PDS5B, CEP135, DLGAP5, BIRC7, STRADA, BIRC6, FZD3, APPL1, CDKN3, YWHAE, MIS12, TTC19, CCNB1, MNAT1, CCNB2, RPS6KA1, TOM1L1, TOM1L2, MAPK13, GAS2L1, DGKZ, APBB1, KIF20A, TXNL4A, STIL, CHMP4C, PRC1, CHMP4B, CEP76, CHMP4A, DBF4, SLC6A4, CEP78, OSGIN2, RPS27L, CNOT7, FLCN, CSNK2A2, FNTB, RCBTB1, EIF4EBP1, CSNK2A1, RAD21, OIP5, GATA6, TUBG1, RPRD1B, CIB1, RBL2, STK24, RBL1, MLXIPL, TOPBP1, KIAA0753, TACC3, RNASEH2B, TACC1, WEE1, TRIM35, NDEL1, PSMA6, TIMELESS, PSMA5, SGSM3, PSMA4, PSMA3, SEPT7, DSCC1, BBS4, BLM, TFAP4, DRD2, PNPT1, LRRCC1, TIPIN, ANAPC11, CCNG1, PSMA7, SYCP2, CCNG2, SRC, LLGL1, PSMB6, FBXW5, POLE2, NPM2, TDRKH, OVOL1, NPM1, TFDP2, TFDP1, CKAP2, TAF2, GINS1, PARD6B, SETDB2, HTT, ZNF830, CINP, FOXA1, BRCA2, SUGT1, REEP4, EIF4E, PLK3, TMEM8B, RRS1, MTOR, CCNDBP1, KIF23, E2F2, NBN, CLTA, CDC14A, PRKAG2, NUP188, PAK6, SPRY2, MCM8, ZFYVE19, PRMT5, PSMC3IP, CABLES2, RANBP1, CDK5RAP2, CDK5RAP1, CABLES1, KIF11, HSP90AA1, NUP88, CCNL1, NUSAP1, CDK7, RB1, STXBP4, PBK, UBE2C, SLC9A3R1, PRKCE, CDK5, MCM4, PRKCD, MCM5, TMEM67, RIF1, PSME1, PSME2, BTG3, MDM2, BUB1B, MAPRE2, WASL, UBB, MDM4, MAPRE1, PPP1R15A, PPP2R2A, HAUS4, HAUS6, ING2, HAUS1, PRKDC, AKAP9, CEP55, TCF7L2, RPA3, TUBGCP4, RPA1, TYMS, TUBGCP3, RPA2, PSMF1, POM121, CAMK2D, PAFAH1B1, APEX1, ERCC4, ING1, APC, PINX1, BOD1, CENPM, ERH, CENPL, CEP192, SMC5, GDPD5, CENPK, CENPJ, GSG2, AVPI1, CDC25B, GPS2, SLBP, SON, PSMG2, CUL4A, IRF6, PHB2, CENPV, PPP1R13B, CDK20	2371	1672	16650	1.4405904479768497	1.2746728117463135E-9	4.24890900241337E-10	2.8869129309327946E-10
GOTERM_BP_FAT	GO:1903047~mitotic cell cycle process	207	7.802487749717302	1.645508194111498E-13	RAD51C, DBF4B, CHMP7, AURKA, CDC16, AURKB, WDR81, APP, CDCA8, RAE1, INCENP, CDCA2, VPS4B, CDCA3, RAN, PCID2, PCM1, DCTN3, NCAPD2, ZWINT, CNTROB, NEK9, BIN3, NEK3, NEK1, HUS1, CHEK1, CEP164, BCL2L1, CHEK2, MYBL2, VRK1, SAC3D1, SKA3, TNKS, SKA1, YEATS4, KIF3B, RECQL5, PCNT, NUF2, CDC20, NDC80, PIBF1, FAM64A, DHFR, MCPH1, PCNA, TMOD3, BACH1, FGF8, MITD1, GTSE1, CEP250, SEH1L, FANCI, MTBP, NSMCE2, DYNC1H1, FBXL15, CDC6, DSN1, TPX2, PAPD5, RBBP8, CHMP1B, CDK11B, CTDP1, BID, TRIOBP, CETN3, PML, SFN, NCAPG, BCL2, PPP3CA, ZWILCH, PDS5B, CEP135, DLGAP5, BIRC7, BIRC6, CDKN3, YWHAE, MIS12, CCNB1, MNAT1, CCNB2, TOM1L1, TOM1L2, DGKZ, TXNL4A, KIF20A, STIL, PRC1, CHMP4C, CHMP4B, CEP76, DBF4, CHMP4A, CEP78, RPS27L, CNOT7, CSNK2A2, EIF4EBP1, CSNK2A1, RAD21, OIP5, TUBG1, RBL2, TOPBP1, TACC3, RNASEH2B, WEE1, NDEL1, TIMELESS, PSMA6, PSMA5, PSMA4, PSMA3, SEPT7, DSCC1, BBS4, BLM, TIPIN, LRRCC1, ANAPC11, PSMA7, CCNG1, CCNG2, PSMB6, POLE2, FBXW5, NPM2, NPM1, TFDP2, TFDP1, GINS1, TAF2, CKAP2, SETDB2, HTT, ZNF830, SUGT1, REEP4, PLK3, EIF4E, RRS1, KIF23, CLTA, NBN, CDC14A, NUP188, SPRY2, MCM8, RANBP1, CDK5RAP2, HSP90AA1, KIF11, NUP88, NUSAP1, RB1, PBK, CDK7, UBE2C, MCM4, MCM5, PSME1, PSME2, BUB1B, MDM2, MAPRE2, MAPRE1, MDM4, UBB, WASL, PPP2R2A, HAUS4, HAUS6, HAUS1, PRKDC, AKAP9, CEP55, RPA3, RPA1, TUBGCP4, RPA2, TUBGCP3, PSMF1, TYMS, POM121, CAMK2D, PAFAH1B1, APEX1, PINX1, APC, BOD1, CEP192, SMC5, CENPJ, GSG2, CDC25B, SON, PSMG2, CUL4A, PHB2, CENPV	2371	890	16650	1.6332889455451878	1.4666654557515812E-9	3.666663639378953E-10	3.321676267376006E-10
GOTERM_BP_FAT	GO:0034470~ncRNA processing	116	4.372408594044478	1.6664226200489202E-13	EIF6, RPL17, RPL19, LSM6, INTS1, INTS2, RPS27L, INTS9, DDX27, INTS8, EBNA1BP2, IMP3, MAK16, INTS6, TFB2M, RPL12, NUDT16, RRP1, RPUSD2, DIS3L, MRM1, MRTO4, NOP2, RIOK3, RPS14, TRMT12, TFB1M, XRN2, ELAC1, ELAC2, MRPS11, TRPT1, C14ORF166, BOP1, PUS7, METTL3, RPL7, PELP1, RPL8, RPS20, RPL7A, RPL4, RPS21, RPS24, UTP23, TSEN54, MOCS3, OSGEP, TSR1, LCMT2, SMAD3, SMAD2, HEATR1, RPL23A, INTS10, NOP10, RPS7, POP1, WDR3, RRS1, UTP14C, ADAR, DICER1, DCAF13, RRP1B, RPS3A, TRMT6, CTU2, TRMT5, TSEN2, CDK5RAP1, DUS1L, TSEN15, ELP3, EXOSC8, EXOSC9, NOL9, EXOSC4, EXOSC5, EXOSC3, PAPD5, METTL2B, TARBP1, TARBP2, RPL41, CPSF4, NHP2, CPSF1, FAM98B, PUSL1, TYW3, RPL35, WBSCR22, ERI1, RPL38, ZBTB8OS, RPL30, CHD7, THG1L, WDR12, KIAA0391, GEMIN4, NSUN5, NSA2, PDCD11, TRMU, C9ORF64, PNO1, RPL26, DIS3, TP53RK, RPL23, NGDN, NOP56, DUS4L, TRIT1	2371	411	16650	1.9819780991112192	1.4854688590304477E-9	2.9709379401055003E-10	3.364308831521612E-10
GOTERM_BP_FAT	GO:0046907~intracellular transport	327	12.325669053901244	6.151038375130896E-13	RPL17, ATP1B1, HM13, CDX2, RPL19, VAPA, VAPB, STOML2, VPS53, WDR81, HOOK3, APP, VPS13C, RAE1, VPS13D, KIFAP3, PIK3C3, VPS4B, RPL12, RAB27A, SYK, KIF13B, PAN3, F10, KIF5B, PCID2, RAN, VPS41, SPIRE1, DCTN6, SYNJ2BP, F7, PCM1, DCTN3, ERGIC1, YIF1A, CTDSPL2, JUP, NPC2, TRAPPC9, RPS14, UBR5, PEX26, ATPIF1, RAB12, MAPK7, TRAPPC1, MYBBP1A, CDK5R1, DAG1, C14ORF79, CHCHD4, TMEM129, ACD, STX18, STX16, PEMT, TMED10, RPS20, RPS21, TRAM1, RPS24, PLAGL2, ASPSCR1, SYS1, KIF3B, PCNT, ACACA, SMAD4, SMAD3, AFG3L2, ATP13A2, RPS7, UPF3A, HYOU1, SYTL1, ADAR, SLC9A1, ENY2, ATP5E, IER3IP1, HTATIP2, PDIA3, ATP5B, TIMM17A, VPS37A, VPS37B, GTSE1, BAG4, PDPK1, GOLGA7, SEH1L, ATP5S, ZFYVE9, ATP5O, DYNC1H1, ATP5H, ATP5J, TOMM34, KDELR2, ANP32B, ZP3, ZDHHC8, RPH3AL, HERC2, LDLRAP1, ANKRD27, RPL41, GNAQ, TXN, TOMM20, SORT1, SIL1, GNAS, TOMM22, CLN5, THOC1, MED1, BID, NXT1, YWHAZ, SHFM1, PML, RPL35, RPL38, SFN, EDEM2, RPL30, KLC1, PEX16, TBC1D4, USP36, PEX12, PPP3CA, TBC1D1, BCAS3, FYCO1, TRIP11, RPL26, YWHAB, STRADA, SOD1, YWHAE, GABARAP, COG3, COG5, COG6, RPL23, TOM1L1, TOM1L2, BNIP3L, ATP5A1, SPG11, AP4B1, TOB1, EIF6, NCBP2, TSPO, THRA, AP4E1, AP1G2, CHMP4B, CHMP4A, XPO4, SNRPD1, EIF5A, MIPEP, TSNARE1, CSNK2A2, TBC1D17, TIMM9, PSIP1, RBCK1, TGS1, FBXO22, RNF31, CIB1, ACTN4, MAGOH, FUT10, CORO7, TNNT2, COPG2, RPAIN, NDEL1, HIF1A, SGSM2, FNBP1L, SGSM3, DTWD2, SNRPB, AKAP5, RNF139, VAMP4, VAMP2, ANKFY1, SPTB, ARL6IP1, SRI, ARFGAP1, ZC3H3, MAVS, BBS4, ARFGAP3, DERL2, STX8, NAPG, SNX5, SNX8, ARFRP1, CTSA, NAPB, LMAN1, UBAC2, SRC, TOMM7, CSE1L, BLOC1S2, RPL7, TOMM5, NPM1, RPL8, TMEM30B, RPL7A, DYRK2, RPL4, DOPEY1, AXIN1, SREBF1, RILP, TBC1D2B, SMG6, MYO1C, HTT, TBC1D10A, RPL23A, MALT1, MYL12A, WRN, SREBF2, RAB33B, LAMP1, EIF4E, PLK3, PLEKHA8, GRTP1, RHOT1, RRS1, PTPN1, MTOR, MYO19, XPO7, TBC1D20, ATP7B, SEL1L, KIF23, CLTA, CYB5R1, CPT2, CLTB, ATL3, PRKAG2, CYC1, PINK1, NUP188, PEX3, SDCBP2, PEX7, IMMP2L, PEX1, RPS3A, RANBP6, MKKS, RANBP1, VPS16, TM9SF4, SEC23A, HSP90AA1, NUP88, STXBP4, KIF16B, SLC9A3R1, CDK5, PRKCD, TIMM22, SARNP, KIF1C, CAPN10, KIF1B, IPO4, IPO5, MDM2, RANGRF, WASL, UBB, KPNA3, SNX13, KPNA2, CPSF1, SEC23B, VPS29, SNX16, TIMM13, TCF7L2, ATP5G3, DDHD2, TMED7, MPPE1, POM121, AP3M2, INPP5K, TMED3, PIKFYVE, SEC16A, PAFAH1B1, VPS36, ING1, GEMIN4, KAT2A, VPS18, NF1, ATP5F1, ANXA2, SLBP, PHB2, SNX31, ALKBH5	2371	1594	16650	1.4405957177035138	5.4826765349957896E-9	9.137793854918641E-10	1.24171783966176E-9
GOTERM_BP_FAT	GO:0007067~mitotic nuclear division	117	4.4101017715793445	2.2589807804561085E-12	CHMP4C, PRC1, CHMP4B, CHMP4A, CHMP7, AURKA, CDC16, AURKB, CSNK2A2, CDCA8, CSNK2A1, RAD21, OIP5, INCENP, CDCA2, VPS4B, CDCA3, PCID2, RAN, DCTN3, TACC3, WEE1, NCAPD2, NDEL1, TIMELESS, ZWINT, NEK9, SEPT7, DSCC1, NEK3, NEK1, TIPIN, LRRCC1, CEP164, CHEK1, ANAPC11, CHEK2, CCNG1, MYBL2, CCNG2, VRK1, FBXW5, SAC3D1, NPM2, SKA3, TNKS, SKA1, YEATS4, KIF3B, SETDB2, RECQL5, ZNF830, NUF2, CDC20, PIBF1, NDC80, SUGT1, REEP4, FAM64A, RRS1, KIF23, CLTA, FGF8, CDC14A, SEH1L, MTBP, NSMCE2, RANBP1, CDC6, KIF11, NUP88, DSN1, TPX2, NUSAP1, PAPD5, PBK, RB1, UBE2C, RBBP8, CHMP1B, BUB1B, CDK11B, MAPRE2, WASL, MAPRE1, CTDP1, HAUS4, TRIOBP, HAUS6, HAUS1, CETN3, CEP55, TUBGCP4, TUBGCP3, NCAPG, PAFAH1B1, ZWILCH, APC, PINX1, BOD1, PDS5B, DLGAP5, BIRC7, SMC5, BIRC6, GSG2, MIS12, CDC25B, CCNB1, MNAT1, PSMG2, CCNB2, TOM1L1, TOM1L2, PHB2, CENPV, TXNL4A	2371	431	16650	1.906300121048908	2.0136465384013036E-8	2.876637927862191E-9	4.560518629403987E-9
GOTERM_BP_FAT	GO:0043043~peptide biosynthetic process	162	6.106294760648322	2.5857665423445596E-12	NCBP2, MRPS36, EIF6, RPL17, MRPS33, RPL19, CNDP2, IMPACT, EIF5, EIF5A, RPS27L, CNOT7, MRPS31, EIF4EBP1, IMP3, SLC25A25, SLC25A24, SLC25A23, SLC25A22, SLC25A28, RARA, RPL12, MRPL39, DND1, EIF2B2, RPL36AL, GTPBP2, MRPL52, YARS, CHAC2, DARS, RAN, RXRA, EEF2, YTHDF1, MRTO4, SLC25A30, SLC25A32, EIF2AK1, RPS14, EIF2S1, SLC25A36, EIF2S2, RNF139, SLC25A37, YARS2, MRPL46, MRPS17, MRPS15, GCLC, GGCT, MRPS11, WARS2, MTIF3, DTD1, GFM2, EIF3B, METTL3, RPL7, EIF3H, EIF3E, RPL8, NPM1, EIF3L, EIF3I, RPS20, RPL4, PABPC1, EIF3J, RPL7A, RPS21, RPS24, MRPS27, MRPS26, MRPS28, MRPS23, MRPS24, IREB2, GARS, SMAD3, RPL23A, SMAD2, MRRF, FXR2, FURIN, PPA2, RPS7, EIF4B, UPF3A, SLC25A11, GGT6, EIF4E, GGT7, SLC25A13, SLC25A19, CARS2, MTOR, SLC25A15, NCOR1, ADAR, CPEB2, NARS, COPS5, CPEB3, DICER1, PINK1, N6AMT1, GSS, WARS, KLHL25, ANG, RPS3A, NARS2, SLC25A1, POLG2, CDK5RAP1, TNIP1, AASDH, SLC25A4, MRPS6, DARS2, MRPS2, NCK2, TARBP2, TRNAU1AP, C1QBP, RPL41, MTRF1, EIF4A1, EEF1D, NHP2, PPP1R15A, NANOS1, RPL35, PML, RPL38, RPL30, MRPL13, MRPL12, MRPL15, PARS2, PTK2B, MRPL16, SEPSECS, PPP3CA, RSL24D1, GUF1, TNRC6B, GAPDH, SLC25A40, MARS, RRBP1, AIMP2, RPL26, MRPL24, MRPL21, RPS6KA1, RPL23, MRPL27, TSFM, TOB1, MGST2	2371	667	16650	1.705579095732606	2.305000323943318E-8	2.881250460440299E-9	5.2203796840899486E-9
GOTERM_BP_FAT	GO:0022402~cell cycle process	281	10.591782887297398	1.2514775561163925E-11	RAD51C, DBF4B, CHMP7, AURKA, AURKB, CDC16, WDR81, CDCA8, APP, RAE1, WDR76, INCENP, PIK3C3, CDCA2, VPS4B, HFM1, CDCA3, NUDT16, ESCO1, CGRRF1, PCID2, RAN, TBRG4, SPIRE1, PCM1, DCTN3, NCAPD2, ZWINT, CNTROB, NEK9, BIN3, MYBBP1A, CDK5R1, NEK3, NEK1, HUS1, CHEK1, CEP164, BCL2L1, CHEK2, MYBL2, PEA15, VRK1, SAC3D1, SKA3, TNKS, FBXO4, SKA1, LFNG, GIT1, YEATS4, KIF3B, RECQL5, MKI67, PCNT, NUF2, SMAD3, CDC20, NDC80, PIBF1, DONSON, ATR, CSPP1, FAM64A, DHFR, MCPH1, PCNA, TMOD3, RHEB, RAD54B, NCOR1, BACH1, FGF8, MLH3, MITD1, ZNF16, GTSE1, FANCM, HSF1, CEP250, FANCI, SEH1L, MTBP, NSMCE2, FANCG, DYNC1H1, FBXL15, TUBB1, DHCR24, CDC6, DSN1, TPX2, PAPD5, RBBP8, RAD51, RAB11FIP4, CHMP1B, FANCD2, TOP3A, SDCCAG3, CDK11B, CTDP1, MED1, THOC1, BID, TRIOBP, KIAA0196, PML, CETN3, SFN, MIF, NCAPG, BCL2, HBP1, PPP3CA, ZWILCH, FEN1, PDS5B, CEP135, DLGAP5, STRADA, BIRC7, BIRC6, CDKN3, YWHAE, MIS12, TTC19, CCNB1, MNAT1, CCNB2, TOM1L1, TOM1L2, DGKZ, GAS2L1, APBB1, KIF20A, TXNL4A, STIL, PRC1, CHMP4C, CHMP4B, CEP76, CHMP4A, DBF4, CEP78, RPS27L, FLCN, CNOT7, CSNK2A2, EIF4EBP1, CSNK2A1, RAD21, OIP5, GATA6, TUBG1, RBL2, MLXIPL, TOPBP1, TACC3, KIAA0753, RNASEH2B, WEE1, NDEL1, PSMA6, TIMELESS, PSMA5, SGSM3, PSMA4, PSMA3, SEPT7, DSCC1, BBS4, BLM, TFAP4, DRD2, PNPT1, LRRCC1, TIPIN, ANAPC11, CCNG1, PSMA7, SYCP2, CCNG2, LLGL1, PSMB6, POLE2, FBXW5, NPM2, TDRKH, OVOL1, NPM1, TFDP2, TFDP1, CKAP2, GINS1, TAF2, SETDB2, HTT, ZNF830, BRCA2, SUGT1, REEP4, EIF4E, PLK3, RRS1, MTOR, KIF23, CLTA, NBN, CDC14A, PRKAG2, NUP188, SPRY2, MCM8, ZFYVE19, PRMT5, RANBP1, CDK5RAP2, KIF11, HSP90AA1, NUP88, NUSAP1, CDK7, RB1, STXBP4, PBK, UBE2C, PRKCE, CDK5, MCM4, MCM5, TMEM67, PSME1, PSME2, BUB1B, MDM2, MAPRE2, WASL, UBB, MAPRE1, MDM4, PPP1R15A, PPP2R2A, HAUS4, HAUS6, ING2, HAUS1, PRKDC, AKAP9, CEP55, TCF7L2, RPA3, TUBGCP4, RPA1, TYMS, TUBGCP3, RPA2, PSMF1, POM121, CAMK2D, PAFAH1B1, APEX1, ERCC4, PINX1, APC, BOD1, CENPM, CENPL, CEP192, SMC5, CENPK, CENPJ, GSG2, CDC25B, SLBP, SON, PSMG2, CUL4A, IRF6, PHB2, CENPV	2371	1357	16650	1.4541498274874458	1.1155662682504897E-7	1.2395181325786098E-8	2.526542308700641E-8
GOTERM_BP_FAT	GO:0006518~peptide metabolic process	186	7.010931021485112	2.595713930635458E-11	NCBP2, MRPS36, EIF6, RPL17, HM13, MRPS33, RPL19, CNDP2, IMPACT, EIF5, EIF5A, RPS27L, GDAP1L1, MIPEP, CNOT7, MRPS31, EIF4EBP1, IMP3, GSTM4, SLC25A25, SLC25A24, SLC25A23, SLC25A22, SLC25A28, RARA, RPL12, MRPL39, DND1, EIF2B2, RPL36AL, GTPBP2, MRPL52, YARS, F10, CHAC2, DARS, RAN, RXRA, EEF2, F7, YTHDF1, MRTO4, SLC25A30, SLC25A32, EIF2AK1, RPS14, EIF2S1, SLC25A36, BACE2, EIF2S2, RNF139, SLC25A37, CPD, YARS2, MRPL46, MRPS17, MRPS15, GCLC, GGCT, MRPS11, WARS2, MTIF3, DTD1, GFM2, ECE1, EIF3B, RPL7, METTL3, EIF3H, EIF3E, RPL8, NPM1, EIF3L, IDH1, EIF3I, RPS20, RPL4, RPL7A, PABPC1, EIF3J, RPS21, RPS24, MRPS27, MRPS26, MRPS28, ACY1, MRPS23, SEC11C, MRPS24, IREB2, GARS, SPPL2A, SMAD3, RPL23A, SMAD2, MRRF, FXR2, FURIN, PPA2, RPS7, EIF4B, UPF3A, SLC25A11, GGT6, EIF4E, GGT7, SLC25A13, SLC25A19, CARS2, MTOR, NCOR1, SLC25A15, ADAR, NARS, COPS5, CPEB2, CPEB3, DICER1, PINK1, N6AMT1, GSS, WARS, GSR, IMMP2L, KLHL25, RPS3A, ANG, NARS2, GSTZ1, SLC25A1, POLG2, CDK5RAP1, TNIP1, AASDH, SLC25A4, MRPS6, DARS2, MRPS2, NCK2, TARBP2, TRNAU1AP, C1QBP, RPL41, MTRF1, EIF4A1, PSEN2, EEF1D, NHP2, PPP1R15A, RNPEP, CLN5, ETHE1, NANOS1, PML, RPL35, RPL38, RPL30, MRPL13, MRPL12, MRPL15, PARS2, PTK2B, MRPL16, SEPSECS, PPP3CA, GSTO1, RSL24D1, GUF1, TNRC6B, GAPDH, SLC25A40, MARS, RRBP1, AIMP2, RPL26, SOD1, MRPL24, MRPL21, RPS6KA1, RPL23, MRPL27, TSFM, LTA4H, CTNS, TOB1, MGST2	2371	818	16650	1.5967698525067053	2.313817885069014E-7	2.3138181259874102E-8	5.240352596302955E-8
