Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-6804756,"Regulation of TP53 Activity through Phosphorylation",40,95,0.0067572373568532615,5.8181166178172816E-5,0.10769333859579788,17,26,0.0021695594125500667,9606,Homo sapiens,"CDS1;BLM;DYRK2;TP53RK;TAF9;PRKAG2;BACH1;AURKB;AURKA;WRN;UBB;CHEK2;CHEK1;RBBP8;NBN;TOPBP1;PLK3;SUPT16H;RFC3;CSNK2A1;TAF13;TOP3A;CSNK2A2;RPA1;MRE11A;RPA2;HUS1;HIPK1;TPX2;CDK5;RPA3;MDM2;TAF7;TAF4B;MDM4;TAF5;TAF4;TAF2;CDK5R1;ATR","","R-HSA-6805479;R-HSA-6799431;R-HSA-6798374;R-HSA-6805126;R-HSA-6805061;R-HSA-6798373;R-HSA-6805285;R-HSA-6799332;R-HSA-6798372;R-HSA-6805059;R-HSA-6805122;R-HSA-6805103;R-HSA-6799246;R-HSA-6805399;R-HSA-69685;R-HSA-6805470;R-HSA-6805276"
R-HSA-1640170,"Cell Cycle",183,682,0.04850985134077815,9.122843692583871E-4,0.7523764145230203,329,411,0.034295727636849134,9606,Homo sapiens,"RB1;NUP188;ZWILCH;CASC5;BUB1B;PPP2R2A;BACH1;CDC14A;CDC20;HERC2;CHEK2;CHEK1;TUBB1;CEP250;OIP5;DIP2A;NBN;CCNL1;GTSE1;HIST1H2AC;CDK5RAP2;CEP135;ESCO1;CSNK2A1;TINF2;CSNK2A2;HUS1;VRK1;VRK2;ESCO2;CDC25B;AKAP9;NHP2;PSME1;UBE2V2;PSME2;KIF20A;CDS1;BLM;POM121;NECAB3;SEH1L;RPN2;NCAPG;CDCA8;PDS5B;SKA1;ANAPC11;CCNB2;CCNB1;DSN1;UBB;RAD21;NUP88;CEP192;SFN;PSMF1;CEP76;CEP78;NEK8;NEK9;ACD;UBE2C;NCAPH2;SHFM1;H3F3A;CDC6;NDC80;ZWINT;DHFR;TPX2;HIST1H4A;CDK7;CDC16;MDM2;UBE2N;TUBGCP3;MDM4;TUBGCP4;MNAT1;ATR;WRAP53;YWHAE;LIN54;DIDO1;FEN1;SYCP2;YWHAB;PHF20;MCM8;CEP164;BRCA2;LMNB1;PCM1;DBT;NUF2;MYBL2;TOPBP1;WHSC1;NDEL1;LIN52;RFC3;HSP90AA1;H2AFZ;TOP3A;HAUS4;KIF23;HAUS6;TUBG1;YWHAZ;HAUS1;RBL2;PSMA5;PSMA6;PSMA3;TFDP1;RBL1;RAD51C;PSMA4;DBF4;TFDP2;INCENP;MCM4;POT1;MCM5;MAPRE1;MCPH1;PAFAH1B1;HIST1H2BN;PCNA;SRC;MIS12;DCTN3;TYMS;AURKB;PSMA7;AURKA;PSMC3IP;PSMB6;PPP2CB;WRN;RBBP8;E2F2;E2F5;PCNT;RAE1;GINS1;DYNC1H1;NPM1;GINS4;RPA1;FBXL18;RPA2;CABLES1;MRE11A;CDK11B;MLH3;WEE1;RAD51;APITD1;RPA3;POLE2;CENPJ;CENPK;CENPL;CENPM;NCAPD2;NUPL1;LPIN2;LPIN3","","R-HSA-375302;R-HSA-156673;R-HSA-8961678;R-HSA-5683792;R-HSA-69127;R-HSA-912389;R-HSA-8961665;R-HSA-174088;R-HSA-8961671;R-HSA-8961688;R-HSA-2545203;R-HSA-912408;R-HSA-69140;R-HSA-69142;R-HSA-69144;R-HSA-156699;R-HSA-174104;R-HSA-174105;R-HSA-174110;R-HSA-912429;R-HSA-75809;R-HSA-69152;R-HSA-380455;R-HSA-3000335;R-HSA-187937;R-HSA-174119;R-HSA-9018017;R-HSA-174122;R-HSA-174120;R-HSA-174121;R-HSA-8961699;R-HSA-176175;R-HSA-187948;R-HSA-174124;R-HSA-187949;R-HSA-75825;R-HSA-75824;R-HSA-156723;R-HSA-2470935;R-HSA-69685;R-HSA-187959;R-HSA-174132;R-HSA-174139;R-HSA-176702;R-HSA-176700;R-HSA-170044;R-HSA-2245218;R-HSA-5683735;R-HSA-174144;R-HSA-2545253;R-HSA-170055;R-HSA-606287;R-HSA-912458;R-HSA-69195;R-HSA-170057;R-HSA-174159;R-HSA-174157;R-HSA-912450;R-HSA-170070;R-HSA-174164;R-HSA-606289;R-HSA-380508;R-HSA-174171;R-HSA-170072;R-HSA-912470;R-HSA-174174;R-HSA-912467;R-HSA-170076;R-HSA-2430533;R-HSA-141409;R-HSA-170087;R-HSA-5683774;R-HSA-69227;R-HSA-141422;R-HSA-141423;R-HSA-174195;R-HSA-2484822;R-HSA-912505;R-HSA-141431;R-HSA-141429;R-HSA-174202;R-HSA-176250;R-HSA-174203;R-HSA-912503;R-HSA-8942836;R-HSA-141439;R-HSA-2430552;R-HSA-912496;R-HSA-606326;R-HSA-141437;R-HSA-174209;R-HSA-606349;R-HSA-170116;R-HSA-8942607;R-HSA-8962050;R-HSA-176264;R-HSA-170120;R-HSA-170126;R-HSA-2995389;R-HSA-174227;R-HSA-2995388;R-HSA-170131;R-HSA-174224;R-HSA-6804724;R-HSA-174235;R-HSA-2473151;R-HSA-8854044;R-HSA-174238;R-HSA-2995376;R-HSA-8854041;R-HSA-8854051;R-HSA-176298;R-HSA-174251;R-HSA-170153;R-HSA-174255;R-HSA-170159;R-HSA-5244669;R-HSA-170156;R-HSA-8854071;R-HSA-170161;R-HSA-187574;R-HSA-4086410;R-HSA-187575;R-HSA-176318;R-HSA-5195402;R-HSA-5229194;R-HSA-2993898;R-HSA-181450;R-HSA-179410;R-HSA-2529015;R-HSA-2529020;R-HSA-179417;R-HSA-8961619;R-HSA-2172666;R-HSA-8961620;R-HSA-179421;R-HSA-2468039;R-HSA-2473152;R-HSA-4088024;R-HSA-8961632;R-HSA-8961636;R-HSA-2468041;R-HSA-2468040;R-HSA-349426;R-HSA-264444;R-HSA-8961651;R-HSA-1214188;R-HSA-69889;R-HSA-69891;R-HSA-75010;R-HSA-8964492;R-HSA-8852354;R-HSA-8961934;R-HSA-8961920;R-HSA-75016;R-HSA-8964482;R-HSA-349455;R-HSA-164616;R-HSA-2990880;R-HSA-2294574;R-HSA-8852362;R-HSA-264458;R-HSA-2990882;R-HSA-2984226;R-HSA-8961946;R-HSA-75028;R-HSA-2520883;R-HSA-2294580;R-HSA-8853405;R-HSA-8964498;R-HSA-188191;R-HSA-2294590;R-HSA-8961961;R-HSA-8964525;R-HSA-2172678;R-HSA-8961952;R-HSA-8964513;R-HSA-8853419;R-HSA-176942;R-HSA-4419948;R-HSA-68913;R-HSA-2466068;R-HSA-2984220;R-HSA-8853429;R-HSA-2429719;R-HSA-68914;R-HSA-68917;R-HSA-68916;R-HSA-8961982;R-HSA-68919;R-HSA-2301205;R-HSA-2172183;R-HSA-68918;R-HSA-8964531;R-HSA-8961972;R-HSA-176956;R-HSA-1362261;R-HSA-8853444;R-HSA-5221130;R-HSA-1362270;R-HSA-9023941;R-HSA-68940;R-HSA-8964550;R-HSA-9023943;R-HSA-8961991;R-HSA-68944;R-HSA-68946;R-HSA-68948;R-HSA-1363276;R-HSA-8964561;R-HSA-68954;R-HSA-174425;R-HSA-2980720;R-HSA-113503;R-HSA-1363274;R-HSA-8964567;R-HSA-68960;R-HSA-6804741;R-HSA-162657;R-HSA-8964588;R-HSA-174438;R-HSA-174439;R-HSA-1363314;R-HSA-8978926;R-HSA-174441;R-HSA-2294600;R-HSA-8964580;R-HSA-174446;R-HSA-174447;R-HSA-174444;R-HSA-174445;R-HSA-2984258;R-HSA-174451;R-HSA-174448;R-HSA-1363303;R-HSA-4088141;R-HSA-380278;R-HSA-380272;R-HSA-174452;R-HSA-174456;R-HSA-1363311;R-HSA-1226094;R-HSA-1226095;R-HSA-380283;R-HSA-1363306;R-HSA-8962039;R-HSA-8853496;R-HSA-2514854;R-HSA-380294;R-HSA-6799332;R-HSA-1227670;R-HSA-1227671;R-HSA-380303;R-HSA-1638803;R-HSA-69005;R-HSA-69006;R-HSA-380311;R-HSA-1363328;R-HSA-69015;R-HSA-1363331;R-HSA-380316;R-HSA-69016;R-HSA-2468287;R-HSA-69019;R-HSA-8961840;R-HSA-188345;R-HSA-1638821;R-HSA-69053;R-HSA-6804955;R-HSA-188350;R-HSA-8961846;R-HSA-8852280;R-HSA-2288097;R-HSA-2467809;R-HSA-2467811;R-HSA-69063;R-HSA-4088309;R-HSA-4088306;R-HSA-8852298;R-HSA-69068;R-HSA-4088307;R-HSA-8961863;R-HSA-4088305;R-HSA-188371;R-HSA-3000319;R-HSA-69074;R-HSA-4088298;R-HSA-8852306;R-HSA-4088299;R-HSA-2574845;R-HSA-8961874;R-HSA-8852317;R-HSA-3000310;R-HSA-2574840;R-HSA-69598;R-HSA-2468293;R-HSA-188386;R-HSA-69600;R-HSA-5633460;R-HSA-8852324;R-HSA-188390;R-HSA-69604;R-HSA-176101;R-HSA-113638;R-HSA-174058;R-HSA-8961888;R-HSA-6804879;R-HSA-69608;R-HSA-6799246;R-HSA-113643;R-HSA-174057;R-HSA-8852331;R-HSA-8961895;R-HSA-8856951;R-HSA-8961915;R-HSA-8964475;R-HSA-174070;R-HSA-8856945;R-HSA-176116;R-HSA-8852337;R-HSA-2467794;R-HSA-169461;R-HSA-8852351;R-HSA-8964465;R-HSA-8961907;R-HSA-174079;R-HSA-69116;R-HSA-169468;R-HSA-8964471"
R-HSA-3700989,"Transcriptional Regulation by TP53",134,486,0.03456860374137563,0.0016694321179014926,0.7523764145230203,134,259,0.02161214953271028,9606,Homo sapiens,"TP53RK;COX6A1;BACH1;GLS;CHEK2;CHEK1;PIP4K2B;NBN;BNIP3L;SUPT16H;CSNK2A1;CSNK2A2;HUS1;GTF2F2;SCO1;SCO2;TEP1;FANCD2;CDS1;BLM;NECAB3;COX16;TXN;CCNB1;UBB;SMYD2;COX11;SFN;BCL2L14;ZNF420;FANCI;PLK3;TNFRSF10C;TNFRSF10B;FANCC;TNFRSF10A;TNFRSF10D;TPX2;CDK7;CNOT7;CDK5;RHEB;MDM2;TAF4B;CYCS;MDM4;MNAT1;ATR;YWHAE;DYRK2;PPP1R13B;C12orf5;YWHAB;PHF20;PRKAG2;COX7C;ING5;ING2;TOPBP1;COX8A;PRMT5;RFC3;PDPK1;TOP3A;YWHAZ;RABGGTA;RBL2;TFDP1;RBL1;TFDP2;RRM2B;PCNA;CTDP1;TAF9;COX5A;AURKB;AURKA;PPP2CB;WRN;POLR2A;RBBP8;POLR2F;TCEB1;BID;POLR2J;POLR2K;NPM1;TAF13;NDUFA4;GSR;RPA1;RPA2;MRE11A;COX6C;HIPK1;MTOR;GATAD2B;PML;TTC5;RPA3;CENPJ;CCNG1;TAF7;TAF5;TAF4;TAF2;CDK5R1;TNRC6B","","R-HSA-6799462;R-HSA-71682;R-HSA-6805103;R-HSA-3222072;R-HSA-349455;R-HSA-4331340;R-HSA-6791285;R-HSA-6805620;R-HSA-6811508;R-HSA-6791291;R-HSA-6799431;R-HSA-6805061;R-HSA-5689972;R-HSA-5632887;R-HSA-6805059;R-HSA-6791235;R-HSA-5632892;R-HSA-3341343;R-HSA-6811479;R-HSA-69685;R-HSA-380979;R-HSA-6799441;R-HSA-3700992;R-HSA-3700997;R-HSA-6797606;R-HSA-6798374;R-HSA-6798373;R-HSA-6805285;R-HSA-6798372;R-HSA-6805792;R-HSA-6798624;R-HSA-6801195;R-HSA-6792491;R-HSA-6804266;R-HSA-6804276;R-HSA-6797616;R-HSA-6804998;R-HSA-6804741;R-HSA-6804229;R-HSA-6804996;R-HSA-6801666;R-HSA-6801675;R-HSA-6810376;R-HSA-6798611;R-HSA-6804242;R-HSA-6798353;R-HSA-6805022;R-HSA-6804253;R-HSA-6802973;R-HSA-6805276;R-HSA-6795290;R-HSA-6805785;R-HSA-6805479;R-HSA-6799332;R-HSA-2318752;R-HSA-5632732;R-HSA-139913;R-HSA-163214;R-HSA-3215295;R-HSA-5631941;R-HSA-6802165;R-HSA-6804724;R-HSA-6791409;R-HSA-6802170;R-HSA-6799097;R-HSA-6799815;R-HSA-6791109;R-HSA-5632759;R-HSA-6795460;R-HSA-6793666;R-HSA-6801089;R-HSA-6804942;R-HSA-6801101;R-HSA-5632766;R-HSA-6798282;R-HSA-73646;R-HSA-5628901;R-HSA-6801109;R-HSA-5632993;R-HSA-6795473;R-HSA-5628899;R-HSA-5632738;R-HSA-6805470;R-HSA-6798044;R-HSA-6804955;R-HSA-5628905;R-HSA-6804441;R-HSA-6792871;R-HSA-3700984;R-HSA-3222259;R-HSA-198599;R-HSA-6803875;R-HSA-6799777;R-HSA-3700981;R-HSA-6797993;R-HSA-70609;R-HSA-6798004;R-HSA-6803892;R-HSA-2321904;R-HSA-5633414;R-HSA-6803890;R-HSA-6801087;R-HSA-6793661;R-HSA-6798268;R-HSA-5633460;R-HSA-6805638;R-HSA-6805126;R-HSA-6811522;R-HSA-6805122;R-HSA-6800001;R-HSA-6804879;R-HSA-6799246;R-HSA-3222237;R-HSA-6805640;R-HSA-6805399;R-HSA-5633441;R-HSA-6795667;R-HSA-6806419;R-HSA-6805650;R-HSA-6803858;R-HSA-6797712;R-HSA-349426;R-HSA-6792863;R-HSA-6804383;R-HSA-6803871;R-HSA-6791327;R-HSA-380927;R-HSA-8877692;R-HSA-8877691;R-HSA-6804379;R-HSA-6791323;R-HSA-6806425;R-HSA-5632939;R-HSA-3215310"
R-HSA-5633007,"Regulation of TP53 Activity",57,178,0.012660928942314532,0.0019551988152661792,0.7523764145230203,68,98,0.008177570093457943,9606,Homo sapiens,"PPP1R13B;DYRK2;TP53RK;PHF20;PRKAG2;BACH1;ING5;ING2;CHEK2;CHEK1;PIP4K2B;NBN;TOPBP1;PRMT5;SUPT16H;RFC3;CSNK2A1;PDPK1;TOP3A;CSNK2A2;HUS1;CDS1;BLM;TAF9;AURKB;AURKA;PPP2CB;WRN;UBB;SMYD2;RBBP8;PLK3;TAF13;RPA1;RPA2;MRE11A;HIPK1;MTOR;GATAD2B;PML;TPX2;CDK5;TTC5;RPA3;CCNG1;MDM2;TAF7;TAF4B;MDM4;TAF5;TAF4;TAF2;CDK5R1;ATR","","R-HSA-6805479;R-HSA-6799332;R-HSA-6805103;R-HSA-3222072;R-HSA-349455;R-HSA-3215295;R-HSA-6804724;R-HSA-6805620;R-HSA-6811508;R-HSA-6791409;R-HSA-6799431;R-HSA-6805061;R-HSA-5689972;R-HSA-6795460;R-HSA-6805059;R-HSA-6793666;R-HSA-6804942;R-HSA-6811479;R-HSA-69685;R-HSA-6795473;R-HSA-3700992;R-HSA-6805470;R-HSA-6804955;R-HSA-3700997;R-HSA-6804441;R-HSA-6792871;R-HSA-6798374;R-HSA-3222259;R-HSA-6798373;R-HSA-6805285;R-HSA-6798372;R-HSA-198599;R-HSA-6799777;R-HSA-6805792;R-HSA-6792491;R-HSA-6804266;R-HSA-6804276;R-HSA-6793661;R-HSA-5633460;R-HSA-6804998;R-HSA-6805638;R-HSA-6805126;R-HSA-6804741;R-HSA-6804229;R-HSA-6804996;R-HSA-6811522;R-HSA-6805122;R-HSA-6804879;R-HSA-6799246;R-HSA-3222237;R-HSA-6805640;R-HSA-6810376;R-HSA-6805399;R-HSA-6795667;R-HSA-6805650;R-HSA-6804242;R-HSA-349426;R-HSA-6792863;R-HSA-6804383;R-HSA-6805022;R-HSA-6804253;R-HSA-6805276;R-HSA-8877692;R-HSA-8877691;R-HSA-6804379;R-HSA-6795290;R-HSA-6805785;R-HSA-3215310"
R-HSA-1362277,"Transcription of E2F targets under negative control by DREAM complex",13,25,0.0017782203570666478,0.0032724898539068237,0.7523764145230203,12,12,0.0010013351134846463,9606,Homo sapiens,"RBL2;LIN54;PCNA;RBL1;NECAB3;TFDP1;TFDP2;CDC6;E2F5;LIN52","","R-HSA-8964475;R-HSA-8964492;R-HSA-8964525;R-HSA-8961665;R-HSA-8964513;R-HSA-8964465;R-HSA-8964482;R-HSA-8964498;R-HSA-8961619;R-HSA-188345;R-HSA-8964531;R-HSA-8964471"
R-HSA-76071,"RNA Polymerase III Transcription Initiation From Type 3 Promoter",14,28,0.0019916067999146453,0.0032883662353311305,0.7523764145230203,4,4,3.337783711615487E-4,9606,Homo sapiens,"BRF2;CRCP;POLR3B;SNAPC1;SNAPC2;POLR3D;SNAPC3;POLR1D;POLR3F;POLR1E;POLR2F;POLR3G;POLR3K;POLR2K","","R-HSA-83793;R-HSA-112152;R-HSA-83803;R-HSA-83791"
R-HSA-9609507,"Protein localization",44,133,0.009460132299594566,0.003386917554423885,0.7523764145230203,35,40,0.0033377837116154874,9606,Homo sapiens,"COX19;TIMM9;ATP5A1;TIMM13;HSD17B4;CROT;HSCB;TOMM20;HSPD1;TOMM22;PEX26;CHCHD4;ATP5B;HMGCL;CHCHD2;CHCHD3;UBB;CHCHD7;TIMM17A;CYC1;ACOT8;IDH1;EPHX2;PIPOX;CHCHD10;TIMM22;PEX1;PEX12;BCS1L;DHRS4;PEX7;COQ2;ACOX1;ACOT2;TOMM7;ACO2;CRAT;DLD;SLC25A4;FXN;SLC27A2;TOMM5;SLC25A13","","R-HSA-1299475;R-HSA-9033485;R-HSA-1299478;R-HSA-1299476;R-HSA-1307803;R-HSA-1307802;R-HSA-1299482;R-HSA-1299481;R-HSA-1299480;R-HSA-8986181;R-HSA-1299487;R-HSA-1299484;R-HSA-9033478;R-HSA-9033240;R-HSA-9033499;R-HSA-8953946;R-HSA-9033233;R-HSA-9033232;R-HSA-9033235;R-HSA-9033491;R-HSA-9033236;R-HSA-9033238;R-HSA-9033515;R-HSA-9033514;R-HSA-9033516;R-HSA-1268022;R-HSA-9033505;R-HSA-1955380;R-HSA-9033506;R-HSA-9033509;R-HSA-9033530;R-HSA-9033533;R-HSA-8953917;R-HSA-9033527;R-HSA-9033526"
R-HSA-8869496,"TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation",7,9,6.401593285439932E-4,0.003521470465477239,0.7523764145230203,7,7,5.841121495327102E-4,9606,Homo sapiens,"NPM1;NOP2;MYBL2;HSPD1","","R-HSA-8869543;R-HSA-8869558;R-HSA-8869542;R-HSA-8869568;R-HSA-8869566;R-HSA-8869549;R-HSA-8869560"
R-HSA-5693616,"Presynaptic phase of homologous DNA pairing and strand exchange",18,41,0.0029162813855893024,0.00373161715564152,0.7523764145230203,5,5,4.1722296395193593E-4,9606,Homo sapiens,"BLM;RFC3;TOP3A;RPA1;MRE11A;RPA2;HUS1;BRCA2;BACH1;WRN;RAD51;RAD51C;RPA3;CHEK1;RBBP8;TOPBP1;NBN;ATR","","R-HSA-5685318;R-HSA-5685230;R-HSA-5685341;R-HSA-5685242;R-HSA-5693561"
R-HSA-69481,"G2/M Checkpoints",49,154,0.01095383739953055,0.004319755344841414,0.7523764145230203,23,24,0.0020026702269692926,9606,Homo sapiens,"YWHAE;YWHAB;MCM8;BACH1;HERC2;CHEK2;CHEK1;NBN;TOPBP1;WHSC1;CCNL1;GTSE1;RFC3;TOP3A;HUS1;YWHAZ;PSMA5;PSMA6;PSMA3;PSMA4;DBF4;UBE2V2;PSME1;MCM4;PSME2;MCM5;CDS1;HIST1H2BN;BLM;RPN2;PSMA7;PSMB6;CCNB2;CCNB1;WRN;UBB;RBBP8;SFN;PSMF1;SHFM1;RPA1;RPA2;MRE11A;CDC6;WEE1;HIST1H4A;RPA3;UBE2N;ATR","","R-HSA-75809;R-HSA-5683735;R-HSA-69891;R-HSA-6799332;R-HSA-75010;R-HSA-8852354;R-HSA-170055;R-HSA-69604;R-HSA-5683792;R-HSA-176101;R-HSA-176298;R-HSA-5683774;R-HSA-75016;R-HSA-6799246;R-HSA-176264;R-HSA-176175;R-HSA-170070;R-HSA-75028;R-HSA-176116;R-HSA-8852337;R-HSA-176250;R-HSA-8852351;R-HSA-176318"
