stat	raw.pval	BH.adj.pval	Gene
gene1	0.00779426998323058	0.225182574087927	0.284307953675787	DUSP27
gene2	0.0285506701211106	0.014671517279073	0.0240178315717028	CLCA1
gene3	0.0553161654840848	0.000391292589497882	0.000806201037181532	LY6G6D
gene4	4.59150621406348e-19	0.61285934706695	0.66500270533439	REG1A
gene5	0.0110413508268215	0.14697357655273	0.195385053683159	ITLN1
gene6	0.00137141472395759	0.569492577927313	0.625970762076468	PRAC
gene7	2.41249400873679e-19	0.612971125865798	0.665007213892505	REG1B
gene8	9.76096322847304e-19	0.612944971883266	0.665007213892505	REG3A
gene9	1.55210746751612e-19	0.821177466330699	0.839023283524681	IRX2
gene10	0.0394067281869053	0.00336340295950244	0.00608653298777729	REG4
gene11	0.000941451152064907	0.640665029275797	0.686613340715489	PLA2G12B
gene12	1.55828649746413e-18	0.625776349903516	0.673996076180731	NPSR1
gene13	0.00584650724527011	0.403282804248087	0.467608265612485	ZIC5
gene14	0.00927883754264914	0.268277003924442	0.330347470555824	ZIC2
gene15	0.0473700743913277	0.000845372101863973	0.00166913379690605	DEFA5
gene16	0.00104191561760801	0.618459947340826	0.668497159908853	CKMT2
gene17	0.0438257190862059	0.00185949264928675	0.0034976575585823	CLCA4
gene18	0.00106564037669841	0.627086668458149	0.674576692967079	B3GNT6
gene19	0.0126384673846652	0.117533777825811	0.160459834994629	ABHD12B
gene20	0.0507134493342789	0.000709047231131077	0.00141397542073872	SLCO1B3
gene21	0.0534952313170389	0.000359669593678946	0.000744397393851016	DEFA6
gene22	0.0437678300756899	0.00178973328900212	0.00337260201059594	CTSE
gene23	0.016426148026162	0.0714782814287891	0.102820230694561	SPINK4
gene24	0.0909854033818909	2.46354327348985e-06	6.57122119011172e-06	SLC26A3
gene25	0.00804981717318872	0.314168727809013	0.378447912882716	OLFM4
gene26	0.0463838690762001	0.00120493183762793	0.00233357587359442	FOXJ1
gene27	1.25023963339983e-18	0.830027696059017	0.839869673905613	CEL
gene28	0.0251489998826064	0.0211437185736543	0.033706665909858	SLC39A2
gene29	0.0237297542965719	0.0550620090183169	0.0809591901639603	ZG16
gene30	0.00870159035804831	0.214569528160266	0.272439148156229	RPS28
gene31	0.00441060939343688	0.381157702076244	0.445802279221864	L1TD1
gene32	0.0165782172044003	0.0746819813689353	0.106757654801307	MUC2
gene33	0.00653247577004363	0.271924153807326	0.3344052833865	GSTM1
gene34	3.6417741171372e-05	0.793546486627916	0.819474177467016	THBS4
gene35	0.00357133893349051	0.417049327463001	0.480728998114707	LCN15
gene36	0.0296708890150691	0.0120851872174157	0.0200495024342627	CA4
gene37	0.0583009406994091	0.000266127343216183	0.000560941788754151	PLA2G3
gene38	0.0220903309303814	0.0327404402079439	0.0503179156932932	CHGA
gene39	0.00130156888771788	0.721781295745747	0.758355148174285	CA1
gene40	0.00895685805446296	0.195160013365422	0.251097079143142	ALDH1L1
gene41	0.00268348642853533	0.482838392048285	0.545721314151519	MS4A12
gene42	0.0128096793112668	0.122886761409835	0.166772962607373	AQP8
gene43	0.0312739311184729	0.0201675340781293	0.0323088392711333	SOX1
gene44	0.10632742171365	5.52028396105797e-07	1.5898314889479e-06	KRT23
gene45	0.113517468137979	9.15564195569374e-08	2.88415557707018e-07	GJB5
gene46	0.103237988459776	3.81397289861418e-07	1.12008263025366e-06	C17orf77
gene47	0.00956730252269142	0.186083639615953	0.240974705896882	TCN1
gene48	0.0999199712818805	7.05898152930651e-07	2.01466267296004e-06	SLC6A4
gene49	0.0104682583246855	0.152265540827827	0.201639257774356	B4GALNT2
gene50	0.0108662061268172	0.15698833765711	0.207183028274942	VSIG2
gene51	0.0242776675837488	0.0266126796568602	0.0415829428751395	MUC17
gene52	0.00387310483562402	0.396153032198984	0.460551192089844	PAH
gene53	0.146554850290606	2.30173924364863e-09	8.64849302919116e-09	FREM2
gene54	0.000236393088224101	0.74620036277194	0.779259835898301	VIP
gene55	0.0129035760196779	0.112946850456426	0.154735846109326	SLC28A2
gene56	8.9171567284243e-05	0.776870161900155	0.805891775800266	CELP
gene57	0.0575462325644971	0.000298793099178463	0.000624468986918221	ELF5
gene58	0.000412799986413442	0.694874286570452	0.734895715313449	SMOC1
gene59	0.0195648402745185	0.0492791349965379	0.0732961894200964	SLC44A5
