GENE	gain_p_value	gain_fdr	loss_p_value	loss_fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	gain_vs_rest_exp_diff	loss_vs_exp_diff
PSMF1	8.53016815549622e-45	3.18418991290166e-42	2.87163078910285e-36	1.21881147696581e-34	0.409420289855072	0.384057971014493	0.206521739130435	12.0307539823009	11.4646094339623	10.9222596491228	0.755800608067757	-0.834470031242489
CSNK2A1	3.49092120010002e-43	1.06827348580828e-40	2.96988706030545e-33	9.40044760189902e-32	0.409420289855072	0.384057971014493	0.206521739130435	11.072103539823	10.4802754716981	9.94591052631579	0.778691883381292	-0.83973741888969
CHMP7	2.51867787558058e-42	5.72287416425395e-40	4.60964637457225e-56	3.85436408528322e-53	0.206521739130435	0.340579710144928	0.452898550724638	10.3825140350877	10.0929446808511	9.2671376	0.760920427781784	-0.935114717880795
NSFL1C	2.86103071350846e-41	4.82314403509523e-39	3.73704362484972e-31	1.05741348021316e-29	0.409420289855072	0.384057971014493	0.206521739130435	11.0713867256637	10.5623962264151	9.86401052631579	0.753211265541017	-0.961015501081471
MCPH1	4.78767197595326e-41	7.58193143828235e-39	5.34022499833253e-62	1.9945740368772e-58	0.221014492753623	0.351449275362319	0.427536231884058	9.02730983606557	8.64285257731959	7.80453305084746	0.844558208158597	-0.986749227633555
VPS37A	9.48445712374376e-41	1.45781685084367e-38	4.03834714397283e-53	1.67591406474873e-50	0.206521739130435	0.333333333333333	0.460144927536232	9.61699649122807	9.20212934782609	8.49404881889764	0.825489185291998	-0.866788093854041
PTPRA	2.12356707662191e-39	2.7067711079088e-37	5.12516249513323e-29	1.21926636428806e-27	0.41304347826087	0.384057971014493	0.202898550724638	11.2045026315789	10.5905726415094	10.0510767857143	0.800422384665367	-0.857623214285715
TBC1D20	1.06891485666386e-37	9.97526614450948e-36	1.83926870513361e-25	3.3674846145461e-24	0.409420289855072	0.384057971014493	0.206521739130435	10.2750132743363	9.78709150943396	9.20281578947368	0.692239041207449	-0.836034438836819
INTS9	3.54996241897248e-36	2.39694441211119e-34	2.24862628054941e-54	1.19980273683601e-51	0.228260869565217	0.340579710144928	0.431159420289855	9.13058253968254	8.73259361702128	8.0163025210084	0.79817033310977	-0.875993657335545
VPS16	2.46685409258732e-35	1.46497494180242e-33	1.91808898609605e-24	3.19824212636998e-23	0.41304347826087	0.384057971014493	0.202898550724638	10.0444596491228	9.48370566037736	8.9844625	0.73333187134503	-0.789815681818183
CCDC25	6.55706228211071e-35	3.76562719629787e-33	9.23716293369502e-58	1.15002678524503e-54	0.213768115942029	0.351449275362319	0.434782608695652	10.2229033898305	9.77695257731959	9.01644	0.866510763102397	-0.929173461538463
ZCCHC3	1.05046348871574e-34	5.84012999151962e-33	5.22943705694081e-21	6.28036894137426e-20	0.409420289855072	0.384057971014493	0.206521739130435	9.66154690265487	8.9727179245283	8.63773684210526	0.805969602041371	-0.690404253785147
DCTN6	1.47423415146115e-33	7.62806700548118e-32	8.77004428302492e-48	1.48891433623173e-45	0.239130434782609	0.351449275362319	0.409420289855072	9.39746515151515	8.92767731958763	8.18042389380531	0.871881341991342	-0.937474265703893
ELP3	1.9478394479124e-33	9.88292131533029e-32	3.28183189609724e-58	6.1288210659616e-55	0.22463768115942	0.347826086956522	0.427536231884058	9.91074516129032	9.52419270833333	8.75461186440678	0.810900768766958	-0.921265983694486
UBOX5	2.65498202418928e-33	1.32142248175363e-31	6.05233741238625e-24	9.66046163900112e-23	0.41304347826087	0.384057971014493	0.202898550724638	8.67830438596491	8.07962075471698	7.62555178571429	0.755645743989604	-0.764295941558442
XPO7	5.73421882273224e-33	2.77472477477766e-31	6.02437734762869e-54	2.81263117417415e-51	0.206521739130435	0.340579710144928	0.452898550724638	11.157398245614	10.7422425531915	10.0863992	0.789495505888008	-0.812557753642384
MKKS	1.12328894484687e-32	5.1949628546635e-31	7.0262794063716e-21	8.33115986755489e-20	0.402173913043478	0.394927536231884	0.202898550724638	10.4882882882883	9.9127752293578	9.40708571428571	0.747141015561015	-0.796062012987013
DDRGK1	1.79283701175675e-32	8.03781768380101e-31	5.11982498285736e-33	1.60693666478758e-31	0.41304347826087	0.384057971014493	0.202898550724638	10.6394666666667	10.1587235849057	9.41261785714286	0.738656172839507	-0.995218051948052
STK35	1.86905574723843e-32	8.27769943649832e-31	7.2890057537309e-27	1.50411251326988e-25	0.409420289855072	0.384057971014493	0.206521739130435	10.6861389380531	10.084841509434	9.55877719298246	0.785258569954939	-0.836322807017543
TRIM35	5.01355817007203e-32	2.112972177161e-30	1.58154529972663e-38	8.81652491713278e-37	0.210144927536232	0.355072463768116	0.434782608695652	9.1209	8.80230510204082	8.22811333333333	0.634663761467891	-0.692643717948718
PROSC	1.31210947634568e-31	5.07932157287594e-30	2.21615080691329e-27	4.70302458171655e-26	0.347826086956522	0.41304347826087	0.239130434782609	10.845190625	10.313098245614	9.64241363636364	0.778010069444445	-0.913926839826839
PPP2CB	2.17645490054214e-31	8.06677539732853e-30	4.92931712709177e-39	2.96951604349802e-37	0.235507246376812	0.36231884057971	0.402173913043478	11.0482353846154	10.658073	10.0159594594595	0.727956711629602	-0.795813873873874
FKBP1A	3.48201599068475e-31	1.27251857114115e-29	5.58586981406605e-18	4.92057164045677e-17	0.409420289855072	0.384057971014493	0.206521739130435	12.3655672566372	11.7907358490566	11.4295298245614	0.701142716759868	-0.657808531602981
MAK16	2.2353231084902e-30	7.44063602864318e-29	4.58287902077121e-38	2.48073233950442e-36	0.246376811594203	0.369565217391304	0.384057971014493	9.54403235294118	9.02831568627451	8.40176509433962	0.835016487556562	-0.832837258601554
ZNF343	1.03444831359455e-29	3.21787314693162e-28	9.78852867504406e-20	1.03864075571845e-18	0.409420289855072	0.384057971014493	0.206521739130435	8.5425610619469	7.86237735849057	7.52867543859649	0.796877012867148	-0.684664287430906
IDH3B	3.41909451860103e-29	1.01523795194369e-27	1.02367267687788e-18	9.85416868077027e-18	0.409420289855072	0.384057971014493	0.206521739130435	11.1168690265487	10.590241509434	10.041401754386	0.718553075628426	-0.820569935111751
FASTKD5	3.49365248733421e-29	1.03151570049766e-27	1.52054480705093e-26	3.05335207222324e-25	0.41304347826087	0.384057971014493	0.202898550724638	9.29305087719298	8.83368962264151	8.11859821428571	0.706553346328784	-0.953124058441558
PCM1	4.15854381444177e-29	1.21410893711021e-27	2.84681954124303e-52	8.86072582211892e-50	0.206521739130435	0.333333333333333	0.460144927536232	11.3863561403509	11.005202173913	10.231642519685	0.829747921172794	-0.919370231992813
CENPB	6.47434673838649e-29	1.84890360955234e-27	1.78281470681937e-19	1.83945108562717e-18	0.409420289855072	0.38768115942029	0.202898550724638	11.5547504424779	11.0474542056075	10.5222946428571	0.687719154134319	-0.785725357142859
CNOT7	1.39316124685228e-28	3.83192667160526e-27	3.03895435814213e-51	8.7311496366622e-49	0.206521739130435	0.333333333333333	0.460144927536232	10.8840298245614	10.4709391304348	9.78295748031496	0.812057221821679	-0.846009633779
LEPROTL1	1.76694105718369e-28	4.78447355691295e-27	1.06160632612494e-45	1.36727573381953e-43	0.239130434782609	0.351449275362319	0.409420289855072	10.3523560606061	9.95640618556701	9.2523221238938	0.774814155844156	-0.864407323958956
BRF2	9.05017458845043e-28	2.25220059044009e-26	2.68615832098352e-27	5.63640524094015e-26	0.351449275362319	0.416666666666667	0.231884057971014	8.77916701030928	8.31678695652174	7.6169453125	0.712602764499222	-0.911402329009434
ERLIN2	1.29185435159359e-27	3.16959194433245e-26	1.66282002444779e-23	2.484253116525e-22	0.351449275362319	0.41304347826087	0.235507246376812	11.0861010309278	10.6522052631579	9.93752461538462	0.693416673385936	-0.914149318264673
FUT10	1.39766848803163e-27	3.41318482170715e-26	3.10565477839279e-47	4.63984823891883e-45	0.246376811594203	0.369565217391304	0.384057971014493	7.86129117647059	7.48727156862745	6.50632169811321	0.873926753393665	-1.1305577136515
CDS2	2.11033920880965e-27	5.08231921900426e-26	9.21422696449506e-16	6.50569711009245e-15	0.41304347826087	0.384057971014493	0.202898550724638	9.68191842105263	9.12952075471698	8.6528	0.717190025990904	-0.762963181818183
FAM110A	9.1450727467378e-27	2.11469691037397e-25	1.81819274753016e-21	2.29423983514363e-20	0.409420289855072	0.384057971014493	0.206521739130435	8.74842389380531	8.23335094339623	7.67808596491228	0.709245366197948	-0.82103321316991
PPP2R2A	3.04222495774372e-26	6.56969736742507e-25	3.85627795701766e-49	9.00199885591311e-47	0.210144927536232	0.351449275362319	0.438405797101449	10.6158034482759	10.2635494845361	9.43495537190083	0.812161705156596	-0.960405273260463
TMEM66	4.06263935494392e-26	8.59568958256556e-25	7.15981029516205e-42	5.57122738592297e-40	0.239130434782609	0.351449275362319	0.409420289855072	12.5005348484848	12.0879587628866	11.3193345132743	0.826169134199134	-0.935679597155112
