Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1362277,"Transcription of E2F targets under negative control by DREAM complex",16,25,0.0017641662550278738,2.2585098469063425E-4,0.42301889432555795,12,12,9.832036050798853E-4,9606,Homo sapiens,"TOP2A;LIN54;PCNA;NECAB3;LIN9;CDC25B;RBL2;RBL1;TFDP1;MYC;E2F1;E2F5;LIN52","","R-HSA-8964475;R-HSA-8964492;R-HSA-8964525;R-HSA-8961665;R-HSA-8964465;R-HSA-8964513;R-HSA-8964482;R-HSA-8964498;R-HSA-8964531;R-HSA-8961619;R-HSA-188345;R-HSA-8964471"
R-HSA-6803211,"TP53 Regulates Transcription of Death Receptors and Ligands",12,18,0.0012701997036200692,9.260122799522597E-4,0.7622958255573504,6,7,5.735354362965998E-4,9606,Homo sapiens,"PPP1R13B;TNFRSF10C;FAS;TNFRSF10B;TNFRSF10A;TP53;TNFRSF10D","","R-HSA-6799815;R-HSA-5633414;R-HSA-5633441;R-HSA-6800001;R-HSA-6800044;R-HSA-6800042"
R-HSA-453279,"Mitotic G1-G1/S phases",59,173,0.012208030484792886,0.001221627925572677,0.7622958255573504,87,98,0.008029496108152397,9606,Homo sapiens,"TOP2A;RB1;LIN54;CCNH;MCM8;PPP2R2A;MYC;MYBL2;LIN52;CDC25B;RBL2;PSMA5;PSMA6;PSMA3;RBL1;TFDP1;PSMA4;DBF4;PSME1;MCM4;PSME2;MCM5;PCNA;NECAB3;RPN2;SRC;LIN9;TYMS;PSMA7;PSMB6;PPP2CB;CCNB1;UBB;PSMB3;E2F1;E2F2;PSMF1;RPS27A;E2F5;CDKN2C;SHFM1;RPA1;RPA2;CABLES1;PTK6;DHFR;CDK7;CDK4;RPA3;POLE2;MNAT1","","R-HSA-1227670;R-HSA-8964492;R-HSA-1227671;R-HSA-8961934;R-HSA-8961678;R-HSA-8942607;R-HSA-8961920;R-HSA-8961665;R-HSA-8964482;R-HSA-8962050;R-HSA-8961671;R-HSA-8961688;R-HSA-8961946;R-HSA-1363328;R-HSA-1363331;R-HSA-8848414;R-HSA-8964498;R-HSA-8961961;R-HSA-8964525;R-HSA-9018017;R-HSA-8961952;R-HSA-8964513;R-HSA-8961699;R-HSA-68914;R-HSA-8848436;R-HSA-187574;R-HSA-68917;R-HSA-68916;R-HSA-187575;R-HSA-8961982;R-HSA-68919;R-HSA-68918;R-HSA-8961840;R-HSA-8932400;R-HSA-8964531;R-HSA-188345;R-HSA-8961972;R-HSA-188350;R-HSA-8961846;R-HSA-182594;R-HSA-1362261;R-HSA-1362270;R-HSA-69195;R-HSA-68940;R-HSA-8964550;R-HSA-69199;R-HSA-8961863;R-HSA-8961991;R-HSA-8941895;R-HSA-8941915;R-HSA-1363276;R-HSA-8964561;R-HSA-8961874;R-HSA-8961619;R-HSA-68954;R-HSA-8942803;R-HSA-8961620;R-HSA-113503;R-HSA-1363274;R-HSA-8964567;R-HSA-188386;R-HSA-68960;R-HSA-8964588;R-HSA-188390;R-HSA-1363314;R-HSA-8978926;R-HSA-113638;R-HSA-8961632;R-HSA-8961888;R-HSA-113643;R-HSA-69227;R-HSA-8964580;R-HSA-8961636;R-HSA-8961895;R-HSA-1363303;R-HSA-8964475;R-HSA-8961915;R-HSA-8964465;R-HSA-1363311;R-HSA-8961651;R-HSA-8961907;R-HSA-1226094;R-HSA-8942836;R-HSA-1226095;R-HSA-1363306;R-HSA-8964471;R-HSA-8962039"
R-HSA-1538133,"G0 and Early G1",18,38,0.0026815327076423682,0.0028404949596047002,0.7898200834227023,27,27,0.002212208111429742,9606,Homo sapiens,"TOP2A;LIN54;PCNA;NECAB3;LIN9;CDC25B;RBL2;RBL1;TFDP1;MYC;E2F1;MYBL2;E2F5;LIN52","","R-HSA-1362261;R-HSA-1227670;R-HSA-8964492;R-HSA-1227671;R-HSA-8961934;R-HSA-8961665;R-HSA-8964482;R-HSA-1362270;R-HSA-8964550;R-HSA-8964561;R-HSA-8964498;R-HSA-8961619;R-HSA-8964567;R-HSA-8964588;R-HSA-8964525;R-HSA-1363314;R-HSA-8978926;R-HSA-8964513;R-HSA-8964580;R-HSA-1363303;R-HSA-8964475;R-HSA-8964465;R-HSA-1363311;R-HSA-8964531;R-HSA-188345;R-HSA-1363306;R-HSA-8964471"
R-HSA-72737,"Cap-dependent Translation Initiation",45,130,0.009173664526144943,0.0032955058107630997,0.7898200834227023,18,18,0.001474805407619828,9606,Homo sapiens,"RPL4;EIF4A1;RPL30;RPLP1;RRP1;RPS27L;RPL8;RPL7;RPS17;RPL36AL;EIF4EBP1;RPL38;RPS27A;RPL17;EIF4E;EIF4B;RPL19;RPL41;EIF2B2;RPS7;RPL21;RPL23;RPL23A;EIF2S2;EIF2S1;EIF5;RPS27;RPS29;EIF3L;EIF3I;RPL37A;EIF3J;EIF3H;RPS20;EIF3E;PABPC1;RPL26;SOS2;RPS21;EIF3B;RPS23","","R-HSA-72673;R-HSA-72672;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-72663;R-HSA-72631;R-HSA-72697;R-HSA-72635;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
R-HSA-72613,"Eukaryotic Translation Initiation",45,130,0.009173664526144943,0.0032955058107630997,0.7898200834227023,20,21,0.0017206063088897993,9606,Homo sapiens,"RPL4;EIF4A1;RPL30;RPLP1;RRP1;RPS27L;RPL8;RPL7;RPS17;RPL36AL;EIF4EBP1;RPL38;RPS27A;RPL17;EIF4E;EIF4B;RPL19;RPL41;EIF2B2;RPS7;RPL21;RPL23;RPL23A;EIF2S2;EIF2S1;EIF5;RPS27;RPS29;EIF3L;EIF3I;RPL37A;EIF3J;EIF3H;RPS20;EIF3E;PABPC1;RPL26;SOS2;RPS21;EIF3B;RPS23","","R-HSA-72673;R-HSA-72672;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-156823;R-HSA-72663;R-HSA-72631;R-HSA-72697;R-HSA-156826;R-HSA-72635;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
R-HSA-72706,"GTP hydrolysis and joining of the 60S ribosomal subunit",42,120,0.008467998024133795,0.003654407955191341,0.7898200834227023,3,3,2.458009012699713E-4,9606,Homo sapiens,"RPL4;EIF4A1;RPL30;RPLP1;RRP1;RPS27L;RPL8;RPL7;RPS17;RPL36AL;RPL38;RPS27A;RPL17;EIF4E;EIF4B;RPL19;RPL41;RPS7;RPL21;RPL23;RPL23A;EIF2S2;EIF2S1;EIF5;RPS27;RPS29;EIF3L;EIF3I;RPL37A;EIF3J;EIF3H;RPS20;EIF3E;RPL26;SOS2;RPS21;EIF3B;RPS23","","R-HSA-72672;R-HSA-72619;R-HSA-72671"
R-HSA-156827,"L13a-mediated translational silencing of Ceruloplasmin expression",42,120,0.008467998024133795,0.003654407955191341,0.7898200834227023,2,3,2.458009012699713E-4,9606,Homo sapiens,"RPL4;EIF4A1;RPL30;RPLP1;RRP1;RPS27L;RPL8;RPL7;RPS17;RPL36AL;RPL38;RPS27A;RPL17;EIF4E;EIF4B;RPL19;RPL41;RPS7;RPL21;RPL23;RPL23A;EIF2S2;EIF2S1;RPS27;RPS29;EIF3L;EIF3I;RPL37A;EIF3J;EIF3H;RPS20;EIF3E;PABPC1;RPL26;SOS2;RPS21;EIF3B;RPS23","","R-HSA-156823;R-HSA-156826"
R-HSA-6791226,"Major pathway of rRNA processing in the nucleolus and cytosol",60,189,0.013337096888010725,0.005157986469150333,0.7898200834227023,7,7,5.735354362965998E-4,9606,Homo sapiens,"RPL4;RBM28;RPL30;RPLP1;WDR3;RRP1;RPL8;RPL7;RPS17;RPL36AL;DBT;RPL38;PELP1;UTP14C;RPS7;RPL21;IMP3;DIS3;RPL23;EBNA1BP2;NCL;RPL37A;XRN2;RPP21;RPL26;RPP25;SOS2;HEATR1;RPS27L;NOL9;RRP7A;EXOSC4;PDCD11;ERI1;EXOSC9;EXOSC8;WBSCR22;RPS27A;RPL17;DCAF13;RPL19;NOP56;RPL41;RIOK3;PNO1;RPL23A;MPP6;BOP1;RPS27;RPS29;TSR1;RPS20;NOL12;RPS21;RPS23","","R-HSA-6791223;R-HSA-6791222;R-HSA-6791221;R-HSA-6791219;R-HSA-6791218;R-HSA-6791228;R-HSA-6791227"
R-HSA-1362300,"Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1",11,20,0.001411333004022299,0.006179469790116188,0.7898200834227023,8,8,6.554690700532568E-4,9606,Homo sapiens,"RBL2;LIN54;NECAB3;TFDP1;RBL1;E2F1;MYBL2;LIN9;E2F5;LIN52","","R-HSA-8964588;R-HSA-8961934;R-HSA-8978926;R-HSA-8964561;R-HSA-8964513;R-HSA-8964580;R-HSA-8964550;R-HSA-8964567"
