Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-72706,"GTP hydrolysis and joining of the 60S ribosomal subunit",68,120,0.008467998024133795,0.005928577450513228,0.923563564406533,3,3,2.458009012699713E-4,9606,Homo sapiens,"RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL34;RPLP1;RRP1;RPL8;RPL7;RPS17;RPS16;RPS19;RPS18;RPL36AL;EIF3CL;RPL38;RPS11;RPS10;TGM2;EIF5B;RPS7;RPL21;RPS8;RPS5;RPL23;RPL22;RPL13A;RPS3A;RPL37A;RPL27;RPL26;SOS2;RPL28;RPL11;RPS27L;RPS15A;RPL13;RPS27A;RPL18;EIF4E;RPL17;EIF4B;RPL19;RPL41;RPL23A;EIF2S2;EIF2S1;RPS26;EIF5;RPS27;RPS29;EIF3L;EIF3I;EIF3J;EIF3H;RPS20;EIF3E;EIF3C;RPS21;EIF3B;RPS23","","R-HSA-72672;R-HSA-72619;R-HSA-72671"
R-HSA-72689,"Formation of a pool of free 40S subunits",61,106,0.007480064921318185,0.0064586340156799205,0.923563564406533,2,2,1.638672675133142E-4,9606,Homo sapiens,"RPL4;RPL5;RPL30;RPL3;RPL34;RPLP1;RRP1;RPL8;RPL7;RPS17;RPS16;RPS19;RPS18;RPL36AL;EIF3CL;RPL38;RPS11;RPS10;TGM2;RPS7;RPL21;RPS8;RPS5;RPL23;RPL22;RPL13A;RPS3A;RPL37A;RPL27;RPL26;SOS2;RPL28;RPL11;RPS27L;RPS15A;RPL13;RPS27A;RPL18;RPL17;RPL19;RPL41;RPL23A;RPS26;RPS27;RPS29;EIF3L;EIF3I;EIF3J;EIF3H;RPS20;EIF3E;EIF3C;RPS21;EIF3B;RPS23","","R-HSA-72673;R-HSA-72676"
R-HSA-6804114,"TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest",17,21,0.001481899654223414,0.007273580732190754,0.923563564406533,11,11,9.012699713232282E-4,9606,Homo sapiens,"PCNA;GADD45A;PRMT1;CDC25C;AURKA;RBL2;CCNB1;RBL1;TFDP1;BAX;EP300;SFN;TP53;ZNF385A","","R-HSA-3215152;R-HSA-6791109;R-HSA-6803892;R-HSA-6791235;R-HSA-6803875;R-HSA-6803858;R-HSA-6803890;R-HSA-6803871;R-HSA-3215144;R-HSA-6798268;R-HSA-6798282"
R-HSA-72613,"Eukaryotic Translation Initiation",72,130,0.009173664526144943,0.007836829922191813,0.923563564406533,21,21,0.0017206063088897993,9606,Homo sapiens,"RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL34;RPLP1;RRP1;RPL8;RPL7;RPS17;RPS16;RPS19;RPS18;RPL36AL;EIF3CL;RPL38;RPS11;RPS10;TGM2;EIF5B;RPS7;RPL21;RPS8;RPS5;RPL23;RPL22;RPL13A;RPS3A;RPL37A;RPL27;PABPC1;RPL26;SOS2;RPL28;RPL11;RPS27L;RPS15A;EIF4EBP1;RPL13;RPS27A;RPL18;EIF4E;RPL17;EIF4B;RPL19;EIF2B3;RPL41;EIF2B2;RPL23A;EIF2S2;EIF2S1;RPS26;EIF5;RPS27;RPS29;EIF3L;EIF3I;EIF3J;EIF3H;RPS20;EIF3E;EIF3C;RPS21;EIF3B;RPS23","","R-HSA-72673;R-HSA-72672;R-HSA-156832;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-156823;R-HSA-72663;R-HSA-72631;R-HSA-72697;R-HSA-156826;R-HSA-72635;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
R-HSA-72737,"Cap-dependent Translation Initiation",72,130,0.009173664526144943,0.007836829922191813,0.923563564406533,18,18,0.001474805407619828,9606,Homo sapiens,"RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL34;RPLP1;RRP1;RPL8;RPL7;RPS17;RPS16;RPS19;RPS18;RPL36AL;EIF3CL;RPL38;RPS11;RPS10;TGM2;EIF5B;RPS7;RPL21;RPS8;RPS5;RPL23;RPL22;RPL13A;RPS3A;RPL37A;RPL27;PABPC1;RPL26;SOS2;RPL28;RPL11;RPS27L;RPS15A;EIF4EBP1;RPL13;RPS27A;RPL18;EIF4E;RPL17;EIF4B;RPL19;EIF2B3;RPL41;EIF2B2;RPL23A;EIF2S2;EIF2S1;RPS26;EIF5;RPS27;RPS29;EIF3L;EIF3I;EIF3J;EIF3H;RPS20;EIF3E;EIF3C;RPS21;EIF3B;RPS23","","R-HSA-72673;R-HSA-72672;R-HSA-72676;R-HSA-72647;R-HSA-72619;R-HSA-156808;R-HSA-72621;R-HSA-72622;R-HSA-72691;R-HSA-72722;R-HSA-72663;R-HSA-72631;R-HSA-72697;R-HSA-72635;R-HSA-157849;R-HSA-72669;R-HSA-72671;R-HSA-72670"
R-HSA-156827,"L13a-mediated translational silencing of Ceruloplasmin expression",67,120,0.008467998024133795,0.00848720751256038,0.923563564406533,3,3,2.458009012699713E-4,9606,Homo sapiens,"RPL4;EIF4A1;RPL5;RPL30;RPL3;RPL34;RPLP1;RRP1;RPL8;RPL7;RPS17;RPS16;RPS19;RPS18;RPL36AL;EIF3CL;RPL38;RPS11;RPS10;TGM2;RPS7;RPL21;RPS8;RPS5;RPL23;RPL22;RPL13A;RPS3A;RPL37A;RPL27;PABPC1;RPL26;SOS2;RPL28;RPL11;RPS27L;RPS15A;RPL13;RPS27A;RPL18;EIF4E;RPL17;EIF4B;RPL19;RPL41;RPL23A;EIF2S2;EIF2S1;RPS26;RPS27;RPS29;EIF3L;EIF3I;EIF3J;EIF3H;RPS20;EIF3E;EIF3C;RPS21;EIF3B;RPS23","","R-HSA-156832;R-HSA-156823;R-HSA-156826"
R-HSA-3371511,"HSF1 activation",28,43,0.003034365958647943,0.013209345742474121,0.923563564406533,7,7,5.735354362965998E-4,9606,Homo sapiens,"YWHAE;HSP90AA1;HSPA1L;HSBP1;RPA1;RPA2;DEDD2;HSPH1;UBB;RPA3;HSF1;RLN1;FKBP4;SLC29A1;HSPA1B;HSPA1A","","R-HSA-3371586;R-HSA-4793819;R-HSA-5082409;R-HSA-3371591;R-HSA-3371527;R-HSA-5324632;R-HSA-5082391"
R-HSA-3371568,"Attenuation phase",30,47,0.0033166325594524027,0.013614896217300165,0.923563564406533,5,5,4.0966816878328555E-4,9606,Homo sapiens,"HSP90AA1;HSPA1L;HSBP1;HSPA2;DEDD2;HSPH1;UBB;HSF1;EP300;RLN1;FKBP4;SLC29A1;HSPA1B;HSPA1A","","R-HSA-3371554;R-HSA-5324617;R-HSA-5082369;R-HSA-3371582;R-HSA-5082384"
R-HSA-156711,"Polo-like kinase mediated events",17,23,0.0016230329546256439,0.016303295012504715,0.923563564406533,15,15,0.0012290045063498567,9606,Homo sapiens,"LIN54;PLK1;LIN9;FOXM1;CDC25C;MYT1;CDC25B;CCNB2;CCNB1;CENPF;EP300;MYBL2;LIN52","","R-HSA-162657;R-HSA-156678;R-HSA-4088152;R-HSA-4088441;R-HSA-4088439;R-HSA-4088309;R-HSA-4088306;R-HSA-4088307;R-HSA-4088305;R-HSA-4088298;R-HSA-4088299;R-HSA-4088134;R-HSA-156699;R-HSA-4088130;R-HSA-4088162"
R-HSA-1362277,"Transcription of E2F targets under negative control by DREAM complex",18,25,0.0017641662550278738,0.017374820635401855,0.923563564406533,12,12,9.832036050798853E-4,9606,Homo sapiens,"TOP2A;LIN54;PCNA;NECAB3;CDC6;LIN9;CDC25B;RBL2;RBL1;TFDP1;MYC;E2F1;E2F5;LIN52","","R-HSA-8964475;R-HSA-8964492;R-HSA-8964525;R-HSA-8961665;R-HSA-8964465;R-HSA-8964513;R-HSA-8964482;R-HSA-8964498;R-HSA-8964531;R-HSA-8961619;R-HSA-188345;R-HSA-8964471"
R-HSA-6803211,"TP53 Regulates Transcription of Death Receptors and Ligands",14,18,0.0012701997036200692,0.018803000470311804,0.923563564406533,7,7,5.735354362965998E-4,9606,Homo sapiens,"PPP1R13B;TNFRSF10C;TMEM219;FAS;TNFRSF10B;TNFRSF10A;TP53;TP73;TNFRSF10D","","R-HSA-6799815;R-HSA-5633414;R-HSA-5633441;R-HSA-6800035;R-HSA-6800001;R-HSA-6800044;R-HSA-6800042"
R-HSA-156902,"Peptide chain elongation",53,97,0.006844965069508151,0.024525505264733738,0.923563564406533,4,5,4.0966816878328555E-4,9606,Homo sapiens,"RPL4;RPL5;RPL30;RPL3;RPL34;RPLP1;RRP1;RPL11;RPS27L;RPL8;RPL7;RPS17;RPS16;RPS15A;RPS19;RPS18;RPL36AL;RPL13;RPL38;RPL18;RPS11;RPS27A;RPL17;RPS10;RPL19;RPL41;RPS7;RPL21;RPS8;RPS5;RPL23;RPL22;RPL13A;RPS3A;RPL23A;RPS26;RPS27;RPS29;RPL37A;RPL27;RPS20;RPL26;SOS2;RPL28;RPS21;RPS23","","R-HSA-156915;R-HSA-156912;R-HSA-156923;R-HSA-156907"
R-HSA-156842,"Eukaryotic Translation Elongation",55,102,0.007197798320513725,0.02760056830862334,0.923563564406533,6,9,7.37402703809914E-4,9606,Homo sapiens,"RPL4;RPL5;RPL30;RPL3;RPL34;RPLP1;RRP1;RPL11;RPS27L;RPL8;RPL7;EEF1B2;RPS17;RPS16;RPS15A;RPS19;RPS18;RPL36AL;RPL13;RPL38;RPL18;RPS11;RPS27A;RPL17;RPS10;RPL19;RPL41;RPS7;RPL21;RPS8;RPS5;RPL23;RPL22;RPL13A;RPS3A;RPL23A;RPS26;RPS27;RPS29;EEF1D;RPL37A;RPL27;RPS20;RPL26;SOS2;RPL28;RPS21;RPS23","","R-HSA-156915;R-HSA-156912;R-HSA-156913;R-HSA-156923;R-HSA-156907;R-HSA-156910"
R-HSA-975956,"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",54,101,0.0071272316703126105,0.032775078685019166,0.923563564406533,1,1,8.19336337566571E-5,9606,Homo sapiens,"RPL4;RPL5;RPL30;RPL3;RPL34;RPLP1;RRP1;RPL11;RPS27L;RPL8;RPL7;RPS17;RPS16;RPS15A;RPS19;RPS18;RPL36AL;RPL13;RPL38;RPL18;RPS11;RPS27A;RPL17;RPS10;RPL19;RPL41;RPS7;RPL21;RPS8;RPS5;RPL23;RPL22;RPL13A;RPS3A;RPL23A;RPS26;RPS27;RPS29;RPL37A;RPL27;RPS20;PABPC1;RPL26;SOS2;RPL28;RPS21;RPS23","","R-HSA-927789"
R-HSA-2559585,"Oncogene Induced Senescence",25,42,0.002963799308446828,0.04480202341347217,0.923563564406533,17,18,0.001474805407619828,9606,Homo sapiens,"RB1;ADSL;NECAB3;CDKN2C;CDKN2A;ETS2;TNRC6C;MOV10;TFDP1;CDK6;UBB;CDK4;ID1;E2F1;E2F2;MDM4;RPS27A;TP53;TNRC6B;MAPK3","","R-HSA-182594;R-HSA-6804998;R-HSA-6804996;R-HSA-8979082;R-HSA-3209109;R-HSA-3209111;R-HSA-3200023;R-HSA-6804879;R-HSA-3209177;R-HSA-3209114;R-HSA-3209179;R-HSA-3132737;R-HSA-3209151;R-HSA-3209096;R-HSA-3209160;R-HSA-3209098;R-HSA-3209165"
R-HSA-1538133,"G0 and Early G1",23,38,0.0026815327076423682,0.04522738032046092,0.923563564406533,27,27,0.002212208111429742,9606,Homo sapiens,"TOP2A;LIN54;PCNA;NECAB3;CDC6;LIN9;CDC25B;RBL2;CCNA2;RBL1;TFDP1;CCNE2;MYC;E2F1;MYBL2;E2F5;LIN52","","R-HSA-1362261;R-HSA-1227670;R-HSA-8964492;R-HSA-1227671;R-HSA-8961934;R-HSA-8961665;R-HSA-8964482;R-HSA-1362270;R-HSA-8964550;R-HSA-8964561;R-HSA-8964498;R-HSA-8961619;R-HSA-8964567;R-HSA-8964588;R-HSA-8964525;R-HSA-1363314;R-HSA-8978926;R-HSA-8964513;R-HSA-8964580;R-HSA-1363303;R-HSA-8964475;R-HSA-8964465;R-HSA-1363311;R-HSA-8964531;R-HSA-188345;R-HSA-1363306;R-HSA-8964471"
R-HSA-72649,"Translation initiation complex formation",34,62,0.004375132312469127,0.05791151854449583,0.923563564406533,2,2,1.638672675133142E-4,9606,Homo sapiens,"EIF4A1;RPS27L;RPS17;RPS16;RPS15A;RPS19;RPS18;EIF3CL;RPS11;RPS27A;RPS10;EIF4E;EIF4B;TGM2;RPS7;RPS8;RPS5;RPS3A;EIF2S2;EIF2S1;RPS26;RPS27;RPS29;EIF3L;EIF3I;EIF3J;EIF3H;RPS20;EIF3E;PABPC1;EIF3C;RPS21;EIF3B;RPS23","","R-HSA-156808;R-HSA-157849"
R-HSA-912446,"Meiotic recombination",32,58,0.0040928657116646675,0.060208571465868665,0.923563564406533,7,9,7.37402703809914E-4,9606,Homo sapiens,"HIST1H2BN;BLM;SLC22A5;HIST1H2BJ;HIST1H2BK;BRCA1;BRCA2;PSMC3IP;H2AFJ;RBBP8;HIST1H3H;NBN;H2AFZ;HIST1H2AK;TOP3A;H3F3A;RPA1;RPA2;MND1;MLH3;RAD50;RAD51;RAD51C;CDK4;MSH4;RPA3;MSH5;DMC1;HIST1H4J","","R-HSA-912429;R-HSA-912458;R-HSA-912503;R-HSA-9023941;R-HSA-912496;R-HSA-9023943;R-HSA-1214188"
