HGNC ID	Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
HGNC:37133	A1BG-AS1	FLJ23569	NCRNA00181	503538
HGNC:37133	A1BG-AS1	FLJ23569	A1BGAS	503538
HGNC:37133	A1BG-AS1	FLJ23569	A1BG-AS	503538
HGNC:27057	A2M-AS1			144571
HGNC:41022	A2ML1-AS1			100874108
HGNC:41523	A2ML1-AS2			106478979
HGNC:50301	AADACL2-AS1			101928142
HGNC:51526	AATBC			284837
HGNC:49667	ABALON	INXS		103021294
HGNC:39983	ABCA9-AS1			104355297
HGNC:40055	ABCC5-AS1			100873982
HGNC:53628	ABCF1-DT			107986587
HGNC:18289	ABHD11-AS1	NCRNA00035	WBSCR26	171022
HGNC:18289	ABHD11-AS1	NCRNA00035	LINC00035	171022
HGNC:49685	ABHD15-AS1	linc-TP53I13		104355133
HGNC:49685	ABHD15-AS1	lnc-TP53I13		104355133
HGNC:41426	ACAP2-IT1			100874306
HGNC:40701	ACBD3-AS1	RP11-275I14.4		107985353
HGNC:41112	ACOXL-AS1			400997
HGNC:45169	ACTA2-AS1	uc001kfo.1		100132116
HGNC:45169	ACTA2-AS1	ZXF1		100132116
HGNC:45169	ACTA2-AS1	UC001kfo		100132116
HGNC:20131	ACTN1-AS1		C14orf84	161159
HGNC:53965	ACTR3-AS1	AC104653.1		101060091
HGNC:44161	ACVR2B-AS1			100128640
HGNC:40625	ADAMTS9-AS1			101929335
HGNC:42435	ADAMTS9-AS2			100507098
HGNC:40797	ADAMTS19-AS1	RP11-346A9.1		103689846
HGNC:32041	ADAMTSL4-AS1	FLJ45786	C1orf138	574406
HGNC:23299	ADARB2-AS1	bA466B20.1	C10orf109	642394
HGNC:23299	ADARB2-AS1	bA466B20.1	NCRNA00168	642394
HGNC:53332	ADCY6-DT			100506125
HGNC:48682	ADD3-AS1			100505933
HGNC:49543	ADGRA1-AS1		GPR123-AS1	100128127
HGNC:53314	ADGRD1-AS1	LACAT8		105755954
HGNC:50604	ADGRL3-AS1		LPHN3-AS1	101927186
HGNC:40648	ADIPOQ-AS1			100874095
HGNC:45127	ADIRF-AS1			100133190
HGNC:51227	ADNP-AS1			101927631
HGNC:37122	ADORA2A-AS1	FLJ34651	C22orf45	646023
HGNC:44144	ADPGK-AS1			100287559
HGNC:28141	AFAP1-AS1	MGC10981	AFAP1AS	84740
HGNC:28141	AFAP1-AS1	MGC10981	AFAP1-AS	84740
HGNC:21236	AFDN-DT	HGC6.4	C6orf124	653483
HGNC:21236	AFDN-DT	HGC6.4	MLLT4-AS1	653483
HGNC:21236	AFDN-DT	HGC6.4	AFDN-AS1	653483
HGNC:21236	AFDN-DT	dJ431P23.3	C6orf124	653483
HGNC:21236	AFDN-DT	dJ431P23.3	MLLT4-AS1	653483
HGNC:21236	AFDN-DT	dJ431P23.3	AFDN-AS1	653483
HGNC:53447	AFF1-AS1			100506746
HGNC:41334	AFF2-IT1			100874269
HGNC:41427	AGAP1-IT1			100506749
HGNC:48633	AGAP2-AS1	LOC100130776		100130776
HGNC:48633	AGAP2-AS1	PUNISHER		100130776
HGNC:48617	AGBL1-AS1			727915
HGNC:41482	AGBL4-IT1			100874313
HGNC:41133	AGBL5-AS1			100874031
HGNC:41484	AGBL5-IT1			106481744
HGNC:20988	AGPAT4-IT1	FLJ23112	C6orf59	79992
HGNC:20988	AGPAT4-IT1	FLJ23112	NCRNA00241	79992
HGNC:34515	AIRN	AIR		100271873
HGNC:34515	AIRN	NCRNA00088		100271873
HGNC:34515	AIRN	IGF2RAS		100271873
HGNC:34515	AIRN	IGF2R-AS1		100271873
HGNC:41304	AKT3-IT1			100874263
HGNC:40244	ALDH1L1-AS1			100874204
HGNC:42446	ALDH1L1-AS2			100862662
HGNC:41409	ALG9-IT1			100874303
HGNC:41277	ALG13-AS1			106478971
HGNC:48670	ALKBH3-AS1			100507300
HGNC:41305	ALMS1-IT1			100874291
HGNC:51342	ALOX12-AS1			100506713
HGNC:41306	AMMECR1-IT1			100874352
HGNC:54102	ANK3-DT			105378320
HGNC:39891	ANKRD10-IT1			100505494
HGNC:41298	ANKRD33B-AS1			100874247
HGNC:48618	ANKRD34C-AS1			729911
HGNC:41477	ANKRD44-IT1			101927547
HGNC:40016	ANO1-AS1			100873981
HGNC:54190	ANO3-AS1			105376599
HGNC:25672	ANP32A-IT1	FLJ11722	C15orf28	80035
HGNC:25672	ANP32A-IT1	FLJ11722	NCRNA00321	80035
HGNC:25672	ANP32A-IT1	HsT18971	C15orf28	80035
HGNC:25672	ANP32A-IT1	HsT18971	NCRNA00321	80035
HGNC:41307	AOAH-IT1			100874264
HGNC:44114	AP4B1-AS1			100287722
HGNC:27152	APCDD1L-DT		APCDD1L-AS1	149773
HGNC:40079	APOA1-AS			104326055
HGNC:43836	APOBEC3B-AS1			100874530
HGNC:44173	APTR		RSBN1L-AS1	100505854
HGNC:26399	AQP4-AS1	FLJ30507	C18orf16	147429
HGNC:26399	AQP4-AS1	FLJ30507	CHST9-AS1	147429
HGNC:39993	ARAP1-AS1			100874075
HGNC:39994	ARAP1-AS2			100506020
HGNC:51593	ARF4-AS1			106144532
HGNC:20279	ARHGAP5-AS1	MGC15504	C14orf128	84837
HGNC:42944	ARHGAP22-IT1	FLJ35752		100689073
HGNC:40792	ARHGAP26-AS1			100874239
HGNC:41429	ARHGAP26-IT1			100874372
HGNC:54311	ARHGAP29-AS1			107985092
HGNC:41235	ARHGAP31-AS1			100874246
HGNC:40083	ARHGEF3-AS1			100874200
HGNC:39816	ARHGEF7-AS1			100874226
HGNC:40717	ARHGEF7-AS2			100874238
HGNC:41408	ARHGEF7-IT1			100874371
HGNC:41401	ARHGEF9-IT1			100874355
HGNC:39996	ARHGEF19-AS1			100874233
HGNC:41048	ARHGEF26-AS1			100507524
HGNC:41483	ARHGEF38-IT1			100874374
HGNC:53032	ARLNC1	PRCAT47	LINC02170	100996425
HGNC:41008	ARMC2-AS1			101929716
HGNC:41038	ARMCX3-AS1			100128574
HGNC:49892	ARNTL2-AS1			101928646
HGNC:40785	ARPP21-AS1			100874098
HGNC:23395	ARRDC1-AS1		C9orf37	85026
