HGNC ID	Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
HGNC:22	AAVS1	AAV		17
HGNC:38856	ABHD14A-ACY1			100526760
HGNC:229	ADCP1			106
HGNC:29421	AGAP11	KIAA1975		119385
HGNC:466	AMLCR2			9163
HGNC:482	ANCR			282
HGNC:33530	ANKHD1-EIF4EBP3	MASK-BP3		404734
HGNC:42393	ANKRD62P1-PARP4P3	VWFP1-ANKRD62P1-PARP4P3		23783
HGNC:16675	ANP32C	PP32R1		23520
HGNC:53766	AOX3P-AOX2P			107161151
HGNC:44426	APOC4-APOC2			100533990
HGNC:48348	ARHGAP19-SLIT1			100533184
HGNC:52873	ARHGAP27P1-BPTFP1-KPNA2P3			109286553
HGNC:49197	ARL2-SNX15			100528018
HGNC:42000	ARMCX5-GPRASP2			100528062
HGNC:38830	ARPC4-TTLL3			100526693
HGNC:38824	ARPIN-AP3S2		C15orf38-AP3S2	100526783
HGNC:716	ARSC2		ARSC	413
HGNC:38844	ATP5MF-PTCD1		ATP5J2-PTCD1	100526740
HGNC:41999	ATP6V1G2-DDX39B			100532737
HGNC:33793	ATP11AUN	FLJ26443	C13orf35	400165
HGNC:33793	ATP11AUN	SMABLO1	C13orf35	400165
HGNC:915	B2MR			568
HGNC:53652	B3GNT10			100288842
HGNC:15723	BAGE2	CT2.2		85319
HGNC:42959	BCL2L2-PABPN1			100529063
HGNC:43690	BIVM-ERCC5			100533467
HGNC:42001	BLOC1S5-TXNDC5		MUTED-TXNDC5	100526836
HGNC:53563	BOLA2-SMG1P6			107282092
HGNC:49183	BORCS7-ASMT		C10orf32-ASMT	100528007
HGNC:39979	BORCS8-MEF2B		MEF2BNB-MEF2B	4207
HGNC:42540	BTNL10	BUTR1		100129094
HGNC:42540	BTNL10	BTN4		100129094
HGNC:52276	BUB1B-PAK6			106821730
HGNC:1153	BVR1			700
HGNC:32061	C1orf147	FLJ32597		574431
HGNC:32332	C1orf195			727684
HGNC:32336	C1orf196			780789
HGNC:33759	C1orf229	FLJ45717		388759
HGNC:49198	C1QTNF3-AMACR			100534612
HGNC:25077	C2orf27A		C2orf27	29798
HGNC:33824	C2orf27B	MGC50273		408029
HGNC:26322	C2orf48	FLJ25102		348738
HGNC:1320	C3CER1	CER1		23739
HGNC:37259	C3orf79			152118
HGNC:44570	C3orf86		LINC00694	102724231
HGNC:26744	C5orf64	FLJ37543		285668
HGNC:48332	C5orf66			100996485
HGNC:21179	C6orf99	yR211F11.1		100130967
HGNC:34432	C7orf65	FLJ44108		401335
HGNC:33712	C7orf66			154907
HGNC:21911	C7orf69	FLJ21075		80099
HGNC:17737	C8orf17	MOST-1		100507249
HGNC:26731	C8orf31	FLJ37131		286122
HGNC:48354	C8orf44-SGK3			100533105
HGNC:32200	C8orf49	FLJ30972		606553
HGNC:32200	C8orf49	G4DM		606553
HGNC:42974	C8orf87			389676
HGNC:28581	C9orf62	MGC35463		157927
HGNC:31426	C9orf139	FLJ36268		401563
HGNC:31426	C9orf139	FLJ42909		401563
HGNC:31438	C9orf147	bA32M23.3		100133204
HGNC:26718	C9orf163	FLJ36779		158055
HGNC:33817	C9orf170	FLJ45537		401535
HGNC:23509	C10orf25	FLJ30567		220979
HGNC:23986	C11orf40	NOV1		143501
HGNC:26805	C11orf44	FLJ39058		283171
HGNC:27282	C12orf77			196415
HGNC:27473	C12orf80			283403
HGNC:26549	C15orf32	FLJ32831		145858
HGNC:33868	C15orf56	FLJ38596		644809
HGNC:28329	C16orf47	FLJ26184		388289
HGNC:44658	C16orf97			388276
HGNC:26480	C17orf77	FLJ31882		146723
HGNC:32699	C17orf82			388407
HGNC:34412	C17orf102	FLJ44815		400591
HGNC:42963	C17orf112			100506650
HGNC:24918	C18orf12	HEIL1		84322
HGNC:24918	C18orf12	HsT2508		84322
HGNC:26447	C18orf15	FLJ31338		147276
HGNC:26447	C18orf15	HsT3231		147276
HGNC:51248	C18orf65			400658
HGNC:16210	C20orf78	dJ1068E13.1		100128496
HGNC:16174	C20orf181	dJ824A14.1		100128998
HGNC:26601	C20orf197	FLJ33860		284756
HGNC:23051	C22orf24	HSN44A4A		25775
HGNC:28010	C22orf34			348645
HGNC:26294	C22orf46	FLJ23584		79640
HGNC:26294	C22orf46	CTA-216E10.6		79640
HGNC:1525	CATR1			856
HGNC:52279	CCDC92B			101928991
HGNC:38866	CCDC169-SOHLH2		C13orf38-SOHLH2	100526761
HGNC:44436	CCL15-CCL14			348249
HGNC:14381	CDRT2			94144
HGNC:14384	CDRT5			94148
HGNC:14390	CDRT10			94153
HGNC:14391	CDRT11			94154
HGNC:14392	CDRT12			94155
HGNC:14393	CDRT13			94156
HGNC:1838	CECR			1055
HGNC:38843	CENPS-CORT		APITD1-CORT	100526739
HGNC:41998	CHKB-CPT1B			386593
HGNC:42960	CHURC1-FNTB			100529261
HGNC:39977	CKLF-CMTM1			100529251
HGNC:2199	COL1AR			1279
HGNC:39849	COL4A2-AS2			100129836
HGNC:33789	COLCA1	FLJ45803	C11orf92	399948
HGNC:33789	COLCA1	CASC12	C11orf92	399948
HGNC:48326	COMMD3-BMI1			100532731
HGNC:44424	CORO7-PAM16			100529144
HGNC:26619	CRIPAK	FLJ34443		285464
HGNC:37078	CRNDE	LOC643911		643911
HGNC:37078	CRNDE	LINC00180		643911
HGNC:37078	CRNDE	CRNDEP		643911
HGNC:2374	CRSP5	CRSP85		10688
HGNC:53757	CRYZL2P-SEC16B			111240474
HGNC:51504	CYP3A7-CYP3A51P			100861540
HGNC:2708	DCR	DSCR		1637
HGNC:32231	DEFA1A3	DEFA1		613253
HGNC:32231	DEFA1A3	DEFA3		613253
HGNC:32231	DEFA1A3	DEFT1P		613253
HGNC:18089	DEFB108A	DEFB-8	DEFB108	503694
HGNC:18089	DEFB108A	DEFB-8	DEFB108P1	503694
HGNC:30847	DEFB108C		DEFB108P2	503837
HGNC:33469	DEFB109B		DEFB109P1B	641517
HGNC:43844	DEFB109C			100286963
HGNC:2844	DGCR	CATCH22		1714
HGNC:19732	DHRS4L1	SDR25C4		728635
HGNC:43019	DNAAF4-CCPG1		DYX1C1-CCPG1	100533483
HGNC:32397	DNAJB3	HCG3		414061
HGNC:37501	DNAJC25-GNG10			552891
HGNC:16136	DPH3P1	dJ885L7.5	C20orf143	100132911
HGNC:16136	DPH3P1	dJ885L7.5	ZCSL1	100132911
HGNC:16136	DPH3P1	dJ885L7.5	DPH3B	100132911
HGNC:42360	DTX2P1-UPK3BP1-PMS2P11			441263
HGNC:3079	DUX1			26584
HGNC:3081	DUX3			26582
HGNC:3083	DUX5			26581
HGNC:3142	EBVM1			1887
HGNC:3143	EBVS1			1888
HGNC:53615	EEF1AKMT4-ECE2			110599583
HGNC:49187	EEF1E1-BLOC1S5			100526837
HGNC:38825	EPPIN-WFDC6		SPINLW1-WFDC6	100526773
HGNC:3442	ERDA1			9030
HGNC:22218	ERV3-2	KIAA1466		57612
HGNC:39060	ERV9-1	pTR2		100616497
HGNC:41524	ERV18-1			100133791
HGNC:14602	ERVE-1	HERV-E1	ERVE1	85314
HGNC:14602	ERVE-1	HERVE1	ERVE1	85314
HGNC:14602	ERVE-1	TCONS_00025599	ERVE1	85314
HGNC:39048	ERVE-2			100862691
HGNC:39049	ERVE-3			100862700
HGNC:39050	ERVE-4			100616105
HGNC:38137	ERVFC1-1	FLJ42291		346547
HGNC:38137	ERVFC1-1	envF(c)2		346547
HGNC:38137	ERVFC1-1	TCONS_l2_00027524		346547
HGNC:39047	ERVFH21-1	HERV-F(XA34)		100616104
HGNC:35201	ERVFRD-2	FLJ45949		388560
HGNC:49792	ERVFRD-3			100533725
HGNC:39053	ERVH-1	HERV-H4p15.2		100616446
HGNC:39054	ERVH-2	HERV-HX		100616461
HGNC:39055	ERVH-3	HERV-H/F		100289683
HGNC:39055	ERVH-3	TCONS_l2_00025412		100289683
HGNC:21344	ERVH-4	HERV-HD1		51359
HGNC:39057	ERVH-5			100862699
HGNC:39058	ERVH-6			51581
