HGNC ID	Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
HGNC:114	ACLS			46
HGNC:185	AD5			8081
HGNC:247	ADFN			122
HGNC:309	AF8T			169
HGNC:310	AFA			170
HGNC:312	AFD1			171
HGNC:323	AGMX2			179
HGNC:350	AIC			192
HGNC:355	AIH3			201
HGNC:16304	AIS1			373071
HGNC:23054	AIS2			378426
HGNC:23083	AIS3			378427
HGNC:444	ALS3			253
HGNC:446	ALS5			255
HGNC:34539	ALS7			406238
HGNC:456	AMCN	AMC		261
HGNC:456	AMCN	AMCN1		261
HGNC:456	AMCN	AMC1		261
HGNC:17627	ANIB1			116833
HGNC:31941	ANIB2			449013
HGNC:31942	ANIB3			497657
HGNC:31943	ANIB4			724058
HGNC:498	ANOP1	MCOPS4		289
HGNC:731	ARVD3			424
HGNC:732	ARVD4			425
HGNC:741	ASD1			431
HGNC:780	ATD			465
HGNC:793	ATHS	ALP		470
HGNC:31916	AUNX1	DFNX5		751798
HGNC:892	AUTS1			100188832
HGNC:12721	AVSD1	AVSD	VSD1	7446
HGNC:12721	AVSD1	AVCD	VSD1	7446
HGNC:908	AZF1	AZFa	AZF	560
HGNC:1000	BCL5			603
HGNC:23827	BMIQ1			170815
HGNC:23828	BMIQ2			192149
HGNC:23829	BMIQ3			337895
HGNC:31117	BMIQ5			449016
HGNC:22120	BMIQ6			449017
HGNC:18617	BRCA3	BRCAX		60500
HGNC:1147	BTS1			698
HGNC:1387	CACD			772
HGNC:20683	CANDN1	FCNC		338434
HGNC:20683	CANDN1	CANDF3		338434
HGNC:1559	CCA1	CTRCT7		878
HGNC:1561	CCAL1	CPDD		882
HGNC:1614	CCT			907
HGNC:1624	CCV	CTRCT8		7792
HGNC:1715	CDAN3	CDAIII		981
HGNC:1716	CDB2	CDTB		982
HGNC:1792	CDL1		CDL	
HGNC:1793	CDL2			1023
HGNC:19378	CELIAC2	CD		317782
HGNC:19378	CELIAC2	GSE		317782
HGNC:1860	CEPA			
HGNC:1881	CFM1			10167
HGNC:1882	CFM2			23727
HGNC:1887	CGF1			1083
HGNC:1992	CKBE			1156
HGNC:2004	CLA3		CPD1	1167
HGNC:20394	CLAM	PCH3		373073
HGNC:32782	CLN9			497231
HGNC:2102	CMD1B	FDC		1218
HGNC:2106	CMD1F	CDCD3		
HGNC:2106	CMD1F	LGMD1E		
HGNC:2108	CMD1H			23459
HGNC:14541	CMD1K			65014
HGNC:32552	CMD1Q			664728
HGNC:2124	CMM	CMM1	DNS	1243
HGNC:2126	CMR1A			1245
HGNC:2127	CMR2A			1246
HGNC:2128	CMR3A			1247
HGNC:2129	CMT1A	HMSNIA		
HGNC:2132	CMT2B			
HGNC:2137	CMTX2			1253
HGNC:2138	CMTX3			1254
HGNC:2139	CNA1			1255
HGNC:2141	CNC2		CNC	1257
HGNC:2182	COD2	CORDX2		1275
HGNC:2245	CORD1		CORD	1319
HGNC:2247	CORD4			1321
HGNC:2251	CORD8			54109
HGNC:48676	CORD17			101409267
HGNC:30998	CPAT1			60502
HGNC:2489	CTAA1			1483
HGNC:2490	CTAA2			1484
HGNC:2497	CTD			1283
