HGNC ID	Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
HGNC:5	A1BG			1
HGNC:24086	A1CF	ACF		29974
HGNC:24086	A1CF	ASP		29974
HGNC:24086	A1CF	ACF64		29974
HGNC:24086	A1CF	ACF65		29974
HGNC:24086	A1CF	APOBEC1CF		29974
HGNC:7	A2M	FWP007		2
HGNC:7	A2M	S863-7		2
HGNC:7	A2M	CPAMD5		2
HGNC:23336	A2ML1	FLJ25179	CPAMD9	144568
HGNC:23336	A2ML1	p170	CPAMD9	144568
HGNC:30005	A3GALT2	IGBS3S	A3GALT2P	127550
HGNC:30005	A3GALT2	IGB3S	A3GALT2P	127550
HGNC:18149	A4GALT	A14GALT	P1	53947
HGNC:18149	A4GALT	Gb3S	P1	53947
HGNC:18149	A4GALT	P(k)	P1	53947
HGNC:17968	A4GNT	alpha4GnT		51146
HGNC:13666	AAAS			8086
HGNC:21298	AACS	FLJ12389		65985
HGNC:21298	AACS	SUR-5		65985
HGNC:21298	AACS	ACSF1		65985
HGNC:17	AADAC	DAC		13
HGNC:17	AADAC	CES5A1		13
HGNC:24427	AADACL2	MGC72001		344752
HGNC:32037	AADACL3	OTTHUMG00000001887		126767
HGNC:32038	AADACL4	OTTHUMG00000001889		343066
HGNC:17929	AADAT	KATII		51166
HGNC:17929	AADAT	KAT2		51166
HGNC:17929	AADAT	KYAT2		51166
HGNC:25662	AAGAB	FLJ11506		79719
HGNC:25662	AAGAB	p34		79719
HGNC:19679	AAK1	KIAA1048		22848
HGNC:19679	AAK1	DKFZp686K16132		22848
HGNC:30205	AAMDC	PTD015	C11orf67	28971
HGNC:30205	AAMDC	FLJ21035	C11orf67	28971
HGNC:30205	AAMDC	CK067	C11orf67	28971
HGNC:18	AAMP			14
HGNC:19	AANAT	SNAT		15
HGNC:15886	AAR2	bA234K24.2	C20orf4	25980
HGNC:33842	AARD	LOC441376	C8orf85	441376
HGNC:20	AARS	CMT2N		16
HGNC:20	AARS	AlaRS		16
HGNC:21022	AARS2	KIAA1270	AARSL	57505
HGNC:21022	AARS2	bA444E17.1	AARSL	57505
HGNC:28417	AARSD1	MGC2744		80755
HGNC:23993	AASDH	NRPS998		132949
HGNC:23993	AASDH	LYS2		132949
HGNC:23993	AASDH	ACSF4		132949
HGNC:14235	AASDHPPT	LYS5		60496
HGNC:14235	AASDHPPT	CGI-80		60496
HGNC:14235	AASDHPPT	AASD-PPT		60496
HGNC:14235	AASDHPPT	ACPS		60496
HGNC:17366	AASS	LORSDH		10157
HGNC:17366	AASS	LKRSDH		10157
HGNC:19235	AATF	DED		26574
HGNC:19235	AATF	CHE-1		26574
HGNC:19235	AATF	CHE1		26574
HGNC:19235	AATF	BFR2		26574
HGNC:21	AATK	AATYK		9625
HGNC:21	AATK	KIAA0641		9625
HGNC:21	AATK	LMTK1		9625
HGNC:21	AATK	LMR1		9625
HGNC:21	AATK	AATYK1		9625
HGNC:21	AATK	PPP1R77		9625
HGNC:23	ABAT	GABAT		18
HGNC:23	ABAT	GABA-T		18
HGNC:29	ABCA1	TGD	ABC1	19
HGNC:29	ABCA1	TGD	HDLDT1	19
HGNC:32	ABCA2		ABC2	20
HGNC:33	ABCA3	ABC-C	ABC3	21
HGNC:33	ABCA3	EST111653	ABC3	21
HGNC:33	ABCA3	LBM180	ABC3	21
HGNC:34	ABCA4	FFM	STGD1	24
HGNC:34	ABCA4	FFM	ABCR	24
HGNC:34	ABCA4	FFM	RP19	24
HGNC:34	ABCA4	FFM	STGD	24
HGNC:34	ABCA4	ARMD2	STGD1	24
HGNC:34	ABCA4	ARMD2	ABCR	24
HGNC:34	ABCA4	ARMD2	RP19	24
HGNC:34	ABCA4	ARMD2	STGD	24
HGNC:34	ABCA4	CORD3	STGD1	24
HGNC:34	ABCA4	CORD3	ABCR	24
HGNC:34	ABCA4	CORD3	RP19	24
HGNC:34	ABCA4	CORD3	STGD	24
HGNC:35	ABCA5	EST90625		23461
HGNC:36	ABCA6	EST155051		23460
HGNC:37	ABCA7	ABCX		10347
HGNC:38	ABCA8	KIAA0822		10351
HGNC:39	ABCA9	EST640918		10350
HGNC:30	ABCA10	EST698739		10349
HGNC:14637	ABCA12	DKFZP434G232	ICR2B	26154
HGNC:14637	ABCA12	LI2	ICR2B	26154
HGNC:14638	ABCA13	FLJ33876		154664
HGNC:14638	ABCA13	FLJ33951		154664
HGNC:40	ABCB1	P-gp	PGY1	5243
HGNC:40	ABCB1	P-gp	MDR1	5243
HGNC:40	ABCB1	P-gp	CLCS	5243
HGNC:40	ABCB1	CD243	PGY1	5243
HGNC:40	ABCB1	CD243	MDR1	5243
HGNC:40	ABCB1	CD243	CLCS	5243
HGNC:40	ABCB1	GP170	PGY1	5243
HGNC:40	ABCB1	GP170	MDR1	5243
HGNC:40	ABCB1	GP170	CLCS	5243
HGNC:40	ABCB1	ABC20	PGY1	5243
HGNC:40	ABCB1	ABC20	MDR1	5243
HGNC:40	ABCB1	ABC20	CLCS	5243
HGNC:45	ABCB4	MDR2	PGY3	5244
HGNC:45	ABCB4	MDR2	MDR3	5244
HGNC:45	ABCB4	PFIC-3	PGY3	5244
HGNC:45	ABCB4	PFIC-3	MDR3	5244
HGNC:45	ABCB4	GBD1	PGY3	5244
HGNC:45	ABCB4	GBD1	MDR3	5244
HGNC:46	ABCB5	EST422562		340273
HGNC:46	ABCB5	ABCB5beta		340273
HGNC:46	ABCB5	ABCB5alpha		340273
HGNC:47	ABCB6	EST45597		10058
HGNC:47	ABCB6	umat		10058
HGNC:47	ABCB6	MTABC3		10058
HGNC:48	ABCB7	EST140535	ABC7	22
HGNC:48	ABCB7	Atm1p	ABC7	22
HGNC:48	ABCB7	ASAT	ABC7	22
HGNC:49	ABCB8	EST328128		11194
HGNC:49	ABCB8	M-ABC1		11194
HGNC:49	ABCB8	MABC1		11194
HGNC:50	ABCB9	EST122234		23457
HGNC:41	ABCB10	EST20237		23456
HGNC:41	ABCB10	M-ABC2		23456
HGNC:41	ABCB10	MTABC2		23456
HGNC:42	ABCB11	ABC16	BSEP	8647
HGNC:42	ABCB11	ABC16	PFIC2	8647
HGNC:42	ABCB11	SPGP	BSEP	8647
HGNC:42	ABCB11	SPGP	PFIC2	8647
HGNC:42	ABCB11	PFIC-2	BSEP	8647
HGNC:42	ABCB11	PFIC-2	PFIC2	8647
HGNC:42	ABCB11	PGY4	BSEP	8647
HGNC:42	ABCB11	PGY4	PFIC2	8647
HGNC:51	ABCC1	GS-X	MRP	4363
HGNC:51	ABCC1	GS-X	MRP1	4363
HGNC:53	ABCC2	DJS	CMOAT	1244
HGNC:53	ABCC2	MRP2	CMOAT	1244
HGNC:53	ABCC2	cMRP	CMOAT	1244
HGNC:54	ABCC3	MRP3		8714
HGNC:54	ABCC3	cMOAT2		8714
HGNC:54	ABCC3	EST90757		8714
HGNC:54	ABCC3	MLP2		8714
HGNC:54	ABCC3	MOAT-D		8714
HGNC:55	ABCC4	MRP4		10257
HGNC:55	ABCC4	EST170205		10257
HGNC:55	ABCC4	MOAT-B		10257
HGNC:55	ABCC4	MOATB		10257
HGNC:56	ABCC5	MRP5		10057
HGNC:56	ABCC5	SMRP		10057
HGNC:56	ABCC5	EST277145		10057
HGNC:56	ABCC5	MOAT-C		10057
HGNC:57	ABCC6	MRP6	ARA	368
HGNC:57	ABCC6	MRP6	PXE	368
HGNC:57	ABCC6	EST349056	ARA	368
HGNC:57	ABCC6	EST349056	PXE	368
HGNC:57	ABCC6	MLP1	ARA	368
HGNC:57	ABCC6	MLP1	PXE	368
HGNC:57	ABCC6	URG7	ARA	368
HGNC:57	ABCC6	URG7	PXE	368
HGNC:59	ABCC8	HI	SUR	6833
HGNC:59	ABCC8	HI	HRINS	6833
HGNC:59	ABCC8	PHHI	SUR	6833
HGNC:59	ABCC8	PHHI	HRINS	6833
HGNC:59	ABCC8	SUR1	SUR	6833
HGNC:59	ABCC8	SUR1	HRINS	6833
HGNC:59	ABCC8	MRP8	SUR	6833
HGNC:59	ABCC8	MRP8	HRINS	6833
HGNC:59	ABCC8	ABC36	SUR	6833
HGNC:59	ABCC8	ABC36	HRINS	6833
HGNC:59	ABCC8	HHF1	SUR	6833
HGNC:59	ABCC8	HHF1	HRINS	6833
HGNC:59	ABCC8	TNDM2	SUR	6833
HGNC:59	ABCC8	TNDM2	HRINS	6833
HGNC:60	ABCC9	SUR2		10060
HGNC:60	ABCC9	CMD1O		10060
HGNC:52	ABCC10	EST182763		89845
HGNC:52	ABCC10	MRP7		89845
HGNC:52	ABCC10	SIMRP7		89845
HGNC:14639	ABCC11	MRP8		85320
HGNC:14640	ABCC12	MRP9		94160
HGNC:61	ABCD1	AMN	ALD	215
HGNC:61	ABCD1	ALDP	ALD	215
HGNC:61	ABCD1	adrenoleukodystrophy	ALD	215
HGNC:66	ABCD2	ALDR	ALDL1	225
HGNC:66	ABCD2	ALDRP	ALDL1	225
HGNC:67	ABCD3	PMP70	PXMP1	5825
HGNC:67	ABCD3	ZWS2	PXMP1	5825
HGNC:68	ABCD4	PMP69	PXMP1L	5826
HGNC:68	ABCD4	P70R	PXMP1L	5826
HGNC:68	ABCD4	EST352188	PXMP1L	5826
HGNC:69	ABCE1	RLI	RNASEL1	6059
HGNC:69	ABCE1	RLI	RNASELI	6059
HGNC:69	ABCE1	RLI	RNS4I	6059
HGNC:69	ABCE1	OABP	RNASEL1	6059
HGNC:69	ABCE1	OABP	RNASELI	6059
HGNC:69	ABCE1	OABP	RNS4I	6059
HGNC:69	ABCE1	RLI1	RNASEL1	6059
HGNC:69	ABCE1	RLI1	RNASELI	6059
HGNC:69	ABCE1	RLI1	RNS4I	6059
HGNC:70	ABCF1	EST123147	ABC50	23
HGNC:71	ABCF2	EST133090		10061
HGNC:71	ABCF2	ABC28		10061
HGNC:71	ABCF2	M-ABC1		10061
HGNC:71	ABCF2	HUSSY-18		10061
HGNC:72	ABCF3	EST201864		55324
HGNC:73	ABCG1	ABC8		9619
HGNC:74	ABCG2	EST157481		9429
HGNC:74	ABCG2	MXR		9429
HGNC:74	ABCG2	BCRP		9429
HGNC:74	ABCG2	ABCP		9429
HGNC:74	ABCG2	CD338		9429
HGNC:13884	ABCG4	WHITE2		64137
HGNC:13886	ABCG5	STSL		64240
HGNC:13887	ABCG8	GBD4		64241
HGNC:17553	ABHD1	LABH1		84696
HGNC:17553	ABHD1	FLJ36128		84696
HGNC:18717	ABHD2	LABH2		11057
HGNC:18718	ABHD3	LABH3		171586
HGNC:20154	ABHD4	FLJ12816		63874
HGNC:21396	ABHD5	CGI-58		51099
HGNC:21396	ABHD5	NCIE2		51099
HGNC:21398	ABHD6			57406
HGNC:23759	ABHD8	FLJ11743		79575
HGNC:23759	ABHD8	MGC14280		79575
HGNC:23759	ABHD8	MGC2512		79575
HGNC:25656	ABHD10	FLJ11342		55347
HGNC:16407	ABHD11	PP1226	WBSCR21	83451
HGNC:15868	ABHD12	DKFZP434P106	C20orf22	26090
HGNC:15868	ABHD12	dJ965G21.2	C20orf22	26090
HGNC:15868	ABHD12	BEM46L2	C20orf22	26090
HGNC:15868	ABHD12	ABHD12A	C20orf22	26090
HGNC:19837	ABHD12B	BEM46L3	C14orf29	145447
HGNC:20293	ABHD13	bA153I24.2	C13orf6	84945
HGNC:20293	ABHD13	FLJ14906	C13orf6	84945
HGNC:20293	ABHD13	BEM46L1	C13orf6	84945
HGNC:24538	ABHD14A	DKFZP564O243		25864
HGNC:24538	ABHD14A	DORZ1		25864
HGNC:28235	ABHD14B	MGC15429		84836
HGNC:28235	ABHD14B	CIB		84836
HGNC:26971	ABHD15			116236
HGNC:13921	ABHD16A	NG26	BAT5	7920
HGNC:13921	ABHD16A	D6S82E	BAT5	7920
HGNC:16128	ABHD16B	dJ591C20.1	C20orf135	140701
HGNC:28756	ABHD17A	MGC5244	C19orf27	81926
HGNC:28756	ABHD17A	MGC5244	FAM108A1	81926
HGNC:24278	ABHD17B	CGI-67	C9orf77	51104
HGNC:24278	ABHD17B	CGI-67	FAM108B1	51104
HGNC:26925	ABHD17C		FAM108C1	58489
HGNC:26111	ABHD18	FLJ21106	C4orf29	80167
HGNC:11320	ABI1	E3B1	SSH3BP1	10006
HGNC:11320	ABI1	ABI-1	SSH3BP1	10006
HGNC:24011	ABI2	ABI-2		10152
HGNC:24011	ABI2	AIP-1		10152
HGNC:24011	ABI2	ABI2B		10152
HGNC:24011	ABI2	AblBP3		10152
HGNC:24011	ABI2	argBPIA		10152
HGNC:24011	ABI2	SSH3BP2		10152
HGNC:29859	ABI3	NESH		51225
HGNC:29859	ABI3	SSH3BP3		51225
HGNC:17265	ABI3BP	NESHBP		25890
HGNC:17265	ABI3BP	DKFZP586L2024		25890
HGNC:17265	ABI3BP	TARSH		25890
HGNC:1364	ABITRAM	CG-8	C9orf6	54942
HGNC:1364	ABITRAM	CG-8	FAM206A	54942
HGNC:1364	ABITRAM	FLJ20457	C9orf6	54942
HGNC:1364	ABITRAM	FLJ20457	FAM206A	54942
HGNC:1364	ABITRAM	Simiate	C9orf6	54942
HGNC:1364	ABITRAM	Simiate	FAM206A	54942
HGNC:76	ABL1	JTK7	ABL	25
HGNC:76	ABL1	c-ABL	ABL	25
HGNC:76	ABL1	p150	ABL	25
HGNC:77	ABL2	ARG	ABLL	27
HGNC:78	ABLIM1	abLIM	LIMAB1	3983
HGNC:78	ABLIM1	abLIM	ABLIM	3983
