HGNC ID	Approved symbol	Alias symbol	Previous symbol	NCBI gene ID
HGNC:8	A2MP1		A2MP	3
HGNC:18226	AACSP1		AACSL	729522
HGNC:50305	AADACP1			201651
HGNC:49894	AARSP1			106480683
HGNC:31	ABCA11P	EST1133530	ABCA11	79963
HGNC:31	ABCA11P	FLJ14297	ABCA11	79963
HGNC:32972	ABCA17P			650655
HGNC:14114	ABCB10P1	M-ABC2	ABCB10P	56476
HGNC:14114	ABCB10P1	M-ABC2	ABCB10P2	56476
HGNC:14114	ABCB10P1	MABC2	ABCB10P	56476
HGNC:14114	ABCB10P1	MABC2	ABCB10P2	56476
HGNC:31129	ABCB10P3			728248
HGNC:31130	ABCB10P4			100132289
HGNC:33352	ABCC6P1			653190
HGNC:33353	ABCC6P2			730013
HGNC:16022	ABCC13	PRED6		150000
HGNC:16022	ABCC13	C21orf73		150000
HGNC:16022	ABCC13	ABCC13P		150000
HGNC:62	ABCD1P1			23785
HGNC:63	ABCD1P2	bA453N3.6		26983
HGNC:64	ABCD1P3			26982
HGNC:65	ABCD1P4			26957
HGNC:42662	ABCD1P5			642762
HGNC:48841	ABCF2P1			344653
HGNC:48842	ABCF2P2			100422059
HGNC:28394	ABHD17AP1	C1orf47	FAM108A2	728917
HGNC:28394	ABHD17AP1	C1orf47	ABHD17AP2	728917
HGNC:28394	ABHD17AP1	C1orf47	FAM108A3	728917
HGNC:28394	ABHD17AP1	C1orf47	FAM108A11P	728917
HGNC:28394	ABHD17AP1	C1orf47	FAM108A3P	728917
HGNC:34041	ABHD17AP3		FAM108A4	648359
HGNC:34041	ABHD17AP3		FAM108A4P	648359
HGNC:34042	ABHD17AP4		FAM108A5	729495
HGNC:34042	ABHD17AP4		FAM108A5P	729495
HGNC:34043	ABHD17AP5		FAM108A6	91219
HGNC:34043	ABHD17AP5		FAM108A6P	91219
HGNC:34044	ABHD17AP6		FAM108A7P	644988
HGNC:38508	ABHD17AP7		FAM108A8P	100133212
HGNC:38509	ABHD17AP8		FAM108A9P	647144
HGNC:38510	ABHD17AP9		FAM108A10P	100132251
HGNC:20035	ABI1P1		SSH3BP1P	326268
HGNC:20035	ABI1P1		ABI1P	326268
HGNC:39851	ABITRAMP1		FAM206BP	390403
HGNC:39557	ABT1P1			100420695
HGNC:44365	ACE3P			100129123
HGNC:21142	ACKR4P1	dJ509I19.4	CCRL1P	285737
HGNC:21142	ACKR4P1	dJ509I19.4	CCRL1P1	285737
HGNC:34504	ACNATP		BAATP1	347275
HGNC:51295	ACSM5P1			100421779
HGNC:134	ACTBP1			643309
HGNC:135	ACTBP2			62
HGNC:136	ACTBP3			63
HGNC:137	ACTBP4			64
HGNC:139	ACTBP6			66
HGNC:140	ACTBP7			67
HGNC:141	ACTBP8	ACTBP2		68
HGNC:142	ACTBP9			69
HGNC:31819	ACTBP10			446207
HGNC:33971	ACTBP11			644220
HGNC:150	ACTBP12		ACTGP5	100462767
HGNC:44626	ACTBP13			389120
HGNC:45086	ACTBP14			389976
HGNC:146	ACTG1P1		ACTGP1	73
HGNC:146	ACTG1P1		ACT1GP1	73
HGNC:147	ACTG1P2		ACTL2	74
HGNC:147	ACTG1P2		ACTGP2	74
HGNC:148	ACTG1P3		ACTGP3	75
HGNC:149	ACTG1P4		ACTGP4	648740
HGNC:151	ACTG1P6		ACTGP6	78
HGNC:152	ACTG1P7		ACTGP7	79
HGNC:153	ACTG1P8		ACTGP8	80
HGNC:154	ACTG1P9		ACTGP9	82
HGNC:155	ACTG1P10		ACTL1	83
HGNC:155	ACTG1P10		ACTGP10	83
HGNC:37651	ACTG1P11			414754
HGNC:44496	ACTG1P12			100418921
HGNC:49058	ACTG1P13			100418920
HGNC:49751	ACTG1P14			100418910
HGNC:51495	ACTG1P15			100418951
HGNC:51496	ACTG1P16			100418960
HGNC:51497	ACTG1P17			283693
HGNC:51498	ACTG1P18			100418924
HGNC:51499	ACTG1P19			644160
HGNC:51500	ACTG1P20			644961
HGNC:51501	ACTG1P21			100131291
HGNC:51502	ACTG1P22			100131953
HGNC:51503	ACTG1P23			442097
HGNC:49661	ACTG1P24		POTENP	441783
HGNC:44028	ACTN4P1			344978
HGNC:44032	ACTN4P2			391026
HGNC:51621	ACTP1			106480335
HGNC:37724	ACTR3BP1			643050
HGNC:38677	ACTR3BP2	FKSG73		440888
HGNC:38678	ACTR3BP3			647156
HGNC:38681	ACTR3BP4			777774
HGNC:38682	ACTR3BP5			399746
HGNC:38683	ACTR3BP6			644773
HGNC:31820	ACTR3P1			100288580
HGNC:38676	ACTR3P2			100129013
HGNC:38679	ACTR3P3			100128020
HGNC:44210	ACTR6P1			100421495
HGNC:44550	ADAD1P1			100422386
HGNC:44552	ADAD1P2			100422407
HGNC:187	ADAM1A	FTNAP	ADAM1	8759
HGNC:187	ADAM1A	PH-30a	ADAM1	8759
HGNC:187	ADAM1A	Ftna	ADAM1	8759
HGNC:187	ADAM1A	ADAM1P	ADAM1	8759
HGNC:44366	ADAM1B			100420505
HGNC:209	ADAM3A	ADAM3	CYRN1	1587
HGNC:209	ADAM3A	tMDCI	CYRN1	1587
HGNC:210	ADAM3B		CYRN2	1596
HGNC:212	ADAM5	tMDCII	ADAM5P	255926
HGNC:213	ADAM6	tMDCIV	C14orf96	8755
HGNC:20102	ADAM20P1		C14orf55	317760
HGNC:43901	ADAM20P2			100533671
HGNC:43902	ADAM20P3			644325
HGNC:19822	ADAM21P1		ADAM21P	145241
HGNC:203	ADAM24P			646479
HGNC:49407	ADAMTS7P1		ADAMTS7P2	390660
HGNC:49409	ADAMTS7P3			400406
HGNC:49410	ADAMTS7P4			642935
HGNC:44143	ADCY10P1			221442
HGNC:19240	ADGRE4P	PGR16	GPR127	326342
HGNC:19240	ADGRE4P	PGR16	EMR4	326342
HGNC:19240	ADGRE4P	PGR16	EMR4P	326342
HGNC:32922	ADGRF5P1		GPR116P1	389740
HGNC:32921	ADGRF5P2		GPR116P2	441416
HGNC:22976	ADH5P2			343296
HGNC:22991	ADH5P3			100131810
HGNC:21377	ADH5P4	bA707M13.2	ADH5B	642443
HGNC:52339	ADI1P1			100130936
HGNC:52340	ADI1P2			100288971
HGNC:52341	ADI1P3			100288129
HGNC:44910	ADIPOR1P1			645220
HGNC:44911	ADIPOR1P2			390503
HGNC:265	ADORA2BP1		ADORA2BP	137
HGNC:314	AFG3L1P		AFG3	172
HGNC:314	AFG3L1P		AFG3L1	172
HGNC:24169	AFG3L2P1		AFG3L2P	347028
HGNC:23465	AGAP7P	bA109G10.1	CTGLF4	653268
HGNC:23465	AGAP7P	bA109G10.1	AGAP7	653268
HGNC:23659	AGAP10P	bA358L16.1	AGAP10	653234
HGNC:23659	AGAP10P	bA358L16.1	CTGLF7	653234
HGNC:23659	AGAP10P	bA358L16.1	CTGLF10P	653234
HGNC:23659	AGAP10P	bA144G6.2	AGAP10	653234
HGNC:23659	AGAP10P	bA144G6.2	CTGLF7	653234
HGNC:23659	AGAP10P	bA144G6.2	CTGLF10P	653234
HGNC:23661	AGAP12P	bA164N7.2	CTGLF12P	414224
HGNC:23499	AGAP13P	bA548K23.1	CTGLF9P	728005
HGNC:23660	AGAP14P	bA145E20.1	CTGLF11P	653259
HGNC:23660	AGAP14P	bA145E20.1	AGAP14	653259
HGNC:38051	AGGF1P1			100132380
HGNC:38052	AGGF1P2			644435
HGNC:38053	AGGF1P3			391552
HGNC:38054	AGGF1P4			100129351
HGNC:51741	AGGF1P5			100128103
HGNC:51744	AGGF1P6			106481737
HGNC:51740	AGGF1P7			100132606
HGNC:51745	AGGF1P8			100128804
HGNC:51746	AGGF1P9			100127958
HGNC:51747	AGGF1P10			100288774
HGNC:37661	AGKP1	AGKY1		359793
HGNC:37709	AGPAT5P1			646231
HGNC:24620	AHCTF1P1	ELYS-like	AHCTF1P	285116
HGNC:44993	AHCYP1			340844
HGNC:44994	AHCYP2			392387
HGNC:44995	AHCYP3			402093
HGNC:44996	AHCYP4			129560
HGNC:44997	AHCYP5			391470
HGNC:44998	AHCYP6			100419714
HGNC:44999	AHCYP7			645486
HGNC:45000	AHCYP8			107063538
HGNC:20437	AHSA2P	DKFZp564C236	AHSA2	130872
HGNC:20437	AHSA2P	Hch1	AHSA2	130872
HGNC:20437	AHSA2P	AHA1	AHSA2	130872
HGNC:44884	AIFM1P1			645120
HGNC:43926	AIG1P1			106479028
HGNC:16543	AIMP1P1	bA400P21.1	SCYE1P	170547
HGNC:43693	AIMP1P2			100873064
HGNC:24037	AK2P1	AK2B		266920
HGNC:33542	AK2P2			339736
HGNC:31099	AK3P2	HsT26053		100419074
HGNC:39062	AK3P3			100419075
HGNC:39063	AK3P4			100129959
HGNC:39064	AK3P5			100288319
HGNC:39065	AK3P6			100873789
HGNC:364	AK4P1		AK3P1	206
HGNC:39066	AK4P2			100132104
HGNC:21596	AK4P3	AK3L2P	AK3L2	645619
HGNC:39067	AK4P4			100128705
HGNC:39068	AK4P5			100526416
HGNC:39069	AK4P6			649288
