MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	0.00947072840854163	0.451	NA	NA	0	0.0546448087431694	NA	TYRP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	OCA2
NA	NA	0.107539496201173	0.086	NA	NA	0	0.122950819672131	NA	NELL1
NA	NA	0.229816432749378	0	NA	NA	0	0.478142076502732	NA	EYA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	CHST9
NA	NA	0.231093541477954	0.004	NA	NA	0	0.131147540983607	NA	PRKG2
NA	NA	NA	NA	NA	NA	NA	NA	NA	TRPM1
NA	NA	0.166129536302577	0.002	NA	NA	0	0.284153005464481	NA	GATA4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB5
NA	NA	NA	NA	NA	NA	NA	NA	NA	LRP2
NA	NA	0.0434537336724603	0.226	NA	NA	0	0.284153005464481	NA	CSMD1
NA	NA	0.00361400708788567	0.462	NA	NA	0	0.188524590163934	NA	DSCR8
NA	NA	0.0613437481345546	0.173	NA	NA	0	0.183060109289617	NA	FAM178B
NA	NA	0.0534974013621737	0.175	NA	NA	0	0.251366120218579	NA	HOXB13
NA	NA	0.090244988873598	0.167	NA	NA	0	0.0765027322404372	NA	PAEP
NA	NA	NA	NA	NA	NA	NA	NA	NA	MAPK4
NA	NA	0.227717251950739	0.003	NA	NA	0	0.120218579234973	NA	CMTM5
NA	NA	0.116332419347595	0.07	NA	NA	0	0.122950819672131	NA	MEGF10
NA	NA	0.43346221178491	0.024	NA	NA	0	0.0191256830601093	NA	NRG3
NA	NA	0.0669925986372621	0.119	NA	NA	0	0.568306010928962	NA	SOSTDC1
NA	NA	0.163820025126532	0.051	NA	NA	0	0.0765027322404372	NA	ANO4
NA	NA	0.0786202882534474	0.082	NA	NA	0	0.325136612021858	NA	SFRP1
NA	NA	0.138308938026934	0.022	NA	NA	0	0.188524590163934	NA	OLIG2
NA	NA	0.098681971570441	0.069	NA	NA	0	0.153005464480874	NA	COL9A1
NA	NA	0.143993180941578	0.014	NA	NA	0	0.202185792349727	NA	COL11A1
NA	NA	0.0495160138654772	0.187	NA	NA	0	0.251366120218579	NA	ADCY2
NA	NA	0.223469674456686	0	NA	NA	0	0.519125683060109	NA	COL22A1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LRRTM4
NA	NA	NA	NA	NA	NA	NA	NA	NA	CA8
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRDM7
NA	NA	0.180606976603536	0	NA	NA	0	0.546448087431694	NA	VGF
NA	NA	0.188713339141772	0.18	NA	NA	0	0.0191256830601093	NA	LOXL4
NA	NA	0.00188740738693197	0.48	NA	NA	0	0.333333333333333	NA	ABCA8
NA	NA	0.0197150445781446	0.339	NA	NA	0	0.483606557377049	NA	PMP2
NA	NA	0.112883614982358	0.05	NA	NA	0	0.169398907103825	NA	ZNF536
NA	NA	0.409485672383719	0	NA	NA	0	0.0710382513661202	NA	GRIK2
NA	NA	0.197870356532563	0	NA	NA	0	0.516393442622951	NA	BMP7
NA	NA	NA	NA	NA	NA	NA	NA	NA	CDH1
NA	NA	0.213390399036145	0.003	NA	NA	0	0.144808743169399	NA	FSTL5
NA	NA	0.106281533910856	0.017	NA	NA	0	0.53551912568306	NA	FMN2
NA	NA	0.0719758081875286	0.153	NA	NA	0	0.185792349726776	NA	TF
NA	NA	0.213950634751558	0.002	NA	NA	0	0.128415300546448	NA	UGT2B7
NA	NA	NA	NA	NA	NA	NA	NA	NA	SOX2
NA	NA	0.18968383382006	0.007	NA	NA	0	0.136612021857924	NA	DSG2
NA	NA	0.0210894880526507	0.341	NA	NA	0	0.23224043715847	NA	ROBO2
NA	NA	0.0102014254494523	0.41	NA	NA	0	0.278688524590164	NA	SPESP1
NA	NA	0.109740853192635	0.021	NA	NA	0	0.371584699453552	NA	SLC7A4
NA	NA	0.254422468709529	0.007	NA	NA	0	0.0628415300546448	NA	NCAM1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MMP13
NA	NA	NA	NA	NA	NA	NA	NA	NA	SCRG1
NA	NA	0.0749442445395937	0.149	NA	NA	0	0.172131147540984	NA	COMP
NA	NA	NA	NA	NA	NA	NA	NA	NA	CR2
NA	NA	0.279711265497377	0.004	NA	NA	0	0.112021857923497	NA	SALL1
NA	NA	0.117540247092202	0.267	NA	NA	0	0.0191256830601093	NA	ABCC2
NA	NA	0.0920274491167326	0.093	NA	NA	0	0.174863387978142	NA	ALDH3B2
NA	NA	NA	NA	NA	NA	NA	NA	NA	CCL21
NA	NA	0.0775400947432888	0.151	NA	NA	0	0.122950819672131	NA	SERPINA3
NA	NA	0.153164780729174	0.003	NA	NA	0	0.39344262295082	NA	PCSK2
NA	NA	0.0933279363393949	0.109	NA	NA	0	0.133879781420765	NA	CNDP1
NA	NA	0.0656569299880165	0.2	NA	NA	0	0.103825136612022	NA	DNAH9
NA	NA	0.0339082840015502	0.446	NA	NA	0	0.0136612021857923	NA	PPP1R3C
NA	NA	0.0688740689013962	0.182	NA	NA	0	0.133879781420765	NA	MUC7
NA	NA	0.0631798433729759	0.267	NA	NA	0	0.0765027322404372	NA	GLB1L2
NA	NA	0.235526176917105	0	NA	NA	0	0.549180327868853	NA	PKLR
NA	NA	0.0389103613855237	0.322	NA	NA	0	0.133879781420765	NA	FAM69C
NA	NA	0.0175930317219606	0.421	NA	NA	0	0.0628415300546448	NA	FABP7
NA	NA	0.188216262390111	0	NA	NA	0	0.508196721311475	NA	IP6K3
NA	NA	0.11986483579251	0.009	NA	NA	0	0.540983606557377	NA	HORMAD1
NA	NA	0.0891185045556633	0.129	NA	NA	0	0.12568306010929	NA	INSC
NA	NA	NA	NA	NA	NA	NA	NA	NA	POU3F3
NA	NA	NA	NA	NA	NA	NA	NA	NA	PLA2G2D
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRIMA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	GRIK3
NA	NA	0.392144846578636	0	NA	NA	0	0.158469945355191	NA	TTYH1
NA	NA	NA	NA	NA	NA	NA	NA	NA	CD19
NA	NA	0.182038744851539	0.002	NA	NA	0	0.188524590163934	NA	OLIG1
NA	NA	0.183154545476077	0	NA	NA	0	0.278688524590164	NA	DCT
NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNHIT2
NA	NA	0.228111951741929	0.009	NA	NA	0	0.101092896174863	NA	PCDHGA12
NA	NA	NA	NA	NA	NA	NA	NA	NA	GSTM1
NA	NA	0.0824029451737412	0.161	NA	NA	0	0.109289617486339	NA	GFRA3
NA	NA	0.0317386102392949	0.333	NA	NA	0	0.10655737704918	NA	KRT6A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ATP6V0A4
NA	NA	0.323233086966874	0	NA	NA	0	0.538251366120219	NA	SEMA3E
NA	NA	0.0912608155157299	0.169	NA	NA	0	0.0710382513661202	NA	BAAT
NA	NA	0.353091254436326	0	NA	NA	0	0.0956284153005464	NA	DNAH2
NA	NA	0.187822782423273	0	NA	NA	0	0.540983606557377	NA	BCAN
NA	NA	0.062830742991597	0.312	NA	NA	0	0.0601092896174863	NA	EYA4
NA	NA	0.0183771428483983	0.388	NA	NA	0	0.191256830601093	NA	MME
NA	NA	0.440923470939929	0	NA	NA	0	0.346994535519126	NA	SLC5A4
NA	NA	NA	NA	NA	NA	NA	NA	NA	MS4A1
NA	NA	0.119887361780632	0.079	NA	NA	0	0.12568306010929	NA	ANXA3
NA	NA	0.164352246039365	0.007	NA	NA	0	0.202185792349727	NA	CLDN1
NA	NA	0.0265505047691753	0.335	NA	NA	0	0.213114754098361	NA	GABRB3
NA	NA	0.402983579593967	0.011	NA	NA	0	0.0273224043715847	NA	CDKN2A
NA	NA	0.0507607253678321	0.256	NA	NA	0	0.12568306010929	NA	ADH1B
NA	NA	NA	NA	NA	NA	NA	NA	NA	IGJ
NA	NA	NA	NA	NA	NA	NA	NA	NA	TDRD9
NA	NA	0.000565797562322819	0.525	NA	NA	0	0.163934426229508	NA	RPS28
NA	NA	0.234931191829084	0	NA	NA	0	0.505464480874317	NA	COL11A2
NA	NA	0.313257783328969	0.001	NA	NA	0	0.0737704918032787	NA	LMX1B
NA	NA	0.0139430692095044	0.443	NA	NA	0	0.101092896174863	NA	MMP8
NA	NA	0.226047086131962	0.002	NA	NA	0	0.180327868852459	NA	PRSS33
NA	NA	NA	NA	NA	NA	NA	NA	NA	ITGA10
NA	NA	NA	NA	NA	NA	NA	NA	NA	FCRL5
NA	NA	0.0641714395429568	0.181	NA	NA	0	0.16120218579235	NA	ZNF560
NA	NA	0.0295667918324857	0.359	NA	NA	0	0.122950819672131	NA	SERPINA5
NA	NA	NA	NA	NA	NA	NA	NA	NA	MAT1A
NA	NA	NA	NA	NA	NA	NA	NA	NA	SFRP2
NA	NA	0.00215065662275409	0.485	NA	NA	0	0.398907103825137	NA	CST1
NA	NA	0.109810885578996	0.012	NA	NA	0	0.489071038251366	NA	BAALC
NA	NA	0.0727982031235643	0.125	NA	NA	0	0.202185792349727	NA	PLA2G2A
NA	NA	NA	NA	NA	NA	NA	NA	NA	PI16
NA	NA	0.189752752652873	0.182	NA	NA	0	0.0136612021857923	NA	VAX1
NA	NA	0.161350029587764	0.04	NA	NA	0	0.101092896174863	NA	RTN4RL1
NA	NA	0.210990543825815	0.001	NA	NA	0	0.207650273224044	NA	ANGPTL7
NA	NA	0.0793055060614073	0.116	NA	NA	0	0.185792349726776	NA	MGST1
NA	NA	0.187883053194803	0	NA	NA	0	0.538251366120219	NA	MPZ
NA	NA	0.179415757339754	0	NA	NA	0	0.382513661202186	NA	ENTHD1
NA	NA	0.10424889262572	0.024	NA	NA	0	0.363387978142077	NA	FAM19A5
NA	NA	0.146470980222377	0.005	NA	NA	0	0.540983606557377	NA	TFPI2
NA	NA	0.0677750592009317	0.188	NA	NA	0	0.120218579234973	NA	CHRM1
NA	NA	0.0482770397744714	0.244	NA	NA	0	0.199453551912568	NA	CKMT1B
NA	NA	0.119994528920276	0.021	NA	NA	0	0.210382513661202	NA	TTC39A
NA	NA	0.218420815543562	0	NA	NA	0	0.284153005464481	NA	TEX15
NA	NA	NA	NA	NA	NA	NA	NA	NA	SULT1C2
NA	NA	0.190691991284066	0	NA	NA	0	0.172131147540984	NA	KIT
NA	NA	0.265697349034936	0.001	NA	NA	0	0.131147540983607	NA	PITX2
NA	NA	0.223091512817143	0	NA	NA	0	0.532786885245902	NA	CA14
NA	NA	0.104819900291044	0.092	NA	NA	0	0.136612021857924	NA	RNF175
NA	NA	NA	NA	NA	NA	NA	NA	NA	ADAM6
NA	NA	0.0277857770988122	0.348	NA	NA	0	0.117486338797814	NA	CXCL14
NA	NA	0.160005809772339	0	NA	NA	0	0.281420765027322	NA	LGI3
NA	NA	0.198509809306512	0.002	NA	NA	0	0.128415300546448	NA	BMPR1B
NA	NA	NA	NA	NA	NA	NA	NA	NA	CCL19
NA	NA	0.090841368264661	0.1	NA	NA	0	0.16120218579235	NA	OR7A5
NA	NA	NA	NA	NA	NA	NA	NA	NA	CD79A
NA	NA	0.291802917110091	0.001	NA	NA	0	0.0956284153005464	NA	CNTFR
NA	NA	NA	NA	NA	NA	NA	NA	NA	FREM1
NA	NA	0.0894550152465453	0.043	NA	NA	0	0.540983606557377	NA	TRIM58
NA	NA	0.109201822519458	0.056	NA	NA	0	0.174863387978142	NA	KRT13
NA	NA	0.438060629293855	0	NA	NA	0	0.0710382513661202	NA	PRDM13
NA	NA	0.104306627535332	0.045	NA	NA	0	0.248633879781421	NA	C1QTNF3
NA	NA	0.0941090630362956	0.039	NA	NA	0	0.519125683060109	NA	LY6K
NA	NA	0.0854943969137301	0.144	NA	NA	0	0.114754098360656	NA	PDLIM4
NA	NA	0.129258544245007	0.034	NA	NA	0	0.210382513661202	NA	MKRN3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ZIC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	SCUBE2
NA	NA	NA	NA	NA	NA	NA	NA	NA	CHIT1
NA	NA	NA	NA	NA	NA	NA	NA	NA	HHATL
NA	NA	NA	NA	NA	NA	NA	NA	NA	CYTL1
NA	NA	0.216615530637968	0	NA	NA	0	0.281420765027322	NA	SH2D4A
NA	NA	0.27678499748653	0	NA	NA	0	0.387978142076503	NA	FLRT3
NA	NA	NA	NA	NA	NA	NA	NA	NA	COL19A1
NA	NA	0.0510438869299435	0.149	NA	NA	0	0.344262295081967	NA	SDK2
NA	NA	NA	NA	NA	NA	NA	NA	NA	GAPDHS
NA	NA	0.0909045644296495	0.223	NA	NA	0	0.0628415300546448	NA	WNK2
NA	NA	0.3275462799011	0	NA	NA	0	0.139344262295082	NA	HPGD
NA	NA	0.00873561989215273	0.432	NA	NA	0	0.172131147540984	NA	UCN2
NA	NA	0.189480523034965	0.006	NA	NA	0	0.158469945355191	NA	TNNT1
NA	NA	0.0769974422627356	0.187	NA	NA	0	0.092896174863388	NA	MSI1
NA	NA	0.243939009047084	0.002	NA	NA	0	0.120218579234973	NA	B4GALNT4
NA	NA	0.361188314270223	0	NA	NA	0	0.256830601092896	NA	FREM2
NA	NA	NA	NA	NA	NA	NA	NA	NA	CXCL13
NA	NA	0.021998951808862	0.356	NA	NA	0	0.251366120218579	NA	CILP
NA	NA	0.103607377872222	0.068	NA	NA	0	0.136612021857924	NA	KCNN2
NA	NA	NA	NA	NA	NA	NA	NA	NA	POU2AF1
NA	NA	0.0579004473056202	0.243	NA	NA	0	0.101092896174863	NA	MMP12
NA	NA	0.143627955410265	0.021	NA	NA	0	0.155737704918033	NA	ADRA2C
NA	NA	0.114537402467581	0.048	NA	NA	0	0.169398907103825	NA	HBA1
NA	NA	0.054068089114027	0.208	NA	NA	0	0.207650273224044	NA	HCN1
NA	NA	NA	NA	NA	NA	NA	NA	NA	TCL1A
NA	NA	0.0793437503539239	0.155	NA	NA	0	0.117486338797814	NA	ANO5
NA	NA	NA	NA	NA	NA	NA	NA	NA	MYO5B
NA	NA	0.0357984528812688	0.314	NA	NA	0	0.120218579234973	NA	EFS
NA	NA	0.251097674743852	0	NA	NA	0	0.475409836065574	NA	MMP16
