MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	0.1204680406111	0.013	NA	NA	0	0.680327868852459	NA	TYRP1
NA	NA	0.146841491905531	0.02	NA	NA	0	0.19672131147541	NA	OCA2
NA	NA	0.0380315309176485	0.241	NA	NA	0	0.30327868852459	NA	NELL1
NA	NA	0.249890322496026	0.016	NA	NA	0	0.0601092896174863	NA	EYA1
NA	NA	0.111708081461121	0.026	NA	NA	0	0.265027322404372	NA	CHST9
NA	NA	0.105849301914846	0.053	NA	NA	0	0.234972677595628	NA	PRKG2
NA	NA	0.0582324100706342	0.179	NA	NA	0	0.215846994535519	NA	TRPM1
NA	NA	0.182683874297135	0.002	NA	NA	0	0.226775956284153	NA	GATA4
NA	NA	0.104651109157657	0.17	NA	NA	0	0.0601092896174863	NA	ABCB5
NA	NA	NA	NA	NA	NA	NA	NA	NA	LRP2
NA	NA	0.0748179236168557	0.092	NA	NA	0	0.251366120218579	NA	CSMD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	DSCR8
NA	NA	0.200495315858713	0.005	NA	NA	0	0.131147540983607	NA	FAM178B
NA	NA	0.0991381969016257	0.065	NA	NA	0	0.166666666666667	NA	HOXB13
NA	NA	0.0840443524217765	0.049	NA	NA	0	0.461748633879781	NA	PAEP
NA	NA	NA	NA	NA	NA	NA	NA	NA	MAPK4
NA	NA	0.0443104920300598	0.228	NA	NA	0	0.306010928961749	NA	CMTM5
NA	NA	0.146522147782187	0.005	NA	NA	0	0.311475409836066	NA	MEGF10
NA	NA	NA	NA	NA	NA	NA	NA	NA	NRG3
NA	NA	NA	NA	NA	NA	NA	NA	NA	SOSTDC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ANO4
NA	NA	0.0340261879401421	0.324	NA	NA	0	0.169398907103825	NA	SFRP1
NA	NA	NA	NA	NA	NA	NA	NA	NA	OLIG2
NA	NA	0.0655919564558503	0.115	NA	NA	0	0.401639344262295	NA	COL9A1
NA	NA	NA	NA	NA	NA	NA	NA	NA	COL11A1
NA	NA	0.00843726443866698	0.465	NA	NA	0	0.213114754098361	NA	ADCY2
NA	NA	0.27831395077337	0.004	NA	NA	0	0.0737704918032787	NA	COL22A1
NA	NA	NA	NA	NA	NA	NA	NA	NA	LRRTM4
NA	NA	NA	NA	NA	NA	NA	NA	NA	CA8
NA	NA	NA	NA	NA	NA	NA	NA	NA	PRDM7
NA	NA	0.143442248282703	0.1	NA	NA	0	0.0683060109289618	NA	VGF
NA	NA	NA	NA	NA	NA	NA	NA	NA	LOXL4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA8
NA	NA	NA	NA	NA	NA	NA	NA	NA	PMP2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ZNF536
NA	NA	0.164712822425983	0.002	NA	NA	0	0.573770491803279	NA	GRIK2
NA	NA	0.0159144923969253	0.488	NA	NA	0	0.0136612021857923	NA	BMP7
NA	NA	0.0416090851341053	0.241	NA	NA	0	0.300546448087432	NA	CDH1
NA	NA	0.10508164312878	0.04	NA	NA	0	0.254098360655738	NA	FSTL5
NA	NA	0.10805111740413	0.169	NA	NA	0	0.0573770491803279	NA	FMN2
NA	NA	0.0572181995918114	0.229	NA	NA	0	0.166666666666667	NA	TF
NA	NA	0.0478826399252264	0.213	NA	NA	0	0.229508196721311	NA	UGT2B7
NA	NA	NA	NA	NA	NA	NA	NA	NA	SOX2
NA	NA	NA	NA	NA	NA	NA	NA	NA	DSG2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ROBO2
NA	NA	0.0110519237755472	0.433	NA	NA	0	0.114754098360656	NA	SPESP1
