MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	A1BG
0.0156206861738982	0.533	NA	NA	NA	NA	0	0.0601092896174863	NA	A1CF
0.355017699305797	0	NA	NA	NA	NA	0	0.218579234972678	NA	A2M
0.0102634992974318	0.453	NA	NA	NA	NA	0	0.322404371584699	NA	A2ML1
NA	NA	NA	NA	NA	NA	NA	NA	NA	A4GALT
0.307474980253993	0.064	NA	NA	NA	NA	0	0.0218579234972678	NA	A4GNT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAAS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AACS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADAC
0.125307700290066	0.015	NA	NA	NA	NA	0	0.653005464480874	NA	AADACL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADACL4
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAGAB
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAK1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAMP
NA	NA	NA	NA	NA	NA	NA	NA	NA	AANAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARSD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASDH
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASDHPPT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AATF
0.113765519369319	0.05	NA	NA	NA	NA	0	0.155737704918033	NA	AATK
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABAT
1.73410501057095	0	NA	NA	NA	NA	0	0.0109289617486339	NA	ABCA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA11P
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA17P
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA3
0.13555723529797	0.036	NA	NA	NA	NA	0	0.158469945355191	NA	ABCA4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA5
0.472429802084714	0	NA	NA	NA	NA	0	0.234972677595628	NA	ABCA6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA7
0.558436357490909	0	NA	NA	NA	NA	0	0.10655737704918	NA	ABCA8
0.528160529306008	0.002	NA	NA	NA	NA	0	0.0245901639344262	NA	ABCA9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB4
0.266311513583483	0	NA	NA	NA	NA	0	0.412568306010929	NA	ABCB5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC6P1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCD2
