MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	A1BG
0.00985552646515323	0.371	NA	NA	NA	NA	0	0.040983606557377	NA	A1CF
NA	NA	NA	NA	NA	NA	NA	NA	NA	A2M
NA	NA	NA	NA	NA	NA	NA	NA	NA	A2ML1
NA	NA	NA	NA	NA	NA	NA	NA	NA	A4GALT
NA	NA	NA	NA	NA	NA	NA	NA	NA	A4GNT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAAS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AACS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADAC
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADACL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADACL4
1.07461278632796	0	NA	NA	NA	NA	0	0.991803278688525	NA	AADAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAGAB
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAK1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAMP
NA	NA	NA	NA	NA	NA	NA	NA	NA	AANAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARSD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASDH
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASDHPPT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AATF
NA	NA	NA	NA	NA	NA	NA	NA	NA	AATK
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA1
0.00429649186281044	0.489	NA	NA	NA	NA	0	0.846994535519126	NA	ABCA10
0.0113142952071346	0.49	NA	NA	NA	NA	0	0.980874316939891	NA	ABCA11P
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA17P
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA4
0.165820841638754	0.021	NA	NA	NA	NA	0	0.89344262295082	NA	ABCA5
0.626224430975866	0	NA	NA	NA	NA	0	0.0437158469945355	NA	ABCA6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA7
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB1
0.0704627737007497	0.094	NA	NA	NA	NA	0	0.508196721311475	NA	ABCB10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC6P1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC9
0.383088313588364	0.003	NA	NA	NA	NA	0	0.961748633879781	NA	ABCD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCD3
0.029841165500027	0.379	NA	NA	NA	NA	0	0.087431693989071	NA	ABCD4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCE1
0.208102174402424	0.127	NA	NA	NA	NA	0	0.0191256830601093	NA	ABCF1
0.0522930206629707	0.173	NA	NA	NA	NA	0	0.387978142076503	NA	ABCF2
0.0215130949039442	0.347	NA	NA	NA	NA	0	0.573770491803279	NA	ABCF3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG1
0.41150794151687	0	NA	NA	NA	NA	0	0.631147540983607	NA	ABCG2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG8
0.257402988540435	0	NA	NA	NA	NA	0	0.300546448087432	NA	ABHD1
0.140451298198883	0.022	NA	NA	NA	NA	0	0.879781420765027	NA	ABHD10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD12B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD14A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD14B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD15
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD2
0.205831307494829	0.057	NA	NA	NA	NA	0	0.953551912568306	NA	ABHD3
0.0948596795748982	0.345	NA	NA	NA	NA	0	0.00819672131147541	NA	ABHD4
0.257178152549234	0	NA	NA	NA	NA	0	0.155737704918033	NA	ABHD5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD8
0.275920057198467	0.073	NA	NA	NA	NA	0	0.0218579234972678	NA	ABI1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABI2
