stat	raw.pval	BH.adj.pval	Gene
gene1	0.0147929526068471	0.0461679403521489	0.0569614492923132	TYRP1
gene2	0.0136816319388639	0.0560000335145442	0.0682300854546318	OCA2
gene3	0.00729364500186776	0.170737895361281	0.192692710838277	NELL1
gene4	0.0627342197672741	2.13946711659085e-05	3.78481615286528e-05	EYA1
gene5	0.00916100668932342	0.130400907540286	0.150004788709745	CHST9
gene6	0.0295502602979054	0.0033212220225578	0.00475312226755457	PRKG2
gene7	0.00211879403596913	0.452341216049572	0.477880005062043	TRPM1
gene8	0.0489855230038143	9.2584438277088e-05	0.000154779766711526	GATA4
gene9	0.00247097298570513	0.555568383201337	0.578888828372815	ABCB5
gene10	6.24052632617854e-19	0.817651650154604	0.82772404480465	LRP2
gene11	0.018298580816413	0.0232414169353503	0.0298852963034569	CSMD1
gene12	2.88578294016131e-05	0.785101426090043	0.799524865508508	DSCR8
gene13	0.0319366831826139	0.00223645478756596	0.00326467932310267	FAM178B
gene14	0.0155293222739995	0.071154393564193	0.0852638385293803	HOXB13
gene15	0.00684393113909748	0.181387419702781	0.203869007052177	PAEP
gene16	8.95672493651413e-20	0.829687542867712	0.835866549575322	MAPK4
gene17	0.0275288166577323	0.00920168530468057	0.012507268604122	CMTM5
gene18	0.0366943967771062	0.0009599712979943	0.00145775250143419	MEGF10
gene19	0.0136586759286643	0.0575561456782903	0.0700103421899348	NRG3
gene20	0.0410619821490148	0.00101278900699875	0.00153290637530246	SOSTDC1
gene21	0.0105401342648602	0.0976910765173008	0.114631141433042	ANO4
gene22	0.00721834387505439	0.265693926018137	0.291145729721866	SFRP1
gene23	0.0152162014409646	0.0427439596194952	0.0529986280347676	OLIG2
gene24	0.0110643534086276	0.0846189339957375	0.100265684809318	COL9A1
gene25	0.0113518707454712	0.086599354568021	0.102406566934435	COL11A1
gene26	0.01752333914436	0.0451143701185327	0.0557548728017572	ADCY2
gene27	0.0567522928241754	6.20254611808368e-05	0.000105510547428639	COL22A1
gene28	1.41683838254589e-20	0.825354488841195	0.832617617391812	LRRTM4
gene29	0.00380265462578111	0.45326273017281	0.478819240320826	CA8
gene30	1.41690989145049e-20	0.810245498192971	0.822291270621197	PRDM7
gene31	0.0499759757571761	0.000173593563991492	0.000283867927365482	VGF
gene32	0.0024314957508633	0.422381214321295	0.448348643378266	LOXL4
gene33	3.2636353950665e-06	0.882469605536279	0.885472224132864	ABCA8
gene34	0.00040037351558633	0.798335578124048	0.811712736135643	PMP2
gene35	0.00966175124283064	0.12316939039558	0.142363616946212	ZNF536
gene36	0.0449719362172087	0.000196494673725178	0.000319862438074382	GRIK2
gene37	0.0358176369764921	0.00107690939449656	0.00162628318535967	BMP7
gene38	0.00996752872787457	0.108495733282039	0.12645400262775	CDH1
gene39	0.0248298783818534	0.0160089093162401	0.0210478259356184	FSTL5
gene40	0.0158153226273322	0.0672860857007955	0.0809244154696762	FMN2
gene41	0.00471671454018586	0.278655854401478	0.304354116529614	TF
gene42	0.02528354274089	0.00731068029074655	0.0100574716259617	UGT2B7
gene43	2.03655386035444e-05	0.792920510468158	0.806651919887747	SOX2
gene44	0.0147751612732783	0.0473349356850764	0.0583280650740809	DSG2
gene45	0.0109363340135925	0.138726016799139	0.158739338639089	ROBO2
gene46	0.00524794628559796	0.34874959771984	0.374913445492785	SPESP1
gene47	0.015859299870747	0.0609644405694109	0.0738393852633451	SLC7A4
gene48	0.0209024293530001	0.0153353535530143	0.0202073090383553	NCAM1
gene49	0.000551187118100503	0.649975709740972	0.669827497912401	MMP13
gene50	0.00480383264618329	0.361046140699246	0.387060153018059	SCRG1
gene51	0.00719426147898646	0.283686740437258	0.309436380215074	COMP
gene52	0.0133146615579281	0.0963483636492473	0.113109603663069	CR2
gene53	0.0352463624902969	0.0010968494487833	0.00165436222609551	SALL1
gene54	0.0258273767440449	0.00613781108077005	0.00852746861264057	ABCC2
gene55	0.0238115931128648	0.0142857525886857	0.0189070480136586	ALDH3B2
gene56	0.0844968801076166	1.12823708597887e-07	2.38199539415212e-07	CCL21
gene57	0.00304663161023882	0.367587384925871	0.393529077959193	SERPINA3
gene58	0.0293364242105474	0.00343271354774	0.00490458926951805	PCSK2
gene59	0.00422497637396826	0.313531030061809	0.339677813244774	CNDP1
