GENE	gain_p_value	gain_fdr	loss_p_value	loss_fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	gain_vs_rest_exp_diff	loss_vs_exp_diff
PCID2	5.82540027357948e-32	6.4923491620444e-30	6.50328183565767e-23	1.16301409138655e-21	0.270491803278689	0.5	0.229508196721311	9.84483535353535	9.33284590163934	8.83435119047619	0.668819248666439	-0.678235688956432
PPP2CB	9.49516967374631e-28	4.25025586789579e-26	6.87821365078278e-22	1.08986404685952e-20	0.284153005464481	0.494535519125683	0.221311475409836	11.0204480769231	10.5515906077348	9.98260740740741	0.644764489136818	-0.740075048732944
NUFIP1	9.93401194990461e-28	4.37497090793783e-26	1.01109353554114e-23	2.07513570191284e-22	0.248633879781421	0.508196721311475	0.243169398907104	8.69111758241758	8.10367688172043	7.59773033707865	0.751183400599401	-0.698932478805824
CARKD	1.9794324040531e-27	8.31513873733382e-26	4.34580704053195e-26	1.29112525300965e-24	0.270491803278689	0.505464480874317	0.224043715846995	10.2833454545455	9.83411675675676	9.20976585365854	0.640976915219612	-0.780948230848505
TUBGCP3	1.00015604963015e-25	2.95235253352985e-24	7.56789548460377e-23	1.33397736675982e-21	0.26775956284153	0.497267759562842	0.234972677595628	9.57257755102041	9.1076043956044	8.55235697674419	0.643149565945782	-0.717988023255815
IPO5	4.58675670817723e-25	1.15964251774796e-23	4.80550809765973e-18	4.2454416862778e-17	0.273224043715847	0.505464480874317	0.221311475409836	12.370397	11.723592972973	11.2735419753086	0.783849631578947	-0.676999779077322
KBTBD6	5.78270920426223e-25	1.4289309938677e-23	1.32563997370948e-15	8.79938317683916e-15	0.254098360655738	0.510928961748634	0.234972677595628	9.2673311827957	8.5660256684492	8.05621162790698	0.86190627437079	-0.742747657807309
ING1	6.8403042605157e-25	1.67510769357293e-23	7.11296308608771e-21	9.44293910239536e-20	0.273224043715847	0.5	0.226775956284153	8.842056	8.37229726775956	7.90898072289157	0.614327428571428	-0.629309029758612
DCTN6	3.59201813158548e-24	7.84640440663531e-23	2.85748476765063e-20	3.50899129467497e-19	0.284153005464481	0.494535519125683	0.221311475409836	9.37608942307692	8.92918674033149	8.32167283950617	0.634721865825014	-0.770594178037687
KIAA1967	3.79015552711898e-24	8.2135076720622e-23	4.82516653140739e-22	7.9004060007577e-21	0.278688524590164	0.489071038251366	0.23224043715847	11.870431372549	11.5214575418994	10.9404847058824	0.536029478609626	-0.707646610843625
ELP3	6.23427985895126e-24	1.31958923681135e-22	6.79043990711833e-23	1.20850147912193e-21	0.284153005464481	0.486338797814208	0.229508196721311	10.1873673076923	9.84438258426966	9.34338095238095	0.503611200822078	-0.627492451874367
MED4	3.26624486637216e-23	6.21496976141406e-22	8.04165243719337e-22	1.24738726646823e-20	0.251366120218579	0.505464480874317	0.243169398907104	10.0998076086957	9.63438702702703	9.06196741573034	0.651352499206601	-0.726999732284105
DIS3	1.49753369033829e-22	2.59620047077378e-21	1.04792590628008e-14	6.16702721842783e-14	0.265027322404372	0.516393442622951	0.218579234972678	10.5167010309278	9.93879312169312	9.4662375	0.71844489709884	-0.668559353146852
XPO7	2.86548440846261e-22	4.80012587564856e-21	9.70306982288066e-23	1.68736829570092e-21	0.284153005464481	0.486338797814208	0.229508196721311	11.6103240384615	11.2765887640449	10.7482511904762	0.503125946858486	-0.65141724924012
AP4B1	5.67849213261667e-22	8.9366701833486e-21	7.62896379164671e-22	1.19144851113684e-20	0.237704918032787	0.549180327868853	0.213114754098361	8.92417471264368	8.42895024875622	7.90495	0.641719157088122	-0.673599305555554
ESD	8.91336197455664e-22	1.37215311725023e-20	1.66986638291166e-27	6.37490959030731e-26	0.248633879781421	0.505464480874317	0.245901639344262	11.1661384615385	10.7664827027027	10.2422066666667	0.571237006993007	-0.656046594202898
TRIM13	8.91987468639137e-22	1.37215311725023e-20	1.76780169847915e-27	6.67957072533045e-26	0.248633879781421	0.505464480874317	0.245901639344262	9.71940879120879	9.25786216216216	8.67086333333333	0.653655336663336	-0.739175434782609
CUL4A	1.32838894365579e-21	1.97665722651342e-20	9.91670959957369e-29	4.59536580689679e-27	0.273224043715847	0.5	0.226775956284153	11.31802	10.7958551912568	10.238665060241	0.696024887218046	-0.741700664140662
RNF219	1.50725932716204e-21	2.20084042396575e-20	1.47456618939191e-15	9.71789238232519e-15	0.26775956284153	0.516393442622951	0.215846994535519	9.07533775510204	8.46513439153439	7.93521139240506	0.766412008833385	-0.738285123274379
UBAC2	1.61289846029524e-21	2.33634973253908e-20	3.65057199074412e-32	3.32066844787687e-30	0.273224043715847	0.502732240437158	0.224043715846995	10.816666	10.4686489130435	9.86774634146341	0.533257729323308	-0.723443799381656
ARHGEF7	2.24687904011524e-21	3.19536625991389e-20	1.93434936412695e-24	4.43996452177178e-23	0.26775956284153	0.505464480874317	0.226775956284153	10.8016857142857	10.373132972973	9.82889397590361	0.597104371002132	-0.692642419856103
CHMP7	3.37960689982442e-21	4.68427240607644e-20	3.78311326488562e-25	9.91956531518763e-24	0.278688524590164	0.489071038251366	0.23224043715847	10.6015078431373	10.360556424581	9.72941647058824	0.44415935828877	-0.718602746493614
SLC25A15	3.66694488833889e-21	5.03145377769313e-20	2.59247239046192e-16	1.86354503150472e-15	0.256830601092896	0.508196721311475	0.234972677595628	9.47967234042553	8.89088494623656	8.39538023255814	0.745454325719649	-0.693169053156147
TMTC4	5.461309085863e-21	7.30985512693574e-20	7.69399703517902e-13	3.63626492336107e-12	0.275956284153005	0.5	0.224043715846995	9.03390396039604	8.20891420765027	7.80847073170732	0.948900564169625	-0.693837718996908
ALG5	6.25172808744547e-21	8.24654277428496e-20	2.4105191057472e-23	4.59441021557299e-22	0.259562841530055	0.510928961748634	0.229508196721311	9.71073368421053	9.21554598930481	8.66055476190476	0.667214496018644	-0.72180977710233
VPS37A	1.97233805835801e-20	2.40960584713492e-19	2.34677129285342e-20	2.90605224970487e-19	0.286885245901639	0.478142076502732	0.234972677595628	9.65396761904762	9.24018514285714	8.58355930232558	0.630141948549534	-0.811794269102991
NUDT15	2.29271265478109e-20	2.78233417950212e-19	6.47075131653746e-14	3.45893273673227e-13	0.251366120218579	0.505464480874317	0.243169398907104	9.20556630434783	8.68447621621622	8.19191235955056	0.681083457632498	-0.66563348882489
TMEM66	2.64057422320796e-20	3.18024420028207e-19	6.04363624981806e-21	8.170552640121e-20	0.284153005464481	0.494535519125683	0.221311475409836	12.6911740384615	12.2685386740331	11.6324308641975	0.619294649148561	-0.790332644574399
ICMT	5.38350282655418e-20	6.18932819701313e-19	1.32491537721081e-24	3.13889919591294e-23	0.204918032786885	0.579234972677596	0.215846994535519	11.8908906666667	11.4709306603774	10.9046746835443	0.573685855670103	-0.676001623075905
SPG20	7.57756665509614e-20	8.56751376883644e-19	1.88934716049671e-15	1.23301238959608e-14	0.259562841530055	0.510928961748634	0.229508196721311	11.0108452631579	10.4912759358289	9.9383619047619	0.690952274228007	-0.727946251266463
GNB1	8.87260544674014e-20	9.88842823360162e-19	4.18439476881088e-23	7.65027807856043e-22	0.207650273224044	0.587431693989071	0.204918032786885	13.6023578947368	13.217423255814	12.7467013333333	0.506673067150636	-0.57125468041237
LEPROTL1	9.33464429156994e-20	1.038217769374e-18	1.02184425944806e-21	1.55236051620892e-20	0.284153005464481	0.494535519125683	0.221311475409836	10.6966182692308	10.3162994475138	9.72177037037037	0.56412361274222	-0.733312085769981
SUCLA2	1.12968061363988e-19	1.24378746594504e-18	1.32820911323365e-19	1.48727123804036e-18	0.251366120218579	0.505464480874317	0.243169398907104	9.73300108695652	9.25161027027027	8.66346853932584	0.672429554109806	-0.748026045511702
NEIL2	1.30280945263774e-19	1.43151758970919e-18	1.61445535335743e-18	1.55088748937908e-17	0.284153005464481	0.489071038251366	0.226775956284153	9.85264711538461	9.35743575418994	8.79170120481928	0.674432611567822	-0.74772034995104
