GENE	p_value	fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	vs_rest_exp_diff
TBP	8.85531554989643e-50	3.26229824858185e-46	0.0655737704918033	0.344262295081967	0.590163934426229	8.5523	8.21240714285714	7.57550416666667	-0.691285833333334
VPS26B	8.57179386506182e-50	3.26229824858185e-46	0.0765027322404372	0.401639344262295	0.521857923497268	10.9593071428571	10.6262897959184	9.95370523560209	-0.725867335826479
AKIRIN2	3.53732622249955e-49	8.68767320245889e-46	0.0901639344262295	0.398907103825137	0.510928961748634	9.9680696969697	9.62248150684932	8.94471978609626	-0.741473509993128
SNX3	8.91308898578717e-49	1.641790991182e-45	0.0601092896174863	0.360655737704918	0.579234972677596	12.1930272727273	11.6916333333333	11.0248566037736	-0.738404435187453
BUD13	3.44631932961047e-48	5.07849616411399e-45	0.0573770491803279	0.385245901639344	0.557377049180328	8.95347619047619	8.70229290780142	8.12024411764706	-0.614609586056645
PPP6C	3.66864354542334e-46	4.50509427377986e-43	0.0765027322404372	0.442622950819672	0.480874316939891	10.8405	10.4944327160494	9.98817670454545	-0.557255400717704
PSMB1	7.35059723415757e-45	7.73702863161042e-42	0.0655737704918033	0.344262295081967	0.590163934426229	11.6412416666667	11.3732341269841	10.6991175925926	-0.716997740740741
UBE2R2	1.43394863283707e-43	1.32066669084294e-40	0.087431693989071	0.308743169398907	0.603825136612022	11.493059375	10.9836415929204	10.4077158371041	-0.688348990482135
FBXO18	3.64474994563481e-43	2.98383528882637e-40	0.046448087431694	0.426229508196721	0.527322404371585	11.0618176470588	10.8119032051282	10.2432979274611	-0.593163344215162
RNF214	8.16882262733896e-43	6.01878851182335e-40	0.0573770491803279	0.382513661202186	0.560109289617486	9.00915714285714	8.64219142857143	7.99139609756098	-0.698660424178155
WDR5	1.7991349327524e-42	1.20509328950179e-39	0.0765027322404372	0.456284153005464	0.467213114754098	10.5505071428571	10.1580838323353	9.53909941520468	-0.675332379667116
GLE1	2.72802128907278e-42	1.67500507149069e-39	0.0792349726775956	0.456284153005464	0.46448087431694	10.5386517241379	10.2321245508982	9.71769941176471	-0.559778649459783
PPP2R2D	3.06175862023972e-42	1.73531057799433e-39	0.0136612021857923	0.341530054644809	0.644808743169399	9.25552	9.0225672	8.40381525423729	-0.627711668839634
ACAD8	4.25036835323136e-42	2.23690814475776e-39	0.0765027322404372	0.401639344262295	0.521857923497268	9.13478214285714	8.91419863945578	8.21218952879581	-0.737302471204188
UBAP1	1.26517251588528e-41	6.21452739802851e-39	0.092896174863388	0.314207650273224	0.592896174863388	10.4997264705882	10.0420043478261	9.48974792626728	-0.656703080444128
RPP38	7.15860971060442e-41	3.29653977173334e-38	0.046448087431694	0.423497267759563	0.530054644808743	8.50335882352941	7.93667677419355	7.33912835051546	-0.653557695996164
CLTA	4.23157134125055e-40	1.83401280249024e-37	0.103825136612022	0.322404371584699	0.573770491803279	12.1169263157895	11.5994838983051	10.9979876190476	-0.727539945054945
ARCN1	1.00349632306127e-39	4.10764494906412e-37	0.0601092896174863	0.387978142076503	0.551912568306011	12.5559181818182	12.1211288732394	11.5060445544554	-0.673409713837236
REXO4	1.13937741646547e-39	4.4183856865882e-37	0.0765027322404372	0.453551912568306	0.469945355191257	10.1487142857143	9.86209698795181	9.27930174418605	-0.624162688803644
TCP1	2.34756795773804e-39	8.64844035630695e-37	0.0573770491803279	0.344262295081967	0.598360655737705	12.631019047619	12.0812896825397	11.3909196347032	-0.768902814276395
EHMT1	6.75451451730766e-39	2.36986966492966e-36	0.0901639344262295	0.453551912568306	0.456284153005464	10.5572575757576	10.2341668674699	9.63512335329341	-0.652621370324677
QRSL1	7.68830367538527e-39	2.5748827945563e-36	0.0601092896174863	0.35792349726776	0.581967213114754	9.16651818181818	8.83298396946565	8.13542723004695	-0.745515907207954
MED27	1.17431730093123e-38	3.76189994489622e-36	0.0765027322404372	0.453551912568306	0.469945355191257	8.80073214285714	8.49170843373494	7.856375	-0.679934793814432
C10orf76	1.23068660561157e-38	3.77820787922751e-36	0.0163934426229508	0.355191256830601	0.628415300546448	9.51943333333333	9.38875461538461	8.84959739130435	-0.544922461636828
MAPKAP1	1.65667748249884e-38	4.88255987642058e-36	0.0765027322404372	0.445355191256831	0.478142076502732	11.1739678571429	10.8637067484663	10.3890457142857	-0.520144338070306
CCNY	3.34788516917619e-38	9.48739151018854e-36	0.040983606557377	0.426229508196721	0.532786885245902	10.9979533333333	10.6791538461538	10.1903266666667	-0.516792046783625
MRPL18	3.51417225468164e-38	9.58978561944233e-36	0.0573770491803279	0.344262295081967	0.598360655737705	10.2692952380952	9.86679444444444	9.19554566210046	-0.728748895722672
TBC1D13	4.07293081821043e-38	1.07176265244909e-35	0.0792349726775956	0.456284153005464	0.46448087431694	10.6582862068966	10.3180299401198	9.66211117647059	-0.706262803121248
C9orf114	1.44730316395152e-37	3.67714817654992e-35	0.0792349726775956	0.456284153005464	0.46448087431694	9.86775862068965	9.61590359281437	8.90489235294118	-0.748275504201681
ALKBH1	8.97624620773511e-37	2.20456606861974e-34	0.112021857923497	0.557377049180328	0.330601092896175	8.36825609756097	8.03125392156863	7.50077603305785	-0.586874171023783
KIAA0391	9.76161521811851e-37	2.32011551377733e-34	0.117486338797814	0.584699453551913	0.297814207650273	9.66329302325581	9.26934906542056	8.72041467889908	-0.614847188805198
LARP4B	1.07851986196517e-36	2.48329198217481e-34	0.0437158469945355	0.420765027322404	0.53551912568306	10.65025	10.4513272727273	9.87027193877551	-0.599777472989196
C11orf73	1.82629703149675e-36	4.07762319032366e-34	0.120218579234973	0.478142076502732	0.401639344262295	9.34671818181818	8.99036685714286	8.40806394557823	-0.653898611499395
