MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	SPRR2F
NA	NA	0.00366364608519473	0.495	NA	NA	0	0.0919540229885057	NA	REG1A
NA	NA	0.0839102290589728	0.226	NA	NA	0	0.379310344827586	NA	GSTM1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ITLN1
NA	NA	0.263200678868777	0.068	NA	NA	0	0.126436781609195	NA	PCP4
NA	NA	0.24428283769541	0.065	NA	NA	0	0.137931034482759	NA	FOSB
NA	NA	NA	NA	NA	NA	NA	NA	NA	BCHE
NA	NA	NA	NA	NA	NA	NA	NA	NA	SYT4
NA	NA	0.239831691458297	0.037	NA	NA	0	0.252873563218391	NA	SLC28A3
NA	NA	0.547626402979801	0.002	NA	NA	0	0.103448275862069	NA	BARX2
NA	NA	0.151684202931983	0.134	NA	NA	0	0.195402298850575	NA	HSD3B1
NA	NA	NA	NA	NA	NA	NA	NA	NA	HOXB13
NA	NA	NA	NA	NA	NA	NA	NA	NA	C4BPA
NA	NA	NA	NA	NA	NA	NA	NA	NA	AKR1B10
NA	NA	0.230193306543857	0.101	NA	NA	0	0.103448275862069	NA	MGST1
NA	NA	0.00921193084053981	0.484	NA	NA	0	0.126436781609195	NA	NLRP2
NA	NA	0.203372281670915	0.208	NA	NA	0	0.0459770114942529	NA	NNAT
NA	NA	0.31164255882513	0.096	NA	NA	0	0.0574712643678161	NA	KRT7
NA	NA	NA	NA	NA	NA	NA	NA	NA	TBC1D3G
NA	NA	NA	NA	NA	NA	NA	NA	NA	KRT17
NA	NA	0.608007238822535	0.002	NA	NA	0	0.126436781609195	NA	DSCAML1
NA	NA	0.322434314903431	0.102	NA	NA	0	0.0459770114942529	NA	SAA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ZFP42
NA	NA	NA	NA	NA	NA	NA	NA	NA	SERPINB5
NA	NA	NA	NA	NA	NA	NA	NA	NA	LHX9
NA	NA	NA	NA	NA	NA	NA	NA	NA	KRT14
NA	NA	0.157032148596543	0.118	NA	NA	0	0.218390804597701	NA	HP
NA	NA	0.0974549863738184	0.209	NA	NA	0	0.35632183908046	NA	NPPB
NA	NA	0.234671669007107	0.103	NA	NA	0	0.103448275862069	NA	EPCAM
NA	NA	NA	NA	NA	NA	NA	NA	NA	AGR2
NA	NA	NA	NA	NA	NA	NA	NA	NA	SPRR2E
NA	NA	0.284098786245613	0.032	NA	NA	0	0.149425287356322	NA	ZFR2
NA	NA	0.0901717842201069	0.344	NA	NA	0	0.0804597701149425	NA	ZIC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	MYH14
NA	NA	0.558088156133263	0	NA	NA	0	0.448275862068966	NA	ADH1B
NA	NA	0.366458454095949	0.002	NA	NA	0	0.482758620689655	NA	LTF
NA	NA	0.161239519918933	0.083	NA	NA	0	0.28735632183908	NA	CKMT1B
NA	NA	0.0579325413462752	0.289	NA	NA	0	0.448275862068966	NA	ISM2
NA	NA	NA	NA	NA	NA	NA	NA	NA	OGN
NA	NA	NA	NA	NA	NA	NA	NA	NA	SULT1E1
NA	NA	0.145426431243202	0.247	NA	NA	0	0.0689655172413793	NA	PKP3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ATP6V1B1
NA	NA	0.0165844084259392	0.456	NA	NA	0	0.402298850574713	NA	HHIP
NA	NA	NA	NA	NA	NA	NA	NA	NA	EMX1
NA	NA	0.182162454649269	0.05	NA	NA	0	0.551724137931034	NA	TNNC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	CTSE
NA	NA	0.0995832297382968	0.181	NA	NA	0	0.390804597701149	NA	RNF212
NA	NA	0.0100887640677559	0.495	NA	NA	0	0.0344827586206897	NA	KCNS1
NA	NA	0.497686514607577	0.021	NA	NA	0	0.0689655172413793	NA	SYT10
NA	NA	0.373033291918413	0.079	NA	NA	0	0.0459770114942529	NA	SAA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	HOXC10
NA	NA	0.238659220444848	0.023	NA	NA	0	0.390804597701149	NA	SLITRK6
NA	NA	NA	NA	NA	NA	NA	NA	NA	EPB42
NA	NA	NA	NA	NA	NA	NA	NA	NA	AMHR2
NA	NA	NA	NA	NA	NA	NA	NA	NA	HBA1
NA	NA	0.15178330269379	0.223	NA	NA	0	0.0689655172413793	NA	PKHD1L1
NA	NA	0.178240733724333	0.13	NA	NA	0	0.137931034482759	NA	CYP4B1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NPHS1
NA	NA	0.371640837487345	0.029	NA	NA	0	0.114942528735632	NA	MMP3
NA	NA	0.132458928198511	0.134	NA	NA	0	0.28735632183908	NA	CKMT1A
NA	NA	NA	NA	NA	NA	NA	NA	NA	SFRP5
NA	NA	0.198636587923137	0.045	NA	NA	0	0.402298850574713	NA	CXCL6
NA	NA	0.161570736636694	0.253	NA	NA	0	0.0574712643678161	NA	ESRP1
NA	NA	0.296187351013668	0.174	NA	NA	0	0.0459770114942529	NA	SAA4
NA	NA	NA	NA	NA	NA	NA	NA	NA	EPYC
NA	NA	0.0101598447312247	0.487	NA	NA	0	0.0804597701149425	NA	AGTR1
NA	NA	NA	NA	NA	NA	NA	NA	NA	NPY
NA	NA	0.152207705347401	0.151	NA	NA	0	0.137931034482759	NA	DSC3
NA	NA	0.260276243123796	0.259	NA	NA	0	0.0344827586206897	NA	MS4A1
NA	NA	0.34575164476449	0.15	NA	NA	0	0.0344827586206897	NA	VIPR2
NA	NA	0.267961350932697	0.083	NA	NA	0	0.0919540229885057	NA	AQP9
NA	NA	0.159584482567616	0.078	NA	NA	0	0.402298850574713	NA	SLC34A2
NA	NA	0.438281803016086	0.078	NA	NA	0	0.0574712643678161	NA	COL2A1
NA	NA	0.0166047129401036	0.444	NA	NA	0	0.402298850574713	NA	FGG
NA	NA	NA	NA	NA	NA	NA	NA	NA	TNNT2
NA	NA	NA	NA	NA	NA	NA	NA	NA	KLK6
NA	NA	0.307955755300447	0.075	NA	NA	0	0.0574712643678161	NA	COMP
NA	NA	NA	NA	NA	NA	NA	NA	NA	DPP6
NA	NA	NA	NA	NA	NA	NA	NA	NA	SPRR2B
NA	NA	NA	NA	NA	NA	NA	NA	NA	GDF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	CR2
NA	NA	0.163073244771984	0.2	NA	NA	0	0.0689655172413793	NA	PDIA2
NA	NA	0.0879004096239096	0.208	NA	NA	0	0.390804597701149	NA	DOK7
NA	NA	0.28080725812375	0.236	NA	NA	0	0.0344827586206897	NA	RDH16
NA	NA	0.0994344370571697	0.185	NA	NA	0	0.35632183908046	NA	F7
NA	NA	0.270180930737631	0.055	NA	NA	0	0.149425287356322	NA	KIF1A
NA	NA	0.0646516798615622	0.331	NA	NA	0	0.103448275862069	NA	SCNN1G
NA	NA	0.349042054069067	0.002	NA	NA	0	0.241379310344828	NA	LCN2
NA	NA	0.110047160339204	0.363	NA	NA	0	0.0344827586206897	NA	PI3
NA	NA	0.111233476529464	0.307	NA	NA	0	0.0804597701149425	NA	SOX11
NA	NA	0.0124307655502228	0.483	NA	NA	0	0.0919540229885057	NA	REG3G
NA	NA	0.372857155508008	0.003	NA	NA	0	0.160919540229885	NA	PCDHA12
NA	NA	0.0482774443752074	0.396	NA	NA	0	0.0804597701149425	NA	ZIC4
NA	NA	0.0236645317221271	0.427	NA	NA	0	0.367816091954023	NA	ZIC2
NA	NA	0.268651186232947	0.011	NA	NA	0	0.310344827586207	NA	ANKRD1
NA	NA	0.603735866137132	0	NA	NA	0	0.448275862068966	NA	ADH1A
NA	NA	NA	NA	NA	NA	NA	NA	NA	EDIL3
NA	NA	0.220209274515292	0.023	NA	NA	0	0.459770114942529	NA	VNN1
NA	NA	0.012165362647158	0.446	NA	NA	0	0.32183908045977	NA	CCL21
NA	NA	NA	NA	NA	NA	NA	NA	NA	KLK8
NA	NA	0.362568773564163	0	NA	NA	0	0.379310344827586	NA	LPHN3
NA	NA	NA	NA	NA	NA	NA	NA	NA	DKK1
NA	NA	0.196464154925538	0.082	NA	NA	0	0.183908045977011	NA	NEFL
NA	NA	0.306330248229538	0.01	NA	NA	0	0.195402298850575	NA	CES1
NA	NA	0.287783179661785	0.004	NA	NA	0	0.402298850574713	NA	SLITRK5
NA	NA	NA	NA	NA	NA	NA	NA	NA	CXCL13
NA	NA	NA	NA	NA	NA	NA	NA	NA	SLC26A9
NA	NA	NA	NA	NA	NA	NA	NA	NA	FBN3
NA	NA	NA	NA	NA	NA	NA	NA	NA	GABRA2
NA	NA	0.414440847018024	0.015	NA	NA	0	0.0919540229885057	NA	PDZD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	SPRR2D
NA	NA	NA	NA	NA	NA	NA	NA	NA	CSMD3
NA	NA	0.0846063111412549	0.374	NA	NA	0	0.0689655172413793	NA	CD19
NA	NA	0.173016818673213	0.1	NA	NA	0	0.218390804597701	NA	HPR
NA	NA	NA	NA	NA	NA	NA	NA	NA	KLK7
NA	NA	NA	NA	NA	NA	NA	NA	NA	RAET1G
NA	NA	0.478577234589028	0.03	NA	NA	0	0.0574712643678161	NA	TMEM132C
NA	NA	0.158563945637434	0.323	NA	NA	0	0.0229885057471264	NA	RORC
NA	NA	0.1543243322965	0.164	NA	NA	0	0.149425287356322	NA	HAPLN1
NA	NA	0.211524968038214	0.044	NA	NA	0	0.252873563218391	NA	PKD1L2
NA	NA	NA	NA	NA	NA	NA	NA	NA	CYP4F11
NA	NA	NA	NA	NA	NA	NA	NA	NA	HKDC1
NA	NA	0.379734362432591	0.117	NA	NA	0	0.0459770114942529	NA	SLC6A3
NA	NA	0.00751243019843721	0.484	NA	NA	0	0.0919540229885057	NA	MFAP5
NA	NA	NA	NA	NA	NA	NA	NA	NA	MMP13
NA	NA	0.0652085839093752	0.417	NA	NA	0	0.0344827586206897	NA	PCDP1
NA	NA	0.0419182210934994	0.342	NA	NA	0	0.333333333333333	NA	SFTA1P
NA	NA	NA	NA	NA	NA	NA	NA	NA	INMT
