stat	raw.pval	BH.adj.pval	Gene
gene1	0.0827553896113322	0.00851393010136814	0.0336985278022109	SPRR2F
gene2	0.0694357265287099	0.0363101923687266	0.0957085031457385	REG1A
gene3	0.018156145892656	0.290154348443822	0.429030767427	GSTM1
gene4	0.0333694352715111	0.166144372202112	0.286820916388556	ITLN1
gene5	0.0317131474135968	0.17657421595801	0.299732225466436	PCP4
gene6	0.0430690718186265	0.114435363588178	0.221822844167684	FOSB
gene7	0.0205269745679225	0.272170800380544	0.410413173772679	BCHE
gene8	0.00542477739345648	0.550635641002576	0.66560971578077	SYT4
gene9	0.0433183320959415	0.109958951675092	0.215087930706511	SLC28A3
gene10	0.0752516227517344	0.0299185807529208	0.0832984230340714	BARX2
gene11	0.0253818025923764	0.221353835602225	0.352985583173682	HSD3B1
gene12	0.0160112223504581	0.349440294244135	0.487952808503439	HOXB13
gene13	0.0187492365783571	0.170540204329602	0.292155226242568	C4BPA
gene14	1.77851257592289e-18	0.819458231959137	0.839186519695658	AKR1B10
gene15	0.0194991518760499	0.296037101015777	0.434810984158612	MGST1
gene16	0.00469271053696882	0.578914237351017	0.690015659895033	NLRP2
gene17	0.0500247942410809	0.0892407462087945	0.18553919617132	NNAT
gene18	0.0183429579834873	0.314889851981907	0.454370534435112	KRT7
gene19	3.20730651441462e-18	0.83299302712463	0.839186519695658	TBC1D3G
gene20	2.47449879118817e-20	0.844173507803625	0.845102819611402	KRT17
gene21	0.14242073640275	0.00154876408166771	0.0096475095920551	DSCAML1
gene22	0.0254158010353783	0.226616702565417	0.358645564060051	SAA2
gene23	5.78885168886358e-20	0.607893298943548	0.706361261126708	ZFP42
gene24	0.00299394892334534	0.629021698146008	0.706361261126708	SERPINB5
gene25	0.00287134782215635	0.538037487983215	0.654621399418031	LHX9
gene26	0.0106227039187316	0.463100374126875	0.591288139727039	KRT14
gene27	0.0725064058080011	0.0317977003001918	0.0870424570752511	HP
gene28	0.0254311079656856	0.230243457442311	0.363081225411006	NPPB
gene29	0.0471386049933661	0.092170778211803	0.190099039358009	EPCAM
gene30	0.000267581513333066	0.562111413265303	0.675178874011064	AGR2
gene31	0.0475967473445602	0.0429417697337091	0.107895707146042	SPRR2E
gene32	0.0428191860055029	0.113913214167263	0.221169162571505	ZFR2
gene33	0.00997011219947858	0.438083761785366	0.569508890320976	ZIC1
gene34	2.11409597629131e-20	0.821864026851917	0.839186519695658	MYH14
gene35	0.272540843336567	4.09834215120419e-07	1.85466597242603e-05	ADH1B
gene36	0.160775422700177	0.000582035593065355	0.00472628708549288	LTF
gene37	0.0718461357414746	0.0282879048379229	0.0800088984132062	CKMT1B
gene38	0.00800436243888501	0.271627138453957	0.409888681170968	ISM2
gene39	0.00369885949992488	0.602853877886059	0.704160049427934	OGN
gene40	2.13347558273448e-18	0.605314483177559	0.704933811044647	SULT1E1
gene41	0.0361949031089728	0.142410538891732	0.257605965476397	PKP3
gene42	0.0770473206136603	0.0268314326436497	0.0772199223419167	ATP6V1B1
gene43	8.12089039014481e-05	0.570424915080038	0.682293266847205	HHIP
gene44	0.00914970453765188	0.466480999019627	0.593432445493438	EMX1
gene45	0.0420355477694592	0.110891198396376	0.216356215115992	TNNC1
gene46	0.056761914953546	0.0442221284179991	0.110351016129803	CTSE
