GENE	p_value	fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	vs_rest_exp_diff
PRMT5	5.22713332635609e-16	1.37473606483165e-12	0.0229885057471264	0.551724137931034	0.425287356321839	11.3095	10.74464375	9.86711621621622	-0.900121783783785
SLC25A20	1.05013581758617e-14	1.38092860012582e-11	0.0919540229885057	0.390804597701149	0.517241379310345	8.3841625	8.33692058823529	7.36984444444444	-0.976074603174602
MAP4	2.89904861087246e-14	2.54149928219819e-11	0.0919540229885057	0.402298850574713	0.505747126436782	13.4991375	13.3509285714286	12.5314681818182	-0.847034143763214
ABHD5	1.51766019517771e-13	9.97861578329343e-11	0.114942528735632	0.471264367816092	0.413793103448276	9.50087	8.87808048780488	7.93016944444444	-1.07002663398693
FKBP3	7.43899711770353e-13	3.91291248391206e-10	0.0229885057471264	0.563218390804598	0.413793103448276	11.44765	10.7187428571429	9.87253888888889	-0.874788562091505
MON1A	9.39288820401837e-13	4.11721599609472e-10	0.0919540229885057	0.402298850574713	0.505747126436782	8.15525	7.65643428571429	6.70858863636364	-1.04064857293869
NMNAT1	1.4805494818897e-12	5.56263591052843e-10	0.0229885057471264	0.620689655172414	0.35632183908046	8.94285	7.97292407407407	7.27505806451613	-0.732506221198157
AP4S1	1.89995486204142e-12	6.24610160896118e-10	0.0229885057471264	0.551724137931034	0.425287356321839	6.99825	6.354625	5.46816756756757	-0.912202432432433
TPT1	2.34372326320063e-12	6.84888020246408e-10	0.0344827586206897	0.494252873563218	0.471264367816092	16.741	16.4681674418605	15.5738146341463	-0.912146235418877
ANO10	2.93743200049033e-12	7.72544616128957e-10	0.114942528735632	0.471264367816092	0.413793103448276	9.62303	9.15186829268293	8.20656944444444	-1.03768349673203
BAP1	5.1880853008856e-12	1.14522662988948e-09	0.0804597701149425	0.367816091954023	0.551724137931034	11.4983428571429	10.73158125	9.2765625	-1.59264262820513
IFRD2	5.22536865348811e-12	1.14522662988948e-09	0.0919540229885057	0.390804597701149	0.517241379310345	10.9848875	10.4118352941176	9.51466222222222	-1.00632587301587
SLC25A26	9.66019670934499e-12	1.95264906406597e-09	0.172413793103448	0.574712643678161	0.252873563218391	9.21712	8.765024	8.01809545454545	-0.851258391608392
ZNF589	1.03943296186021e-11	1.95264906406597e-09	0.0919540229885057	0.390804597701149	0.517241379310345	8.002075	7.79087058823529	6.87936222222222	-0.951737777777778
APEH	2.21338615749255e-11	3.63825349637837e-09	0.0919540229885057	0.402298850574713	0.505747126436782	11.9495	11.4048714285714	10.7370454545455	-0.769152219873151
SIPA1L1	2.13532267664261e-11	3.63825349637837e-09	0.0229885057471264	0.528735632183908	0.448275862068966	11.16775	10.4819630434783	9.43764615384615	-1.07289134615385
ARGLU1	2.92651275136118e-11	4.52748737416465e-09	0.0689655172413793	0.574712643678161	0.35632183908046	11.9834666666667	11.13418	10.3133225806452	-0.911852419354839
IVD	3.59547648153754e-11	5.25339063691318e-09	0.0459770114942529	0.632183908045977	0.32183908045977	11.0817	10.6137854545455	9.582525	-1.06298347457627
CDKN2A	4.45699688642294e-11	6.16942200594333e-09	0.0114942528735632	0.390804597701149	0.597701149425287	7.54	7.97410294117647	5.17240192307692	-2.78929807692308
RCHY1	4.88926227128875e-11	6.42937988674471e-09	0.0114942528735632	0.574712643678161	0.413793103448276	9.0796	9.108224	8.25347777777778	-0.854184967320261
MOV10	6.36224465383574e-11	7.96795401885143e-09	0.0804597701149425	0.563218390804598	0.35632183908046	10.9267	10.6378448979592	9.79244516129032	-0.881506624423963
C3orf18	6.79095766619137e-11	8.11828121003787e-09	0.0919540229885057	0.390804597701149	0.517241379310345	7.8809375	7.51467647058824	6.23580222222222	-1.34863825396825
ACO1	1.15971645930622e-10	1.29376393366771e-08	0.0229885057471264	0.586206896551724	0.390804597701149	12.189	11.097862745098	9.98861764705882	-1.15042008879023
PNMA1	1.18062108015304e-10	1.29376393366771e-08	0.0229885057471264	0.528735632183908	0.448275862068966	11.23485	10.6127804347826	9.67413333333333	-0.964566666666666
RRP9	2.15849702856724e-10	2.27073887405274e-08	0.0919540229885057	0.390804597701149	0.517241379310345	10.2177	9.20454705882353	8.43228	-0.965248571428571
ZZZ3	3.66617213352194e-10	3.70847411967796e-08	0.0804597701149425	0.620689655172414	0.298850574712644	9.70492857142857	9.40951851851852	8.71904615384615	-0.724371878940731
MTAP	4.25725066682768e-10	4.14687750139141e-08	0.0114942528735632	0.413793103448276	0.574712643678161	9.785	9.02556111111111	7.342966	-1.70312048648649
KIF9	4.90497352089542e-10	4.50105744430749e-08	0.0919540229885057	0.402298850574713	0.505747126436782	7.43025	6.75008285714286	5.79360909090909	-1.08301649048626
WWOX	4.96314318954057e-10	4.50105744430749e-08	0.149425287356322	0.609195402298851	0.241379310344828	8.20075384615385	8.00168490566038	7.12980952380952	-0.911085930735931
ALPK1	5.48689693395467e-10	4.81017964543359e-08	0.0229885057471264	0.540229885057471	0.436781609195402	9.50655	9.25481276595745	8.53757105263158	-0.727516702470462
LZTFL1	1.16402882331758e-09	9.87547033975886e-08	0.0919540229885057	0.436781609195402	0.471264367816092	9.5454875	9.01335789473684	8.28003170731707	-0.825870466595969
MIB2	1.74041233473998e-09	1.43040138761442e-07	0.0344827586206897	0.620689655172414	0.344827586206897	10.6209	9.59339074074074	8.86005666666667	-0.78741350877193
DNAH1	1.79689719821395e-09	1.43207261554627e-07	0.0804597701149425	0.367816091954023	0.551724137931034	8.10748571428571	7.558740625	6.49476666666667	-1.16246666666667
CDKN2B	1.9221437779468e-09	1.44748293381124e-07	0.0114942528735632	0.402298850574713	0.586206896551724	9.451	8.6935	6.64067843137255	-2.07386323529412
SLC26A6	1.92630808682104e-09	1.44748293381124e-07	0.0919540229885057	0.390804597701149	0.517241379310345	8.1583625	7.80511470588235	6.85458222222222	-1.01781777777778
KIAA0586	2.31575335488777e-09	1.69178647870967e-07	0.0229885057471264	0.540229885057471	0.436781609195402	8.8152	7.73176595744681	7.05633947368421	-0.719648281417831
CCDC13	2.41059488323e-09	1.71347690348511e-07	0.114942528735632	0.494252873563218	0.390804597701149	4.44032	4.2470511627907	2.92160294117647	-1.36191403995561
TTC7B	2.55608409911642e-09	1.76907925807268e-07	0.0114942528735632	0.540229885057471	0.448275862068966	9.2072	8.77725106382979	8.03325128205128	-0.752957051282051
MIPEP	3.8371153781312e-09	2.5875931908936e-07	0.0114942528735632	0.517241379310345	0.471264367816092	9.049	8.70998666666667	8.02368048780488	-0.693676033934253
DVL1	3.95035308346187e-09	2.59735715237618e-07	0.0344827586206897	0.620689655172414	0.344827586206897	11.2646333333333	10.7224981481481	9.91472	-0.836311578947369
