Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0007017~microtubule-based process	147	6.150627615062762	1.2740076110706763E-15	DYNC1LI1, CEP72, DYNC1LI2, CHMP4C, CHMP4B, CEP76, CHMP5, AURKC, FAM179B, CNP, AURKA, CTNNB1, APP, CUL7, CUL9, DYNC2H1, DISC1, ASPM, CIB1, KIF13B, DYX1C1, DCTN3, MARK3, KIAA0753, MARK4, DCTN1, DCTN2, MARK2, CNTROB, CATSPER1, CLIP1, CHORDC1, DYNLRB1, CHMP2A, BBS4, C11ORF63, DNAH12, CRIPT, DNAH14, CCDC13, DAG1, CHEK1, ARPC5, CAPZB, LLGL1, CHMP2B, LLGL2, BLOC1S2, BLOC1S3, CLASP2, AP2M1, AXIN1, IFT140, KIF3A, HTT, DOCK7, DVL1, LAMP1, ATF5, HDAC3, CDKN1B, MAP7, ABL1, DNAL4, CLTA, E2F4, KIF24, FAM175B, CDC14A, AP2S1, AP3S2, CLTC, GTSE1, ACTR3, CCDC103, CDC42, AP2B1, CCDC40, CEP250, DYNLL2, CDK5RAP2, CNTLN, DYNC1H1, KPNB1, DLG1, AP3B1, KIF14, CLN3, ARHGEF2, CCNF, KTN1, BBS12, DNAI2, ARHGEF10, EML4, ARL3, EML2, EML3, CHMP1A, CHMP1B, CNTN2, IFT81, MAPRE1, DYNC1I2, MDM1, IFT74, HAUS6, DNAH9, HAUS5, CEP120, FKBP4, KIAA0196, DNAH3, CETN3, DNAH1, AKAP9, DTNBP1, DNAH8, CEP57, DNAI1, AP3M2, AP3M1, KLC1, AP3D1, BCAS3, KIF21A, GAPDH, CHD4, CHD3, APC, CEP135, CEP192, KIF18A, LMNA, BIRC3, CEP63, CENPJ, BIRC2, GABARAP, CABYR, AP2A2, ATXN3, CSNK1D, CCDC114, ATXN7, KATNAL2, ACTR10	2045	618	16650	1.9366439575569112	9.982459303614633E-12	9.982459303614633E-12	2.4424906541753444E-12
GOTERM_BP_FAT	GO:0006417~regulation of translation	96	4.01673640167364	6.0493222142770664E-15	ABCF1, EIF6, CNOT8, CPEB3, IMPACT, CPEB4, DICER1, EIF5, CNOT3, CNOT2, CNOT1, EIF2A, IARS2, CNOT7, LARP1, AKT1, LSM14A, LSM14B, EIF3CL, APP, IMP3, EIF4EBP2, KLHL25, EIF1, DND1, EIF2B2, CDK5RAP1, DNAJC3, EIF2B3, EIF2B4, AKT2, EIF2B5, C12ORF65, ACO1, MAGOH, AARS, CNOT10, HNRNPA2B1, ESR1, EEF2, EIF1B, CDK4, EIF4G1, EIF4G2, EIF4A3, MAPK1, EIF4G3, EIF2AK1, C1QBP, EIF2S1, EIF4A1, MAPK3, EIF4E3, MAPKAPK5, IGF2BP2, DTD1, EIF3D, EIF3B, EIF3G, EIF3H, CNOT6L, EIF3E, CDC123, LARS, EIF3K, EIF3L, EIF3I, EIF3J, GAPDH, EIF3M, EIF4ENIF1, DDX1, IREB2, EPRS, ELAVL1, AARSD1, CASC3, ETF1, FXR2, EIF2B1, LARP4B, CAPRIN1, FXR1, DDX6, CAPRIN2, EIF4B, ATXN2, ATF4, EIF4E, EIF4H, CIRBP, BANK1, GRB7, EIF4E2, ADAR, BCDIN3D	2045	343	16650	2.278757119333937	4.900480021774456E-11	2.450240010887228E-11	1.2001510896197942E-11
GOTERM_BP_FAT	GO:0043933~macromolecular complex subunit organization	422	17.656903765690377	1.7934747741981217E-14	HIST2H2AA3, MED25, MED24, CTNNB1, CUL3, BRPF1, BRPF3, LUC7L2, LSM3, FAS, CAB39, DHX30, H1F0, MCRS1, DPAGT1, C10ORF2, MAPK3, MAPK9, ADSL, C15ORF62, CRTC3, CRTC2, CHCHD1, CRTC1, AHCTF1, ARF6, ASL, ARFGEF1, ARG1, CDC42EP2, GORASP1, CDC123, ISY1, LEO1, CDC42EP4, C9ORF24, FH, DVL2, DNMT3A, DVL3, ACACA, ACACB, ATR, COL16A1, DVL1, ARF1, H3F3A, H3F3B, HNF1A, CRNKL1, EZH1, AP2S1, EIF2A, DAXX, LSM14A, HSF1, IL1RAP, BRD7, ANP32A, BRD9, BRD8, ARHGEF2, ANP32B, ANP32E, GTF2H4, BBS12, DECR1, BBS10, ALOX15, GNB1, HIST2H2BF, BRDT, CAND2, CAND1, AARS2, EXOC8, ACSL3, EXOC2, BRMS1L, BRD1, BRD2, BRD3, CSNK2B, ETF1, CAPN3, CSNK1D, GSK3B, EIF6, HMGCR, IMPACT, EIF5, HBS1L, CAPZA1, CNOT2, CNOT1, CNOT7, IGHMBP2, DPY30, MFF, DDX23, EED, DNAJC6, DDX20, DNAJC2, DCTPP1, CIB1, BEND3, DYX1C1, CECR2, FADD, ARID1A, ARID1B, ARPC1A, EP300, KDM2A, EP400, BBS4, ACHE, EID2, C14ORF169, ARPC4, ARPC5, ATF1, ABCA5, CXXC1, ARPC3, ARPC2, ASF1A, C17ORF49, EHMT1, AKAP8L, EHMT2, HDAC5, EPS15, IKBKE, APEH, HDAC3, CDKN1B, CRBN, HDAC2, GTF2F2, HSPD1, ABL1, KIF24, ATL2, ARID4A, HP1BP3, ATL3, DICER1, ARID4B, BAP1, DEK, CTCF, CCDC103, CDC42, EDC3, CASP8, DLG4, DLG5, CAT, LRWD1, KDM5A, ACAD9, KDM5B, AHNAK, IMPDH2, INO80C, DLG1, KIF14, ATPAF2, DDB1, ESR1, CDK9, ERAL1, GAK, DHRS4, ARPC5L, IPO4, IPO5, CLDN1, CPSF7, CPSF6, MAPRE1, CARM1, DMC1, ATPAF1, CASQ2, DPF3, BCLAF1, FKBP4, CDC73, ARID2, CHD9, CHD8, CHD7, CHD1L, AVIL, CHD1, KDM3B, EHD1, CHD4, CHD3, GBA, EHD4, CREB1, ISL1, FBL, CUL4A, CCDC114, BAX, KDM4B, CABIN1, KDM4C, FAF1, APAF1, HMGN1, ALAD, HM13, FASTKD2, CHMP5, CHMP6, CHMP7, AURKC, AURKA, CCT2, CCT3, H2AFV, DDX11, ATXN10, H2AFY, FAM103A1, CLNS1A, C12ORF65, DBNL, FAM21C, DCTN1, FARP2, CHRAC1, BAZ1B, ABT1, AMFR, BIN1, ADD1, ALDOA, CHEK1, CAPZB, CDC40, BRIX1, AEBP2, CREBBP, DDX1, EPRS, ARFIP1, AFG3L2, DDX6, CCT8, GOSR2, ADAR, ATAD2B, ENY2, COX11, ACVRL1, COX10, AP1AR, ACTR3, BAG4, AP2B1, DNAJC15, LONP1, ASH2L, ACTR6, ELOF1, COX19, ACTR8, COX18, DYNC1H1, FANCA, COX15, FANCC, ABCE1, CTBP1, CCNH, FLOT1, CBR4, ECSIT, MBD1, MED6, ANKRD27, CTNNBIP1, DNAJC28, CHMP1A, ANKRD28, CHMP1B, BID, BDP1, BET1, BMS1, ATXN2L, KLC1, GATAD2B, BCL9L, ACTL6A, BCL6, BAZ2A, CSNK1A1, BAIAP2L1, BIRC3, FZD5, BIRC2, IWS1, COG4, JMJD6, ATP6V0A1, ATP6V0A2, CHMP4B, CHMP4A, FAM179B, CBX8, FLCN, MAF1, CBX7, EIF3CL, DMXL1, CUTC, CLPP, CLIP1, AKAP8, CHMP2A, DERL1, HAX1, ACTR3B, BLK, CLU, LLGL1, CHMP2B, FIS1, GFM2, EIF3D, EIF3B, BLOC1S2, EIF3G, CNOT6L, EIF3H, ELK4, EIF3E, EIF3K, EIF3L, EIF3I, CLASP2, EIF3J, EIF3M, AXIN1, ATAD2, KCTD3, KCTD2, DENR, KCTD5, CTR9, DPPA2, EIF4B, KCTD9, EIF4H, CIRBP, CYFIP1, ATG16L1, GRB7, DCXR, DAP3, HIST4H4, DSTN, CTTN, CCDC40, ACOT13, CLINT1, KPNB1, ELP3, HSP90AA1, ALDH5A1, MCM2, DNAI2, ECT2, C6ORF89, EYA3, EML2, DGAT1, BPTF, C1QBP, MDM2, KLHL12, CTSC, MDM4, ING4, DNAH1, AKAP9, ERCC5, CDYL, CEP57, DNAI1, ERCC3, GEMIN7, ERCC1, GEMIN5, APC, BAHD1, ERCC2, KAT2A, GPS1, DNM1L, CENPL, L3MBTL2, CENPQ, KIF18A, CENPF, CENPJ, ATXN7L3, GMFB, ATXN2, GSPT1, CDAN1, ATXN7, DR1, BRE	2045	2461	16650	1.3961168308746021	1.4701440065323368E-10	4.900480021774456E-11	3.5993430458347575E-11
GOTERM_BP_FAT	GO:0022402~cell cycle process	260	10.87866108786611	3.840998282646496E-14	DYNC1LI1, DBF4B, CHMP5, CHMP6, CHMP7, LEMD2, MED25, AURKC, LEMD3, AURKA, INTS3, CDC16, ANKLE2, CTNNB1, CUL3, CUL2, CUL5, APP, CUL7, DDX11, INTS7, INCENP, CUL9, CEP290, H2AFY, CAB39, CRY1, CDCA5, CUL1, CDCA3, ESCO1, ANAPC2, CGRRF1, ANAPC5, LIG1, ANAPC4, DCTN3, MARK4, DCTN1, DCTN2, AAAS, DCLRE1B, CNTROB, ARL8A, BIN3, ANAPC7, BIN1, CHORDC1, HUS1, AHCTF1, CHEK1, BANF1, CDC123, GIT1, BECN1, JTB, CDC23, DONSON, ATR, CDC26, CDC27, DDX4, CSPP1, GTSE1, CDT1, CCNE2, ACTR3, CCNE1, FANCM, ANKRD17, HSF1, CEP250, FANCI, CCNY, BRD7, FANCG, ACTR8, DYNC1H1, FANCA, CDC7, ARHGEF2, CCNK, CCNH, DSN1, CCNF, CNOT10, ARHGEF10, ARHGEF11, CHMP1A, CHMP1B, FANCD2, CCND2, BRDT, CDK11B, CTDP1, DYNC1I2, BID, CAB39L, CEP120, KIAA0196, CETN3, MDC1, BCL2, FBXW11, BUB3, CSNK1A1, CCNB1IP1, CEP135, LMNA, BIRC6, BIRC3, CAPN3, BIRC2, CSNK1D, GSK3B, CALM3, CALM2, CALM1, CEP72, CNOT8, CHMP4C, CHMP4B, CTDSPL, CEP76, BTRC, CHMP4A, CEP78, CNOT3, IQGAP3, CNOT2, CNOT1, FLCN, CNOT7, CRADD, CNOT4, CEP70, CSNK2A1, GATA6, ANK3, KLHL9, C8ORF4, CTDSP1, ASPM, DTL, CECR2, KIAA0753, MAD2L1BP, EP300, CLIP1, AKAP8, DSCC1, CHMP2A, BBS4, FZR1, ANAPC13, B9D2, LRRCC1, ANAPC10, ENSA, MAPKAPK2, CCNG1, LLGL1, CHMP2B, LLGL2, CNOT6L, CLASP2, ATRIP, HTT, AK1, ARPP19, AKAP8L, EHMT2, ATF5, HDAC3, EIF4E, CDKN1B, ABL1, MAD1L1, CLTA, E2F4, FAM175B, CDC14A, E2F6, CTCF, CLTC, AKT1, CDC42, ACVR1B, MCM8, MCM7, ACTR1A, KLHL21, C11ORF80, CDK5RAP3, CDK5RAP2, KPNB1, CDK13, DLG1, AKT2, KIF14, HSP90AA1, DDB1, CDK9, CDK6, CDC5L, MCM2, CDK4, MCM3, CDK5, ECT2, MCM4, MCM5, ARL3, EML4, EIF4G1, MFN2, EIF4G2, ERN1, DIS3L2, ERN2, MDM2, HORMAD1, MAPRE1, MDM4, CARM1, CHFR, DMC1, MDM1, ACVR1, ING4, HAUS6, HAUS5, FOXM1, CDC73, AKAP9, CEP57, ECD, HINFP, ERCC3, APEX1, ERCC1, CHD4, ERCC2, CHD3, APC, BOD1, CENPL, CEP192, CENPQ, KIF18A, CENPF, CEP63, CENPJ, CDC25B, GSPT1, CUL4A, IRF6, BAX, BRE, ALKBH4	2045	1357	16650	1.559963460315344	3.139937199136966E-10	7.849842997842416E-11	7.688294445529209E-11
GOTERM_BP_FAT	GO:0007049~cell cycle	307	12.84518828451883	3.883472386649587E-14	DYNC1LI1, DBF4B, CHMP5, CHMP6, CHMP7, LEMD2, MED25, AURKC, LEMD3, AURKA, INTS3, CDC16, ANKLE2, CTNNB1, CITED2, CUL3, CUL2, CUL5, APP, CUL7, DDX11, INTS7, CUL9, INCENP, CEP290, H2AFY, CAB39, CRY1, CDCA5, CUL1, CDCA3, ESCO1, ANAPC2, GTPBP4, CGRRF1, ANAPC5, LIG1, ANAPC4, LIG4, DCTN3, MARK4, DCTN1, DCTN2, MAPK1, DCLRE1B, AAAS, CNTROB, MAPK3, ARL8A, BIN3, ANAPC7, ARL8B, MAPK7, BIN1, CHORDC1, BLCAP, HUS1, AHCTF1, ARF6, CHEK1, ANGEL2, BANF1, CDC123, GIT1, DNMT3A, BECN1, JTB, CDC23, ATR, DONSON, CDC26, CDC27, DDX4, CSPP1, GTSE1, CDT1, CCNE2, ACTR3, CCNE1, ANKRD17, FANCM, CEP250, HSF1, EVI5, FANCI, CCNY, BRD7, FANCG, ACTR8, DYNC1H1, FANCA, CDC7, ARHGEF2, CCNK, CCNH, DSN1, CCNF, CNOT10, INCA1, CCNC, ARHGEF10, ARHGEF11, CHMP1A, CHMP1B, FANCD2, CCND2, CCNYL1, BRDT, CDK11B, LIN54, CTDP1, DYNC1I2, BID, CEP120, CAB39L, LIN9, KIAA0196, CETN3, BCCIP, MDC1, BCL2, AATF, FAM32A, FBXW11, BUB3, CSNK1A1, CCNB1IP1, CEP135, LMNA, BIRC6, APPL1, BIRC3, BIRC2, CAPN3, APPL2, DUSP3, CSNK1D, MAPK13, GSK3B, CALM3, LIN37, CALM2, CALM1, CEP72, CNOT8, MAEA, CHMP4C, CHMP4B, CTDSPL, CEP76, BTRC, CHMP4A, CEP78, CNOT3, IQGAP3, CNOT2, CNOT1, FLCN, CNOT7, CRADD, CNOT4, CEP70, FNTB, CSNK2A1, CASP8AP2, GATA6, ANK3, KLHL9, C8ORF4, CTDSP1, ASPM, CIB1, DTL, CECR2, KIAA0753, EP300, MAD2L1BP, CLIP1, AKAP8, DSCC1, CHMP2A, BBS4, FZR1, ANAPC13, B9D2, LRRCC1, ANAPC10, ENSA, MAPKAPK2, CCNG1, LLGL1, AZI2, CHMP2B, LLGL2, CNOT6L, CLASP2, ATRIP, CREBL2, HTT, AK1, ARPP19, AKAP8L, EHMT2, ATF5, HDAC3, EIF4E, CDKN1B, ABL1, CCNDBP1, MAD1L1, CLTA, E2F4, FAM175B, CDC14A, E2F6, CTCF, CLTC, AKT1, CDC42, ACVR1B, MCM8, MCM7, ACTR1A, CABLES2, KLHL21, C11ORF80, CDK5RAP3, CDK5RAP2, CDK5RAP1, KPNB1, CABLES1, CDK13, DLG1, AKT2, KIF14, HSP90AA1, DDB1, CDK9, CDK6, CDC5L, MCM2, CDK4, MCM3, CDK5, MCM4, ECT2, C6ORF89, MCM5, ARL3, GAK, EML4, EIF4G1, MFN2, EIF4G2, BTG3, DIS3L2, ERN1, ERN2, MDM2, HORMAD1, MAPRE1, MDM4, CARM1, CHFR, DMC1, MDM1, ACVR1, ING4, HAUS6, HAUS5, FOXM1, CDC73, AKAP9, ASNS, CEP57, ECD, HINFP, ERCC3, APEX1, ERCC1, CHD4, ERCC2, CHD3, APC, EXO1, GPS1, CEBPA, BOD1, CENPL, ERH, CREB3, CEP192, CENPQ, KIF18A, CENPF, CEP63, CENPJ, CDC25B, GPS2, GSPT1, CUL4A, IRF6, BAX, ANXA11, BRE, CDK20, ALKBH4	2045	1672	16650	1.4949374714848913	3.1762370511501103E-10	6.352474102300221E-11	7.777112287499222E-11
GOTERM_BP_FAT	GO:0044770~cell cycle phase transition	130	5.439330543933055	7.180391187965482E-14	DYNC1LI1, CEP72, DBF4B, CNOT8, CHMP4B, CTDSPL, CEP76, BTRC, CHMP7, CEP78, CNOT3, IQGAP3, CNOT2, CNOT1, AURKA, CDC16, CNOT7, CRADD, CNOT4, CEP70, CUL3, CUL2, APP, CUL5, CSNK2A1, C8ORF4, CEP290, H2AFY, CTDSP1, CDCA5, CUL1, ANAPC2, ANAPC5, ANAPC4, DCTN3, MARK4, DCTN1, DCTN2, MAD2L1BP, EP300, ANAPC7, AKAP8, CHMP2A, FZR1, HUS1, ANAPC10, CHEK1, ENSA, CNOT6L, CLASP2, ARPP19, AKAP8L, CDC23, CDC26, CDC27, ATF5, EIF4E, CDKN1B, MAD1L1, E2F4, CDC14A, E2F6, GTSE1, CDT1, CCNE2, AKT1, ANKRD17, ACVR1B, CCNE1, MCM8, MCM7, CEP250, FANCI, ACTR1A, CCNY, BRD7, CDK5RAP3, CDK5RAP2, DYNC1H1, KIF14, CDC7, HSP90AA1, CCNH, DDB1, CNOT10, CDK6, CDC5L, MCM2, CDK4, MCM3, MCM4, MCM5, EIF4G1, CCND2, MDM2, MDM4, MAPRE1, CARM1, CTDP1, DYNC1I2, ACVR1, BID, HAUS6, HAUS5, FOXM1, CDC73, AKAP9, CEP57, BCL2, ECD, HINFP, ERCC3, FBXW11, APEX1, BUB3, APC, ERCC2, CEP192, CEP135, CENPF, CEP63, CENPJ, CDC25B, CSNK1D, GSPT1, CUL4A, BAX, CALM3, CALM2, CALM1	2045	547	16650	1.934982098398466	5.871501063126061E-10	9.785838805953517E-11	1.4377388168895777E-10
GOTERM_BP_FAT	GO:0010501~RNA secondary structure unwinding	27	1.1297071129707115	1.981007116050166E-13	DDX27, DDX17, DDX47, DDX46, DDX23, DDX19A, DDX19B, DDX24, DHX36, DDX10, DDX20, DDX41, DDX42, DDX1, DDX5, DDX4, DDX6, EIF4A3, DDX56, DDX55, EIF4A1, DDX59, DDX50, DDX31, DDX54, DDX52, DDX51	2045	44	16650	4.996110246721493	1.6189733997862277E-9	2.3128188253451754E-10	3.9642733540290465E-10
GOTERM_BP_FAT	GO:0034248~regulation of cellular amide metabolic process	98	4.100418410041841	2.6401772031935117E-13	ABCF1, EIF6, CNOT8, CPEB3, CPEB4, IMPACT, EIF5, DICER1, CNOT3, CNOT2, CNOT1, EIF2A, IARS2, CNOT7, LARP1, AKT1, LSM14A, LSM14B, EIF3CL, IMP3, APP, EIF4EBP2, KLHL25, EIF1, DND1, EIF2B2, CDK5RAP1, DNAJC3, EIF2B3, EIF2B4, AKT2, EIF2B5, CYR61, C12ORF65, ACO1, MAGOH, HNRNPA2B1, CNOT10, AARS, ESR1, EEF2, EIF1B, CDK4, EIF4G1, EIF4G2, MAPK1, EIF4A3, EIF4G3, EIF2AK1, C1QBP, EIF2S1, EIF4A1, MAPK3, EIF4E3, MAPKAPK5, CLU, IGF2BP2, DTD1, EIF3D, EIF3B, EIF3G, CNOT6L, EIF3H, EIF3E, CDC123, EIF3K, LARS, EIF3L, EIF3I, EIF3J, GAPDH, EIF3M, EIF4ENIF1, IREB2, DDX1, ELAVL1, EPRS, AARSD1, CASC3, ETF1, FXR2, EIF2B1, LARP4B, CAPRIN1, CAPRIN2, DDX6, FXR1, EIF4B, ATXN2, ATF4, EIF4E, EIF4H, CIRBP, BANK1, GRB7, EIF4E2, BCDIN3D, ADAR	2045	374	16650	2.1334152687525334	2.158026202181418E-9	2.69753219761526E-10	5.284217508005895E-10
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	197	8.242677824267783	2.729200141707023E-13	DYNC1LI1, DBF4B, CHMP5, CHMP6, CHMP7, AURKC, AURKA, CDC16, INTS3, ANKLE2, CTNNB1, CUL3, CUL2, CUL5, APP, CUL7, INCENP, CUL9, CEP290, H2AFY, CDCA5, CUL1, CDCA3, ANAPC2, ANAPC5, LIG1, ANAPC4, DCTN3, MARK4, DCTN1, DCTN2, AAAS, CNTROB, BIN3, ARL8A, ANAPC7, HUS1, CHEK1, ANGEL2, BANF1, DNMT3A, BECN1, JTB, CDC23, CDC26, CDC27, GTSE1, CDT1, CCNE2, ANKRD17, CCNE1, CEP250, FANCI, CCNY, BRD7, ACTR8, DYNC1H1, CDC7, CCNK, ARHGEF2, DSN1, CCNH, CNOT10, CCNF, ARHGEF10, CHMP1A, CHMP1B, CCND2, CDK11B, CTDP1, DYNC1I2, BID, CETN3, MDC1, BCL2, FBXW11, BUB3, CSNK1A1, CEP135, LMNA, BIRC6, BIRC3, BIRC2, DUSP3, CSNK1D, CALM3, CALM2, CALM1, CEP72, CNOT8, CHMP4C, CEP76, CTDSPL, CHMP4B, BTRC, CHMP4A, CEP78, CNOT3, IQGAP3, CNOT2, CNOT1, CNOT7, CRADD, CEP70, CNOT4, CSNK2A1, ANK3, KLHL9, CTDSP1, ASPM, CIB1, MAD2L1BP, EP300, CLIP1, AKAP8, DSCC1, CHMP2A, BBS4, FZR1, ANAPC13, LRRCC1, ANAPC10, ENSA, CCNG1, AZI2, CHMP2B, CNOT6L, CLASP2, HTT, AKAP8L, ARPP19, CDKN1B, EIF4E, ABL1, MAD1L1, CLTA, E2F4, CDC14A, FAM175B, E2F6, CLTC, AKT1, ACVR1B, CDC42, MCM8, MCM7, ACTR1A, KLHL21, CDK5RAP3, CDK5RAP2, KPNB1, DLG1, CDK13, KIF14, HSP90AA1, DDB1, CDK6, MCM2, CDC5L, MCM3, CDK4, MCM4, MCM5, EML4, EIF4G1, BTG3, DIS3L2, MDM2, MAPRE1, MDM4, CHFR, CARM1, ACVR1, HAUS6, HAUS5, FOXM1, ASNS, AKAP9, CDC73, CEP57, ECD, HINFP, ERCC3, APEX1, ERCC2, APC, BOD1, CEP192, KIF18A, CENPF, CEP63, CENPJ, CDC25B, CUL4A, GSPT1, BAX, BRE	2045	968	16650	1.6569591222291822	2.230625906207706E-9	2.4784729824034457E-10	5.461964214248383E-10
GOTERM_BP_FAT	GO:0010608~posttranscriptional regulation of gene expression	114	4.7698744769874475	9.372705657525917E-13	EIF6, CNOT8, IMPACT, EIF5, CNOT3, CNOT2, CNOT1, IARS2, CNOT7, EIF3CL, APP, IMP3, EIF4EBP2, EIF1, DND1, DNAJC3, EIF2B2, EIF2B3, EIF2B4, EIF2B5, C12ORF65, MAGOH, AARS, HNRNPA2B1, EEF2, HNRNPU, MAPK1, EIF2AK1, EIF2S1, MAPK3, EIF4E3, MAPKAPK5, IGF2BP2, HSPA1B, MAPKAPK2, ANGEL2, DTD1, EIF3D, EIF3B, EIF3G, CNOT6L, EIF3H, EIF3E, CDC123, EIF3K, EIF3L, EIF3I, EIF3J, EIF3M, DHX9, DDX1, IREB2, EPRS, CASC3, AARSD1, FXR2, LARP4B, HNRNPA0, FXR1, DDX6, EIF4B, ATF4, EIF4E, DCP2, DCP1A, EIF4H, CIRBP, GRB7, EIF4E2, ADAR, ABCF1, CPEB3, CPEB4, DICER1, EIF2A, LARP1, LSM14A, AKT1, LSM14B, KLHL25, ANP32A, CDK5RAP1, AKT2, EXOSC8, EXOSC9, ACO1, EXOSC7, CNOT10, EXOSC2, ESR1, EXOSC3, EIF1B, EXOSC1, CDK4, EIF4G1, EIF4A3, EIF4G2, EIF4G3, C1QBP, EIF4A1, MATR3, LARS, APEX1, GAPDH, EIF4ENIF1, ELAVL1, ETF1, EIF2B1, CAPRIN1, CAPRIN2, DIS3, ATXN2, BANK1, BCDIN3D	2045	472	16650	1.966453938916746	7.661083767374066E-9	7.661083989418671E-10	1.875899435788142E-9
