Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-6807878,"COPI-mediated anterograde transport",44,107,0.007610783128245252,3.8111214183400577E-6,0.0033194867553741902,11,12,0.0010013351134846463,9606,Homo sapiens,"ARF3;DCTN6;COPB2;ARF4;DCTN5;DYNC1I2;ARF1;COPA;DCTN2;KDELR1;DCTN1;DCTN4;GOSR2;COPB1;DCTN3;GOSR1;ACTR1A;CAPZB;CD55;DYNC1H1;COG8;COG7;COG6;COG5;COG4;COG3;COG2;COG1;ANK3;ARFGAP3;DYNLL2;BET1L;ARFGAP1;COPZ1;ARCN1;DYNC1LI1;DYNC1LI2;GOLGB1;CAPZA1;GORASP1;KDELR2;ACTR10;ARF5;BET1","","R-HSA-6809015;R-HSA-6809014;R-HSA-6807877;R-HSA-6809011;R-HSA-6807875;R-HSA-6809010;R-HSA-6807872;R-HSA-6809006;R-HSA-6807868;R-HSA-6809003;R-HSA-6807866"
R-HSA-429914,"Deadenylation-dependent mRNA decay",31,65,0.004623372928373284,6.23784304154551E-6,0.0036241868071379413,8,10,8.344459279038719E-4,9606,Homo sapiens,"HBS1L;EIF4A1;DDX6;EIF4A3;EDC3;EXOSC7;EDC4;EXOSC9;EXOSC8;EXOSC3;EXOSC2;EIF4E;EXOSC1;EIF4B;CNOT6L;DIS3;LSM1;CNOT10;LSM5;LSM3;LSM2;CNOT4;CNOT7;CNOT1;CNOT2;CNOT3;CNOT8;DCP1A;DCP2;EIF4G1;DCP1B","","R-HSA-429860;R-HSA-430021;R-HSA-429845;R-HSA-429955;R-HSA-8941312;R-HSA-430028;R-HSA-429978;R-HSA-429992"
R-HSA-1852241,"Organelle biogenesis and maintenance",98,335,0.02382815278469308,3.889238070964307E-5,0.013950245852407228,65,86,0.007176234979973298,9606,Homo sapiens,"CEP57;ARF4;CRTC2;CRTC3;GABPB2;CRTC1;CHD9;ATP5C1;ATP5G2;ATP5G1;IFT52;ACTR1A;CHCHD3;DBT;CEP250;DIP2A;BBS7;CEP290;BBS4;CDK5RAP2;CCT3;DYNC2H1;CCT2;HSP90AA1;CEP135;C19orf70;EXOC8;EXOC7;IFT140;KIF24;IFT80;CSNK1D;HAUS6;HAUS5;ATP5F1;DYNLL2;ATP5J2;IFT88;CREB1;BBS10;IFT81;BBS12;AKAP9;EXOC4;CCDC41;EXOC3;EXOC6;CEP63;EXOC5;MAPRE1;EXOC2;ATP5S;DYNC1I2;HDAC3;DCTN2;DCTN1;ARL3;ATP5A1;DCTN3;FBF1;ATP5J;ATP5I;ATP5H;ATP5O;IFT74;ATP5B;ARL13B;KIF3A;ATP5E;CEP70;CEP72;CEP192;CCT8;MARK4;CEP76;MEF2D;CCT5;CEP78;HSPA9;DYNC1H1;CREBBP;C10orf2;DNAJC11;GLUD1;AHI1;CARM1;CENPJ;CYCS;B9D1;CALM3;DYNLRB1;B9D2;CALM1;CALM2","","R-HSA-5623508;R-HSA-5688276;R-HSA-5625424;R-HSA-5625426;R-HSA-5623513;R-HSA-5624133;R-HSA-5624129;R-HSA-5624130;R-HSA-5625421;R-HSA-2466367;R-HSA-5625416;R-HSA-5626699;R-HSA-5638006;R-HSA-5624949;R-HSA-5626228;R-HSA-5638007;R-HSA-1592249;R-HSA-5638004;R-HSA-1592250;R-HSA-1592251;R-HSA-1592252;R-HSA-5626227;R-HSA-1592240;R-HSA-111912;R-HSA-1592241;R-HSA-5638012;R-HSA-1592243;R-HSA-5624953;R-HSA-5624952;R-HSA-1592246;R-HSA-5638009;R-HSA-1592247;R-HSA-5688294;R-HSA-1592232;R-HSA-5623524;R-HSA-5623527;R-HSA-1592234;R-HSA-1592235;R-HSA-1592236;R-HSA-1592238;R-HSA-1592239;R-HSA-5688289;R-HSA-5626220;R-HSA-5626223;R-HSA-1592231;R-HSA-5617815;R-HSA-8949580;R-HSA-5617820;R-HSA-5617816;R-HSA-5638016;R-HSA-1368140;R-HSA-8949609;R-HSA-5620918;R-HSA-2466369;R-HSA-5620914;R-HSA-2466370;R-HSA-5624125;R-HSA-5624127;R-HSA-5624126;R-HSA-5626681;R-HSA-5620921;R-HSA-5617829;R-HSA-2466391;R-HSA-5617825;R-HSA-2466392"
R-HSA-381119,"Unfolded Protein Response (UPR)",55,160,0.011380610285226545,4.008691336898629E-5,0.013950245852407228,54,95,0.007927236315086782,9606,Homo sapiens,"ACADVL;CUL7;GSK3A;ATF6B;DCTN1;GOSR2;CXXC1;ADD1;HSP90B1;EXOSC7;EXTL2;CREB3L3;CREB3L4;EXOSC9;ASNA1;EXOSC8;LMNA;EXOSC3;EXOSC2;EXTL3;EXOSC1;EIF2A;DIS3;DDX11;EDEM1;ASNS;EIF2S1;ARFGAP1;DNAJC3;ERN1;CREB3;DNAJB11;HDGF;HYOU1;ATF6;DCP2;ATF4","","R-HSA-1791128;R-HSA-8953356;R-HSA-381186;R-HSA-1791121;R-HSA-1791112;R-HSA-1791118;R-HSA-1791116;R-HSA-1791107;R-HSA-1791163;R-HSA-381217;R-HSA-381091;R-HSA-1791155;R-HSA-1791154;R-HSA-1791158;R-HSA-1791157;R-HSA-381109;R-HSA-381111;R-HSA-1791144;R-HSA-1791150;R-HSA-381116;R-HSA-1791066;R-HSA-1791064;R-HSA-5250579;R-HSA-425923;R-HSA-1791069;R-HSA-1791058;R-HSA-381135;R-HSA-1791056;R-HSA-8874186;R-HSA-381128;R-HSA-8874197;R-HSA-420818;R-HSA-8874195;R-HSA-1791054;R-HSA-8874192;R-HSA-1791180;R-HSA-8874206;R-HSA-8874204;R-HSA-8874202;R-HSA-1791173;R-HSA-8874201;R-HSA-8874200;R-HSA-381158;R-HSA-517731;R-HSA-8874849;R-HSA-8874209;R-HSA-381026;R-HSA-8874208;R-HSA-1791095;R-HSA-8874218;R-HSA-1791092;R-HSA-1791082;R-HSA-1791075;R-HSA-1791076"
R-HSA-8949613,"Cristae formation",17,31,0.002204993242762643,1.4866190337781138E-4,0.0431119519795653,2,2,1.6688918558077436E-4,9606,Homo sapiens,"ATP5S;HSPA9;C19orf70;ATP5A1;DNAJC11;ATP5C1;ATP5J;ATP5I;ATP5H;ATP5O;ATP5G2;ATP5F1;ATP5G1;ATP5J2;ATP5B;CHCHD3;ATP5E","","R-HSA-8949609;R-HSA-8949580"
R-HSA-450385,"Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA",12,19,0.0013514474713706523,3.9600587827504086E-4,0.09860546369048517,6,6,5.006675567423231E-4,9606,Homo sapiens,"EXOSC7;BRF1;DIS3;EXOSC9;MAPKAPK2;EXOSC8;AKT1;EXOSC3;DCP1A;EXOSC2;EXOSC1;DCP2","","R-HSA-450406;R-HSA-450517;R-HSA-482788;R-HSA-450490;R-HSA-450474;R-HSA-450488"
R-HSA-163210,"Formation of ATP by chemiosmotic coupling",13,23,0.0016359627285013158,6.462458068493548E-4,0.14023534008631,3,3,2.5033377837116157E-4,9606,Homo sapiens,"ATP5S;ATP5A1;ATP5C1;ATP5J;ATP5I;ATP5H;ATP5O;ATP5G2;ATP5F1;ATP5G1;ATP5J2;ATP5B;ATP5E","","R-HSA-164834;R-HSA-164832;R-HSA-164840"
R-HSA-5617833,"Cilium Assembly",61,208,0.014794793370794508,9.646009976420622E-4,0.18102487871861195,37,50,0.004172229639519359,9606,Homo sapiens,"CEP57;ARF4;IFT52;ACTR1A;DBT;CEP250;DIP2A;BBS7;CEP290;BBS4;CDK5RAP2;CCT3;DYNC2H1;CCT2;HSP90AA1;CEP135;EXOC8;EXOC7;IFT140;KIF24;CSNK1D;IFT80;HAUS6;HAUS5;DYNLL2;IFT88;BBS10;IFT81;BBS12;AKAP9;EXOC4;CCDC41;EXOC3;EXOC6;CEP63;EXOC5;MAPRE1;EXOC2;DYNC1I2;DCTN2;DCTN1;ARL3;DCTN3;FBF1;IFT74;ARL13B;KIF3A;CEP70;CEP72;CEP192;CCT8;MARK4;CEP76;CCT5;CEP78;DYNC1H1;AHI1;CENPJ;B9D1;DYNLRB1;B9D2","","R-HSA-5623508;R-HSA-5617815;R-HSA-5625424;R-HSA-5625426;R-HSA-5617820;R-HSA-5623513;R-HSA-5617816;R-HSA-5624133;R-HSA-5624129;R-HSA-5638016;R-HSA-5624130;R-HSA-5625421;R-HSA-5625416;R-HSA-5626699;R-HSA-5638006;R-HSA-5624949;R-HSA-5626228;R-HSA-5638007;R-HSA-5638004;R-HSA-5620918;R-HSA-5626227;R-HSA-5620914;R-HSA-5624125;R-HSA-5638012;R-HSA-5624127;R-HSA-5624126;R-HSA-5626681;R-HSA-5620921;R-HSA-5624953;R-HSA-5624952;R-HSA-5638009;R-HSA-5617829;R-HSA-5623524;R-HSA-5623527;R-HSA-5617825;R-HSA-5626220;R-HSA-5626223"
R-HSA-199977,"ER to Golgi Anterograde Transport",50,164,0.01166512554235721,0.0012105005129187107,0.18102487871861195,30,39,0.0032543391188251,9606,Homo sapiens,"ARF3;ARF4;ARF1;KDELR1;ACTR1A;CAPZB;CTSC;COG8;COG7;COG6;COG5;COG4;COG3;COG2;COG1;CSNK1D;ANK3;ARFGAP3;DYNLL2;BET1L;ARFGAP1;COPZ1;DYNC1LI1;DYNC1LI2;CTAGE5;GORASP1;KDELR2;ARF5;DCTN6;DCTN5;DYNC1I2;COPB2;COPA;DCTN2;DCTN1;DCTN4;GOSR2;COPB1;DCTN3;GOSR1;CNIH;LMAN2;CD55;ANKRD28;DYNC1H1;ARCN1;GOLGB1;CAPZA1;ACTR10;BET1","","R-HSA-5694423;R-HSA-5694421;R-HSA-5694418;R-HSA-203973;R-HSA-5694417;R-HSA-6809006;R-HSA-5694428;R-HSA-6809003;R-HSA-5694425;R-HSA-6809015;R-HSA-6809014;R-HSA-6809011;R-HSA-6809010;R-HSA-6807868;R-HSA-5694413;R-HSA-6807866;R-HSA-5694409;R-HSA-6807877;R-HSA-6807875;R-HSA-6807872;R-HSA-5694527;R-HSA-204008;R-HSA-5694522;R-HSA-5694439;R-HSA-5694436;R-HSA-5694435;R-HSA-5694433;R-HSA-5694446;R-HSA-5694445;R-HSA-5694441"
R-HSA-380270,"Recruitment of mitotic centrosome proteins and complexes",29,81,0.005761433956895938,0.0013298240933949934,0.18102487871861195,3,3,2.5033377837116157E-4,9606,Homo sapiens,"CEP57;DYNC1I2;DCTN2;DCTN1;DCTN3;ACTR1A;DBT;CEP70;CEP250;CEP72;CEP192;DIP2A;CEP290;CEP76;APPL2;CDK5RAP2;CEP78;DYNC1H1;HSP90AA1;CEP135;CSNK1D;HAUS6;HAUS5;CDK11B;CENPJ;AKAP9;CEP63;MAPRE1","","R-HSA-380311;R-HSA-380455;R-HSA-380283"
