MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	A1BG
NA	NA	NA	NA	NA	NA	NA	NA	NA	A1CF
NA	NA	NA	NA	NA	NA	NA	NA	NA	A2M
NA	NA	NA	NA	NA	NA	NA	NA	NA	A2ML1
NA	NA	NA	NA	NA	NA	NA	NA	NA	A4GALT
NA	NA	NA	NA	NA	NA	NA	NA	NA	A4GNT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAAS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AACS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADAC
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADACL2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADACL4
1.37179435413929	0.002	NA	NA	NA	NA	0	0.988700564971751	NA	AADAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAGAB
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAK1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAMP
NA	NA	NA	NA	NA	NA	NA	NA	NA	AANAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARSD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASDH
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASDHPPT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AATF
NA	NA	NA	NA	NA	NA	NA	NA	NA	AATK
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA10
0.243558037308312	0.126	NA	NA	NA	NA	0	0.96045197740113	NA	ABCA11P
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA17P
