Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-210747,"Regulation of gene expression in early pancreatic precursor cells",6,14,9.958033999573227E-4,0.01503542876558317,0.9175357229845755,4,6,5.006675567423231E-4,9606,Homo sapiens,"ONECUT1;HNF1B;PTF1A;FGF10","","R-HSA-210769;R-HSA-210784;R-HSA-210788;R-HSA-210767"
R-HSA-9614657,"FOXO-mediated transcription of cell death genes",8,23,0.0016359627285013158,0.017199625694785503,0.9175357229845755,8,15,0.0012516688918558078,9606,Homo sapiens,"PINK1;BCL6;FASLG;BBC3","","R-HSA-9622627;R-HSA-9622630;R-HSA-9621270;R-HSA-9614662;R-HSA-9622667;R-HSA-9621289;R-HSA-9622668;R-HSA-9614669"
R-HSA-111453,"BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members",5,11,7.82416957109325E-4,0.02038487949713985,0.9175357229845755,4,4,3.337783711615487E-4,9606,Homo sapiens,"BCL2;BCL2L1;BBC3","","R-HSA-114352;R-HSA-508163;R-HSA-508162;R-HSA-6790025"
R-HSA-75094,"Formation of the Editosome",4,8,5.690305142613273E-4,0.02710525372030248,0.9175357229845755,1,2,1.6688918558077436E-4,9606,Homo sapiens,"APOBEC1;APOBEC2;APOBEC3B","","R-HSA-77609"
R-HSA-420029,"Tight junction interactions",9,30,0.0021338644284799773,0.027613340879317994,0.9175357229845755,3,3,2.5033377837116157E-4,9606,Homo sapiens,"CLDN4;PARD6B;CLDN3;CLDN14;CLDN23;CLDN7;CLDN18;F11R;CRB3","","R-HSA-420661;R-HSA-420019;R-HSA-419981"
R-HSA-186712,"Regulation of beta-cell development",16,67,0.004765630556938616,0.02980530399164283,0.9175357229845755,17,26,0.0021695594125500667,9606,Homo sapiens,"NEUROD1;RFX6;ONECUT1;HNF1B;PAX6;HNF1A;INSM1;PTF1A;FOXA3;FGF10","","R-HSA-210913;R-HSA-210784;R-HSA-211461;R-HSA-210788;R-HSA-211467;R-HSA-211466;R-HSA-210824;R-HSA-210920;R-HSA-211272;R-HSA-210767;R-HSA-211346;R-HSA-210769;R-HSA-210837;R-HSA-211476;R-HSA-210836;R-HSA-211482;R-HSA-211289"
R-HSA-844455,"The NLRP1 inflammasome",3,5,3.556440714133295E-4,0.03401576267616402,0.9175357229845755,4,4,3.337783711615487E-4,9606,Homo sapiens,"BCL2;NLRP1;BCL2L1","","R-HSA-844447;R-HSA-844438;R-HSA-879222;R-HSA-879201"
R-HSA-8939256,"RUNX1 regulates transcription of genes involved in WNT signaling",4,9,6.401593285439932E-4,0.03901890969726285,0.9175357229845755,4,4,3.337783711615487E-4,9606,Homo sapiens,"AXIN1;RSPO3","","R-HSA-8877879;R-HSA-8932076;R-HSA-8877884;R-HSA-8932084"
R-HSA-210746,"Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells",4,9,6.401593285439932E-4,0.03901890969726285,0.9175357229845755,2,4,3.337783711615487E-4,9606,Homo sapiens,"NEUROD1;INSM1","","R-HSA-210913;R-HSA-210920"
R-HSA-5218900,"CASP8 activity is inhibited",5,14,9.958033999573227E-4,0.04883363517243222,0.9175357229845755,2,3,2.5033377837116157E-4,9606,Homo sapiens,"FAS;FASLG;TNFRSF10A;CFLAR","","R-HSA-3465429;R-HSA-5675456"
