MW	MWPvalue	CW	CWPvalue	score	scorePvalue	epsilon	coverage	fdr	Gene
NA	NA	NA	NA	NA	NA	NA	NA	NA	A1BG
0.0970138766679245	0.23	NA	NA	NA	NA	0	0.0677966101694915	NA	A1CF
NA	NA	NA	NA	NA	NA	NA	NA	NA	A2M
0.341659547865563	0	NA	NA	NA	NA	0	0.192090395480226	NA	A2ML1
NA	NA	NA	NA	NA	NA	NA	NA	NA	A4GALT
1.42473321466847	0.01	NA	NA	NA	NA	0	0.0112994350282486	NA	A4GNT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAAS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AACS
0.168626826243802	0.014	NA	NA	NA	NA	0	0.548022598870056	NA	AADAC
0.0752889930523563	0.266	NA	NA	NA	NA	0	0.932203389830508	NA	AADACL2
0.476375796668071	0	NA	NA	NA	NA	0	0.0112994350282486	NA	AADACL4
NA	NA	NA	NA	NA	NA	NA	NA	NA	AADAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAGAB
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAK1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AAMP
NA	NA	NA	NA	NA	NA	NA	NA	NA	AANAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARS2
NA	NA	NA	NA	NA	NA	NA	NA	NA	AARSD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASDH
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASDHPPT
NA	NA	NA	NA	NA	NA	NA	NA	NA	AASS
NA	NA	NA	NA	NA	NA	NA	NA	NA	AATF
NA	NA	NA	NA	NA	NA	NA	NA	NA	AATK
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABAT
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA11P
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA17P
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA7
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCA8
0.0808632821318601	0.163	NA	NA	NA	NA	0	0.677966101694915	NA	ABCA9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCB9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC6P1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCC9
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCD4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCE1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCF1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCF2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCF3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABCG8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD10
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD11
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD12
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD12B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD13
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD14A
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD14B
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD15
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD3
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD4
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD5
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD6
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABHD8
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABI1
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABI2
NA	NA	NA	NA	NA	NA	NA	NA	NA	ABI3
