Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-75158,"TRAIL  signaling",7,8,5.690305142613273E-4,0.0033359011670415217,0.9413305386395475,6,6,5.006675567423231E-4,9606,Homo sapiens,"CASP8;CASP10;TNFSF10;TNFRSF10B;TNFRSF10A;CFLAR;TNFRSF10D","","R-HSA-141139;R-HSA-75187;R-HSA-141316;R-HSA-75238;R-HSA-5635741;R-HSA-75146"
R-HSA-3371378,"Regulation by c-FLIP",8,11,7.82416957109325E-4,0.005294615469213837,0.9413305386395475,4,4,3.337783711615487E-4,9606,Homo sapiens,"CASP8;TNFSF10;FAS;TNFRSF10B;TRAF2;FASLG;TNFRSF10A;CFLAR","","R-HSA-3371360;R-HSA-3465459;R-HSA-3465448;R-HSA-3371359"
R-HSA-69416,"Dimerization of procaspase-8",8,11,7.82416957109325E-4,0.005294615469213837,0.9413305386395475,3,3,2.5033377837116157E-4,9606,Homo sapiens,"CASP8;TNFSF10;FAS;TNFRSF10B;TRAF2;FASLG;TNFRSF10A;CFLAR","","R-HSA-141159;R-HSA-141156;R-HSA-73945"
R-HSA-5218900,"CASP8 activity is inhibited",9,14,9.958033999573227E-4,0.006972795766194251,0.9413305386395475,3,3,2.5033377837116157E-4,9606,Homo sapiens,"CASP8;TNFSF10;FAS;TNFRSF10B;TRAF2;FASLG;TNFRSF10A;CFLAR","","R-HSA-3465429;R-HSA-5675456;R-HSA-2672196"
R-HSA-5676594,"TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway",10,17,0.0012091898428053204,0.008301652320279351,0.9413305386395475,12,12,0.0010013351134846463,9606,Homo sapiens,"CD40;TNFRSF12A;LTA;TNFSF11;TRAF2;LTB;TNFRSF13C;LTBR;MAP3K14;TNFSF13B","","R-HSA-5676598;R-HSA-5676599;R-HSA-5676596;R-HSA-5668789;R-HSA-5676597;R-HSA-5676595;R-HSA-5676592;R-HSA-5676593;R-HSA-5676591;R-HSA-5669023;R-HSA-5676589;R-HSA-199404"
R-HSA-140534,"Caspase activation via Death Receptors in the presence of ligand",11,20,0.001422576285653318,0.009297341306777729,0.9413305386395475,9,9,7.510013351134847E-4,9606,Homo sapiens,"CASP8;TICAM2;TNFSF10;FAS;TNFRSF10B;LY96;TRAF2;FASLG;TNFRSF10A;CFLAR","","R-HSA-139952;R-HSA-3371360;R-HSA-2562564;R-HSA-141159;R-HSA-141156;R-HSA-3465459;R-HSA-73945;R-HSA-3465448;R-HSA-3371359"
R-HSA-8941333,"RUNX2 regulates genes involved in differentiation of myeloid cells",5,6,4.2677288569599545E-4,0.01492524173975962,0.9413305386395475,2,2,1.6688918558077436E-4,9606,Homo sapiens,"LGALS3;RUNX2;RUNX1","","R-HSA-8938382;R-HSA-8938371"
R-HSA-420029,"Tight junction interactions",13,30,0.0021338644284799773,0.029205167692792577,0.9413305386395475,3,3,2.5033377837116157E-4,9606,Homo sapiens,"PARD6G;F11R;CLDN10;CLDN4;PARD6B;CLDN3;PARD6A;CLDN15;CLDN23;CLDN7;CLDN12;CLDN18;CRB3","","R-HSA-420661;R-HSA-420019;R-HSA-419981"
R-HSA-6803211,"TP53 Regulates Transcription of Death Receptors and Ligands",9,18,0.0012803186570879864,0.02975628182909218,0.9413305386395475,4,7,5.841121495327102E-4,9606,Homo sapiens,"PPP1R13B;FAS;TNFRSF10B;TNFRSF10A;TNFRSF10D","","R-HSA-6799815;R-HSA-5633414;R-HSA-5633441;R-HSA-6800001"
R-HSA-5675482,"Regulation of necroptotic cell death",10,21,0.001493705099935984,0.030315426248388455,0.9413305386395475,5,5,4.1722296395193593E-4,9606,Homo sapiens,"CASP8;UBB;TNFSF10;FAS;TNFRSF10B;TRAF2;FASLG;TNFRSF10A;CFLAR","","R-HSA-3465429;R-HSA-5357828;R-HSA-5675456;R-HSA-5675470;R-HSA-2672196"
