Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005654~nucleoplasm	469	22.58064516129032	3.136421159567615E-17	TGOLN2, MED25, INTS1, MED23, INTS2, INTS3, ACBD5, CLK2, INTS7, LSM5, GIT2, DHX33, H1F0, KRR1, ZNF45, EMG1, PCBD1, RCOR1, SPAG1, NAA25, MED11, MED13, LIG4, NCAPD3, PPP1CA, RPS16, MED16, MAPK3, RPS12, RPS11, MYBBP1A, CPSF3L, RHPN2, CRTC1, AHCTF1, CCDC91, ARFGEF1, SCRIB, CACYBP, NTHL1, RPS23, RPS24, RECQL5, PHB, EME1, USF1, SFMBT1, ZNF217, NOLC1, FNBP4, PCNA, BTBD10, H3F3A, SMURF2, SMURF1, POP5, RERE, HTATIP2, TAF1A, HNF1A, RPS19BP1, GTSE1, CCNE2, C19ORF47, ZNF350, HSF1, KIAA1033, MAS1L, CDC7, ZNF281, EXOSC8, EXOSC7, GMEB2, ARHGEF5, GTF2H5, EXOSC1, PFDN2, TAF13, CCND1, CCND2, NUP205, ESRP1, RUVBL2, RUVBL1, ESRP2, USP22, KIAA1429, THOC1, LIN9, MKNK1, SF3B5, SF3B4, PTK2B, ZNF473, BUB3, BRD1, ZNF260, TRIM28, PAK1IP1, CSNK2B, LMNA, APPL1, APPL2, MNAT1, TCEB1, USP45, TXNL4A, BARD1, EIF6, RNMT, PRPF4B, SNRPD1, RBM5, SNRPD2, RPS6KB1, KDM1B, DPY30, IMP3, GTF2E2, SMARCD2, MIER1, PSIP1, DNAJC2, RPRD1A, SPATA24, RBL2, CMAS, STK24, ARID1A, ARID1B, TATDN1, GRHL2, RCL1, TIMELESS, HSPB7, DNTTIP1, SMARCA2, ZNF438, ZNF436, NMNAT1, EID2, EID3, SETD1B, LRRCC1, C14ORF169, ANLN, TTC5, NR2C2, NR2C1, CXXC1, DOCK1, AKT1S1, METTL1, OSBPL1A, PTK6, SNF8, PPIL4, TAF2, C17ORF49, GINS3, FDPS, AKAP8L, WHSC1, IKBKE, ATF5, CDKN1B, PLK1, CDKN2AIP, POLD2, GTF2F2, TUBD1, TDG, ZNF318, DNAJB4, ACOX1, NBN, ARID4A, E2F5, YLPM1, PEX3, PTMA, DCAF13, PRMT1, CASP7, PRMT6, KDM5A, KDM5B, TSEN15, RTEL1, ZCCHC8, NUP88, STXBP1, CDK6, PRPF3, IRF2BP1, TOPORS, CDK5, PRPF6, PPM1G, RECQL, TBCB, MCC, RANGRF, CPSF4, CHFR, DMC1, KDM6B, HAUS6, FKBP4, RNH1, CDC73, NFYB, IVNS1ABP, ARID2, HRH1, PRPF8, GTF3C6, PNPO, NFATC3, NFATC1, GTF3C3, EXO1, CREB3, PM20D2, CEBPG, PWP2, FBL, CDC25B, SMC4, MED30, KDM4C, GGA1, RNF111, RPP38, RAD51C, HMGN3, STAT5B, PTPN23, AURKA, GTF2IRD2B, DDX17, PRIM2, TMUB1, POLL, ESCO1, POLI, POLH, BYSL, RAD9B, POLB, UBR2, DCLRE1C, RFC5, PNKP, UHRF2, RFC4, HES5, PIAS3, UBR5, FBXL4, PIAS2, ADD3, MDH2, SUDS3, CHEK1, ZNRD1, BOP1, PXN, PLAGL1, NR1H2, TCF20, AGGF1, CDC40, NUP50, POLM, FBXO5, POLQ, AEBP2, UAP1, TSEN54, SMAD5, RYBP, SMAD4, SKI, TKT, S100A14, U2AF1L4, TNKS1BP1, RAD54B, RBPJ, NCOR1, RPP40, CLSPN, PPARA, TOLLIP, COPS3, VPS37A, NFKB2, RNGTT, SENP6, FANCL, BLZF1, FANCE, FANCG, ATP5H, TOP2A, DEDD2, TOMM34, PRPF31, TBX15, POGZ, POLR1D, MBD6, CCNC, RAD52, NOC2L, RBBP8, TRAP1, ADK, MED9, ASH1L, TOP3A, CTDP1, LTV1, REV3L, POLR2H, YWHAZ, MTDH, POLR2J, ABTB2, POLR2I, SHFM1, EHF, GCH1, STAT6, ATXN2L, STK40, BAZ2A, BCL9, BIRC5, STAT1, POLR3B, PSMD13, CHML, ATP6V0A1, NOP56, FOXO3, PNN, SETX, ESF1, TOP1, RAD21, CASP8AP2, GATA6, PRKACB, AKIRIN1, NQO2, SCAMP1, SMCR8, PRKAB1, RRP9, PPP1CB, TRERF1, SP140, TRIM37, ADRM1, RPAIN, PSMA5, PSMA3, SNRPB, RAD18, SNRPF, DSCC1, SRI, ZC3H3, FZR1, HDGF, CTSA, ANAPC11, TRRAP, LLGL2, RBX1, EIF3B, C12ORF10, IVD, PSMB3, EIF3E, EIF3L, TMEM192, SREBF1, MAFG, MRPS26, TBL3, SETDB2, TSR1, TOMM40, ATAD2, HEATR1, UBOX5, FOXP1, SREBF2, PPIG, PSMC5, PSMC4, WDR4, WDR3, HABP4, CIRBP, MTOR, PHF7, HIST4H4, TIMM50, PHC3, MCM8, MCM7, PSMD4, CHUK, C16ORF46, NOL6, SOX13, MPP5, TMEM70, MCM2, UBE2C, MCM4, PRKD2, BPTF, ZMIZ2, WRAP53, MDM2, KPNA5, MDM4, UBE2T, SMARCAD1, GLIS3, NDUFB6, ING2, FOXM1, WBSCR22, PRKDC, TRIB3, HCFC2, RPA3, GLRX2, PATL1, RPA2, NFAT5, SCNM1, GEMIN7, GEMIN4, ERCC2, ZBTB7B, KAT2A, NUP153, CENPL, RAD51AP1, MSH3, NDUFA9, CENPF, GORAB, FAM60A, GPS2, GPI, MPG, RPRD2, SP3, RSRC1, ATXN7, IRF3	1630	2996	14527	1.395145060489651	3.217968109716373E-14	3.217968109716373E-14	4.97166549127381E-14
GOTERM_CC_FAT	GO:0005739~mitochondrion	274	13.19210399614829	7.619068940502444E-11	PDP1, LDHB, RAD51C, MRPL42, STOML2, IARS2, WDR81, ACBD3, PGAM5, MRPL38, CRY1, DHX32, OXR1, LYRM2, ACAA2, C12ORF65, CRLS1, MRPL51, NUDT19, PCBD2, PLD6, TBRG4, SARS2, PNKP, LETM1, MAPK3, ATP5C1, FBXL4, MRPL48, MRPL45, FASTKD5, MDH2, MRPL43, HIGD2A, TDRD7, ALDOC, ACP6, MTX1, SFXN4, CHCHD2, LETM2, WARS2, AKAP10, BCL2L1, SFXN2, ACAT2, SDHAF1, QRSL1, COX6B1, DIABLO, LETMD1, COX6B2, NTHL1, GPD2, MSTO1, PHB, JTB, ACACB, AFG3L2, VDAC2, LACTB2, PTPN11, POLRMT, PLA2G4A, RGS2, COX6A1, SMURF1, ACAD11, SPNS1, ATP5E, MTFR1, AGPAT5, FXN, DYNLL2, NT5M, ATP5S, ATP5O, FANCG, COX19, ATP5I, DHTKD1, AGAP2, ATP5H, PRSS35, ATP5J, TOMM34, NT5C, MRPL2, CLN3, NDUFB10, PDE12, SLC25A4, ACO1, DARS2, TOP1MT, RHBDD1, TRAP1, PFDN2, RAB11FIP5, CYP27A1, H6PD, MTRF1, TSTD1, DEGS1, BID, USP30, YWHAZ, BCAT2, SORD, ECH1, HK2, HSCB, TACO1, DNAJC30, MRPL13, MRPL15, MPV17L2, BCL2, REXO2, MPDU1, ETFDH, FASN, PPP3CC, CERK, ACSL3, MACROD1, PCK2, CAPRIN2, TTC19, MRPL24, MRPL21, MRPL27, BNIP3L, ATP5A1, MRPS35, MRPS34, MRPS33, ROMO1, RPS6KB1, FOXO3, COX5A, C6ORF203, CISD1, SLC25A25, CASP8AP2, CISD3, SLC25A23, TFB2M, SLC25A28, MTO1, FLVCR1, RPL35A, NUDT1, FECH, PISD, LYPLA1, SP140, COX6C, SCCPDH, ISCU, SLC25A32, SERHL2, SLC25A36, HSPB7, SLC25A37, SLC25A39, TFB1M, FLAD1, IQCE, SRI, MAVS, MRPS17, ME2, NAPG, MRPS12, CLU, COX7C, PTRH2, CHMP2B, FIS1, TOMM6, IVD, TOMM5, C12ORF10, GSTK1, PSMB3, TDRKH, GALC, HSPE1, MRPS26, GABARAPL1, ATP5J2, HDDC2, MRPS25, AK3, FDPS, TOMM40, HEATR1, MRPS21, ARMC1, SPRYD4, IKBKE, USMG5, NDUFV2, COQ10A, HSPD1, MTOR, SLC25A16, MYH10, NDUFAF4, ACOX1, CYC1, HINT2, PINK1, PRDX5, TIMM50, HLCS, PPOX, CLTC, UQCRFS1, GSR, NDUFS6, ACOT8, CASP9, LACE1, BOK, ABHD11, EXOG, POLG2, CASP1, NDUFS1, RTN4IP1, NOL6, SUOX, ACADM, NOS1AP, SSBP1, ALDH5A1, CYCS, STXBP1, TMEM70, MRPS6, PROSC, ACADVL, COQ3, COQ2, TMEM65, ISCA2, C1QBP, ZMIZ2, ERN1, PRNP, PPP1R15A, GSTP1, NDUFB3, NDUFB6, SAMM50, NDUFB9, FKBP4, ATP5G2, ATP5G1, GRAMD4, CCDC58, GLRX2, ATIC, NSUN3, RNF144B, NDUFA8, NDUFA9, PARK2, MPG, ENDOG, BOLA1, COMTD1	1630	1700	14527	1.4364482136412846	7.817167613222153E-8	3.9085838787755733E-8	1.207729360963583E-7
GOTERM_CC_FAT	GO:0005730~nucleolus	162	7.799711121810303	1.1632680539728369E-10	RPP38, EIF6, RPL19, RNMT, STK35, SELENBP1, SETX, WDR74, ESF1, TOP1, DDX17, IMP3, G2E3, MAK16, DHX33, TMUB1, OXR1, SPATA24, KRR1, RRP1, RBL2, STK24, EMG1, BYSL, RRP9, PPP1CB, ERGIC2, SP140, TACC2, PNKP, RCL1, PPP1CA, NOP2, RPAIN, TIMELESS, RCC2, PRKRIP1, NLE1, DNTTIP1, RPS11, MYBBP1A, PNMA1, TMX1, NEK2, C14ORF169, ZNRD1, BOP1, SP110, ANAPC11, ACAT2, ARFGEF1, METTL1, NPM3, EIF3L, RPL4, RPS23, UTP23, PTPN6, EEF1A1, TSEN54, TBL3, S100A16, TSR1, EME1, HEATR1, RPF2, DDX56, RGS2, NOLC1, PLK1, CDKN2AIP, BTBD10, CIRBP, WDR3, DHX40, POP5, RBPJ, RPP40, DDX51, ACOX1, NBN, TAF1A, E2F5, HINT2, RPS19BP1, YBX2, DCAF13, CRYL1, URB2, ZNF146, SERTAD3, CDK5RAP3, FANCG, KDM5A, AGAP2, DCAF17, TOP2A, MDN1, FTSJ3, ZCCHC7, DEDD2, TSEN15, NFX1, NOL6, EXOSC8, EXOSC7, POLR1D, MBD6, EXOSC1, GTF2H5, TOP1MT, RBBP9, RBBP8, NOC2L, ACADVL, PFDN2, BRWD1, TAF13, PIH1D1, C1QBP, CCND2, TBCA, MDM2, MRO, SPATS2L, REV3L, STON2, GLTSCR2, POLR2H, ZNF554, MTDH, YPEL2, POLR2I, PRKDC, WBSCR22, TRIB3, TSPYL1, REXO2, USP36, SCNM1, AATF, NFATC3, BAZ2A, NSUN5, GEMIN4, GTF3C3, CEBPA, NUP153, RRP12, NF2, PAK1IP1, STAT1, GORAB, PWP2, FBL, RPL13A, ATXN7, NOP56, MIF4GD, SETD4, NFIB, RNF111	1630	882	14527	1.636947539752097	1.193513277097935E-7	3.978377749458417E-8	1.8439427762473315E-7
GOTERM_CC_FAT	GO:0044429~mitochondrial part	175	8.425613866153107	4.405949243183422E-10	PDP1, MRPS35, MRPL42, MRPS34, MRPS33, STOML2, ROMO1, RPS6KB1, IARS2, COX5A, CISD1, SLC25A25, PGAM5, SLC25A23, TFB2M, SLC25A28, MRPL38, FLVCR1, C12ORF65, ACAA2, MRPL51, CRLS1, NUDT1, FECH, PLD6, PISD, SARS2, COX6C, ISCU, LETM1, SLC25A32, SLC25A36, ATP5C1, FBXL4, SLC25A37, MRPL48, SLC25A39, MRPL45, FLAD1, TFB1M, FASTKD5, MDH2, MRPL43, HIGD2A, MAVS, MRPS17, ME2, TDRD7, MRPS12, CLU, MTX1, COX7C, SFXN4, CHCHD2, LETM2, WARS2, SFXN2, BCL2L1, SDHAF1, FIS1, TOMM6, TOMM5, IVD, GSTK1, COX6B1, DIABLO, HSPE1, LETMD1, COX6B2, GPD2, MRPS26, ATP5J2, MSTO1, MRPS25, PHB, AK3, TOMM40, MRPS21, ACACB, VDAC2, AFG3L2, LACTB2, IKBKE, POLRMT, PLA2G4A, USMG5, NDUFV2, COX6A1, COQ10A, HSPD1, MTOR, ACAD11, SLC25A16, SPNS1, NDUFAF4, ATP5E, CYC1, PINK1, PRDX5, TIMM50, PPOX, UQCRFS1, GSR, NDUFS6, AGPAT5, FXN, BOK, NT5M, ATP5S, EXOG, ATP5O, COX19, POLG2, DHTKD1, ATP5I, ATP5H, RTN4IP1, NDUFS1, TOMM34, ATP5J, MRPL2, SUOX, PDE12, ACADM, NDUFB10, SSBP1, SLC25A4, ALDH5A1, CYCS, TMEM70, MRPS6, DARS2, TOP1MT, ACADVL, TRAP1, RAB11FIP5, COQ3, COQ2, ISCA2, C1QBP, CYP27A1, PRNP, PPP1R15A, BID, NDUFB3, USP30, SORD, NDUFB6, BCAT2, SAMM50, NDUFB9, HK2, ATP5G2, ATP5G1, GRAMD4, GLRX2, MRPL13, MPV17L2, MRPL15, BCL2, REXO2, ETFDH, NSUN3, ACSL3, RNF144B, NDUFA8, NDUFA9, PCK2, TTC19, MRPL24, MPG, MRPL21, MRPL27, BNIP3L, ATP5A1	1630	990	14527	1.57540125178162	4.5205025911432273E-7	1.1301258395768343E-7	6.984044231828079E-7
GOTERM_CC_FAT	GO:0005740~mitochondrial envelope	138	6.644198363023592	5.834098180377424E-10	MRPS35, MRPL42, MRPS34, MRPS33, ROMO1, STOML2, RPS6KB1, COX5A, CISD1, SLC25A25, PGAM5, SLC25A23, SLC25A28, MRPL38, FLVCR1, ACAA2, MRPL51, CRLS1, FECH, PLD6, PISD, COX6C, SLC25A32, LETM1, SLC25A36, ATP5C1, FBXL4, SLC25A37, MRPL48, SLC25A39, MRPL45, MRPL43, MDH2, HIGD2A, MAVS, MRPS17, MRPS12, CLU, MTX1, COX7C, CHCHD2, SFXN4, LETM2, SFXN2, BCL2L1, FIS1, TOMM6, TOMM5, IVD, GSTK1, COX6B1, DIABLO, LETMD1, COX6B2, GPD2, MRPS26, ATP5J2, MSTO1, MRPS25, PHB, TOMM40, MRPS21, ACACB, AFG3L2, VDAC2, IKBKE, PLA2G4A, USMG5, NDUFV2, COX6A1, COQ10A, HSPD1, MTOR, ACAD11, SLC25A16, SPNS1, NDUFAF4, ATP5E, CYC1, PINK1, PPOX, TIMM50, UQCRFS1, NDUFS6, AGPAT5, BOK, ATP5S, EXOG, ATP5O, COX19, ATP5I, ATP5H, RTN4IP1, NDUFS1, TOMM34, ATP5J, MRPL2, SUOX, NDUFB10, SLC25A4, CYCS, TMEM70, MRPS6, ACADVL, TRAP1, RAB11FIP5, COQ3, COQ2, CYP27A1, PRNP, PPP1R15A, BID, NDUFB3, USP30, SORD, NDUFB6, SAMM50, NDUFB9, HK2, ATP5G2, ATP5G1, GRAMD4, MRPL13, MPV17L2, MRPL15, BCL2, REXO2, ETFDH, ACSL3, RNF144B, NDUFA8, NDUFA9, TTC19, MRPL24, MRPL21, MRPL27, BNIP3L, ATP5A1	1630	732	14527	1.680182037614402	5.985782398632011E-7	1.197156765941898E-7	9.247859367178535E-7
GOTERM_CC_FAT	GO:0031966~mitochondrial membrane	132	6.3553201733269145	6.029515029084899E-10	MRPS35, MRPL42, MRPS34, MRPS33, ROMO1, STOML2, RPS6KB1, COX5A, CISD1, SLC25A25, PGAM5, SLC25A23, SLC25A28, MRPL38, FLVCR1, ACAA2, MRPL51, CRLS1, FECH, PLD6, PISD, COX6C, SLC25A32, LETM1, SLC25A36, ATP5C1, SLC25A37, MRPL48, SLC25A39, MRPL45, MRPL43, MDH2, HIGD2A, MAVS, MRPS17, MRPS12, CLU, MTX1, COX7C, SFXN4, LETM2, SFXN2, BCL2L1, FIS1, TOMM6, TOMM5, IVD, GSTK1, COX6B1, LETMD1, COX6B2, GPD2, MRPS26, ATP5J2, MSTO1, MRPS25, PHB, TOMM40, MRPS21, ACACB, AFG3L2, VDAC2, IKBKE, PLA2G4A, USMG5, NDUFV2, COX6A1, COQ10A, HSPD1, MTOR, ACAD11, SLC25A16, SPNS1, NDUFAF4, ATP5E, CYC1, PINK1, PPOX, TIMM50, UQCRFS1, NDUFS6, AGPAT5, BOK, ATP5S, EXOG, ATP5O, ATP5I, ATP5H, RTN4IP1, NDUFS1, TOMM34, ATP5J, MRPL2, NDUFB10, SLC25A4, CYCS, TMEM70, MRPS6, ACADVL, TRAP1, RAB11FIP5, COQ3, COQ2, CYP27A1, PRNP, PPP1R15A, BID, NDUFB3, USP30, SORD, NDUFB6, SAMM50, NDUFB9, HK2, ATP5G2, ATP5G1, GRAMD4, MRPL13, MPV17L2, MRPL15, BCL2, ETFDH, ACSL3, RNF144B, NDUFA8, NDUFA9, TTC19, MRPL24, MRPL21, MRPL27, BNIP3L, ATP5A1	1630	691	14527	1.7024886134614192	6.186280134823363E-7	1.0310469544805301E-7	9.557622582256897E-7
GOTERM_CC_FAT	GO:0031975~envelope	197	9.484833895040925	6.068961652088174E-10	MRPL42, S100A6, INTS1, LEMD3, STOML2, INTS2, PGAM5, MRPL38, ACAA2, MRPL51, CRLS1, PLD6, PARP11, NPC1, LETM1, MAD2L1, MAPK3, ATP5C1, FBXL4, MRPL48, MRPL45, MRPL43, MDH2, HIGD2A, MTX1, CHCHD2, SFXN4, AHCTF1, LETM2, SFXN2, BCL2L1, ZNF224, NUP50, CACYBP, COX6B1, DIABLO, LETMD1, COX6B2, RAP1GAP2, GPD2, OSBPL3, MSTO1, PHB, TMEM120B, ACACB, VDAC2, AFG3L2, PLA2G4A, COX6A1, ACAD11, SPNS1, ATP5E, HTATIP2, FAM169A, FANCL, AGPAT5, ATP5S, ATP5O, COX19, ATP5I, ATP5H, ATP5J, TOMM34, MRPL2, NDUFB10, SLC25A4, SIGMAR1, RAB11FIP5, TRAP1, CYP27A1, CCND2, NUP205, PSEN2, BID, USP30, SORD, MTDH, HK2, GCH1, MRPL13, MPV17L2, MRPL15, DHCR7, BCL2, REXO2, ETFDH, ACSL3, RRP12, LMNA, TTC19, MRPL24, MRPL21, MRPL27, BNIP3L, ATP5A1, REPIN1, MRPS35, MRPS34, MRPS33, CHMP4B, ROMO1, RPS6KB1, COX5A, CISD1, SLC25A25, SLC25A23, IL15RA, SLC25A28, AKIRIN1, DNAJC2, FLVCR1, NUDT1, FECH, PISD, SP140, TNKS2, COX6C, SLC25A32, SLC25A36, SLC25A37, SLC25A39, MVP, CHMP2A, MAVS, MRPS17, FZR1, MRPS12, CLU, COX7C, FIS1, TOMM6, TOMM5, IVD, GSTK1, B4GALT1, SREBF1, MRPS26, ATP5J2, MRPS25, TOMM40, MRPS21, P2RX4, APEH, IKBKE, USMG5, NDUFV2, WDR3, COQ10A, TMPO, MTOR, HSPD1, SLC25A16, PDCD6, NDUFAF4, CYC1, PINK1, DPY19L4, PPOX, TIMM50, UQCRFS1, NDUFS6, BOK, RANBP6, EXOG, RTN4IP1, NDUFS1, SUOX, PTGER3, NOS1AP, NUP88, CYCS, TMEM70, MRPS6, ACADVL, COQ3, COQ2, ERN1, KPNA5, PRNP, PPP1R15A, NDUFB3, NDUFB6, SAMM50, NDUFB9, TRIB3, ATP5G2, ATP5G1, GRAMD4, PAFAH1B1, GAPDH, GTF3C3, RNF144B, NUP153, NDUFA8, NDUFA9, CENPF, MGST3	1630	1154	14527	1.5214186983657803	6.2267530753779E-7	8.895363912131415E-8	9.620152119360625E-7
GOTERM_CC_FAT	GO:0031967~organelle envelope	196	9.436687530091477	7.021161972805445E-10	MRPS35, MRPS34, S100A6, MRPL42, MRPS33, CHMP4B, STOML2, LEMD3, ROMO1, INTS1, RPS6KB1, INTS2, COX5A, CISD1, SLC25A25, PGAM5, SLC25A23, SLC25A28, IL15RA, MRPL38, DNAJC2, AKIRIN1, FLVCR1, ACAA2, CRLS1, MRPL51, FECH, NUDT1, PLD6, PISD, PARP11, SP140, COX6C, TNKS2, LETM1, SLC25A32, NPC1, MAD2L1, SLC25A36, MAPK3, ATP5C1, SLC25A37, FBXL4, SLC25A39, MRPL48, MRPL45, MDH2, MRPL43, HIGD2A, MVP, MAVS, CHMP2A, MRPS17, FZR1, MRPS12, MTX1, CLU, COX7C, AHCTF1, SFXN4, CHCHD2, LETM2, BCL2L1, SFXN2, FIS1, TOMM6, ZNF224, IVD, TOMM5, GSTK1, CACYBP, NUP50, COX6B1, DIABLO, LETMD1, COX6B2, RAP1GAP2, SREBF1, GPD2, MRPS26, ATP5J2, MSTO1, OSBPL3, MRPS25, PHB, TMEM120B, TOMM40, MRPS21, ACACB, AFG3L2, VDAC2, IKBKE, APEH, P2RX4, PLA2G4A, USMG5, NDUFV2, COX6A1, WDR3, COQ10A, HSPD1, MTOR, TMPO, SPNS1, SLC25A16, ACAD11, PDCD6, NDUFAF4, ATP5E, HTATIP2, CYC1, PINK1, TIMM50, PPOX, DPY19L4, UQCRFS1, FAM169A, FANCL, NDUFS6, AGPAT5, BOK, ATP5S, RANBP6, EXOG, ATP5O, COX19, ATP5I, ATP5H, NDUFS1, RTN4IP1, TOMM34, ATP5J, MRPL2, SUOX, NDUFB10, PTGER3, NOS1AP, SLC25A4, NUP88, CYCS, TMEM70, MRPS6, SIGMAR1, ACADVL, TRAP1, COQ3, RAB11FIP5, COQ2, CYP27A1, CCND2, NUP205, PSEN2, ERN1, KPNA5, PRNP, PPP1R15A, NDUFB3, BID, USP30, NDUFB6, MTDH, SORD, SAMM50, NDUFB9, HK2, TRIB3, ATP5G2, ATP5G1, GRAMD4, GCH1, MRPL13, MRPL15, MPV17L2, BCL2, DHCR7, REXO2, ETFDH, PAFAH1B1, ACSL3, GAPDH, GTF3C3, RNF144B, NUP153, RRP12, NDUFA8, NDUFA9, LMNA, CENPF, TTC19, MRPL24, MGST3, MRPL21, MRPL27, BNIP3L, ATP5A1, REPIN1	1630	1149	14527	1.5202827745652394	7.203709034842021E-7	9.00463913433569E-8	1.1129521193531389E-6
GOTERM_CC_FAT	GO:0019866~organelle inner membrane	109	5.247953779489649	5.940471249461574E-9	MRPS35, MRPS34, MRPL42, MRPS33, LEMD3, ROMO1, STOML2, COX5A, SLC25A25, SLC25A23, SLC25A28, MRPL38, ACAA2, MRPL51, CRLS1, FECH, PISD, COX6C, SLC25A32, LETM1, SLC25A36, ATP5C1, SLC25A37, SLC25A39, MRPL48, MRPL45, MRPL43, MDH2, HIGD2A, MRPS17, MRPS12, COX7C, SFXN4, LETM2, SFXN2, BCL2L1, GSTK1, COX6B1, LETMD1, COX6B2, GPD2, MRPS26, ATP5J2, MRPS25, PHB, TMEM120B, MRPS21, AFG3L2, VDAC2, P2RX4, USMG5, PLA2G4A, NDUFV2, COX6A1, COQ10A, TMPO, HSPD1, SPNS1, SLC25A16, ACAD11, NDUFAF4, ATP5E, CYC1, PINK1, DPY19L4, PPOX, TIMM50, UQCRFS1, FAM169A, NDUFS6, BOK, ATP5S, EXOG, ATP5O, ATP5I, ATP5H, NDUFS1, ATP5J, MRPL2, NDUFB10, SLC25A4, CYCS, TMEM70, MRPS6, SIGMAR1, ACADVL, COQ3, TRAP1, COQ2, CYP27A1, PSEN2, ERN1, NDUFB3, NDUFB6, SAMM50, NDUFB9, ATP5G2, ATP5G1, MRPL13, MRPL15, MPV17L2, ETFDH, NDUFA8, NDUFA9, TTC19, MRPL24, MRPL21, MRPL27, ATP5A1	1630	557	14527	1.7440528246191804	6.0949049219827245E-6	6.772134925059348E-7	9.416475976742333E-6
GOTERM_CC_FAT	GO:0005743~mitochondrial inner membrane	100	4.814636494944632	7.634135282081093E-9	MRPS35, MRPS34, MRPL42, MRPS33, ROMO1, STOML2, COX5A, SLC25A25, SLC25A23, SLC25A28, MRPL38, ACAA2, MRPL51, CRLS1, FECH, PISD, COX6C, SLC25A32, LETM1, SLC25A36, ATP5C1, SLC25A37, SLC25A39, MRPL48, MRPL45, MRPL43, MDH2, HIGD2A, MRPS17, MRPS12, COX7C, SFXN4, LETM2, SFXN2, BCL2L1, GSTK1, COX6B1, LETMD1, COX6B2, GPD2, MRPS26, ATP5J2, PHB, MRPS25, MRPS21, AFG3L2, VDAC2, USMG5, PLA2G4A, NDUFV2, COX6A1, COQ10A, HSPD1, SPNS1, SLC25A16, ACAD11, NDUFAF4, ATP5E, CYC1, PINK1, PPOX, TIMM50, UQCRFS1, NDUFS6, BOK, ATP5S, EXOG, ATP5O, ATP5I, ATP5H, NDUFS1, ATP5J, MRPL2, NDUFB10, SLC25A4, CYCS, TMEM70, MRPS6, ACADVL, COQ3, TRAP1, COQ2, CYP27A1, NDUFB3, NDUFB6, SAMM50, NDUFB9, ATP5G2, ATP5G1, MRPL13, MRPL15, MPV17L2, ETFDH, NDUFA8, NDUFA9, TTC19, MRPL24, MRPL21, MRPL27, ATP5A1	1630	499	14527	1.7860260398096808	7.832592197276611E-6	7.83261980497052E-7	1.2101169788447663E-5
