Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-2426168,"Activation of gene expression by SREBF (SREBP)",25,70,0.004979016999786614,4.4841421867214404E-4,0.7914510959563342,42,42,0.0035046728971962616,9606,Homo sapiens,"FDPS;IDI1;SREBF1;NFYB;CYP51A1;HMGCR;ACACB;LSS;SREBF2;SQLE;FASN;PMVK;DHCR7;PPARA","","R-HSA-2426149;R-HSA-1655833;R-HSA-2426148;R-HSA-1655832;R-HSA-2426151;R-HSA-1655835;R-HSA-2426150;R-HSA-1655837;R-HSA-2426144;R-HSA-1655836;R-HSA-1655839;R-HSA-2426147;R-HSA-2426146;R-HSA-2426157;R-HSA-1655824;R-HSA-2426156;R-HSA-1655827;R-HSA-1655826;R-HSA-2426158;R-HSA-2426153;R-HSA-2426152;R-HSA-1655828;R-HSA-2426155;R-HSA-2426154;R-HSA-1655830;R-HSA-2426164;R-HSA-6800052;R-HSA-2426161;R-HSA-2426160;R-HSA-1655823;R-HSA-2426163;R-HSA-2426162;R-HSA-1655849;R-HSA-2065966;R-HSA-1655848;R-HSA-1655850;R-HSA-1655852;R-HSA-1655843;R-HSA-1655845;R-HSA-1655844;R-HSA-1655847;R-HSA-1655846"
R-HSA-163210,"Formation of ATP by chemiosmotic coupling",11,23,0.0016359627285013158,0.002046442355738698,0.8012023056231186,3,3,2.5033377837116157E-4,9606,Homo sapiens,"ATP5S;ATP5E;ATP5A1;ATP5C1;ATP5J;ATP5I;ATP5H;ATP5O;ATP5G2;ATP5G1;ATP5J2","","R-HSA-164834;R-HSA-164832;R-HSA-164840"
R-HSA-8949613,"Cristae formation",13,31,0.002204993242762643,0.002637517690171065,0.8012023056231186,2,2,1.6688918558077436E-4,9606,Homo sapiens,"ATP5S;MTX1;ATP5A1;ATP5C1;ATP5J;ATP5I;ATP5H;ATP5O;ATP5G2;ATP5G1;ATP5J2;SAMM50;ATP5E","","R-HSA-8949609;R-HSA-8949580"
R-HSA-5419276,"Mitochondrial translation termination",27,94,0.006686108542570596,0.00562708724877381,0.8012023056231186,5,5,4.1722296395193593E-4,9606,Homo sapiens,"MRPS17;MRPS26;MRPS35;MRPS25;MRPS33;MRPS34;MRPS12;MRPL27;MRPL38;MRPS21;MRPL15;MRPL48;MRP63;MRPL45;MRPS6;MRPL13;MRPL24;MRPL21;MRPL43;MRPL42;MRPL2;MRPL51;ICT1","","R-HSA-5419264;R-HSA-5419281;R-HSA-5419271;R-HSA-5419273;R-HSA-5419277"
R-HSA-5389840,"Mitochondrial translation elongation",27,94,0.006686108542570596,0.00562708724877381,0.8012023056231186,5,8,6.675567423230974E-4,9606,Homo sapiens,"MRPS17;MRPS26;MRPS35;MRPS25;MRPS33;MRPS34;MRPS12;MRPL27;MRPL38;MRPS21;MRPL15;MRPL48;MRP63;MRPL45;MRPS6;MRPL13;MRPL24;MRPL21;MRPL43;MRPL42;MRPL2;MRPL51;ICT1","","R-HSA-5389842;R-HSA-5389857;R-HSA-5389848;R-HSA-5419279;R-HSA-5419261"
R-HSA-1655829,"Regulation of cholesterol biosynthesis by SREBP (SREBF)",25,86,0.006117078028309268,0.006504820721994986,0.8012023056231186,52,52,0.0043391188251001335,9606,Homo sapiens,"FDPS;IDI1;SREBF1;NFYB;CYP51A1;HMGCR;ACACB;LSS;SREBF2;SQLE;FASN;PMVK;DHCR7;PPARA","","R-HSA-2426149;R-HSA-1655833;R-HSA-2426148;R-HSA-1655832;R-HSA-2426151;R-HSA-1655835;R-HSA-1655834;R-HSA-2426150;R-HSA-1655837;R-HSA-2426144;R-HSA-1655836;R-HSA-1655839;R-HSA-2426147;R-HSA-2426146;R-HSA-1655825;R-HSA-2426157;R-HSA-1655824;R-HSA-2426156;R-HSA-1655827;R-HSA-1655826;R-HSA-2426158;R-HSA-2426153;R-HSA-2426152;R-HSA-1655828;R-HSA-1655831;R-HSA-2426155;R-HSA-2426154;R-HSA-1655830;R-HSA-2065550;R-HSA-2426164;R-HSA-2065549;R-HSA-2426161;R-HSA-2426160;R-HSA-1655823;R-HSA-2426163;R-HSA-2426162;R-HSA-2065539;R-HSA-1655849;R-HSA-2065966;R-HSA-1655848;R-HSA-1655851;R-HSA-1655850;R-HSA-1655852;R-HSA-1655843;R-HSA-1655842;R-HSA-1655845;R-HSA-1655844;R-HSA-1655847;R-HSA-1655846;R-HSA-6800052;R-HSA-2317531;R-HSA-2317530"
R-HSA-111463,"SMAC (DIABLO) binds to IAPs ",5,7,4.979016999786613E-4,0.006904665094787488,0.8012023056231186,4,4,3.337783711615487E-4,9606,Homo sapiens,"CASP9;CASP7;APAF1;DIABLO;CYCS","","R-HSA-114354;R-HSA-114306;R-HSA-9627350;R-HSA-114361"
R-HSA-111464,"SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ",5,7,4.979016999786613E-4,0.006904665094787488,0.8012023056231186,3,3,2.5033377837116157E-4,9606,Homo sapiens,"CASP9;CASP7;APAF1;DIABLO;CYCS","","R-HSA-114419;R-HSA-114440;R-HSA-114392"
R-HSA-5368286,"Mitochondrial translation initiation",27,96,0.006828366171135927,0.007298349918378855,0.8012023056231186,3,4,3.337783711615487E-4,9606,Homo sapiens,"MRPS17;MRPS26;MRPS35;MRPS25;MRPS33;MRPS34;MRPS12;MRPL27;MRPL38;MRPS21;MRPL15;MRPL48;MRP63;MRPL45;MRPS6;MRPL13;MRPL24;MRPL21;MRPL43;MRPL42;MRPL2;MRPL51;ICT1","","R-HSA-5368279;R-HSA-5389849;R-HSA-5389839"
R-HSA-5693579,"Homologous DNA Pairing and Strand Exchange",15,44,0.0031296678284373,0.008431858284334126,0.8012023056231186,8,8,6.675567423230974E-4,9606,Homo sapiens,"BARD1;RFC5;SLC22A5;RFC4;TOP3A;RPA2;SLC25A16;RAD51AP1;RAD51C;EXO1;RPA3;CHEK1;RBBP8;NBN;RAD9B","","R-HSA-5685318;R-HSA-5685319;R-HSA-5693620;R-HSA-5685838;R-HSA-5685230;R-HSA-5685341;R-HSA-5685242;R-HSA-5693561"
R-HSA-1592230,"Mitochondrial biogenesis",33,127,0.009033359413898571,0.01003029980600545,0.8012023056231186,24,36,0.0030040053404539386,9606,Homo sapiens,"ATP5S;GABPB2;MTX1;CRTC1;ATP5A1;ATP5J;ATP5C1;ATP5I;TFB2M;ATP5H;POLRMT;ATP5O;TFB1M;ATP5G2;PRKAB1;ATP5G1;ATP5J2;NCOR1;SAMM50;POLG2;ATP5E;CYCS;SSBP1;PPARA","","R-HSA-1592249;R-HSA-8949609;R-HSA-1592250;R-HSA-1592251;R-HSA-1592252;R-HSA-8949580;R-HSA-2466370;R-HSA-1592240;R-HSA-1592241;R-HSA-1592243;R-HSA-1592244;R-HSA-1592246;R-HSA-1592232;R-HSA-5688294;R-HSA-2466391;R-HSA-1592234;R-HSA-1592235;R-HSA-1592236;R-HSA-1592238;R-HSA-1592239;R-HSA-1368140;R-HSA-2466367;R-HSA-2466392;R-HSA-1592231"
R-HSA-5693616,"Presynaptic phase of homologous DNA pairing and strand exchange",14,41,0.0029162813855893024,0.010530043138803569,0.8012023056231186,5,5,4.1722296395193593E-4,9606,Homo sapiens,"BARD1;RFC5;SLC22A5;RFC4;TOP3A;RPA2;SLC25A16;RAD51C;EXO1;RPA3;CHEK1;RBBP8;NBN;RAD9B","","R-HSA-5685318;R-HSA-5685230;R-HSA-5685341;R-HSA-5685242;R-HSA-5693561"
R-HSA-111469,"SMAC, XIAP-regulated apoptotic response",5,8,5.690305142613273E-4,0.011772037279817238,0.8012023056231186,9,10,8.344459279038719E-4,9606,Homo sapiens,"CASP9;CASP7;APAF1;DIABLO;CYCS","","R-HSA-9627107;R-HSA-114419;R-HSA-9627104;R-HSA-114354;R-HSA-114306;R-HSA-9627350;R-HSA-114361;R-HSA-114440;R-HSA-114392"
R-HSA-69190,"DNA strand elongation",13,38,0.0027028949427413047,0.013171492218215453,0.8012023056231186,14,15,0.0012516688918558078,9606,Homo sapiens,"RFC5;PRIM2;PCNA;RFC4;MCM7;MCM8;GINS3;RPA2;SLC25A16;RPA3;POLD2;MCM4;MCM2","","R-HSA-69152;R-HSA-69063;R-HSA-69127;R-HSA-176942;R-HSA-69068;R-HSA-69074;R-HSA-69140;R-HSA-69142;R-HSA-169461;R-HSA-69144;R-HSA-69053;R-HSA-69116;R-HSA-169468;R-HSA-176956"
R-HSA-5368287,"Mitochondrial translation",27,102,0.007255139056831923,0.014906393351339364,0.8012023056231186,13,17,0.0014185580774365822,9606,Homo sapiens,"MRPS17;MRPS26;MRPS35;MRPS25;MRPS33;MRPS34;MRPS12;MRPL27;MRPL38;MRPS21;MRPL15;MRPL48;MRP63;MRPL45;MRPS6;MRPL13;MRPL24;MRPL21;MRPL43;MRPL42;MRPL2;MRPL51;ICT1","","R-HSA-5389842;R-HSA-5419281;R-HSA-5368279;R-HSA-5389848;R-HSA-5389849;R-HSA-5419261;R-HSA-5419264;R-HSA-5389857;R-HSA-5419271;R-HSA-5419273;R-HSA-5419279;R-HSA-5389839;R-HSA-5419277"
