Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-72203,"Processing of Capped Intron-Containing Pre-mRNA",105,256,0.018208976456362474,1.559728146638406E-8,2.7669577321365324E-5,32,32,0.0026702269692923898,9606,Homo sapiens,"NUP107;NUP188;PDCD7;EIF4A3;HNRNPU;CASC3;GLE1;SNRPD1;PAPOLA;SNRNP35;TXNL4A;NUP214;AQR;THOC1;ZCRB1;THOC5;WBP11;GTF2F1;CRNKL1;THOC7;CDC40;SRRM1;PRPF4;PRPF6;HNRNPUL1;ZC3H11A;PRPF3;SNRPE;NUP98;SLBP;POM121;DDX5;SEH1L;RBM8A;AAAS;PRPF8;POM121C;NUP85;PCBP1;TPR;PCBP2;CSTF1;SYMPK;DHX38;NUP88;CPSF4;PRPF38A;CPSF1;CPSF3;CPSF2;CWC15;LSM3;HNRNPL;SNW1;ISY1;DDX42;PPWD1;YBX1;ELAVL1;METTL14;NUP62;DHX16;BCAS2;CTNNBL1;RBM17;SEC13;NCBP1;NCBP2;BUD31;TFIP11;PLRG1;NUP50;DNAJC8;SLU7;SKIV2L2;RBM22;SF3B4;SF3B2;POLDIP3;PRCC;WBP4;DDX23;U2AF1;PUF60;POLR2B;U2AF2;NUP43;SNRPB2;RAE1;POLR2K;HNRNPA0;SF3A3;SF3A1;PPIL1;WTAP;CDC5L;NUDT21;SNRNP40;PHF5A;NUPL2;PPIL4","","R-HSA-8849157;R-HSA-72130;R-HSA-159046;R-HSA-75079;R-HSA-75081;R-HSA-159050;R-HSA-75080;R-HSA-72139;R-HSA-75083;R-HSA-75082;R-HSA-72143;R-HSA-111439;R-HSA-77587;R-HSA-158481;R-HSA-158484;R-HSA-75097;R-HSA-75096;R-HSA-75098;R-HSA-77594;R-HSA-72095;R-HSA-72160;R-HSA-72103;R-HSA-72231;R-HSA-72107;R-HSA-158441;R-HSA-158447;R-HSA-72180;R-HSA-156661;R-HSA-72185;R-HSA-72124;R-HSA-72127;R-HSA-159101"
R-HSA-8953854,"Metabolism of RNA",250,782,0.05562273276904474,7.792406986339984E-8,6.911864996883565E-5,128,187,0.015604138851802403,9606,Homo sapiens,"LTV1;NUP107;CCNH;POP4;EIF4A3;FCF1;HNRNPU;PHAX;PPP2R2A;PWP2;PSMD8;GLE1;PSMD6;PSMD7;PSMD4;SNRPD1;PPP2R1A;PSMD2;PSMD3;AKT1;PRKACA;NUP214;AQR;WDR75;CSNK1D;CRNKL1;CDC40;SRRM1;CIRH1A;PSME3;ZC3H11A;PSME4;XRN2;NUP98;SLBP;POM121;SET;SEH1L;RPN2;ANP32A;RPN1;WDR61;AAAS;GSPT1;POM121C;NUP85;PCBP1;PCBP2;WBSCR22;CSTF1;SYMPK;DHX38;NUP88;PSMF1;RPL39L;PRPF38A;UPF3A;SNUPN;HNRNPL;SNW1;TRMT12;NOL11;DCP1A;RPS24;DCP1B;HBS1L;ZCCHC11;SMG7;TFB1M;WDR46;SMG5;SMG6;DHX16;RIOK2;RIOK1;PRMT5;SEC13;NSUN4;NSUN2;TEX10;PSMA4;PABPC1;SLU7;SF3B4;ZNF473;SF3B2;RNMT;NIP7;HEATR1;NOL9;NOL6;PSMB6;PPP2CA;PSMB4;EXOSC10;PSMB2;PES1;EXOSC8;LCMT2;RPL15;EXOSC3;RAE1;EXOSC2;RPL17;EXOSC1;PAIP1;SF3A3;UTP6;SF3A1;RIOK3;GTF2H1;GTF2H4;GTF2H5;NUDT21;PSMC5;PHF5A;PSMC6;PSMC4;TRMT6;TSR1;NUPL2;MPHOSPH6;NUP188;PDCD7;RPP30;CASC3;EDC3;KHSRP;PAPOLA;SNRNP35;TXNL4A;RPP38;THOC1;CDKAL1;UTP11L;ZCRB1;FTSJ2;THOC5;WBP11;GTF2F1;THOC7;FTSJ3;PRPF4;EBNA1BP2;PRPF6;HNRNPUL1;PRPF3;GEMIN4;GEMIN5;SNRPE;DDX5;PSMD12;PSMD11;RBM8A;DDX1;NOP2;ISG20L2;THADA;PRPF8;EMG1;TPR;CPSF4;CPSF1;CPSF3;CPSF2;RPP40;LSM1;CNOT10;CWC15;SUPT5H;LSM3;CNOT4;RCL1;PAN2;CNOT7;PAN3;CNOT2;SKIV2L;CNOT8;EIF4G1;ISY1;RBM28;DDX47;TSEN15;WDR3;DDX42;PPWD1;YBX1;ELAVL1;MTO1;METTL14;DBT;NUP62;BCAS2;CTNNBL1;PELP1;TTC37;RBM17;NCBP1;NCBP2;BUD31;ELAC2;TFIP11;DDX52;PLRG1;UTP18;YWHAZ;SENP3;PATL1;NUP50;ETF1;DNAJC8;SKIV2L2;RBM22;POLDIP3;PRCC;WBP4;DDX23;PARN;DDX20;U2AF1;RNMTL1;PUF60;POLR2B;U2AF2;BMS1;TGS1;TYW1;NUP43;SNRPB2;RPP14;POLR2K;DCAF13;HNRNPA0;NOP56;PPIL1;RNGTT;WTAP;KRR1;CDC5L;TRIT1;PNRC2;SNRNP40;ERCC3;GLOD4;PPIL4","","R-HSA-6793057;R-HSA-77069;R-HSA-77068;R-HSA-6793066;R-HSA-77073;R-HSA-77585;R-HSA-77584;R-HSA-191763;R-HSA-77587;R-HSA-450580;R-HSA-429845;R-HSA-77586;R-HSA-158481;R-HSA-77077;R-HSA-77589;R-HSA-77591;R-HSA-158484;R-HSA-9024159;R-HSA-77078;R-HSA-77590;R-HSA-77081;R-HSA-77593;R-HSA-77592;R-HSA-77083;R-HSA-77594;R-HSA-77085;R-HSA-6790982;R-HSA-429860;R-HSA-77090;R-HSA-927789;R-HSA-450595;R-HSA-77095;R-HSA-72231;R-HSA-450592;R-HSA-77094;R-HSA-191786;R-HSA-9024161;R-HSA-191784;R-HSA-6787403;R-HSA-191790;R-HSA-517674;R-HSA-450620;R-HSA-6786854;R-HSA-159046;R-HSA-75079;R-HSA-6790944;R-HSA-75081;R-HSA-159050;R-HSA-75080;R-HSA-75083;R-HSA-75082;R-HSA-927813;R-HSA-111437;R-HSA-111439;R-HSA-517705;R-HSA-111438;R-HSA-6791223;R-HSA-6791222;R-HSA-6791221;R-HSA-927836;R-HSA-191825;R-HSA-191830;R-HSA-6791219;R-HSA-6791218;R-HSA-450387;R-HSA-927832;R-HSA-451152;R-HSA-75097;R-HSA-927830;R-HSA-75096;R-HSA-6791228;R-HSA-75098;R-HSA-6791227;R-HSA-6783492;R-HSA-5696816;R-HSA-6786571;R-HSA-450422;R-HSA-5696815;R-HSA-450431;R-HSA-5696813;R-HSA-5696810;R-HSA-159101;R-HSA-8849157;R-HSA-429955;R-HSA-8941312;R-HSA-6787567;R-HSA-6783473;R-HSA-429978;R-HSA-6790907;R-HSA-6783483;R-HSA-6790906;R-HSA-72095;R-HSA-927889;R-HSA-450466;R-HSA-72103;R-HSA-6784462;R-HSA-72107;R-HSA-429992;R-HSA-450494;R-HSA-450490;R-HSA-72124;R-HSA-72127;R-HSA-450488;R-HSA-6793127;R-HSA-72130;R-HSA-430021;R-HSA-450499;R-HSA-6782881;R-HSA-6782895;R-HSA-72139;R-HSA-430028;R-HSA-6782893;R-HSA-6782890;R-HSA-72143;R-HSA-6782388;R-HSA-6785722;R-HSA-72160;R-HSA-450533;R-HSA-6785409;R-HSA-158441;R-HSA-158447;R-HSA-6793096;R-HSA-450550;R-HSA-450551;R-HSA-72180;R-HSA-156661;R-HSA-72185;R-HSA-6785438"
R-HSA-159234,"Transport of Mature mRNAs Derived from Intronless Transcripts",28,47,0.003343054271285298,7.175719683005788E-6,0.0028710825483946323,9,9,7.510013351134847E-4,9606,Homo sapiens,"SLBP;POM121;NUP107;SEH1L;NUP188;AAAS;POM121C;NUP85;TPR;NUP62;SYMPK;NUP88;NUP43;RAE1;NUP214;CPSF4;SEC13;CPSF1;NCBP1;NCBP2;CPSF3;CPSF2;NUP50;NUP98;NUPL2","","R-HSA-77587;R-HSA-158481;R-HSA-159046;R-HSA-158484;R-HSA-159050;R-HSA-77594;R-HSA-158441;R-HSA-158447;R-HSA-111439"
R-HSA-72163,"mRNA Splicing - Major Pathway",73,185,0.013158830642293192,8.196772484758696E-6,0.0028710825483946323,9,9,7.510013351134847E-4,9606,Homo sapiens,"ISY1;EIF4A3;DDX42;HNRNPU;PPWD1;CASC3;YBX1;ELAVL1;SNRPD1;PAPOLA;DHX16;TXNL4A;BCAS2;CTNNBL1;RBM17;AQR;NCBP1;NCBP2;BUD31;TFIP11;PLRG1;WBP11;GTF2F1;CRNKL1;CDC40;SRRM1;PRPF4;PRPF6;HNRNPUL1;PRPF3;SNRPE;DNAJC8;SLU7;SKIV2L2;RBM22;SF3B4;SF3B2;DDX5;RBM8A;PRCC;DDX23;WBP4;U2AF1;PRPF8;PUF60;POLR2B;U2AF2;PCBP1;PCBP2;CSTF1;SYMPK;DHX38;SNRPB2;POLR2K;HNRNPA0;SF3A3;CPSF4;SF3A1;PPIL1;PRPF38A;CPSF1;CPSF3;CPSF2;CDC5L;CWC15;LSM3;HNRNPL;NUDT21;SNRNP40;SNW1;PHF5A;PPIL4","","R-HSA-72160;R-HSA-72130;R-HSA-72231;R-HSA-156661;R-HSA-72139;R-HSA-72107;R-HSA-72124;R-HSA-72143;R-HSA-72127"
R-HSA-72202,"Transport of Mature Transcript to Cytoplasm",43,90,0.006401593285439932,8.55993444115466E-6,0.0028710825483946323,13,13,0.0010847797062750334,9606,Homo sapiens,"SLBP;POM121;NUP107;SEH1L;NUP188;RBM8A;POLDIP3;EIF4A3;U2AF1;CASC3;AAAS;GLE1;POM121C;NUP85;U2AF2;TPR;NUP62;DHX38;SYMPK;NUP88;NUP43;RAE1;NUP214;CPSF4;SEC13;CPSF1;NCBP1;NCBP2;CPSF3;CPSF2;THOC1;THOC5;THOC7;CDC40;SRRM1;NUP50;ZC3H11A;NUP98;NUPL2;SLU7","","R-HSA-159046;R-HSA-159050;R-HSA-158441;R-HSA-158447;R-HSA-111439;R-HSA-77587;R-HSA-158481;R-HSA-158484;R-HSA-75097;R-HSA-75096;R-HSA-75098;R-HSA-77594;R-HSA-159101"
R-HSA-72172,"mRNA Splicing",76,196,0.013941247599402518,9.732483214897059E-6,0.0028710825483946323,14,14,0.0011682242990654205,9606,Homo sapiens,"ISY1;PDCD7;EIF4A3;DDX42;HNRNPU;PPWD1;CASC3;YBX1;ELAVL1;SNRPD1;PAPOLA;DHX16;SNRNP35;TXNL4A;BCAS2;CTNNBL1;RBM17;AQR;NCBP1;NCBP2;BUD31;TFIP11;PLRG1;ZCRB1;WBP11;GTF2F1;CRNKL1;CDC40;SRRM1;PRPF4;PRPF6;HNRNPUL1;PRPF3;SNRPE;DNAJC8;SLU7;SKIV2L2;RBM22;SF3B4;SF3B2;DDX5;RBM8A;PRCC;DDX23;WBP4;U2AF1;PRPF8;PUF60;POLR2B;U2AF2;PCBP1;PCBP2;CSTF1;SYMPK;DHX38;SNRPB2;POLR2K;HNRNPA0;SF3A3;CPSF4;SF3A1;PPIL1;PRPF38A;CPSF1;CPSF3;CPSF2;CDC5L;CWC15;LSM3;HNRNPL;NUDT21;SNRNP40;SNW1;PHF5A;PPIL4","","R-HSA-72160;R-HSA-72130;R-HSA-75079;R-HSA-72231;R-HSA-75081;R-HSA-75080;R-HSA-72139;R-HSA-75083;R-HSA-72107;R-HSA-75082;R-HSA-72143;R-HSA-156661;R-HSA-72124;R-HSA-72127"
R-HSA-162906,"HIV Infection",95,262,0.01863574934205847,1.1524523028105804E-5,0.0029157043261107685,94,158,0.013184245660881175,9606,Homo sapiens,"ARF1;CCNK;NUP107;NUP188;CCNH;PSIP1;AP2A2;PSMD8;PSMD6;PSMD7;PSMD4;PSMD2;PSMD3;NUP62;AP1S1;AP2M1;KPNA1;SKP1;NUP214;SEC13;SUPT16H;TBP;NCBP1;NCBP2;AP1B1;VPS37A;GTF2F1;PSMA4;PACS1;NUP50;PSME3;PSME4;NUP98;CHMP7;SLC25A4;CHMP5;GTF2A2;PSMD12;POM121;SEH1L;PSMD11;CTDP1;TSG101;RPN2;RNMT;RPN1;TAF9;SUPT4H1;AAAS;GTF2E1;GTF2E2;PSMB6;PSMB4;PSMB2;POM121C;NUP85;POLR2B;TPR;TCEB3;ATP6V1H;TCEB1;NUP88;NUP43;FYN;PSMF1;RAE1;PAK2;POLR2K;XRCC6;TAF15;RNGTT;TAF12;XRCC5;TAF13;VTA1;TAF11;GTF2H1;SUPT5H;GTF2H4;GTF2H5;CDK9;PSMC5;PSMC6;ERCC3;PSMC4;NMT1;NMT2;TAF7;UBAP1;TCEA1;TAF6;NUPL2;TAF2","","R-HSA-8951690;R-HSA-182279;R-HSA-175108;R-HSA-3159227;R-HSA-180622;R-HSA-182286;R-HSA-167181;R-HSA-175117;R-HSA-175250;R-HSA-180627;R-HSA-180630;R-HSA-167191;R-HSA-175258;R-HSA-182171;R-HSA-167192;R-HSA-162590;R-HSA-167196;R-HSA-167197;R-HSA-9613490;R-HSA-164514;R-HSA-167459;R-HSA-167072;R-HSA-167076;R-HSA-167077;R-HSA-9613498;R-HSA-164522;R-HSA-182186;R-HSA-167083;R-HSA-180905;R-HSA-200879;R-HSA-167087;R-HSA-167084;R-HSA-167468;R-HSA-167085;R-HSA-167597;R-HSA-167090;R-HSA-167474;R-HSA-165043;R-HSA-167089;R-HSA-167601;R-HSA-167478;R-HSA-182198;R-HSA-165047;R-HSA-167477;R-HSA-167098;R-HSA-173115;R-HSA-167097;R-HSA-167481;R-HSA-167484;R-HSA-180540;R-HSA-167234;R-HSA-167235;R-HSA-175174;R-HSA-167111;R-HSA-167115;R-HSA-180555;R-HSA-3149434;R-HSA-184392;R-HSA-167113;R-HSA-175177;R-HSA-167118;R-HSA-164943;R-HSA-167117;R-HSA-184269;R-HSA-200908;R-HSA-170706;R-HSA-170704;R-HSA-167121;R-HSA-167633;R-HSA-167637;R-HSA-167130;R-HSA-167128;R-HSA-167134;R-HSA-167133;R-HSA-180573;R-HSA-162914;R-HSA-167136;R-HSA-180710;R-HSA-167147;R-HSA-167150;R-HSA-167148;R-HSA-164845;R-HSA-3159232;R-HSA-167282;R-HSA-167153;R-HSA-167537;R-HSA-182263;R-HSA-180599;R-HSA-167284;R-HSA-180597;R-HSA-180603;R-HSA-167288;R-HSA-167292;R-HSA-180732"
R-HSA-159231,"Transport of Mature mRNA Derived from an Intronless Transcript",27,46,0.0032719254570026317,1.3357293343618792E-5,0.002951961828939753,3,3,2.5033377837116157E-4,9606,Homo sapiens,"NUP214;CPSF4;SEC13;POM121;NUP107;SEH1L;NUP188;CPSF1;NCBP1;NCBP2;CPSF3;CPSF2;AAAS;POM121C;NUP85;NUP50;NUP62;TPR;SYMPK;NUP88;NUP43;NUP98;NUPL2;RAE1","","R-HSA-77594;R-HSA-158441;R-HSA-158447"
R-HSA-5368287,"Mitochondrial translation",44,102,0.007255139056831923,7.109837231700222E-5,0.010928152362051025,16,17,0.0014185580774365822,9606,Homo sapiens,"MTFMT;MRPS16;MRPS35;MRPS14;MRPS36;GFM2;MRPL18;MRPS11;MRPS33;MRPL38;MRPS31;MRPS10;MRPL39;MRPL36;MRPL15;MTIF3;MRPL13;MRPL10;MRPL42;MRPL3;ICT1;MRPL9;CHCHD1;TSFM;MRPS26;MRPS27;MRPS22;MRPS23;MRPS18B;MRPL27;ERAL1;MRPS7;MRPL45;MRPL24;MRPL46;MRPL43;MRPL44;MRPL50;MRPL51;MTRF1L;DAP3","","R-HSA-5389842;R-HSA-5419281;R-HSA-5389841;R-HSA-5368279;R-HSA-5389848;R-HSA-5389849;R-HSA-5419261;R-HSA-5419264;R-HSA-5389857;R-HSA-5419271;R-HSA-5419268;R-HSA-5419269;R-HSA-5419273;R-HSA-5419279;R-HSA-5389839;R-HSA-5419277"
R-HSA-159230,"Transport of the SLBP Dependant Mature mRNA",23,40,0.002845152571306636,7.535439569916758E-5,0.010928152362051025,3,3,2.5033377837116157E-4,9606,Homo sapiens,"NUP214;SLBP;SEC13;POM121;NUP107;SEH1L;NUP188;NCBP1;NCBP2;AAAS;POM121C;NUP85;NUP50;NUP62;TPR;NUP88;NUP43;NUP98;NUPL2;RAE1","","R-HSA-77587;R-HSA-159046;R-HSA-159050"
