stat	raw.pval	BH.adj.pval	Gene
gene1	0.100520349508821	0.000229744606353943	0.000505244098212513	A1BG
gene2	0.0315978166062661	0.0514593673154516	0.0717905311044462	A1CF
gene3	0.100206097112222	0.000104812491765749	0.000244805102295464	A2M
gene4	0.0136798457760918	0.201326929088567	0.246210282797199	A2ML1
gene5	0.0458126598425592	0.0132186812170932	0.0209118522545868	A4GALT
gene6	0.00840206774516611	0.345328511654122	0.398355376358996	A4GNT
gene7	0.333182817946628	1.55431223447522e-15	2.29367611639561e-14	AAAS
gene8	0.272997382456415	1.88382642818397e-12	1.65375170508983e-11	AACS
gene9	0.0140674921893952	0.264290605785851	0.314259964631861	AADAC
gene10	0.0151076750624449	0.19737872422114	0.241968420064248	AADACL2
gene11	0.037204464168893	0.0296772672091226	0.0437064223521323	AADACL4
gene12	0.169413006987898	1.48774336627966e-07	5.61959029134741e-07	AADAT
gene13	0.309519296663577	1.07802655691103e-13	1.17196368584321e-12	AAGAB
gene14	0.0617219448782529	0.00350172115598735	0.00622703222113754	AAK1
gene15	0.170160594711668	1.34796118267388e-07	5.12638052605116e-07	AAMP
gene16	0.0294008174793743	0.0542094511941132	0.0751853419310794	AANAT
gene17	0.196591468279993	8.17249667939279e-09	3.83760286189986e-08	AARS
gene18	0.262619651314637	1.67813540841166e-11	1.26125782278389e-10	AARS2
gene19	0.269628834947497	7.12818692960582e-12	5.71103969188865e-11	AARSD1
gene20	0.165790913787255	2.31522596871869e-07	8.49477455431695e-07	AASDH
gene21	0.132277587574204	5.52252953400778e-06	1.59263516965026e-05	AASDHPPT
gene22	0.00951714768752323	0.311444160286179	0.363729646605513	AASS
gene23	0.187891403832092	5.88369551968171e-08	2.38300001178478e-07	AATF
gene24	0.127501235931696	8.62241557797461e-06	2.4108118650991e-05	AATK
gene25	0.0106682489981385	0.271974324116175	0.322376316128403	ABAT
gene26	0.0258836528244886	0.0787474481835438	0.105489082815695	ABCA1
gene27	0.177204802491211	1.48966585511445e-07	5.62553580467081e-07	ABCA10
gene28	0.243541896633837	1.5198753366974e-10	9.65460718452754e-10	ABCA11P
gene29	0.0596574514865673	0.00434986905084556	0.0075844352475268	ABCA12
gene30	0.00830218402168159	0.363977030206325	0.41733275395248	ABCA13
gene31	0.00153811505779004	0.627781687621605	0.675864396721463	ABCA17P
gene32	0.218448003203426	1.04236386189172e-09	5.71989197361654e-09	ABCA2
gene33	0.000117777439413734	0.778913788763853	0.815432475572508	ABCA3
gene34	0.0572266218257661	0.00545740234892222	0.00933011792025843	ABCA4
gene35	0.303675572532497	1.66422431391311e-13	1.74689449439618e-12	ABCA5
gene36	0.0567186410894284	0.005646838563234	0.00962239410648614	ABCA7
gene37	0.136299095315666	8.2387775006687e-06	2.31155411836628e-05	ABCA8
gene38	0.153684795490649	1.47176470433052e-06	4.69290329581513e-06	ABCA9
gene39	0.000696743743001667	0.793791978405452	0.828429614026609	ABCB1
gene40	0.0956620682827495	0.0001848577132606	0.000413859786836656	ABCB10
gene41	0.0089907473894827	0.312431373928389	0.364732959772935	ABCB11
gene42	0.0466851087384708	0.0208024325194835	0.0316556198128516	ABCB4
gene43	0.00540321314309942	0.387213625203222	0.441155735023346	ABCB5
gene44	0.00732234576215991	0.367268174805291	0.420628363653279	ABCB6
gene45	0.322680325070545	6.99440505513849e-15	9.27074509114579e-14	ABCB8
gene46	0.125029462317332	1.05199956614843e-05	2.89031330767534e-05	ABCB9
gene47	0.208828894283452	2.20945872708711e-09	1.14545605941215e-08	ABCC1
gene48	0.178666971811782	1.13140431357017e-07	4.35928191844316e-07	ABCC10
gene49	0.0658835331232786	0.00232640682597196	0.00428298686264013	ABCC11
gene50	0.00254628280031882	0.563430379656315	0.613890804425427	ABCC12
gene51	0.00789205170531031	0.19332234327105	0.23759104063397	ABCC13
