stat	raw.pval	BH.adj.pval	Gene
gene1	0.022114405145791	0.110867480764024	0.14873641040781	PNLIP
gene2	0.0172157680367073	0.155673486494619	0.201172558677621	CTRB1
gene3	0.0288813362915462	0.0584716754140344	0.0844316158726966	CELA2A
gene4	0.017181114278626	0.156142586229603	0.201718500896123	CTRB2
gene5	0.0253032559783989	0.0790701256859583	0.110332582906095	CTRC
gene6	0.0359354037989376	0.0333619060061519	0.051546309589455	CELA3A
gene7	0.00259132752559664	0.578769491497254	0.633653226285317	CPA2
gene8	0.0423208545414536	0.0188327517585744	0.0311486897235559	REG1B
gene9	0.0305559351924067	0.0548580504233758	0.0797281801258985	PNLIPRP1
gene10	0.0326667176241645	0.0439700115253064	0.0655408729110845	CELA3B
gene11	0.0275318371483316	0.0655747817248786	0.0936256950647761	CLPS
gene12	0.0267822897105365	0.0697939911255152	0.098963791830836	CELA2B
gene13	0.00225704912463016	0.598161792681043	0.652023988544468	CPA1
gene14	0.0383583210790941	0.0284892725701293	0.0449325826619553	PNLIPRP2
gene15	0.0250160280058045	0.0819831598004767	0.11394403606413	REG3G
gene16	0.027485517504192	0.0655003769410673	0.0935503402558034	PLA2G1B
gene17	0.0453125283164993	0.0145688164889565	0.0247492514173567	REG3A
gene18	0.025634900268008	0.118859488117944	0.158410144531844	SYCN
gene19	0.0120845514089692	0.254203938268248	0.309601549216993	CEL
gene20	0.00613336809109284	0.423811321497262	0.483796579791518	CELP
gene21	0.0194375888527543	0.125710858219182	0.166294577687087	GP2
gene22	0.00542032655836367	0.443784290508893	0.5041572912487	PRSS1
gene23	0.0415606324206481	0.0207459362617475	0.033932444525926	GSTM1
gene24	0.0209978002405521	0.115093780564807	0.153722930258285	REG1P
gene25	0.00154421111424023	0.725725963077936	0.771761063081514	SERPINI2
gene26	0.00663689432482115	0.39128704130518	0.451033215048617	GCG
gene27	0.017560451440353	0.154559003349128	0.199851752337748	CR2
gene28	0.0704314755550948	0.00296310087086815	0.00603156406536513	PGC
gene29	0.027979024175414	0.0947093931179409	0.129365198224057	MUC17
gene30	0.0164136005606334	0.164702540823766	0.211158355292434	AQP8
gene31	0.000221497317145949	0.791399292796208	0.830032217135407	RBPJL
gene32	0.0549280241156579	0.00634013318118032	0.0117671493552885	REG1A
gene33	0.0194746194940724	0.135057929426894	0.177285732366256	INS
gene34	0.0419315732686081	0.0212189156429163	0.0346231445112694	ADIPOQ
gene35	0.00195653938872329	0.636605755333289	0.688780464145413	NPSR1
gene36	0.0585704763379861	0.00673807402651738	0.0124310472906051	REG4
gene37	0.0136798457760918	0.20133340225446	0.252021178842107	A2ML1
gene38	0.0144193870441319	0.245821580029339	0.300492336477085	PPY
gene39	0.00193605476882589	0.704061591332316	0.75221615330779	TBC1D3G
gene40	0.0234116074856091	0.0913255803552885	0.125410799605352	CTRL
gene41	0.0475179870171983	0.0192542802172238	0.0317568371096737	IAPP
gene42	0.0521622947320218	0.0109277268822273	0.0191530404849627	TTR
gene43	0.0260276879123015	0.0713791033647946	0.10091519060527	PDIA2
gene44	0.00305872900662591	0.564412846898626	0.619555533260317	BTNL3
gene45	0.0715017497799545	0.00299320039441431	0.0060824869273903	SPRR3
gene46	0.00529945293450043	0.429864120271291	0.490231715331799	HBA1
