GENE	p_value	fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	vs_rest_exp_diff
DERL1	1.38266513326915e-19	3.71660387822748e-16	0.372881355932203	0.587570621468927	0.0395480225988701	11.2717803030303	10.8018826923077	10.3584857142857	0.497859582309582
ATAD2	7.31605436491185e-16	7.58881341932566e-13	0.372881355932203	0.587570621468927	0.0395480225988701	9.39402727272727	8.52698269230769	8.18121428571429	0.888849795249795
INTS8	8.46965783406882e-16	7.58881341932566e-13	0.322033898305085	0.610169491525424	0.0677966101694915	9.55584736842105	9.13709907407407	8.80884166666667	0.451574035087718
APH1A	1.75403123845229e-15	1.17870899223994e-12	0.31638418079096	0.649717514124294	0.0338983050847458	12.6137285714286	12.1197113043478	11.9873833333333	0.500578984651712
PTK2	2.74444648178362e-15	1.47541442860687e-12	0.361581920903955	0.604519774011299	0.0338983050847458	11.3901609375	10.8553214953271	10.5854166666667	0.549170672013274
C1orf27	3.36004631251068e-15	1.50530074800478e-12	0.31638418079096	0.644067796610169	0.0395480225988701	9.83544821428571	9.32981754385965	8.94135714285714	0.528103586186541
DAP3	6.06711516691906e-15	2.03855069608481e-12	0.322033898305085	0.638418079096045	0.0395480225988701	11.1093210526316	10.6413769911504	10.3078	0.487402719298245
SF3B4	5.58374162448301e-15	2.03855069608481e-12	0.31638418079096	0.649717514124294	0.0338983050847458	11.1468196428571	10.5711382608696	10.42305	0.583024601534829
POGK	7.64178439639379e-15	2.28234627305628e-12	0.31638418079096	0.644067796610169	0.0395480225988701	10.8231071428571	10.3931070175439	10.0886142857143	0.447615407319953
MRPL13	1.134031102358e-14	3.04827560313831e-12	0.372881355932203	0.587570621468927	0.0395480225988701	9.45665757575758	8.91642211538461	8.50057142857143	0.56646027846028
ADIPOR1	3.35194209194144e-14	8.19092758467145e-12	0.299435028248588	0.655367231638418	0.0451977401129944	11.7054924528302	11.2680948275862	10.995825	0.454963420572124
SMG7	4.27132867193219e-14	8.83179343857979e-12	0.31638418079096	0.644067796610169	0.0395480225988701	11.3843517857143	10.9698228070175	10.8495857142857	0.421484843565525
SPINT2	4.12104063530127e-14	8.83179343857979e-12	0.242937853107345	0.711864406779661	0.0451977401129944	14.369611627907	13.4313753968254	13.2795	0.947303418951753
TARS2	5.62376422030978e-14	9.44792389012043e-12	0.31638418079096	0.649717514124294	0.0338983050847458	9.4005375	8.93868434782609	9.03315	0.457168904958678
TIPRL	5.3489992374307e-14	9.44792389012043e-12	0.31638418079096	0.644067796610169	0.0395480225988701	9.95199285714286	9.62638859649123	9.27384285714286	0.345999468713105
UBE2Q1	4.93667422245006e-14	9.44792389012043e-12	0.333333333333333	0.632768361581921	0.0338983050847458	11.2499474576271	10.8307839285714	10.6405666666667	0.42883559322034
AZIN1	7.82886101442992e-14	1.23788108275221e-11	0.333333333333333	0.610169491525424	0.0564971751412429	12.0501271186441	11.5283675925926	11.13979	0.554689830508474
RAD54B	9.92966860926502e-14	1.48283051231691e-11	0.322033898305085	0.610169491525424	0.0677966101694915	6.51595789473684	5.68247685185185	5.41555	0.860173728070175
RFWD2	1.23224650259421e-13	1.74330452577539e-11	0.310734463276836	0.649717514124294	0.0395480225988701	10.2702927272727	9.78119739130435	9.47667142857143	0.506568137108793
ADSS	1.58576784640115e-13	2.13127198556314e-11	0.305084745762712	0.644067796610169	0.0508474576271186	10.7206074074074	10.252498245614	9.77017777777778	0.503400903342365
DEDD	2.47412555928327e-13	3.02293159243338e-11	0.31638418079096	0.644067796610169	0.0395480225988701	10.1159821428571	9.70805964912281	9.4492	0.422897845336481
UBAP2L	2.37365440067554e-13	3.02293159243338e-11	0.327683615819209	0.638418079096045	0.0338983050847458	11.6119672413793	11.2654247787611	11.27885	0.34586556070704
RAD21	2.66620347038212e-13	3.11598040364658e-11	0.367231638418079	0.593220338983051	0.0395480225988701	12.0584307692308	11.5177895238095	11.0802571428571	0.567987019230769
C1orf43	3.80557279500073e-13	4.09175186918478e-11	0.327683615819209	0.638418079096045	0.0338983050847458	12.2957017241379	11.8484867256637	11.8067666666667	0.449318530860619
IARS2	3.79978230342373e-13	4.09175186918478e-11	0.299435028248588	0.649717514124294	0.0508474576271186	11.4205886792453	10.9871669565217	10.535	0.466240292148509
STX6	4.13388016740784e-13	4.27379611153549e-11	0.31638418079096	0.644067796610169	0.0395480225988701	10.4371517857143	10.0291614035088	9.60497142857143	0.432530298110981
F11R	4.71740612770845e-13	4.57525686890332e-11	0.31638418079096	0.644067796610169	0.0395480225988701	13.0442803571429	12.3353263157895	11.5403857142857	0.754942340613933
YTHDF1	4.76589257177429e-13	4.57525686890332e-11	0.254237288135593	0.706214689265537	0.0395480225988701	10.8892888888889	10.4905744	10.3971857142857	0.403666919191918
UCK2	5.76047875420354e-13	5.33936789355142e-11	0.310734463276836	0.649717514124294	0.0395480225988701	9.06500545454545	8.48607826086957	8.19977142857143	0.595354634873324
KDM5B	6.17135222579511e-13	5.52953159431242e-11	0.299435028248588	0.655367231638418	0.0451977401129944	11.2066905660377	10.7559568965517	10.2468375	0.483580082166768
UBQLN4	7.08253164854099e-13	6.14124034557361e-11	0.327683615819209	0.638418079096045	0.0338983050847458	10.8011120689655	10.1569504424779	9.64115	0.670168371486525
YWHAZ	8.43477554134836e-13	7.08521145473262e-11	0.327683615819209	0.610169491525424	0.0621468926553672	14.5856517241379	13.9665898148148	13.6183727272727	0.651250043465662
TPM3	1.36205439904104e-12	1.10945521958252e-10	0.327683615819209	0.638418079096045	0.0338983050847458	13.3823103448276	12.9393548672566	12.7101166666667	0.454513706172124
IQGAP3	1.41002244820814e-12	1.11474715905396e-10	0.327683615819209	0.638418079096045	0.0338983050847458	9.59604137931034	8.20429292035398	7.22768333333333	1.44098927847001
FLAD1	1.57459188792009e-12	1.17569527631367e-10	0.327683615819209	0.638418079096045	0.0338983050847458	9.88176034482759	9.32932123893805	9.32423333333333	0.552695638945234
HDGF	1.54745509765554e-12	1.17569527631367e-10	0.327683615819209	0.638418079096045	0.0338983050847458	13.0981310344828	12.5476442477876	12.31445	0.56224447986091
DARS2	1.85678021951753e-12	1.34892573785489e-10	0.310734463276836	0.649717514124294	0.0395480225988701	9.16093272727273	8.56941565217391	8.55462857142857	0.592365514157972
DCAF13	2.09345235366166e-12	1.48084208595857e-10	0.338983050847458	0.604519774011299	0.0564971751412429	9.87394	9.37909813084112	8.93899	0.532457948717948
FAM91A1	2.28654657617893e-12	1.57595825558179e-10	0.372881355932203	0.587570621468927	0.0395480225988701	10.6646606060606	10.1888336538462	9.67011428571429	0.508538984438983
RAB2A	2.53048269863308e-12	1.70048437348143e-10	0.259887005649718	0.649717514124294	0.0903954802259887	10.4939760869565	10.0285243478261	9.61636875	0.515791354132094
TFB2M	2.96882354396977e-12	1.94638967955871e-10	0.305084745762712	0.644067796610169	0.0508474576271186	8.57558148148148	8.09474473684211	7.91291111111111	0.494141644083108
GABPB2	3.15223518191699e-12	2.01743051642687e-10	0.31638418079096	0.649717514124294	0.0338983050847458	7.39660714285714	6.67159565217391	6.425	0.737239374262101
TMCO1	3.65491355508938e-12	2.28474596187913e-10	0.310734463276836	0.649717514124294	0.0395480225988701	11.5003981818182	11.054432173913	10.7974857142857	0.460708837555888
ARF1	3.82584297380934e-12	2.32431881183679e-10	0.305084745762712	0.649717514124294	0.0451977401129944	13.7980981481481	13.4035269565217	13.2294	0.405896522131886
CHRAC1	3.89115872517319e-12	2.32431881183679e-10	0.355932203389831	0.604519774011299	0.0395480225988701	9.91672063492063	9.4390953271028	9.0271	0.502923266499582
