GENE	p_value	fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	vs_rest_exp_diff
TOP3A	3.1058497157343e-24	1.52062402082351e-20	0.0677966101694915	0.519774011299435	0.412429378531073	9.22865833333333	8.55937608695652	8.07896301369863	-0.557637947839831
SMAD4	2.05445923002077e-22	5.02931619509084e-19	0.0395480225988701	0.282485875706215	0.677966101694915	10.9065	10.63301	9.8729725	-0.79362399122807
RABEP1	3.97650011177538e-22	6.48964818241741e-19	0.0451977401129944	0.468926553672316	0.485875706214689	10.690025	10.312856626506	9.65226162790698	-0.693752657807309
INTS9	8.38580232955177e-22	6.84281470091425e-19	0.11864406779661	0.581920903954802	0.299435028248588	8.77906666666667	8.61957961165048	8.0828037735849	-0.563785742544127
PDCD2	8.00389409676826e-22	6.84281470091425e-19	0.0282485875706215	0.491525423728814	0.480225988700565	9.88602	9.38541034482759	8.94968588235294	-0.462931508951407
RIOK1	8.02390446496855e-22	6.84281470091425e-19	0.0395480225988701	0.564971751412429	0.395480225988701	8.96182857142857	8.764019	8.28894	-0.488019813084112
ZNF271	3.17109545944634e-21	2.21795476706418e-18	0.0621468926553672	0.322033898305085	0.615819209039548	9.46988181818182	9.08741929824561	8.50175688073394	-0.647531354560172
CHMP7	1.49529032737978e-20	9.15117680356427e-18	0.101694915254237	0.564971751412429	0.333333333333333	10.2773888888889	10.278826	9.74532033898305	-0.533286440677966
MIS12	2.98292319565648e-20	1.56242360894853e-17	0.0451977401129944	0.474576271186441	0.480225988700565	9.195875	8.432825	7.93904941176471	-0.560127762148338
PAFAH1B1	3.19122469147984e-20	1.56242360894853e-17	0.0451977401129944	0.457627118644068	0.497175141242938	11.9838125	11.612762962963	11.1558409090909	-0.490274821246169
PRPSAP2	3.67577522902341e-20	1.63605413829987e-17	0.0677966101694915	0.519774011299435	0.412429378531073	9.59229166666667	8.86458152173913	8.33823698630137	-0.610311090621707
MTO1	4.79651221187696e-20	1.80644029148843e-17	0.0451977401129944	0.564971751412429	0.389830508474576	8.75985	8.433337	7.89963623188406	-0.55788691626409
TBP	4.58880755219828e-20	1.80644029148843e-17	0.0282485875706215	0.491525423728814	0.480225988700565	8.23458	8.00252873563218	7.63984823529412	-0.375291982097187
DHX16	6.28699461989129e-20	2.19865183278484e-17	0.0621468926553672	0.621468926553672	0.31638418079096	10.3828454545455	9.96558727272727	9.62534821428571	-0.37817162042503
BRAP	1.69090499283162e-19	5.31613586560064e-17	0.096045197740113	0.68361581920904	0.220338983050847	9.49759411764706	9.02030082644628	8.58736923076923	-0.491728595317726
PITPNA	1.74669758501031e-19	5.31613586560064e-17	0.0395480225988701	0.463276836158192	0.497175141242938	11.4382142857143	10.9218682926829	10.5356329545455	-0.426846820735445
ZNF24	1.84588050888911e-19	5.31613586560064e-17	0.0621468926553672	0.322033898305085	0.615819209039548	10.7894090909091	10.6253614035088	10.0577532110092	-0.594145318402591
CNOT7	2.38256180985791e-19	6.13948559003385e-17	0.096045197740113	0.570621468926554	0.333333333333333	10.6223705882353	10.2417178217822	9.79952881355932	-0.497028813559323
SMYD4	2.3200554578265e-19	6.13948559003385e-17	0.0395480225988701	0.457627118644068	0.502824858757062	8.36415714285714	8.04160864197531	7.50526629213483	-0.561999616956078
RRAGA	2.76559430759767e-19	6.7701748649991e-17	0.0451977401129944	0.474576271186441	0.480225988700565	11.31885	10.7809119047619	10.3586447058824	-0.469044424552429
CCDC25	2.9438395911024e-19	6.86335173239873e-17	0.112994350282486	0.581920903954802	0.305084745762712	9.888075	9.73583106796116	9.16581481481481	-0.594771364046975
ALKBH5	3.6726149145723e-19	8.17323755533909e-17	0.0677966101694915	0.519774011299435	0.412429378531073	11.869025	11.0973391304348	10.6672205479452	-0.519159259747102
QRSL1	7.34686713783431e-19	1.56392441334073e-16	0.0225988700564972	0.514124293785311	0.463276836158192	9.11885	8.69159230769231	8.15058780487805	-0.558994300385109
COPS3	1.08104691799336e-18	2.1171222841982e-16	0.0564971751412429	0.508474576271186	0.435028248587571	10.44188	9.74376222222222	9.24795194805195	-0.565622051948051
MCPH1	1.05367126012304e-18	2.1171222841982e-16	0.112994350282486	0.564971751412429	0.322033898305085	8.785355	8.632675	8.13637368421053	-0.521747982456139
REPS1	1.35361408072787e-18	2.54895943817063e-16	0.0395480225988701	0.497175141242938	0.463276836158192	9.94874285714286	9.38987045454545	8.97620975609756	-0.45484077021823
