Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-72202,"Transport of Mature Transcript to Cytoplasm",36,90,0.006401593285439932,7.208011136186077E-4,0.29786332111296887,13,13,0.0010847797062750334,9606,Homo sapiens,"POM121;NUP205;SEH1L;NXT1;NUP188;RBM8A;POLDIP3;EIF4A3;U2AF1;U2AF1L4;GLE1;POM121C;NUP85;U2AF2;TPR;SYMPK;NUP88;NUP43;RAE1;NUP214;CPSF4;SEC13;NUP133;CPSF1;NCBP1;THOC1;NUP153;THOC5;THOC7;CDC40;SRRM1;NUP50;ZC3H11A;NUPL2;NUP37","","R-HSA-159046;R-HSA-159050;R-HSA-158441;R-HSA-158447;R-HSA-111439;R-HSA-77587;R-HSA-158481;R-HSA-158484;R-HSA-75097;R-HSA-75096;R-HSA-75098;R-HSA-77594;R-HSA-159101"
R-HSA-159231,"Transport of Mature mRNA Derived from an Intronless Transcript",22,46,0.0032719254570026317,8.597131024132842E-4,0.29786332111296887,3,3,2.5033377837116157E-4,9606,Homo sapiens,"NUP214;CPSF4;SEC13;POM121;NUP205;SEH1L;NUP133;NUP188;CPSF1;NCBP1;NUP153;POM121C;NUP85;NUP50;TPR;SYMPK;NUP88;NUP43;NUPL2;RAE1;NUP37","","R-HSA-158441;R-HSA-77594;R-HSA-158447"
R-HSA-159236,"Transport of Mature mRNA derived from an Intron-Containing Transcript",33,81,0.005761433956895938,8.688816305471025E-4,0.29786332111296887,4,4,3.337783711615487E-4,9606,Homo sapiens,"POM121;NUP205;SEH1L;NXT1;NUP188;RBM8A;POLDIP3;EIF4A3;U2AF1;U2AF1L4;GLE1;POM121C;NUP85;U2AF2;TPR;NUP88;NUP43;RAE1;NUP214;SEC13;NUP133;NCBP1;THOC1;NUP153;THOC5;THOC7;CDC40;SRRM1;NUP50;ZC3H11A;NUPL2;NUP37","","R-HSA-75097;R-HSA-75096;R-HSA-75098;R-HSA-159101"
R-HSA-3108214,"SUMOylation of DNA damage response and repair proteins",33,81,0.005761433956895938,8.688816305471025E-4,0.29786332111296887,17,24,0.0020026702269692926,9606,Homo sapiens,"MDC1;POM121;NUP205;SEH1L;NUP188;XPC;RNF2;WRN;POM121C;NUP85;RAD21;TDG;TPR;SCMH1;NUP88;NUP43;RAE1;NUP214;SEC13;PHC2;PARP1;NUP133;RING1;NSMCE2;RPA1;NUP153;PIAS2;RAD52;EID3;NUP50;NUPL2;BAP1;NUP37","","R-HSA-3000399;R-HSA-4551616;R-HSA-4570528;R-HSA-4551648;R-HSA-4568846;R-HSA-3000348;R-HSA-4551604;R-HSA-5228508;R-HSA-4568848;R-HSA-3000411;R-HSA-4570463;R-HSA-4568863;R-HSA-3108212;R-HSA-4570553;R-HSA-4551768;R-HSA-4551738;R-HSA-4570554"
R-HSA-159234,"Transport of Mature mRNAs Derived from Intronless Transcripts",22,47,0.003343054271285298,0.0011243261052873432,0.29786332111296887,9,9,7.510013351134847E-4,9606,Homo sapiens,"NUP214;CPSF4;SEC13;POM121;NUP205;SEH1L;NUP133;NUP188;CPSF1;NCBP1;NUP153;POM121C;NUP85;NUP50;TPR;SYMPK;NUP88;NUP43;NUPL2;RAE1;NUP37","","R-HSA-77587;R-HSA-158481;R-HSA-159046;R-HSA-158484;R-HSA-159050;R-HSA-158441;R-HSA-77594;R-HSA-158447;R-HSA-111439"
R-HSA-159227,"Transport of the SLBP independent Mature mRNA",19,39,0.0027740237570239704,0.00151575596720821,0.29786332111296887,3,3,2.5033377837116157E-4,9606,Homo sapiens,"NUP214;SEC13;POM121;NUP205;SEH1L;NUP133;NUP188;NCBP1;NUP153;POM121C;NUP85;NUP50;TPR;NUP88;NUP43;NUPL2;RAE1;NUP37","","R-HSA-158481;R-HSA-158484;R-HSA-111439"
R-HSA-4085377,"SUMOylation of SUMOylation proteins",19,39,0.0027740237570239704,0.00151575596720821,0.29786332111296887,3,5,4.1722296395193593E-4,9606,Homo sapiens,"NUP214;SEC13;POM121;NUP205;SEH1L;NUP133;NUP188;NUP153;TOPORS;POM121C;NUP85;NUP50;TPR;NUP88;NUP43;NUPL2;RAE1;NUP37","","R-HSA-4551649;R-HSA-4551683;R-HSA-4551679"
R-HSA-72203,"Processing of Capped Intron-Containing Pre-mRNA",80,256,0.018208976456362474,0.0018202718387116956,0.29786332111296887,32,32,0.0026702269692923898,9606,Homo sapiens,"NXT1;NUP188;EIF4A3;DDX42;HNRNPU;GLE1;SNRPD2;SNRPD1;DHX16;SNRNP35;TXNL4A;BCAS2;CTNNBL1;RBM5;NUP214;RBM17;SEC13;NUP133;NCBP1;BUD31;THOC1;TFIP11;THOC5;THOC7;CDC40;SRRM1;PRPF4;PRPF6;NUP50;ZC3H11A;PRPF3;SNRPE;SNRPF;DNAJC8;SF3B4;SF3B5;NUP205;DDX5;POM121;SEH1L;RBM8A;DHX9;POLDIP3;PRCC;SRRT;U2AF1;PRPF8;U2AF1L4;POLR2A;PUF60;POM121C;NUP85;U2AF2;TPR;CSTF1;SYMPK;NUP88;NUP43;POLR2I;POLR2J;RAE1;POLR2K;SF3A3;CPSF4;SF3A1;PRPF38A;WTAP;CPSF1;NUP153;LSM5;LSM3;HNRNPL;SNRNP40;PHF5A;HNRNPA2B1;SNRNP48;NUPL2;PPIL4;NUP37","","R-HSA-8849157;R-HSA-72130;R-HSA-159046;R-HSA-75079;R-HSA-75081;R-HSA-159050;R-HSA-75080;R-HSA-72139;R-HSA-75083;R-HSA-75082;R-HSA-72143;R-HSA-111439;R-HSA-77587;R-HSA-158481;R-HSA-158484;R-HSA-75097;R-HSA-75096;R-HSA-75098;R-HSA-77594;R-HSA-72095;R-HSA-72160;R-HSA-72103;R-HSA-72231;R-HSA-72107;R-HSA-158441;R-HSA-158447;R-HSA-72180;R-HSA-156661;R-HSA-72185;R-HSA-72124;R-HSA-72127;R-HSA-159101"
R-HSA-4551638,"SUMOylation of chromatin organization proteins",26,62,0.004409986485525286,0.001961990663720603,0.29786332111296887,8,15,0.0012516688918558078,9606,Homo sapiens,"HDAC2;POM121;NUP205;SEH1L;L3MBTL2;NUP188;CHD3;RNF2;POM121C;NUP85;TPR;SCMH1;NUP88;NUP43;RAE1;NUP214;SEC13;PHC2;NUP133;RING1;NUP153;PIAS2;NUP50;NUPL2;BAP1;NUP37","","R-HSA-4551655;R-HSA-6804485;R-HSA-4615987;R-HSA-8956365;R-HSA-4615872;R-HSA-4615873;R-HSA-4616015;R-HSA-4551727"
R-HSA-3232142,"SUMOylation of ubiquitinylation proteins",20,43,0.003058539014154634,0.001970868391336089,0.29786332111296887,2,3,2.5033377837116157E-4,9606,Homo sapiens,"NUP214;SEC13;POM121;NUP205;SEH1L;NUP133;NUP188;NUP153;PIAS2;POM121C;NUP85;NUP50;TPR;NUP88;NUP43;TRIM27;NUPL2;RAE1;NUP37","","R-HSA-5228523;R-HSA-3000434"
