GENE	p_value	fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	vs_rest_exp_diff
ATAD2	7.31605436491185e-16	1.62050604182797e-12	0.372881355932203	0.587570621468927	0.0395480225988701	9.39402727272727	8.52698269230769	8.18121428571429	0.888849795249795
APH1A	1.75403123845229e-15	1.86062564555279e-12	0.31638418079096	0.649717514124294	0.0338983050847458	12.6137285714286	12.1197113043478	11.9873833333333	0.500578984651712
C1orf27	3.36004631251068e-15	1.86062564555279e-12	0.31638418079096	0.644067796610169	0.0395480225988701	9.83544821428571	9.32981754385965	8.94135714285714	0.528103586186541
PTK2	2.74444648178362e-15	1.86062564555279e-12	0.361581920903955	0.604519774011299	0.0338983050847458	11.3901609375	10.8553214953271	10.5854166666667	0.549170672013274
SF3B4	5.58374162448301e-15	2.47359753964597e-12	0.31638418079096	0.649717514124294	0.0338983050847458	11.1468196428571	10.5711382608696	10.42305	0.583024601534829
MRPL13	1.134031102358e-14	4.18646481953829e-12	0.372881355932203	0.587570621468927	0.0395480225988701	9.45665757575758	8.91642211538461	8.50057142857143	0.56646027846028
SPINT2	4.12104063530127e-14	1.30401500102747e-11	0.242937853107345	0.711864406779661	0.0451977401129944	14.369611627907	13.4313753968254	13.2795	0.947303418951753
AZIN1	7.82886101442992e-14	2.16761589337028e-11	0.333333333333333	0.610169491525424	0.0564971751412429	12.0501271186441	11.5283675925926	11.13979	0.554689830508474
RAD54B	9.92966860926502e-14	2.44380177439134e-11	0.322033898305085	0.610169491525424	0.0677966101694915	6.51595789473684	5.68247685185185	5.41555	0.860173728070175
ADSS	1.58576784640115e-13	3.51247577977854e-11	0.305084745762712	0.644067796610169	0.0508474576271186	10.7206074074074	10.252498245614	9.77017777777778	0.503400903342365
RAD21	2.66620347038212e-13	5.36876426081491e-11	0.367231638418079	0.593220338983051	0.0395480225988701	12.0584307692308	11.5177895238095	11.0802571428571	0.567987019230769
IARS2	3.79978230342373e-13	7.01376483506964e-11	0.299435028248588	0.649717514124294	0.0508474576271186	11.4205886792453	10.9871669565217	10.535	0.466240292148509
F11R	4.71740612770845e-13	8.03773428682631e-11	0.31638418079096	0.644067796610169	0.0395480225988701	13.0442803571429	12.3353263157895	11.5403857142857	0.754942340613933
KDM5B	6.17135222579511e-13	9.11303012009078e-11	0.299435028248588	0.655367231638418	0.0451977401129944	11.2066905660377	10.7559568965517	10.2468375	0.483580082166768
UCK2	5.76047875420354e-13	9.11303012009078e-11	0.310734463276836	0.649717514124294	0.0395480225988701	9.06500545454545	8.48607826086957	8.19977142857143	0.595354634873324
UBQLN4	7.08253164854099e-13	9.80487975094894e-11	0.327683615819209	0.638418079096045	0.0338983050847458	10.8011120689655	10.1569504424779	9.64115	0.670168371486525
YWHAZ	8.43477554134836e-13	1.09900163671098e-10	0.327683615819209	0.610169491525424	0.0621468926553672	14.5856517241379	13.9665898148148	13.6183727272727	0.651250043465662
IQGAP3	1.41002244820814e-12	1.73511095710057e-10	0.327683615819209	0.638418079096045	0.0338983050847458	9.59604137931034	8.20429292035398	7.22768333333333	1.44098927847001
FLAD1	1.57459188792009e-12	1.7438605158715e-10	0.327683615819209	0.638418079096045	0.0338983050847458	9.88176034482759	9.32932123893805	9.32423333333333	0.552695638945234
HDGF	1.54745509765554e-12	1.7438605158715e-10	0.327683615819209	0.638418079096045	0.0338983050847458	13.0981310344828	12.5476442477876	12.31445	0.56224447986091
DARS2	1.85678021951753e-12	1.95846104106253e-10	0.310734463276836	0.649717514124294	0.0395480225988701	9.16093272727273	8.56941565217391	8.55462857142857	0.592365514157972
DCAF13	2.09345235366166e-12	2.10772589243663e-10	0.338983050847458	0.604519774011299	0.0564971751412429	9.87394	9.37909813084112	8.93899	0.532457948717948
FAM91A1	2.28654657617893e-12	2.20204376792884e-10	0.372881355932203	0.587570621468927	0.0395480225988701	10.6646606060606	10.1888336538462	9.67011428571429	0.508538984438983
TFB2M	2.96882354396977e-12	2.7399767291221e-10	0.305084745762712	0.644067796610169	0.0508474576271186	8.57558148148148	8.09474473684211	7.91291111111111	0.494141644083108
GABPB2	3.15223518191699e-12	2.79288037117845e-10	0.31638418079096	0.649717514124294	0.0338983050847458	7.39660714285714	6.67159565217391	6.425	0.737239374262101
MTDH	4.16337514751184e-12	3.54687536605335e-10	0.327683615819209	0.604519774011299	0.0677966101694915	11.9332327586207	11.4406242990654	11.0526666666667	0.531730237612287
CD46	5.77401031545552e-12	4.73682698101258e-10	0.299435028248588	0.655367231638418	0.0451977401129944	12.8383566037736	12.3379482758621	12.156575	0.512109829580037
PLEKHA6	7.24181402301006e-12	5.72879216463117e-10	0.299435028248588	0.655367231638418	0.0451977401129944	11.6497226415094	10.8235775862069	10.3151	0.858950060864274
NUDCD1	7.7774807165621e-12	5.94038613351209e-10	0.355932203389831	0.593220338983051	0.0508474576271186	8.92394126984127	8.42179333333333	7.98113333333333	0.536936883876358
BLZF1	2.56083554919314e-11	1.89075024715427e-09	0.31638418079096	0.644067796610169	0.0395480225988701	9.45819821428571	8.89038947368421	8.4656	0.592383338252656
HEATR1	3.90567324559348e-11	2.76062169067453e-09	0.299435028248588	0.649717514124294	0.0508474576271186	10.148379245283	9.68573652173913	9.17267777777778	0.499880858186245
MSTO1	3.98825707004898e-11	2.76062169067453e-09	0.322033898305085	0.638418079096045	0.0395480225988701	9.32721228070175	8.80135398230088	8.46742857142857	0.545337280701755
TBCE	5.38409856051817e-11	3.61387221562053e-09	0.299435028248588	0.649717514124294	0.0508474576271186	8.66100377358491	8.16332695652174	7.7813	0.525404580036518
SCYL3	5.69060952358009e-11	3.70726473374409e-09	0.31638418079096	0.644067796610169	0.0395480225988701	8.86415	8.37324736842105	7.91267142857143	0.517547520661157
CCT3	6.05542779637868e-11	3.72577015804966e-09	0.327683615819209	0.638418079096045	0.0338983050847458	12.6460689655172	12.1553522123894	12.2896333333333	0.48394627644161
C1orf116	7.33194493851215e-11	4.38925892940660e-09	0.299435028248588	0.655367231638418	0.0451977401129944	11.6544188679245	10.838849137931	9.60325	0.895285803408399
YOD1	8.02761457178628e-11	4.67925428329121e-09	0.299435028248588	0.655367231638418	0.0451977401129944	9.16690754716981	8.5068974137931	7.9509375	0.695878514911747
CCNE2	1.07079848679919e-10	6.08158627759028e-09	0.322033898305085	0.610169491525424	0.0677966101694915	6.34314385964912	5.55071481481481	5.09475833333333	0.838024692982456
C1orf106	1.20323517687426e-10	6.6629147919412e-09	0.305084745762712	0.649717514124294	0.0451977401129944	12.2232703703704	10.8082069565217	8.8456375	1.54271020776874
FBXO28	1.86254094656091e-10	1.00622638942254e-08	0.305084745762712	0.649717514124294	0.0451977401129944	10.0868203703704	9.7453852173913	9.07635	0.384949638663054
CAPN2	2.53696541674904e-10	1.30683218560445e-08	0.305084745762712	0.649717514124294	0.0451977401129944	13.4433462962963	12.970652173913	12.22055	0.52148125564589
KIAA1429	2.65441682303745e-10	1.33625755977908e-08	0.322033898305085	0.610169491525424	0.0677966101694915	10.4221385964912	10.0328666666667	9.66544166666667	0.426014429824562
IVNS1ABP	3.35046191617298e-10	1.64917180984959e-08	0.31638418079096	0.644067796610169	0.0395480225988701	12.1741607142857	11.7008684210526	10.8931285714286	0.520021044864226
MTFR1	3.95245497547723e-10	1.90319299362654e-08	0.254237288135593	0.655367231638418	0.0903954802259887	9.14875777777778	8.63489051724138	8.1656125	0.570749444444445
C8orf76	5.24365915194151e-10	2.3102937655451e-08	0.372881355932203	0.587570621468927	0.0395480225988701	8.80339848484848	8.37863653846154	8.001	0.448576863226863
GPATCH4	5.0988867264467e-10	2.3102937655451e-08	0.327683615819209	0.638418079096045	0.0338983050847458	9.71805517241379	9.19446725663717	9.14266666666667	0.526199710228919
IGSF9	5.31941228184199e-10	2.3102937655451e-08	0.31638418079096	0.644067796610169	0.0395480225988701	9.44581964285714	7.99645087719298	6.64691428571429	1.52744113046045
ZNF623	5.19092197519308e-10	2.3102937655451e-08	0.355932203389831	0.604519774011299	0.0395480225988701	8.68572857142857	8.13334018691589	7.60631428571429	0.58474962406015
BPNT1	5.54911803411614e-10	2.35212000552848e-08	0.299435028248588	0.649717514124294	0.0508474576271186	9.97169433962264	9.50081826086956	9.04973333333333	0.503616113816191
KCNK1	5.84047856903234e-10	2.35212000552848e-08	0.293785310734463	0.649717514124294	0.0564971751412429	10.6931288461538	9.79535043478261	8.71906	0.983881646153845
