GENE	p_value	fdr	gain_sample_prop	normal_sample_prop	loss_sample_prop	gain_exp_mean	normal_exp_mean	loss_exp_mean	vs_rest_exp_diff
TOP3A	3.1058497157343e-24	1.25569504007138e-20	0.0677966101694915	0.519774011299435	0.412429378531073	9.22865833333333	8.55937608695652	8.07896301369863	-0.557637947839831
SMAD4	2.05445923002077e-22	4.15308933348698e-19	0.0395480225988701	0.282485875706215	0.677966101694915	10.9065	10.63301	9.8729725	-0.79362399122807
RABEP1	3.97650011177538e-22	5.35899665063595e-19	0.0451977401129944	0.468926553672316	0.485875706214689	10.690025	10.312856626506	9.65226162790698	-0.693752657807309
PDCD2	8.00389409676826e-22	8.08993595830852e-19	0.0282485875706215	0.491525423728814	0.480225988700565	9.88602	9.38541034482759	8.94968588235294	-0.462931508951407
ZNF271	3.17109545944634e-21	2.56414778850831e-18	0.0621468926553672	0.322033898305085	0.615819209039548	9.46988181818182	9.08741929824561	8.50175688073394	-0.647531354560172
MIS12	2.98292319565648e-20	1.84316020395043e-17	0.0451977401129944	0.474576271186441	0.480225988700565	9.195875	8.432825	7.93904941176471	-0.560127762148338
PAFAH1B1	3.19122469147984e-20	1.84316020395043e-17	0.0451977401129944	0.457627118644068	0.497175141242938	11.9838125	11.612762962963	11.1558409090909	-0.490274821246169
PRPSAP2	3.67577522902341e-20	1.8576449063677e-17	0.0677966101694915	0.519774011299435	0.412429378531073	9.59229166666667	8.86458152173913	8.33823698630137	-0.610311090621707
MTO1	4.79651221187696e-20	2.15469987473539e-17	0.0451977401129944	0.564971751412429	0.389830508474576	8.75985	8.433337	7.89963623188406	-0.55788691626409
ZNF24	1.84588050888911e-19	7.46289489743868e-17	0.0621468926553672	0.322033898305085	0.615819209039548	10.7894090909091	10.6253614035088	10.0577532110092	-0.594145318402591
SMYD4	2.3200554578265e-19	8.52725837817502e-17	0.0395480225988701	0.457627118644068	0.502824858757062	8.36415714285714	8.04160864197531	7.50526629213483	-0.561999616956078
QRSL1	7.34686713783431e-19	2.47528198652201e-16	0.0225988700564972	0.514124293785311	0.463276836158192	9.11885	8.69159230769231	8.15058780487805	-0.558994300385109
COPS3	1.08104691799336e-18	3.36205591495935e-16	0.0564971751412429	0.508474576271186	0.435028248587571	10.44188	9.74376222222222	9.24795194805195	-0.565622051948051
REPS1	1.35361408072787e-18	3.90904409170198e-16	0.0395480225988701	0.497175141242938	0.463276836158192	9.94874285714286	9.38987045454545	8.97620975609756	-0.45484077021823
SENP6	1.58663427854114e-18	4.27650825876123e-16	0.0395480225988701	0.559322033898305	0.401129943502825	10.6806571428571	10.4790848484848	9.97092816901409	-0.521468057401009
USP22	5.64975985797714e-18	1.34364582975303e-15	0.0677966101694915	0.564971751412429	0.367231638418079	12.5770333333333	11.915721	11.3468492307692	-0.639726662087913
ZZEF1	5.36658175750821e-18	1.34364582975303e-15	0.0451977401129944	0.457627118644068	0.497175141242938	10.9432125	10.4566864197531	9.82681590909091	-0.673603192032687
CAMTA2	6.11776961979419e-18	1.37411903182377e-15	0.0451977401129944	0.468926553672316	0.485875706214689	10.9652875	10.3387240963855	9.88009186046512	-0.513714732941477
LYRM2	1.09510761479628e-17	2.33027372980071e-15	0.0282485875706215	0.514124293785311	0.457627118644068	10.08252	9.49797472527472	9.01589382716049	-0.512525964506173
MAP2K4	1.35215398076031e-17	2.73337927210698e-15	0.0451977401129944	0.468926553672316	0.485875706214689	9.6581625	9.30790120481928	8.78765	-0.551043406593408
CDC37L1	2.00711541923688e-17	3.86417506665462e-15	0.0451977401129944	0.497175141242938	0.457627118644068	8.752575	8.66443636363636	8.24214197530864	-0.429639274691359
CDC40	2.31604109029508e-17	4.25625187639228e-15	0.0225988700564972	0.519774011299435	0.457627118644068	9.3288	9.138475	8.62712716049383	-0.519278047839506
PSIP1	3.77660666361215e-17	6.5586961082958e-15	0.0451977401129944	0.480225988700565	0.474576271186441	10.594425	10.0178729411765	9.32201547619048	-0.745453341013825
ULK2	3.89336400195645e-17	6.5586961082958e-15	0.0847457627118644	0.536723163841808	0.378531073446328	8.94951333333333	8.71535368421053	7.95701791044776	-0.790266635006785
MBP	7.03708751434774e-17	1.13803779282032e-14	0.0451977401129944	0.293785310734463	0.661016949152542	10.854375	10.4745230769231	9.77199487179487	-0.753175128205127
CCNC	9.37350747554496e-17	1.41375802757017e-14	0.0282485875706215	0.508474576271186	0.463276836158192	10.57662	10.0442255555556	9.57028048780488	-0.501965827984597
ELAC1	9.7910523799072e-17	1.41375802757017e-14	0.0395480225988701	0.282485875706215	0.677966101694915	7.30997142857143	7.143944	6.331445	-0.832888333333334
LTV1	9.7782049862736e-17	1.41375802757017e-14	0.0282485875706215	0.508474576271186	0.463276836158192	8.90994	8.87571333333333	8.42828170731707	-0.449233029525033
PIK3C3	1.09100468760928e-16	1.52101101793252e-14	0.0508474576271186	0.293785310734463	0.655367231638418	8.97714444444444	8.94154230769231	8.46321551724138	-0.483579564725835
C17orf85	1.51678404767661e-16	2.04411930158552e-14	0.0508474576271186	0.451977401129944	0.497175141242938	9.3298	9.18933375	8.78418636363636	-0.419351838610828
PRPF8	1.68000825453441e-16	2.19105592680084e-14	0.0395480225988701	0.457627118644068	0.502824858757062	13.2258285714286	12.4474851851852	11.9578505617978	-0.551548301838611
ANKFY1	2.03635914959173e-16	2.49484849751495e-14	0.0451977401129944	0.457627118644068	0.497175141242938	10.6268	10.4847975308642	10.0248522727273	-0.472709525025536
ECHDC1	2.01048297759312e-16	2.49484849751495e-14	0.0225988700564972	0.508474576271186	0.468926553672316	9.9644	10.0648566666667	9.60337469879518	-0.457207216098437
NUP88	3.1631770122067e-16	3.76138960598579e-14	0.0451977401129944	0.474576271186441	0.480225988700565	9.843875	9.38154404761905	8.96913294117647	-0.452613797953964
RNF138	4.57212420530438e-16	5.28145661772732e-14	0.0790960451977401	0.338983050847458	0.581920903954802	9.4747	8.9348	8.39510291262136	-0.641840330621884
