stat	raw.pval	BH.adj.pval	Gene
gene1	0.00106512361193489	0.629922928845589	0.671291504791979	A1BG
gene2	0.0198680816584343	0.0455365243380774	0.0645286363118954	A1CF
gene3	0.00337223022492072	0.420043269707852	0.476431739112721	A2M
gene4	0.0462509430219141	0.00124193895489533	0.00213602776538122	A2ML1
gene5	0.0284238837966402	0.0147198175107081	0.022377436751873	A4GALT
gene6	0.00232556470747115	0.500383768373472	0.554724874706503	A4GNT
gene7	0.256881339715964	0	0	AAAS
gene8	0.211171399912198	1.52100554373646e-14	6.65126875396283e-14	AACS
gene9	0.000761934091292265	0.656897218733682	0.695756542407525	AADAC
gene10	0.000403962420311826	0.709155991174848	0.742519266664774	AADACL2
gene11	0.00753093870148698	0.247517318568877	0.300945251899515	AADACL4
gene12	0.0254453455573111	0.0212817002924048	0.0316893873024751	AADAT
gene13	0.543496738310553	0	0	AAGAB
gene14	0.0177220669677945	0.0248589189424446	0.0366275426119145	AAK1
gene15	0.139972553505615	1.52646861817374e-09	4.31740813464652e-09	AAMP
gene16	0.0215262999391776	0.0348301677220184	0.0502097632214912	AANAT
gene17	0.132575218418745	5.62844881812907e-09	1.52118948298655e-08	AARS
gene18	0.213525556738569	1.23234755733392e-14	5.42321411933612e-14	AARS2
gene19	0.261639177196688	0	0	AARSD1
gene20	0.204720709339566	4.75175454539567e-14	1.98529650448034e-13	AASDH
gene21	0.183977481260276	1.78190795452338e-12	6.52901891361922e-12	AASDHPPT
gene22	0.0191841783778709	0.0487430802565485	0.0687789767013283	AASS
gene23	0.437504455632803	0	0	AATF
gene24	0.00964923268643519	0.16966747883346	0.214950808968929	AATK
gene25	0.113225882104334	9.56519852213233e-08	2.33596074253147e-07	ABAT
gene26	0.0199545259184416	0.0457140842272495	0.0647629740541626	ABCA1
gene27	0.00473448413618856	0.340834696519669	0.39797764263508	ABCA10
gene28	0.0410768041835068	0.00243335305815329	0.00405262134005776	ABCA11P
gene29	0.00291047448599989	0.4669972507721	0.522841368021739	ABCA12
gene30	0.0732822416351244	2.68144864544739e-05	5.34846465955742e-05	ABCA13
gene31	0.00348569494345258	0.424194691332963	0.480456493453036	ABCA17P
gene32	0.0158999527377008	0.0788477016781932	0.107213766212306	ABCA2
gene33	0.00251621322506339	0.491421551424671	0.546385879287757	ABCA3
gene34	0.0310658115954427	0.0103435089037467	0.0160209772921076	ABCA4
gene35	0.062586207827872	0.000128822716738863	0.00024247460326409	ABCA5
gene36	1.13395918807076e-18	0.816409123195327	0.834957921707049	ABCA6
gene37	0.025727312163702	0.0207006507593436	0.0308775502995544	ABCA7
gene38	1.49712978062032e-18	0.81635508443757	0.834957921707049	ABCA8
gene39	1.35295952742744e-18	0.816398249070463	0.834957921707049	ABCA9
gene40	0.0927172206767651	1.97915899657897e-06	4.32856143432416e-06	ABCB1
gene41	0.254185032306196	0	0	ABCB10
gene42	0.00257814212996537	0.483325517331562	0.538775244398632	ABCB11
gene43	0.0218144571716546	0.0371342341049492	0.0533430109494605	ABCB4
gene44	4.695922818752e-19	0.625420272186266	0.668150327797362	ABCB5
gene45	0.0229659207031315	0.0300774201440732	0.0437781960171544	ABCB6
gene46	0.148138408913951	4.47467840558602e-10	1.32093368642114e-09	ABCB8
gene47	0.128851263045246	8.2415354540899e-09	2.19834060028327e-08	ABCB9
gene48	0.119777621496775	3.77506020887708e-08	9.55153769902449e-08	ABCC1
gene49	0.158617003875833	9.45379330374863e-11	2.95616554739471e-10	ABCC10
gene50	0.0826375559739869	2.40814782674903e-05	4.82568355372809e-05	ABCC11
gene51	0.0136533152950811	0.101773924133147	0.13538421246028	ABCC13
gene52	9.69348042338492e-10	0.838589513472695	0.842260182673304	ABCC2
gene53	0.0082218306853783	0.206745734167332	0.256660429569681	ABCC3
gene54	0.0721548732742453	8.81339714785545e-05	0.000168193393474343	ABCC4
gene55	0.115357326718187	6.96375741515709e-08	1.71776276177288e-07	ABCC5
gene56	0.070377594596793	4.88597702803517e-05	9.52741604769217e-05	ABCC6
gene57	0.0399286441801406	0.00325198083492062	0.00533899800169587	ABCC6P1
gene58	0.00948230303669229	0.187991662442019	0.235840587388882	ABCC8
gene59	0.00365357765404879	0.408066373894774	0.464765754271548	ABCC9
gene60	0.00076566783109442	0.663458712403046	0.701913064808295	ABCD2
gene61	0.420236500583058	0	0	ABCD3
gene62	0.420330792799285	0	0	ABCD4
gene63	0.158868933461688	7.14345249619441e-11	2.26124186584938e-10	ABCE1
gene64	0.302548971203457	0	0	ABCF1
gene65	0.354146075779492	0	0	ABCF2
gene66	0.298113772402334	0	0	ABCF3
gene67	0.0747849393238785	2.3231254484779e-05	4.65999547098381e-05	ABCG1
gene68	0.0234056662926117	0.0272586328258332	0.0399013700238519	ABCG2
gene69	0.00139272400268757	0.592118650815107	0.639645495270743	ABCG4
gene70	0.00333375490090487	0.42804847401532	0.484201919034154	ABCG5
gene71	0.00537088755419353	0.319157457096308	0.375972061715803	ABCG8
gene72	0.086869044542127	9.36003767382232e-07	2.10429176541138e-06	ABHD1
gene73	0.0838550955768158	7.18777473207588e-06	1.5017331894012e-05	ABHD10
gene74	0.140106711123733	1.66922331512609e-09	4.70696753256667e-09	ABHD11
gene75	0.682117911622319	0	0	ABHD12
gene76	0.0126384673846652	0.117542048651508	0.154375055242873	ABHD12B
gene77	0.525973651210007	0	0	ABHD13
gene78	0.0973977320060009	9.52448307334208e-07	2.14065779652618e-06	ABHD14A
gene79	0.131149593146045	6.17754403187121e-09	1.66282371871398e-08	ABHD14B
gene80	0.229825475535924	8.88178419700125e-16	4.29142605152259e-15	ABHD15
gene81	0.145970610347525	5.17951681544560e-10	1.52307806706266e-09	ABHD2
gene82	0.437262958121502	0	0	ABHD3
gene83	0.306226972281463	0	0	ABHD4
gene84	0.174127673731224	7.17825798801641e-12	2.49105137891596e-11	ABHD5
gene85	0.114545741889887	7.3782398413158e-08	1.81859631664915e-07	ABHD6
gene86	0.0179046702863868	0.0628409051486986	0.0869622078631795	ABHD8
gene87	0.209240606329119	2.1538326677728e-14	9.26351513116319e-14	ABI1
gene88	0.172367118052585	8.78608297227856e-12	3.0271617765029e-11	ABI2
gene89	0.000164350313968925	0.736715408198415	0.766740254042305	ABI3
gene90	0.00562873234146195	0.321172014947578	0.377954069728207	ABI3BP
gene91	0.0395102971306714	0.00347203902824389	0.00567572239588289	ABL1
gene92	0.104002522440003	3.60086054862485e-07	8.37782345486013e-07	ABL2
gene93	0.211777061396561	1.77635683940025e-14	7.70447638427953e-14	ABLIM1
gene94	0.0740181899769105	2.57433495970405e-05	5.14318299685106e-05	ABLIM2
gene95	0.0227723328605177	0.0313277211215125	0.0454279039103924	ABLIM3
gene96	0.0696958785477116	5.23063276879343e-05	0.000101733349408914	ABO
gene97	0.279184675328215	0	0	ABR
gene98	0.00863171226795198	0.31367880554693	0.370339465539774	ABRA
gene99	0.264014112056237	0	0	ABT1
gene100	0.0325061065224077	0.00827499977391111	0.0129581487222163	ABTB1
gene101	0.0555634052000117	0.000392871636426317	0.000707630781785166	ABTB2
gene102	0.15818122931209	9.09901043399941e-11	2.85138114583639e-10	ACAA1
gene103	0.138635137845422	1.54752410885806e-09	4.37540750082561e-09	ACAA2
gene104	0.241385726540661	2.22044604925031e-16	1.11758710659519e-15	ACACA
gene105	0.000739632547020887	0.654540818353976	0.693583451288111	ACACB
gene106	0.105559567847654	2.72743722717905e-07	6.4159598782253e-07	ACAD10
gene107	0.0443872025693535	0.00166156937988338	0.00281342132275439	ACAD11
gene108	0.216298492585786	8.77076189453874e-15	3.89961190818847e-14	ACAD8
gene109	0.200848265777774	9.86988268891764e-14	4.02036249099956e-13	ACAD9
gene110	0.00063890469785013	0.672962911140767	0.710364599167205	ACADL
gene111	0.271096381708419	0	0	ACADM
gene112	0.13912941154076	1.73163661187914e-09	4.87433835193324e-09	ACADS
gene113	0.171629786523446	1.20018439631053e-11	4.08390740021532e-11	ACADSB
gene114	0.331230122308796	0	0	ACADVL
gene115	0.000168969382124584	0.732519137795682	0.763270284494487	ACAN
gene116	0.104230393791516	2.67543398990711e-07	6.29734721258046e-07	ACAP1
gene117	0.15861427686387	8.43711767117838e-11	2.6533544521458e-10	ACAP2
gene118	0.0468041844221287	0.00126092085996565	0.00216680404438183	ACAP3
gene119	0.0662985118315466	9.03674515293496e-05	0.000172331898051722	ACAT1
gene120	0.0850868504377082	6.5091393226524e-06	1.36621621583859e-05	ACAT2
gene121	0.25061291723946	0	0	ACBD3
gene122	0.124343407990719	1.52079853155129e-08	3.97864465609421e-08	ACBD4
